Date,Time,Values
19/04/2011,13:00:00,10.90
19/04/2011,14:00:00,9.68
19/04/2011,15:00:00,9.52
19/04/2011,16:00:00,9.15
19/04/2011,17:00:00,8.52
19/04/2011,18:00:00,7.90
19/04/2011,19:00:00,8.83
19/04/2011,20:00:00,9.47
19/04/2011,21:00:00,11.67
19/04/2011,22:00:00,20.72
19/04/2011,23:00:00,30.75
20/04/2011,00:00:00,35.90
20/04/2011,01:00:00,46.82
20/04/2011,02:00:00,31.22
20/04/2011,03:00:00,17.97
20/04/2011,04:00:00,12.70
20/04/2011,05:00:00,12.72
20/04/2011,06:00:00,16.80
20/04/2011,07:00:00,18.83
20/04/2011,08:00:00,22.93
20/04/2011,09:00:00,19.02
20/04/2011,10:00:00,15.95
20/04/2011,11:00:00,11.83
20/04/2011,12:00:00,70.05
20/04/2011,13:00:00,13.30
24/04/2011,14:00:00,10.90
24/04/2011,15:00:00,10.38
24/04/2011,16:00:00,10.53
24/04/2011,17:00:00,10.47
24/04/2011,18:00:00,10.90
24/04/2011,19:00:00,10.80
24/04/2011,20:00:00,11.72
24/04/2011,21:00:00,12.37
24/04/2011,22:00:00,12.92
24/04/2011,23:00:00,13.12
25/04/2011,00:00:00,13.88
25/04/2011,01:00:00,13.20
25/04/2011,02:00:00,16.08
25/04/2011,03:00:00,22.95
25/04/2011,04:00:00,17.20
25/04/2011,05:00:00,18.75
25/04/2011,06:00:00,25.08
25/04/2011,07:00:00,20.88
25/04/2011,08:00:00,28.05
25/04/2011,09:00:00,20.30
25/04/2011,10:00:00,16.58
25/04/2011,11:00:00,14.92
25/04/2011,12:00:00,83.55
25/04/2011,13:00:00,12.02
25/04/2011,14:00:00,10.90
25/04/2011,15:00:00,10.67
25/04/2011,16:00:00,13.37
25/04/2011,17:00:00,13.35
25/04/2011,18:00:00,12.18
25/04/2011,19:00:00,11.77
25/04/2011,20:00:00,12.23
25/04/2011,21:00:00,12.28
25/04/2011,22:00:00,12.83
25/04/2011,23:00:00,13.97
26/04/2011,00:00:00,16.82
26/04/2011,01:00:00,18.35
26/04/2011,02:00:00,20.97
26/04/2011,03:00:00,30.62
26/04/2011,04:00:00,22.22
26/04/2011,05:00:00,13.45
26/04/2011,06:00:00,9.73
26/04/2011,07:00:00,7.98
26/04/2011,08:00:00,7.23
26/04/2011,09:00:00,8.45
26/04/2011,10:00:00,11.87
26/04/2011,11:00:00,11.42
26/04/2011,12:00:00,69.65
26/04/2011,13:00:00,9.90
26/04/2011,14:00:00,8.92
26/04/2011,15:00:00,9.68
26/04/2011,16:00:00,10.50
26/04/2011,17:00:00,9.97
26/04/2011,18:00:00,10.50
26/04/2011,19:00:00,13.87
26/04/2011,20:00:00,11.92
26/04/2011,21:00:00,8.92
26/04/2011,22:00:00,8.62
26/04/2011,23:00:00,9.23
27/04/2011,00:00:00,11.05
27/04/2011,01:00:00,11.07
27/04/2011,02:00:00,10.92
27/04/2011,03:00:00,14.23
27/04/2011,04:00:00,11.35
27/04/2011,05:00:00,10.00
27/04/2011,06:00:00,8.78
27/04/2011,07:00:00,7.68
27/04/2011,08:00:00,8.85
27/04/2011,09:00:00,20.72
27/04/2011,10:00:00,19.17
27/04/2011,11:00:00,16.37
27/04/2011,12:00:00,82.75
27/04/2011,13:00:00,21.95
27/04/2011,14:00:00,22.56
27/04/2011,15:00:00,27.27
27/04/2011,16:00:00,32.07
27/04/2011,17:00:00,29.48
27/04/2011,18:00:00,22.27
27/04/2011,19:00:00,14.20
27/04/2011,20:00:00,11.88
27/04/2011,21:00:00,10.23
27/04/2011,22:00:00,8.63
27/04/2011,23:00:00,7.92
28/04/2011,00:00:00,7.23
28/04/2011,01:00:00,6.82
28/04/2011,02:00:00,10.82
28/04/2011,03:00:00,14.83
28/04/2011,04:00:00,11.45
28/04/2011,05:00:00,9.70
28/04/2011,06:00:00,8.70
28/04/2011,07:00:00,8.22
28/04/2011,08:00:00,7.75
28/04/2011,09:00:00,11.07
28/04/2011,10:00:00,13.22
28/04/2011,11:00:00,13.92
28/04/2011,12:00:00,81.00
28/04/2011,13:00:00,13.62
28/04/2011,14:00:00,13.08
28/04/2011,15:00:00,14.38
28/04/2011,16:00:00,15.03
28/04/2011,17:00:00,14.77
28/04/2011,18:00:00,13.95
28/04/2011,19:00:00,12.92
28/04/2011,20:00:00,10.22
28/04/2011,21:00:00,10.03
28/04/2011,22:00:00,9.97
28/04/2011,23:00:00,10.15
29/04/2011,00:00:00,8.90
29/04/2011,01:00:00,9.28
29/04/2011,02:00:00,9.07
29/04/2011,03:00:00,10.63
29/04/2011,04:00:00,14.57
29/04/2011,05:00:00,20.03
29/04/2011,06:00:00,25.20
29/04/2011,07:00:00,23.53
29/04/2011,08:00:00,27.28
29/04/2011,09:00:00,20.92
29/04/2011,10:00:00,17.20
29/04/2011,11:00:00,11.88
29/04/2011,12:00:00,73.15
29/04/2011,13:00:00,10.63
29/04/2011,14:00:00,9.24
29/04/2011,15:00:00,9.62
29/04/2011,16:00:00,9.13
29/04/2011,17:00:00,9.18
29/04/2011,18:00:00,12.80
29/04/2011,19:00:00,14.87
29/04/2011,20:00:00,16.92
29/04/2011,21:00:00,18.40
29/04/2011,22:00:00,19.92
29/04/2011,23:00:00,13.23
30/04/2011,00:00:00,13.00
30/04/2011,01:00:00,14.38
30/04/2011,02:00:00,16.32
30/04/2011,03:00:00,18.60
30/04/2011,04:00:00,18.48
30/04/2011,05:00:00,15.40
30/04/2011,06:00:00,18.52
30/04/2011,07:00:00,21.02
30/04/2011,08:00:00,16.65
30/04/2011,09:00:00,11.70
30/04/2011,10:00:00,11.00
30/04/2011,11:00:00,9.20
30/04/2011,21:00:00,10.50
30/04/2011,22:00:00,12.93
30/04/2011,23:00:00,13.35
01/05/2011,00:00:00,18.87
01/05/2011,01:00:00,23.25
01/05/2011,02:00:00,27.20
01/05/2011,03:00:00,24.57
01/05/2011,04:00:00,18.88
01/05/2011,05:00:00,14.28
01/05/2011,06:00:00,12.65
01/05/2011,07:00:00,13.22
01/05/2011,08:00:00,19.20
01/05/2011,09:00:00,21.07
01/05/2011,10:00:00,24.48
01/05/2011,11:00:00,18.98
01/05/2011,12:00:00,73.95
01/05/2011,13:00:00,9.92
01/05/2011,14:00:00,8.20
01/05/2011,15:00:00,8.65
01/05/2011,16:00:00,7.52
01/05/2011,17:00:00,7.17
01/05/2011,18:00:00,7.38
01/05/2011,19:00:00,8.30
01/05/2011,20:00:00,11.68
01/05/2011,21:00:00,12.28
01/05/2011,22:00:00,13.55
01/05/2011,23:00:00,13.65
02/05/2011,00:00:00,17.08
02/05/2011,01:00:00,15.37
02/05/2011,02:00:00,15.17
02/05/2011,03:00:00,16.03
02/05/2011,04:00:00,13.05
02/05/2011,05:00:00,14.73
02/05/2011,06:00:00,13.60
02/05/2011,07:00:00,10.45
02/05/2011,08:00:00,10.73
02/05/2011,09:00:00,15.55
02/05/2011,10:00:00,19.50
02/05/2011,11:00:00,14.05
02/05/2011,12:00:00,78.15
02/05/2011,13:00:00,11.38
02/05/2011,14:00:00,9.96
02/05/2011,15:00:00,9.88
02/05/2011,16:00:00,8.12
02/05/2011,17:00:00,7.78
02/05/2011,18:00:00,12.40
02/05/2011,19:00:00,17.67
02/05/2011,20:00:00,12.12
02/05/2011,21:00:00,10.93
02/05/2011,22:00:00,11.07
02/05/2011,23:00:00,13.72
03/05/2011,00:00:00,29.58
03/05/2011,01:00:00,21.70
03/05/2011,02:00:00,20.80
03/05/2011,03:00:00,21.10
03/05/2011,04:00:00,12.95
03/05/2011,05:00:00,10.87
03/05/2011,06:00:00,10.83
03/05/2011,07:00:00,9.43
03/05/2011,08:00:00,17.97
03/05/2011,09:00:00,21.35
03/05/2011,10:00:00,16.72
03/05/2011,11:00:00,15.12
03/05/2011,12:00:00,79.35
03/05/2011,13:00:00,11.13
03/05/2011,14:00:00,9.04
03/05/2011,15:00:00,9.28
03/05/2011,16:00:00,9.73
03/05/2011,17:00:00,8.90
03/05/2011,18:00:00,8.73
03/05/2011,19:00:00,8.00
03/05/2011,20:00:00,8.05
03/05/2011,21:00:00,7.92
03/05/2011,22:00:00,7.83
03/05/2011,23:00:00,9.13
04/05/2011,00:00:00,8.68
04/05/2011,01:00:00,7.92
04/05/2011,02:00:00,7.82
04/05/2011,03:00:00,9.53
04/05/2011,04:00:00,9.20
04/05/2011,05:00:00,10.10
04/05/2011,06:00:00,10.43
04/05/2011,07:00:00,9.60
04/05/2011,08:00:00,21.72
04/05/2011,09:00:00,26.18
04/05/2011,10:00:00,25.18
04/05/2011,11:00:00,21.23
04/05/2011,12:00:00,94.15
04/05/2011,13:00:00,12.25
04/05/2011,14:00:00,12.74
04/05/2011,15:00:00,12.10
04/05/2011,16:00:00,14.57
04/05/2011,17:00:00,12.50
04/05/2011,18:00:00,10.57
04/05/2011,19:00:00,9.12
04/05/2011,20:00:00,7.68
04/05/2011,21:00:00,7.28
04/05/2011,22:00:00,10.90
04/05/2011,23:00:00,14.90
05/05/2011,00:00:00,26.93
05/05/2011,01:00:00,16.88
05/05/2011,02:00:00,15.02
05/05/2011,03:00:00,13.82
05/05/2011,04:00:00,9.10
05/05/2011,05:00:00,7.13
05/05/2011,06:00:00,6.50
05/05/2011,07:00:00,6.22
05/05/2011,08:00:00,6.52
05/05/2011,09:00:00,6.33
05/05/2011,10:00:00,6.38
05/05/2011,11:00:00,9.18
05/05/2011,12:00:00,99.75
05/05/2011,13:00:00,15.88
05/05/2011,14:00:00,23.32
05/05/2011,15:00:00,27.57
05/05/2011,16:00:00,25.03
05/05/2011,17:00:00,18.38
05/05/2011,18:00:00,15.25
05/05/2011,19:00:00,12.85
05/05/2011,20:00:00,9.17
