Date,Time,Values
19/04/2011,13:00:00,37.00
19/04/2011,14:00:00,37.33
19/04/2011,15:00:00,36.80
19/04/2011,16:00:00,35.90
19/04/2011,17:00:00,33.92
19/04/2011,18:00:00,31.33
19/04/2011,19:00:00,28.18
19/04/2011,20:00:00,26.80
19/04/2011,21:00:00,27.07
19/04/2011,22:00:00,27.37
19/04/2011,23:00:00,26.82
20/04/2011,00:00:00,25.72
20/04/2011,01:00:00,25.35
20/04/2011,02:00:00,23.53
20/04/2011,03:00:00,20.42
20/04/2011,04:00:00,18.33
20/04/2011,05:00:00,18.70
20/04/2011,06:00:00,20.25
20/04/2011,07:00:00,24.45
20/04/2011,08:00:00,29.27
20/04/2011,09:00:00,32.32
20/04/2011,10:00:00,34.28
20/04/2011,11:00:00,35.30
20/04/2011,12:00:00,36.37
20/04/2011,13:00:00,36.40
24/04/2011,14:00:00,42.20
24/04/2011,15:00:00,42.13
24/04/2011,16:00:00,41.40
24/04/2011,17:00:00,39.55
24/04/2011,18:00:00,34.88
24/04/2011,19:00:00,30.28
24/04/2011,20:00:00,28.83
24/04/2011,21:00:00,27.22
24/04/2011,22:00:00,26.17
24/04/2011,23:00:00,25.43
25/04/2011,00:00:00,25.08
25/04/2011,01:00:00,25.05
25/04/2011,02:00:00,25.15
25/04/2011,03:00:00,24.32
25/04/2011,04:00:00,22.92
25/04/2011,05:00:00,22.50
25/04/2011,06:00:00,23.75
25/04/2011,07:00:00,28.75
25/04/2011,08:00:00,34.88
25/04/2011,09:00:00,38.72
25/04/2011,10:00:00,41.73
25/04/2011,11:00:00,43.05
25/04/2011,12:00:00,43.65
25/04/2011,13:00:00,43.85
25/04/2011,14:00:00,44.30
25/04/2011,15:00:00,43.68
25/04/2011,16:00:00,42.73
25/04/2011,17:00:00,41.15
25/04/2011,18:00:00,37.28
25/04/2011,19:00:00,31.75
25/04/2011,20:00:00,29.97
25/04/2011,21:00:00,30.60
25/04/2011,22:00:00,29.68
25/04/2011,23:00:00,27.65
26/04/2011,00:00:00,26.45
26/04/2011,01:00:00,25.47
26/04/2011,02:00:00,24.78
26/04/2011,03:00:00,28.55
26/04/2011,04:00:00,28.92
26/04/2011,05:00:00,27.53
26/04/2011,06:00:00,27.25
26/04/2011,07:00:00,28.27
26/04/2011,08:00:00,29.72
26/04/2011,09:00:00,31.62
26/04/2011,10:00:00,33.28
26/04/2011,11:00:00,34.98
26/04/2011,12:00:00,36.78
26/04/2011,13:00:00,37.90
26/04/2011,14:00:00,38.55
26/04/2011,15:00:00,38.52
26/04/2011,16:00:00,37.68
26/04/2011,17:00:00,36.45
26/04/2011,18:00:00,33.98
26/04/2011,19:00:00,31.90
26/04/2011,20:00:00,30.73
26/04/2011,21:00:00,29.43
26/04/2011,22:00:00,28.53
26/04/2011,23:00:00,27.57
27/04/2011,00:00:00,26.90
27/04/2011,01:00:00,26.45
27/04/2011,02:00:00,26.13
27/04/2011,03:00:00,25.68
27/04/2011,04:00:00,25.15
27/04/2011,05:00:00,24.62
27/04/2011,06:00:00,25.13
27/04/2011,07:00:00,26.75
27/04/2011,08:00:00,29.05
27/04/2011,09:00:00,31.97
27/04/2011,10:00:00,34.35
27/04/2011,11:00:00,36.45
27/04/2011,12:00:00,37.98
27/04/2011,13:00:00,39.02
27/04/2011,14:00:00,39.48
27/04/2011,15:00:00,39.43
27/04/2011,16:00:00,38.92
27/04/2011,17:00:00,37.73
27/04/2011,18:00:00,33.77
27/04/2011,19:00:00,29.55
27/04/2011,20:00:00,28.30
27/04/2011,21:00:00,29.30
27/04/2011,22:00:00,30.87
27/04/2011,23:00:00,30.78
28/04/2011,00:00:00,29.17
28/04/2011,01:00:00,26.27
28/04/2011,02:00:00,25.15
28/04/2011,03:00:00,26.57
28/04/2011,04:00:00,25.75
28/04/2011,05:00:00,24.60
28/04/2011,06:00:00,25.85
28/04/2011,07:00:00,29.75
28/04/2011,08:00:00,33.33
28/04/2011,09:00:00,36.28
28/04/2011,10:00:00,38.00
28/04/2011,11:00:00,40.43
28/04/2011,12:00:00,42.82
28/04/2011,13:00:00,43.20
28/04/2011,14:00:00,43.30
28/04/2011,15:00:00,43.03
28/04/2011,16:00:00,42.37
28/04/2011,17:00:00,40.35
28/04/2011,18:00:00,35.78
28/04/2011,19:00:00,32.03
28/04/2011,20:00:00,30.80
28/04/2011,21:00:00,30.07
28/04/2011,22:00:00,29.10
28/04/2011,23:00:00,27.97
29/04/2011,00:00:00,27.67
29/04/2011,01:00:00,27.63
29/04/2011,02:00:00,27.78
29/04/2011,03:00:00,27.53
29/04/2011,04:00:00,27.13
29/04/2011,05:00:00,28.23
29/04/2011,06:00:00,29.07
29/04/2011,07:00:00,31.88
29/04/2011,08:00:00,35.93
29/04/2011,09:00:00,38.75
29/04/2011,10:00:00,41.57
29/04/2011,11:00:00,43.32
29/04/2011,12:00:00,44.15
29/04/2011,13:00:00,44.82
29/04/2011,14:00:00,44.53
29/04/2011,15:00:00,44.25
29/04/2011,16:00:00,43.17
29/04/2011,17:00:00,41.60
29/04/2011,18:00:00,38.80
29/04/2011,19:00:00,34.02
29/04/2011,20:00:00,35.22
29/04/2011,21:00:00,36.97
29/04/2011,22:00:00,35.38
29/04/2011,23:00:00,33.05
30/04/2011,00:00:00,31.58
30/04/2011,01:00:00,29.70
30/04/2011,02:00:00,29.20
30/04/2011,03:00:00,28.93
30/04/2011,04:00:00,30.08
30/04/2011,05:00:00,30.18
30/04/2011,06:00:00,30.42
30/04/2011,07:00:00,33.48
30/04/2011,08:00:00,36.65
30/04/2011,09:00:00,39.22
30/04/2011,10:00:00,41.50
30/04/2011,11:00:00,42.88
30/04/2011,21:00:00,30.58
30/04/2011,22:00:00,29.55
30/04/2011,23:00:00,28.67
01/05/2011,00:00:00,28.18
01/05/2011,01:00:00,27.80
01/05/2011,02:00:00,27.42
01/05/2011,03:00:00,27.05
01/05/2011,04:00:00,28.03
01/05/2011,05:00:00,27.27
01/05/2011,06:00:00,27.85
01/05/2011,07:00:00,31.38
01/05/2011,08:00:00,35.53
01/05/2011,09:00:00,39.15
01/05/2011,10:00:00,42.03
01/05/2011,11:00:00,43.52
01/05/2011,12:00:00,44.38
01/05/2011,13:00:00,44.85
01/05/2011,14:00:00,44.83
01/05/2011,15:00:00,44.03
01/05/2011,16:00:00,43.97
01/05/2011,17:00:00,42.52
01/05/2011,18:00:00,40.17
01/05/2011,19:00:00,37.85
01/05/2011,20:00:00,37.25
01/05/2011,21:00:00,36.08
01/05/2011,22:00:00,35.02
01/05/2011,23:00:00,32.65
02/05/2011,00:00:00,31.47
02/05/2011,01:00:00,30.33
02/05/2011,02:00:00,26.78
02/05/2011,03:00:00,26.33
02/05/2011,04:00:00,26.78
02/05/2011,05:00:00,26.10
02/05/2011,06:00:00,28.78
02/05/2011,07:00:00,30.93
02/05/2011,08:00:00,34.15
02/05/2011,09:00:00,37.45
02/05/2011,10:00:00,40.57
02/05/2011,11:00:00,42.25
02/05/2011,12:00:00,43.57
02/05/2011,13:00:00,44.22
02/05/2011,14:00:00,44.05
02/05/2011,15:00:00,43.83
02/05/2011,16:00:00,43.25
02/05/2011,17:00:00,41.82
02/05/2011,18:00:00,39.13
02/05/2011,19:00:00,37.20
02/05/2011,20:00:00,34.43
02/05/2011,21:00:00,32.40
02/05/2011,22:00:00,30.70
02/05/2011,23:00:00,31.03
03/05/2011,00:00:00,29.63
03/05/2011,01:00:00,28.10
03/05/2011,02:00:00,27.78
03/05/2011,03:00:00,27.17
03/05/2011,04:00:00,26.33
03/05/2011,05:00:00,25.83
03/05/2011,06:00:00,26.37
03/05/2011,07:00:00,31.25
03/05/2011,08:00:00,35.37
03/05/2011,09:00:00,38.22
03/05/2011,10:00:00,40.68
03/05/2011,11:00:00,43.20
03/05/2011,12:00:00,44.98
03/05/2011,13:00:00,45.28
03/05/2011,14:00:00,45.00
03/05/2011,15:00:00,44.83
03/05/2011,16:00:00,44.27
03/05/2011,17:00:00,43.17
03/05/2011,18:00:00,39.73
03/05/2011,19:00:00,37.22
03/05/2011,20:00:00,34.97
03/05/2011,21:00:00,34.52
03/05/2011,22:00:00,34.43
03/05/2011,23:00:00,34.47
04/05/2011,00:00:00,33.12
04/05/2011,01:00:00,31.68
04/05/2011,02:00:00,31.60
04/05/2011,03:00:00,32.22
04/05/2011,04:00:00,31.15
04/05/2011,05:00:00,30.85
04/05/2011,06:00:00,30.70
04/05/2011,07:00:00,32.63
04/05/2011,08:00:00,33.77
04/05/2011,09:00:00,33.33
04/05/2011,10:00:00,34.92
04/05/2011,11:00:00,35.78
04/05/2011,12:00:00,40.10
04/05/2011,13:00:00,41.98
04/05/2011,14:00:00,42.53
04/05/2011,15:00:00,42.95
04/05/2011,16:00:00,42.82
04/05/2011,17:00:00,41.12
04/05/2011,18:00:00,39.20
04/05/2011,19:00:00,36.68
04/05/2011,20:00:00,35.22
04/05/2011,21:00:00,34.57
04/05/2011,22:00:00,34.05
04/05/2011,23:00:00,34.05
05/05/2011,00:00:00,34.33
05/05/2011,01:00:00,31.73
05/05/2011,02:00:00,31.82
05/05/2011,03:00:00,31.70
05/05/2011,04:00:00,31.18
05/05/2011,05:00:00,30.32
05/05/2011,06:00:00,29.90
05/05/2011,07:00:00,29.77
05/05/2011,08:00:00,29.75
05/05/2011,09:00:00,30.33
05/05/2011,10:00:00,30.83
05/05/2011,11:00:00,34.57
05/05/2011,12:00:00,36.77
05/05/2011,13:00:00,39.60
05/05/2011,14:00:00,40.10
05/05/2011,15:00:00,40.55
05/05/2011,16:00:00,40.92
05/05/2011,17:00:00,39.45
05/05/2011,18:00:00,37.33
05/05/2011,19:00:00,36.02
05/05/2011,20:00:00,35.40
05/05/2011,21:00:00,34.83
05/05/2011,22:00:00,34.18
05/05/2011,23:00:00,32.18
06/05/2011,00:00:00,30.02
06/05/2011,01:00:00,29.87
06/05/2011,02:00:00,29.15
06/05/2011,03:00:00,29.02
06/05/2011,04:00:00,27.47
06/05/2011,05:00:00,27.07
06/05/2011,06:00:00,28.00
06/05/2011,07:00:00,29.85
06/05/2011,08:00:00,32.37
06/05/2011,09:00:00,34.28
06/05/2011,10:00:00,36.13
06/05/2011,11:00:00,38.38
06/05/2011,12:00:00,40.28
06/05/2011,13:00:00,41.75
06/05/2011,14:00:00,41.83
06/05/2011,15:00:00,41.08
06/05/2011,16:00:00,39.23
06/05/2011,17:00:00,31.88
06/05/2011,18:00:00,28.27
06/05/2011,19:00:00,29.10
06/05/2011,20:00:00,27.07
06/05/2011,21:00:00,28.05
06/05/2011,22:00:00,28.40
06/05/2011,23:00:00,27.10
07/05/2011,00:00:00,26.95
07/05/2011,01:00:00,27.85
07/05/2011,02:00:00,27.80
07/05/2011,03:00:00,27.02
07/05/2011,04:00:00,25.53
07/05/2011,05:00:00,24.90
07/05/2011,06:00:00,25.33
07/05/2011,07:00:00,28.48
07/05/2011,08:00:00,31.58
07/05/2011,09:00:00,33.98
07/05/2011,10:00:00,35.18
07/05/2011,11:00:00,37.05
07/05/2011,12:00:00,37.72
07/05/2011,13:00:00,39.37
