Date,Time,Values
09/04/2015,15:00:00,NA
09/04/2015,16:00:00,NA
09/04/2015,17:00:00,NA
09/04/2015,18:00:00,NA
09/04/2015,19:00:00,9.84
09/04/2015,20:00:00,18.82
09/04/2015,21:00:00,21.38
09/04/2015,22:00:00,32.17
09/04/2015,23:00:00,17.52
10/04/2015,00:00:00,11.32
10/04/2015,01:00:00,8.97
10/04/2015,02:00:00,8.06
10/04/2015,03:00:00,8.58
10/04/2015,04:00:00,8.14
10/04/2015,05:00:00,6.77
10/04/2015,06:00:00,6.49
10/04/2015,07:00:00,6.39
10/04/2015,08:00:00,7.23
10/04/2015,09:00:00,7.05
10/04/2015,10:00:00,5.05
10/04/2015,11:00:00,5.05
10/04/2015,12:00:00,NA
10/04/2015,13:00:00,NA
10/04/2015,14:00:00,NA
10/04/2015,15:00:00,NA
10/04/2015,16:00:00,NA
10/04/2015,17:00:00,NA
10/04/2015,19:00:00,9.15
10/04/2015,20:00:00,21.23
10/04/2015,21:00:00,40.43
10/04/2015,22:00:00,42.52
10/04/2015,23:00:00,43.61
11/04/2015,00:00:00,32.50
11/04/2015,01:00:00,20.18
11/04/2015,02:00:00,17.07
11/04/2015,03:00:00,13.32
11/04/2015,04:00:00,11.92
11/04/2015,05:00:00,11.65
11/04/2015,06:00:00,10.22
11/04/2015,07:00:00,10.78
11/04/2015,08:00:00,13.52
11/04/2015,09:00:00,11.12
11/04/2015,11:00:00,NA
11/04/2015,12:00:00,NA
11/04/2015,13:00:00,NA
11/04/2015,14:00:00,NA
11/04/2015,15:00:00,NA
11/04/2015,16:00:00,NA
11/04/2015,17:00:00,NA
11/04/2015,18:00:00,10.18
11/04/2015,19:00:00,14.93
13/04/2015,12:00:00,NA
13/04/2015,13:00:00,NA
13/04/2015,14:00:00,NA
13/04/2015,15:00:00,NA
13/04/2015,16:00:00,NA
13/04/2015,17:00:00,6.80
13/04/2015,18:00:00,NA
13/04/2015,19:00:00,5.65
13/04/2015,20:00:00,7.35
13/04/2015,21:00:00,9.46
