Date,Time,Values
19/04/2011,13:00:00,0.10
19/04/2011,14:00:00,0.10
19/04/2011,15:00:00,0.10
19/04/2011,16:00:00,0.10
19/04/2011,17:00:00,0.10
19/04/2011,18:00:00,0.10
20/04/2011,09:00:00,0.10
20/04/2011,10:00:00,0.10
20/04/2011,11:00:00,0.10
20/04/2011,12:00:00,0.10
20/04/2011,13:00:00,0.10
24/04/2011,17:00:00,0.10
25/04/2011,09:00:00,0.10
25/04/2011,10:00:00,0.10
25/04/2011,12:00:00,0.10
25/04/2011,13:00:00,0.10
25/04/2011,15:00:00,0.15
25/04/2011,16:00:00,0.10
25/04/2011,17:00:00,0.10
26/04/2011,04:00:00,0.10
26/04/2011,05:00:00,0.10
26/04/2011,07:00:00,0.10
26/04/2011,08:00:00,0.10
26/04/2011,09:00:00,0.10
26/04/2011,10:00:00,0.13
26/04/2011,11:00:00,0.13
26/04/2011,12:00:00,0.10
26/04/2011,13:00:00,0.15
26/04/2011,14:00:00,0.10
26/04/2011,15:00:00,0.10
26/04/2011,19:00:00,0.10
26/04/2011,20:00:00,0.10
26/04/2011,21:00:00,0.10
27/04/2011,08:00:00,0.10
27/04/2011,09:00:00,0.10
27/04/2011,10:00:00,0.10
27/04/2011,11:00:00,0.10
27/04/2011,12:00:00,0.10
27/04/2011,13:00:00,0.10
27/04/2011,14:00:00,0.10
28/04/2011,09:00:00,0.10
28/04/2011,10:00:00,0.10
28/04/2011,11:00:00,0.10
29/04/2011,09:00:00,0.10
29/04/2011,10:00:00,0.13
29/04/2011,11:00:00,0.15
29/04/2011,12:00:00,0.15
29/04/2011,13:00:00,0.13
29/04/2011,14:00:00,0.10
29/04/2011,15:00:00,0.17
29/04/2011,16:00:00,0.10
29/04/2011,17:00:00,0.10
29/04/2011,21:00:00,0.10
30/04/2011,08:00:00,0.10
30/04/2011,09:00:00,0.10
30/04/2011,10:00:00,0.10
01/05/2011,08:00:00,0.10
01/05/2011,09:00:00,0.10
01/05/2011,10:00:00,0.10
01/05/2011,11:00:00,0.10
01/05/2011,12:00:00,0.13
01/05/2011,13:00:00,0.10
01/05/2011,14:00:00,0.10
01/05/2011,15:00:00,0.10
01/05/2011,16:00:00,0.10
01/05/2011,17:00:00,0.10
02/05/2011,10:00:00,0.10
02/05/2011,11:00:00,0.10
02/05/2011,13:00:00,0.10
02/05/2011,14:00:00,0.20
02/05/2011,15:00:00,0.18
02/05/2011,16:00:00,0.10
02/05/2011,17:00:00,0.10
03/05/2011,10:00:00,0.10
03/05/2011,11:00:00,0.10
03/05/2011,12:00:00,0.10
03/05/2011,13:00:00,0.10
03/05/2011,14:00:00,0.17
03/05/2011,15:00:00,0.10
03/05/2011,16:00:00,0.10
03/05/2011,17:00:00,0.20
04/05/2011,04:00:00,0.10
04/05/2011,11:00:00,0.10
04/05/2011,12:00:00,0.10
04/05/2011,14:00:00,0.10
04/05/2011,15:00:00,0.10
04/05/2011,16:00:00,0.10
05/05/2011,01:00:00,0.10
05/05/2011,11:00:00,0.10
05/05/2011,13:00:00,0.10
05/05/2011,14:00:00,0.10
06/05/2011,09:00:00,0.10
06/05/2011,10:00:00,0.10
06/05/2011,11:00:00,0.10
06/05/2011,12:00:00,0.10
06/05/2011,13:00:00,0.10
06/05/2011,14:00:00,0.10
06/05/2011,22:00:00,0.15
06/05/2011,23:00:00,0.12
07/05/2011,07:00:00,0.10
07/05/2011,08:00:00,0.10
07/05/2011,09:00:00,0.10
07/05/2011,10:00:00,0.10
07/05/2011,11:00:00,0.10
07/05/2011,12:00:00,0.20
07/05/2011,13:00:00,0.20
07/05/2011,14:00:00,0.15
07/05/2011,15:00:00,0.15
07/05/2011,16:00:00,0.10
07/05/2011,17:00:00,0.10
08/05/2011,12:00:00,0.20
08/05/2011,13:00:00,0.10
08/05/2011,14:00:00,0.15
08/05/2011,15:00:00,0.15
08/05/2011,16:00:00,0.13
09/05/2011,09:00:00,0.10
09/05/2011,10:00:00,0.10
09/05/2011,12:00:00,0.10
09/05/2011,13:00:00,0.10
09/05/2011,14:00:00,0.10
09/05/2011,15:00:00,0.10
09/05/2011,16:00:00,0.13
09/05/2011,17:00:00,0.10
09/05/2011,18:00:00,0.10
10/05/2011,08:00:00,0.10
10/05/2011,09:00:00,0.17
10/05/2011,10:00:00,0.10
10/05/2011,11:00:00,0.15
10/05/2011,12:00:00,0.20
10/05/2011,13:00:00,0.10
10/05/2011,14:00:00,0.12
10/05/2011,15:00:00,0.13
10/05/2011,16:00:00,0.13
11/05/2011,07:00:00,0.10
11/05/2011,09:00:00,0.10
11/05/2011,10:00:00,0.10
11/05/2011,11:00:00,0.12
11/05/2011,12:00:00,0.13
11/05/2011,13:00:00,0.10
11/05/2011,14:00:00,0.10
11/05/2011,15:00:00,0.13
11/05/2011,16:00:00,0.10
11/05/2011,17:00:00,0.10
11/05/2011,18:00:00,0.10
12/05/2011,02:00:00,0.10
12/05/2011,07:00:00,0.10
12/05/2011,08:00:00,0.10
12/05/2011,09:00:00,0.10
12/05/2011,10:00:00,0.10
12/05/2011,11:00:00,0.10
12/05/2011,12:00:00,0.10
12/05/2011,13:00:00,0.10
12/05/2011,14:00:00,0.10
12/05/2011,15:00:00,0.20
12/05/2011,16:00:00,0.10
12/05/2011,17:00:00,0.10
13/05/2011,08:00:00,0.10
13/05/2011,09:00:00,0.10
13/05/2011,10:00:00,0.10
13/05/2011,12:00:00,0.10
13/05/2011,13:00:00,0.10
14/05/2011,09:00:00,0.10
14/05/2011,11:00:00,0.10
15/05/2011,02:00:00,0.10
15/05/2011,07:00:00,0.10
15/05/2011,08:00:00,0.10
15/05/2011,09:00:00,0.10
15/05/2011,10:00:00,0.10
