Date,Time,Values
19/04/2011,13:00:00,255.20
19/04/2011,14:00:00,249.67
19/04/2011,15:00:00,244.67
19/04/2011,16:00:00,255.33
19/04/2011,17:00:00,218.50
19/04/2011,18:00:00,231.67
19/04/2011,19:00:00,289.50
19/04/2011,20:00:00,294.33
19/04/2011,21:00:00,301.17
19/04/2011,22:00:00,289.67
19/04/2011,23:00:00,293.83
20/04/2011,00:00:00,308.17
20/04/2011,01:00:00,306.67
20/04/2011,02:00:00,268.00
20/04/2011,03:00:00,256.00
20/04/2011,04:00:00,251.33
20/04/2011,05:00:00,204.33
20/04/2011,06:00:00,192.33
20/04/2011,07:00:00,202.50
20/04/2011,08:00:00,240.50
20/04/2011,09:00:00,251.33
20/04/2011,10:00:00,230.67
20/04/2011,11:00:00,225.67
20/04/2011,12:00:00,245.83
20/04/2011,13:00:00,259.00
24/04/2011,14:00:00,201.00
24/04/2011,15:00:00,232.50
24/04/2011,16:00:00,228.50
24/04/2011,17:00:00,254.83
24/04/2011,18:00:00,274.83
24/04/2011,19:00:00,269.67
24/04/2011,20:00:00,295.67
24/04/2011,21:00:00,280.67
24/04/2011,22:00:00,210.67
24/04/2011,23:00:00,198.83
25/04/2011,00:00:00,219.33
25/04/2011,01:00:00,218.00
25/04/2011,02:00:00,253.50
25/04/2011,03:00:00,199.33
25/04/2011,04:00:00,262.83
25/04/2011,05:00:00,222.67
25/04/2011,06:00:00,147.17
25/04/2011,07:00:00,171.33
25/04/2011,08:00:00,152.17
25/04/2011,09:00:00,187.00
25/04/2011,10:00:00,182.83
25/04/2011,11:00:00,183.50
25/04/2011,12:00:00,235.50
25/04/2011,13:00:00,231.33
25/04/2011,14:00:00,227.33
25/04/2011,15:00:00,253.17
25/04/2011,16:00:00,258.00
25/04/2011,17:00:00,270.50
25/04/2011,18:00:00,244.50
25/04/2011,19:00:00,221.33
25/04/2011,20:00:00,248.50
25/04/2011,21:00:00,179.17
25/04/2011,22:00:00,251.17
25/04/2011,23:00:00,239.17
26/04/2011,00:00:00,265.00
26/04/2011,01:00:00,218.17
26/04/2011,02:00:00,224.17
26/04/2011,03:00:00,150.50
26/04/2011,04:00:00,114.00
26/04/2011,05:00:00,119.00
26/04/2011,06:00:00,122.17
26/04/2011,07:00:00,116.50
26/04/2011,08:00:00,114.67
26/04/2011,09:00:00,129.00
26/04/2011,10:00:00,124.67
26/04/2011,11:00:00,127.17
26/04/2011,12:00:00,133.00
26/04/2011,13:00:00,128.00
26/04/2011,14:00:00,117.83
26/04/2011,15:00:00,125.17
26/04/2011,16:00:00,119.50
26/04/2011,17:00:00,132.67
26/04/2011,18:00:00,145.00
26/04/2011,19:00:00,129.00
26/04/2011,20:00:00,112.67
26/04/2011,21:00:00,129.50
26/04/2011,22:00:00,117.83
26/04/2011,23:00:00,127.67
27/04/2011,00:00:00,121.83
27/04/2011,01:00:00,137.33
27/04/2011,02:00:00,125.00
27/04/2011,03:00:00,124.50
27/04/2011,04:00:00,119.67
27/04/2011,05:00:00,121.50
27/04/2011,06:00:00,111.33
27/04/2011,07:00:00,119.33
27/04/2011,08:00:00,122.50
27/04/2011,09:00:00,151.50
27/04/2011,10:00:00,151.17
27/04/2011,11:00:00,156.00
27/04/2011,12:00:00,134.00
27/04/2011,13:00:00,137.67
27/04/2011,14:00:00,140.33
27/04/2011,15:00:00,150.83
27/04/2011,16:00:00,141.00
27/04/2011,17:00:00,131.17
27/04/2011,18:00:00,237.67
27/04/2011,19:00:00,307.17
27/04/2011,20:00:00,286.17
27/04/2011,21:00:00,159.67
27/04/2011,22:00:00,102.50
27/04/2011,23:00:00,128.33
28/04/2011,00:00:00,191.00
28/04/2011,01:00:00,264.50
28/04/2011,02:00:00,293.00
28/04/2011,03:00:00,163.83
28/04/2011,04:00:00,221.00
28/04/2011,05:00:00,220.50
28/04/2011,06:00:00,196.50
28/04/2011,07:00:00,157.00
28/04/2011,08:00:00,148.17
28/04/2011,09:00:00,153.33
28/04/2011,10:00:00,176.50
28/04/2011,11:00:00,166.17
28/04/2011,12:00:00,153.83
28/04/2011,13:00:00,169.33
28/04/2011,14:00:00,172.50
28/04/2011,15:00:00,191.17
28/04/2011,16:00:00,167.33
28/04/2011,17:00:00,138.83
28/04/2011,18:00:00,276.33
28/04/2011,19:00:00,308.83
28/04/2011,20:00:00,278.33
28/04/2011,21:00:00,295.17
28/04/2011,22:00:00,244.33
28/04/2011,23:00:00,260.83
29/04/2011,00:00:00,209.83
29/04/2011,01:00:00,216.50
29/04/2011,02:00:00,195.17
29/04/2011,03:00:00,164.00
29/04/2011,04:00:00,228.67
29/04/2011,05:00:00,239.17
29/04/2011,06:00:00,256.67
29/04/2011,07:00:00,229.33
29/04/2011,08:00:00,233.00
29/04/2011,09:00:00,236.67
29/04/2011,10:00:00,245.17
29/04/2011,11:00:00,251.17
29/04/2011,12:00:00,257.33
29/04/2011,13:00:00,254.00
29/04/2011,14:00:00,257.50
29/04/2011,15:00:00,247.83
29/04/2011,16:00:00,258.67
29/04/2011,17:00:00,264.17
29/04/2011,18:00:00,239.33
29/04/2011,19:00:00,264.83
29/04/2011,20:00:00,261.00
29/04/2011,21:00:00,282.00
29/04/2011,22:00:00,241.67
29/04/2011,23:00:00,243.50
30/04/2011,00:00:00,230.00
30/04/2011,01:00:00,280.50
30/04/2011,02:00:00,283.33
30/04/2011,03:00:00,257.83
30/04/2011,04:00:00,216.83
30/04/2011,05:00:00,214.67
30/04/2011,06:00:00,201.33
30/04/2011,07:00:00,231.67
30/04/2011,08:00:00,237.17
30/04/2011,09:00:00,236.67
30/04/2011,10:00:00,243.17
30/04/2011,11:00:00,222.00
30/04/2011,21:00:00,279.80
30/04/2011,22:00:00,240.17
30/04/2011,23:00:00,269.67
01/05/2011,00:00:00,273.17
01/05/2011,01:00:00,241.50
01/05/2011,02:00:00,201.33
01/05/2011,03:00:00,179.33
01/05/2011,04:00:00,196.17
01/05/2011,05:00:00,211.00
01/05/2011,06:00:00,195.83
01/05/2011,07:00:00,235.00
01/05/2011,08:00:00,259.67
01/05/2011,09:00:00,247.17
01/05/2011,10:00:00,247.50
01/05/2011,11:00:00,230.17
01/05/2011,12:00:00,242.50
01/05/2011,13:00:00,242.33
01/05/2011,14:00:00,244.00
01/05/2011,15:00:00,240.00
01/05/2011,16:00:00,226.83
01/05/2011,17:00:00,237.17
01/05/2011,18:00:00,233.83
01/05/2011,19:00:00,225.17
01/05/2011,20:00:00,242.00
01/05/2011,21:00:00,223.00
01/05/2011,22:00:00,238.00
01/05/2011,23:00:00,210.83
02/05/2011,00:00:00,192.17
02/05/2011,01:00:00,187.67
02/05/2011,02:00:00,219.83
02/05/2011,03:00:00,204.67
02/05/2011,04:00:00,202.00
02/05/2011,05:00:00,210.67
02/05/2011,06:00:00,221.17
02/05/2011,07:00:00,217.50
02/05/2011,08:00:00,231.83
02/05/2011,09:00:00,235.17
02/05/2011,10:00:00,235.83
02/05/2011,11:00:00,249.67
02/05/2011,12:00:00,235.00
02/05/2011,13:00:00,230.33
02/05/2011,14:00:00,236.67
02/05/2011,15:00:00,244.00
02/05/2011,16:00:00,250.67
02/05/2011,17:00:00,261.67
02/05/2011,18:00:00,221.67
02/05/2011,19:00:00,201.33
02/05/2011,20:00:00,218.00
02/05/2011,21:00:00,218.17
02/05/2011,22:00:00,186.67
02/05/2011,23:00:00,234.50
03/05/2011,00:00:00,242.83
03/05/2011,01:00:00,218.83
03/05/2011,02:00:00,238.33
03/05/2011,03:00:00,197.00
03/05/2011,04:00:00,220.17
03/05/2011,05:00:00,180.50
03/05/2011,06:00:00,227.17
03/05/2011,07:00:00,162.83
03/05/2011,08:00:00,195.00
03/05/2011,09:00:00,232.67
03/05/2011,10:00:00,237.50
03/05/2011,11:00:00,235.17
03/05/2011,12:00:00,228.50
03/05/2011,13:00:00,243.00
03/05/2011,14:00:00,258.17
03/05/2011,15:00:00,265.00
03/05/2011,16:00:00,263.50
03/05/2011,17:00:00,239.17
03/05/2011,18:00:00,226.17
03/05/2011,19:00:00,218.50
03/05/2011,20:00:00,226.83
03/05/2011,21:00:00,223.17
03/05/2011,22:00:00,225.67
03/05/2011,23:00:00,228.83
04/05/2011,00:00:00,224.00
04/05/2011,01:00:00,221.33
04/05/2011,02:00:00,225.83
04/05/2011,03:00:00,240.17
04/05/2011,04:00:00,245.17
04/05/2011,05:00:00,257.33
04/05/2011,06:00:00,202.67
04/05/2011,07:00:00,156.33
04/05/2011,08:00:00,155.50
04/05/2011,09:00:00,148.17
04/05/2011,10:00:00,159.83
04/05/2011,11:00:00,172.83
04/05/2011,12:00:00,239.33
04/05/2011,13:00:00,234.67
04/05/2011,14:00:00,236.33
04/05/2011,15:00:00,238.83
04/05/2011,16:00:00,183.50
04/05/2011,17:00:00,185.67
04/05/2011,18:00:00,221.33
04/05/2011,19:00:00,221.67
04/05/2011,20:00:00,215.83
04/05/2011,21:00:00,200.00
04/05/2011,22:00:00,199.17
04/05/2011,23:00:00,184.50
05/05/2011,00:00:00,150.00
05/05/2011,01:00:00,134.50
05/05/2011,02:00:00,157.00
05/05/2011,03:00:00,131.00
05/05/2011,04:00:00,132.33
05/05/2011,05:00:00,131.50
05/05/2011,06:00:00,144.17
05/05/2011,07:00:00,143.83
05/05/2011,08:00:00,147.33
05/05/2011,09:00:00,157.33
05/05/2011,10:00:00,136.00
05/05/2011,11:00:00,132.17
05/05/2011,12:00:00,141.17
05/05/2011,13:00:00,130.50
05/05/2011,14:00:00,128.33
05/05/2011,15:00:00,144.33
05/05/2011,16:00:00,166.17
05/05/2011,17:00:00,125.00
05/05/2011,18:00:00,123.50
05/05/2011,19:00:00,132.17
05/05/2011,20:00:00,119.17
05/05/2011,21:00:00,117.83
05/05/2011,22:00:00,131.00
05/05/2011,23:00:00,160.50
06/05/2011,00:00:00,176.33
06/05/2011,01:00:00,174.00
06/05/2011,02:00:00,160.50
06/05/2011,03:00:00,162.67
06/05/2011,04:00:00,193.83
06/05/2011,05:00:00,148.00
06/05/2011,06:00:00,154.17
06/05/2011,07:00:00,160.00
06/05/2011,08:00:00,137.83
06/05/2011,09:00:00,130.17
06/05/2011,10:00:00,126.50
06/05/2011,11:00:00,142.83
06/05/2011,12:00:00,147.33
06/05/2011,13:00:00,156.67
06/05/2011,14:00:00,157.00
06/05/2011,15:00:00,149.50
06/05/2011,16:00:00,180.83
06/05/2011,17:00:00,199.00
06/05/2011,18:00:00,130.50
06/05/2011,19:00:00,219.17
06/05/2011,20:00:00,194.83
06/05/2011,21:00:00,165.17
06/05/2011,22:00:00,266.50
06/05/2011,23:00:00,263.67
07/05/2011,00:00:00,247.67
07/05/2011,01:00:00,231.83
07/05/2011,02:00:00,195.17
07/05/2011,03:00:00,159.67
07/05/2011,04:00:00,138.67
07/05/2011,05:00:00,178.00
07/05/2011,06:00:00,200.67
07/05/2011,07:00:00,170.50
07/05/2011,08:00:00,200.67
07/05/2011,09:00:00,248.67
07/05/2011,10:00:00,258.00
07/05/2011,11:00:00,254.33
07/05/2011,12:00:00,241.50
07/05/2011,13:00:00,239.00
07/05/2011,14:00:00,242.67
07/05/2011,15:00:00,238.33
07/05/2011,16:00:00,249.67
07/05/2011,17:00:00,240.67
07/05/2011,18:00:00,235.50
07/05/2011,19:00:00,237.83
07/05/2011,20:00:00,229.83
07/05/2011,21:00:00,220.50
08/05/2011,12:00:00,258.00
08/05/2011,13:00:00,224.67
08/05/2011,14:00:00,266.17
08/05/2011,15:00:00,269.00
08/05/2011,16:00:00,275.17
08/05/2011,17:00:00,254.00
08/05/2011,18:00:00,262.00
08/05/2011,19:00:00,297.83
08/05/2011,20:00:00,258.83
08/05/2011,21:00:00,210.67
08/05/2011,22:00:00,228.33
08/05/2011,23:00:00,206.17
09/05/2011,00:00:00,219.17
09/05/2011,01:00:00,221.67
09/05/2011,02:00:00,209.83
09/05/2011,03:00:00,207.33
09/05/2011,04:00:00,238.50
09/05/2011,05:00:00,290.17
09/05/2011,06:00:00,277.17
09/05/2011,07:00:00,144.67
09/05/2011,08:00:00,221.00
09/05/2011,09:00:00,239.83
09/05/2011,10:00:00,206.83
09/05/2011,11:00:00,180.17
09/05/2011,12:00:00,219.50
09/05/2011,13:00:00,222.33
09/05/2011,14:00:00,244.50
09/05/2011,15:00:00,240.33
09/05/2011,16:00:00,245.83
09/05/2011,17:00:00,247.33
09/05/2011,18:00:00,255.00
09/05/2011,19:00:00,253.00
09/05/2011,20:00:00,264.33
09/05/2011,21:00:00,259.00
09/05/2011,22:00:00,234.67
09/05/2011,23:00:00,287.67
10/05/2011,00:00:00,294.50
10/05/2011,01:00:00,188.17
10/05/2011,02:00:00,196.17
10/05/2011,03:00:00,227.17
10/05/2011,04:00:00,216.17
10/05/2011,05:00:00,221.67
10/05/2011,06:00:00,225.50
10/05/2011,07:00:00,228.67
10/05/2011,08:00:00,233.67
10/05/2011,09:00:00,239.33
10/05/2011,10:00:00,231.50
10/05/2011,11:00:00,243.50
10/05/2011,12:00:00,245.00
10/05/2011,13:00:00,253.00
10/05/2011,14:00:00,261.33
10/05/2011,15:00:00,265.67
10/05/2011,16:00:00,262.50
10/05/2011,17:00:00,221.83
10/05/2011,18:00:00,145.50
10/05/2011,19:00:00,188.33
10/05/2011,20:00:00,251.33
10/05/2011,21:00:00,238.50
10/05/2011,22:00:00,269.17
10/05/2011,23:00:00,215.00
11/05/2011,00:00:00,287.83
11/05/2011,01:00:00,270.50
11/05/2011,02:00:00,266.17
11/05/2011,03:00:00,179.50
11/05/2011,04:00:00,212.83
11/05/2011,05:00:00,221.33
11/05/2011,06:00:00,217.50
11/05/2011,07:00:00,233.00
11/05/2011,08:00:00,235.17
11/05/2011,09:00:00,236.50
11/05/2011,10:00:00,246.67
11/05/2011,11:00:00,251.50
11/05/2011,12:00:00,241.50
11/05/2011,13:00:00,231.67
11/05/2011,14:00:00,249.83
11/05/2011,15:00:00,246.83
11/05/2011,16:00:00,258.00
11/05/2011,17:00:00,258.50
11/05/2011,18:00:00,278.17
11/05/2011,19:00:00,236.67
11/05/2011,20:00:00,237.17
11/05/2011,21:00:00,204.00
11/05/2011,22:00:00,262.17
11/05/2011,23:00:00,251.17
12/05/2011,00:00:00,215.50
12/05/2011,01:00:00,226.83
12/05/2011,02:00:00,246.00
12/05/2011,03:00:00,229.00
12/05/2011,04:00:00,219.83
12/05/2011,05:00:00,233.33
12/05/2011,06:00:00,241.00
12/05/2011,07:00:00,243.67
12/05/2011,08:00:00,260.50
12/05/2011,09:00:00,235.80
12/05/2011,10:00:00,235.00
12/05/2011,11:00:00,247.83
12/05/2011,12:00:00,244.33
12/05/2011,13:00:00,239.50
12/05/2011,14:00:00,248.17
12/05/2011,15:00:00,245.67
12/05/2011,16:00:00,234.33
12/05/2011,17:00:00,233.67
12/05/2011,18:00:00,239.67
12/05/2011,19:00:00,180.00
12/05/2011,20:00:00,120.00
12/05/2011,21:00:00,157.67
12/05/2011,22:00:00,140.50
12/05/2011,23:00:00,180.67
13/05/2011,00:00:00,157.67
13/05/2011,01:00:00,232.83
13/05/2011,02:00:00,212.50
13/05/2011,03:00:00,170.17
13/05/2011,04:00:00,152.17
13/05/2011,05:00:00,147.00
13/05/2011,06:00:00,139.17
13/05/2011,07:00:00,151.67
13/05/2011,08:00:00,123.83
13/05/2011,09:00:00,133.50
13/05/2011,10:00:00,133.50
13/05/2011,11:00:00,136.83
13/05/2011,12:00:00,146.00
13/05/2011,13:00:00,168.83
13/05/2011,14:00:00,182.00
13/05/2011,15:00:00,207.00
13/05/2011,16:00:00,184.17
13/05/2011,17:00:00,199.83
13/05/2011,18:00:00,179.50
13/05/2011,19:00:00,198.50
13/05/2011,20:00:00,244.83
13/05/2011,21:00:00,295.33
13/05/2011,22:00:00,230.83
13/05/2011,23:00:00,269.67
14/05/2011,00:00:00,269.83
14/05/2011,01:00:00,277.00
14/05/2011,02:00:00,309.00
14/05/2011,03:00:00,213.50
14/05/2011,04:00:00,266.33
14/05/2011,05:00:00,208.17
14/05/2011,06:00:00,146.67
14/05/2011,07:00:00,201.00
14/05/2011,08:00:00,203.67
14/05/2011,09:00:00,235.83
14/05/2011,10:00:00,237.50
14/05/2011,11:00:00,224.83
14/05/2011,12:00:00,178.50
14/05/2011,13:00:00,178.33
14/05/2011,14:00:00,196.33
14/05/2011,15:00:00,181.67
14/05/2011,16:00:00,153.67
14/05/2011,17:00:00,163.67
14/05/2011,18:00:00,162.67
14/05/2011,19:00:00,232.17
14/05/2011,20:00:00,323.17
14/05/2011,21:00:00,244.50
14/05/2011,22:00:00,245.50
14/05/2011,23:00:00,228.33
15/05/2011,00:00:00,303.00
15/05/2011,01:00:00,230.17
15/05/2011,02:00:00,234.00
15/05/2011,03:00:00,234.50
15/05/2011,04:00:00,235.00
15/05/2011,05:00:00,255.83
15/05/2011,06:00:00,264.67
15/05/2011,07:00:00,271.33
15/05/2011,08:00:00,242.33
15/05/2011,09:00:00,239.83
15/05/2011,10:00:00,251.67
15/05/2011,11:00:00,200.67
15/05/2011,12:00:00,206.00
15/05/2011,13:00:00,209.00
15/05/2011,14:00:00,249.50
15/05/2011,15:00:00,215.83
15/05/2011,16:00:00,230.92
15/05/2011,17:00:00,219.42
15/05/2011,18:00:00,236.33
15/05/2011,19:00:00,142.08
15/05/2011,20:00:00,289.08
15/05/2011,21:00:00,221.75
15/05/2011,22:00:00,263.92
15/05/2011,23:00:00,226.50
16/05/2011,00:00:00,212.25
16/05/2011,01:00:00,260.08
16/05/2011,02:00:00,178.00
16/05/2011,03:00:00,178.33
16/05/2011,04:00:00,217.33
16/05/2011,05:00:00,210.17
16/05/2011,06:00:00,206.67
16/05/2011,07:00:00,176.67
16/05/2011,08:00:00,145.17
16/05/2011,09:00:00,148.67
16/05/2011,10:00:00,146.75
16/05/2011,11:00:00,154.67
16/05/2011,12:00:00,159.25
16/05/2011,13:00:00,155.92
16/05/2011,14:00:00,163.92
16/05/2011,15:00:00,148.00
16/05/2011,16:00:00,158.00
16/05/2011,17:00:00,142.75
16/05/2011,18:00:00,220.42
16/05/2011,19:00:00,235.50
18/05/2011,09:00:00,113.50
18/05/2011,10:00:00,136.83
18/05/2011,11:00:00,144.92
18/05/2011,12:00:00,150.67
18/05/2011,13:00:00,129.33
18/05/2011,14:00:00,128.17
18/05/2011,15:00:00,131.58
18/05/2011,16:00:00,161.75
18/05/2011,17:00:00,142.33
18/05/2011,18:00:00,210.75
18/05/2011,19:00:00,222.42
18/05/2011,20:00:00,227.58
18/05/2011,21:00:00,258.33
18/05/2011,22:00:00,243.25
18/05/2011,23:00:00,201.83
19/05/2011,00:00:00,171.92
19/05/2011,01:00:00,165.42
19/05/2011,02:00:00,214.67
19/05/2011,03:00:00,246.25
19/05/2011,04:00:00,236.00
19/05/2011,05:00:00,218.33
19/05/2011,06:00:00,175.83
19/05/2011,07:00:00,178.25
19/05/2011,08:00:00,210.42
19/05/2011,09:00:00,226.42
19/05/2011,10:00:00,250.67
19/05/2011,11:00:00,238.67
19/05/2011,12:00:00,242.58
19/05/2011,13:00:00,240.83
19/05/2011,14:00:00,232.83
19/05/2011,15:00:00,252.17
19/05/2011,16:00:00,233.83
19/05/2011,17:00:00,145.67
19/05/2011,18:00:00,140.00
19/05/2011,19:00:00,120.50
19/05/2011,20:00:00,120.33
19/05/2011,21:00:00,133.92
19/05/2011,22:00:00,119.58
19/05/2011,23:00:00,122.42
20/05/2011,00:00:00,117.50
20/05/2011,01:00:00,121.25
20/05/2011,02:00:00,123.17
20/05/2011,03:00:00,120.67
20/05/2011,04:00:00,122.92
20/05/2011,05:00:00,124.08
20/05/2011,06:00:00,122.50
20/05/2011,07:00:00,132.25
20/05/2011,08:00:00,134.08
20/05/2011,09:00:00,121.58
20/05/2011,10:00:00,128.83
20/05/2011,11:00:00,155.92
20/05/2011,12:00:00,149.08
20/05/2011,13:00:00,184.50
20/05/2011,14:00:00,159.92
20/05/2011,15:00:00,146.00
20/05/2011,16:00:00,147.92
20/05/2011,17:00:00,112.08
20/05/2011,18:00:00,139.08
20/05/2011,19:00:00,139.67
20/05/2011,20:00:00,141.83
20/05/2011,21:00:00,139.17
20/05/2011,22:00:00,119.00
20/05/2011,23:00:00,115.58
21/05/2011,00:00:00,127.50
21/05/2011,01:00:00,143.00
21/05/2011,02:00:00,140.25
21/05/2011,03:00:00,127.83
21/05/2011,04:00:00,127.50
