Date,Time,Values
19/04/2011,13:00:00,23.58
19/04/2011,14:00:00,22.13
24/04/2011,14:00:00,21.80
24/04/2011,15:00:00,21.28
24/04/2011,16:00:00,22.47
24/04/2011,17:00:00,22.83
24/04/2011,18:00:00,23.30
24/04/2011,19:00:00,25.43
24/04/2011,20:00:00,27.53
24/04/2011,21:00:00,32.58
24/04/2011,22:00:00,35.70
24/04/2011,23:00:00,44.22
25/04/2011,00:00:00,46.15
25/04/2011,01:00:00,48.95
25/04/2011,02:00:00,50.57
25/04/2011,03:00:00,55.60
25/04/2011,04:00:00,61.77
25/04/2011,05:00:00,65.65
25/04/2011,06:00:00,67.03
25/04/2011,07:00:00,75.13
25/04/2011,08:00:00,70.88
25/04/2011,09:00:00,59.98
25/04/2011,10:00:00,46.60
25/04/2011,11:00:00,36.25
25/04/2011,12:00:00,29.65
25/04/2011,13:00:00,31.18
25/04/2011,14:00:00,30.28
25/04/2011,15:00:00,28.32
25/04/2011,16:00:00,31.28
25/04/2011,17:00:00,31.05
25/04/2011,18:00:00,32.07
25/04/2011,19:00:00,38.63
25/04/2011,20:00:00,45.12
25/04/2011,21:00:00,47.00
25/04/2011,22:00:00,45.45
25/04/2011,23:00:00,47.98
26/04/2011,00:00:00,46.03
26/04/2011,01:00:00,43.88
26/04/2011,02:00:00,46.50
26/04/2011,03:00:00,42.05
26/04/2011,04:00:00,36.70
26/04/2011,05:00:00,36.77
26/04/2011,06:00:00,45.60
26/04/2011,07:00:00,58.90
26/04/2011,08:00:00,58.95
26/04/2011,09:00:00,45.62
26/04/2011,10:00:00,40.18
26/04/2011,11:00:00,39.28
26/04/2011,12:00:00,37.28
26/04/2011,13:00:00,36.77
26/04/2011,14:00:00,35.35
26/04/2011,15:00:00,33.23
26/04/2011,16:00:00,34.13
26/04/2011,17:00:00,33.97
26/04/2011,18:00:00,33.70
26/04/2011,19:00:00,36.10
26/04/2011,20:00:00,36.77
26/04/2011,21:00:00,33.25
26/04/2011,22:00:00,31.13
26/04/2011,23:00:00,30.72
27/04/2011,00:00:00,31.43
27/04/2011,01:00:00,31.90
27/04/2011,02:00:00,33.65
27/04/2011,03:00:00,33.95
27/04/2011,04:00:00,34.03
27/04/2011,05:00:00,34.75
28/04/2011,16:00:00,42.32
28/04/2011,17:00:00,46.68
28/04/2011,18:00:00,46.60
28/04/2011,19:00:00,48.57
28/04/2011,20:00:00,64.20
28/04/2011,21:00:00,68.38
28/04/2011,22:00:00,76.37
28/04/2011,23:00:00,74.68
29/04/2011,00:00:00,89.57
29/04/2011,01:00:00,81.75
29/04/2011,02:00:00,72.58
29/04/2011,03:00:00,89.85
29/04/2011,04:00:00,92.38
29/04/2011,05:00:00,83.58
29/04/2011,06:00:00,62.00
29/04/2011,07:00:00,51.00
29/04/2011,08:00:00,50.62
29/04/2011,09:00:00,48.23
29/04/2011,10:00:00,35.50
29/04/2011,11:00:00,28.22
29/04/2011,12:00:00,26.47
29/04/2011,13:00:00,25.77
29/04/2011,14:00:00,22.35
29/04/2011,15:00:00,21.12
29/04/2011,16:00:00,20.10
29/04/2011,17:00:00,21.37
29/04/2011,18:00:00,21.65
29/04/2011,19:00:00,23.03
29/04/2011,20:00:00,21.10
29/04/2011,21:00:00,18.62
29/04/2011,22:00:00,19.48
29/04/2011,23:00:00,21.05
30/04/2011,00:00:00,22.08
30/04/2011,01:00:00,24.93
30/04/2011,02:00:00,27.53
30/04/2011,03:00:00,28.78
30/04/2011,04:00:00,37.07
30/04/2011,05:00:00,27.67
30/04/2011,06:00:00,21.82
30/04/2011,07:00:00,21.78
30/04/2011,08:00:00,22.37
30/04/2011,09:00:00,24.00
30/04/2011,10:00:00,24.80
30/04/2011,11:00:00,21.70
30/04/2011,12:00:00,21.03
30/04/2011,13:00:00,21.60
30/04/2011,21:00:00,19.70
30/04/2011,22:00:00,24.13
30/04/2011,23:00:00,27.73
01/05/2011,00:00:00,32.78
01/05/2011,01:00:00,27.75
01/05/2011,02:00:00,27.87
01/05/2011,03:00:00,33.80
01/05/2011,04:00:00,35.90
01/05/2011,05:00:00,31.17
01/05/2011,06:00:00,24.53
01/05/2011,07:00:00,25.83
01/05/2011,08:00:00,31.92
01/05/2011,09:00:00,32.02
01/05/2011,10:00:00,31.32
01/05/2011,11:00:00,21.27
01/05/2011,12:00:00,14.52
