Date,Time,Values
07/04/2015,16:00:00,553.50
07/04/2015,17:00:00,553.56
07/04/2015,18:00:00,553.50
07/04/2015,19:00:00,553.50
07/04/2015,20:00:00,553.56
07/04/2015,21:00:00,553.50
07/04/2015,22:00:00,553.50
07/04/2015,23:00:00,553.50
08/04/2015,00:00:00,553.50
08/04/2015,01:00:00,553.50
08/04/2015,02:00:00,553.50
08/04/2015,03:00:00,553.63
08/04/2015,04:00:00,553.50
08/04/2015,05:00:00,553.50
08/04/2015,06:00:00,553.50
08/04/2015,07:00:00,553.50
08/04/2015,08:00:00,553.50
08/04/2015,09:00:00,553.56
08/04/2015,10:00:00,553.63
08/04/2015,11:00:00,553.63
08/04/2015,12:00:00,553.63
08/04/2015,13:00:00,553.63
08/04/2015,14:00:00,553.63
08/04/2015,15:00:00,553.69
08/04/2015,16:00:00,553.50
09/04/2015,12:00:00,553.50
09/04/2015,13:00:00,553.50
09/04/2015,14:00:00,553.50
09/04/2015,15:00:00,553.50
09/04/2015,16:00:00,553.56
09/04/2015,17:00:00,553.50
09/04/2015,18:00:00,553.56
09/04/2015,19:00:00,553.50
09/04/2015,20:00:00,553.50
09/04/2015,21:00:00,553.50
09/04/2015,22:00:00,553.50
09/04/2015,23:00:00,553.50
10/04/2015,00:00:00,553.56
10/04/2015,01:00:00,553.56
10/04/2015,02:00:00,553.50
10/04/2015,03:00:00,553.50
10/04/2015,04:00:00,553.50
10/04/2015,05:00:00,553.50
10/04/2015,06:00:00,553.56
10/04/2015,07:00:00,553.50
10/04/2015,08:00:00,553.50
10/04/2015,09:00:00,553.50
10/04/2015,10:00:00,553.69
10/04/2015,11:00:00,553.50
10/04/2015,12:00:00,553.56
10/04/2015,13:00:00,553.63
10/04/2015,14:00:00,553.69
10/04/2015,15:00:00,553.63
10/04/2015,16:00:00,553.56
10/04/2015,17:00:00,553.63
10/04/2015,18:00:00,553.56
10/04/2015,19:00:00,553.56
10/04/2015,20:00:00,553.81
10/04/2015,21:00:00,553.50
10/04/2015,22:00:00,553.50
10/04/2015,23:00:00,553.63
11/04/2015,00:00:00,553.50
11/04/2015,01:00:00,553.50
11/04/2015,02:00:00,553.50
11/04/2015,03:00:00,553.50
11/04/2015,04:00:00,553.50
11/04/2015,05:00:00,553.56
11/04/2015,06:00:00,553.50
11/04/2015,07:00:00,553.56
11/04/2015,08:00:00,553.50
11/04/2015,09:00:00,553.63
11/04/2015,10:00:00,553.63
11/04/2015,11:00:00,553.56
11/04/2015,12:00:00,553.63
11/04/2015,13:00:00,553.63
11/04/2015,14:00:00,553.50
11/04/2015,15:00:00,553.56
11/04/2015,16:00:00,553.50
11/04/2015,17:00:00,553.56
11/04/2015,18:00:00,553.50
11/04/2015,19:00:00,553.56
11/04/2015,20:00:00,553.63
11/04/2015,21:00:00,553.56
11/04/2015,22:00:00,553.50
11/04/2015,23:00:00,553.50
12/04/2015,00:00:00,557.06
12/04/2015,01:00:00,554.00
12/04/2015,02:00:00,553.50
12/04/2015,03:00:00,563.36
12/04/2015,04:00:00,556.50
12/04/2015,05:00:00,558.08
12/04/2015,06:00:00,553.50
12/04/2015,07:00:00,553.50
12/04/2015,08:00:00,553.50
12/04/2015,09:00:00,553.50
12/04/2015,10:00:00,553.56
12/04/2015,11:00:00,553.50
12/04/2015,12:00:00,553.63
12/04/2015,13:00:00,553.50
12/04/2015,20:00:00,553.57
12/04/2015,21:00:00,553.50
12/04/2015,22:00:00,553.50
12/04/2015,23:00:00,553.50
13/04/2015,00:00:00,553.50
13/04/2015,01:00:00,553.56
13/04/2015,02:00:00,553.50
13/04/2015,03:00:00,553.50
13/04/2015,04:00:00,553.56
13/04/2015,05:00:00,553.50
13/04/2015,06:00:00,553.56
13/04/2015,07:00:00,553.50
13/04/2015,08:00:00,553.50
13/04/2015,09:00:00,553.50
13/04/2015,10:00:00,553.50
13/04/2015,11:00:00,553.56
13/04/2015,12:00:00,553.50
13/04/2015,13:00:00,553.50
13/04/2015,14:00:00,553.56
13/04/2015,15:00:00,553.50
13/04/2015,16:00:00,553.56
13/04/2015,17:00:00,553.50
13/04/2015,18:00:00,553.50
13/04/2015,19:00:00,553.50
13/04/2015,20:00:00,553.50
13/04/2015,21:00:00,553.50
13/04/2015,22:00:00,553.50
13/04/2015,23:00:00,553.50
14/04/2015,00:00:00,553.50
14/04/2015,01:00:00,553.50
14/04/2015,02:00:00,553.56
14/04/2015,03:00:00,553.50
14/04/2015,04:00:00,553.56
14/04/2015,05:00:00,553.50
14/04/2015,06:00:00,553.56
14/04/2015,07:00:00,553.50
14/04/2015,08:00:00,553.50
14/04/2015,09:00:00,553.56
14/04/2015,10:00:00,553.56
14/04/2015,11:00:00,553.50
15/04/2015,18:00:00,553.50
15/04/2015,19:00:00,553.50
15/04/2015,20:00:00,553.50
15/04/2015,21:00:00,553.56
15/04/2015,22:00:00,553.56
15/04/2015,23:00:00,553.50
16/04/2015,00:00:00,553.50
16/04/2015,01:00:00,553.63
16/04/2015,02:00:00,553.50
16/04/2015,03:00:00,553.50
16/04/2015,04:00:00,553.50
16/04/2015,05:00:00,553.50
16/04/2015,06:00:00,553.50
16/04/2015,07:00:00,553.50
16/04/2015,08:00:00,553.56
16/04/2015,09:00:00,553.56
16/04/2015,10:00:00,555.25
16/04/2015,11:00:00,553.69
16/04/2015,12:00:00,553.50
16/04/2015,13:00:00,553.50
16/04/2015,14:00:00,553.56
16/04/2015,15:00:00,553.50
16/04/2015,16:00:00,553.56
16/04/2015,17:00:00,553.50
16/04/2015,18:00:00,553.50
16/04/2015,19:00:00,553.50
16/04/2015,20:00:00,553.50
16/04/2015,21:00:00,553.50
16/04/2015,22:00:00,553.50
16/04/2015,23:00:00,553.50
17/04/2015,00:00:00,553.56
17/04/2015,01:00:00,553.50
17/04/2015,02:00:00,553.50
17/04/2015,03:00:00,553.50
17/04/2015,04:00:00,553.50
17/04/2015,05:00:00,553.50
17/04/2015,06:00:00,553.50
17/04/2015,07:00:00,553.50
17/04/2015,08:00:00,553.50
17/04/2015,09:00:00,553.50
17/04/2015,10:00:00,553.50
17/04/2015,11:00:00,553.50
17/04/2015,12:00:00,553.50
17/04/2015,13:00:00,553.50
17/04/2015,14:00:00,553.50
17/04/2015,15:00:00,553.50
17/04/2015,16:00:00,553.56
17/04/2015,17:00:00,553.50
17/04/2015,18:00:00,553.50
17/04/2015,19:00:00,553.50
17/04/2015,20:00:00,553.56
17/04/2015,21:00:00,553.63
17/04/2015,22:00:00,553.50
17/04/2015,23:00:00,553.50
18/04/2015,00:00:00,553.50
18/04/2015,01:00:00,553.56
18/04/2015,02:00:00,553.63
18/04/2015,03:00:00,553.50
18/04/2015,04:00:00,553.50
18/04/2015,05:00:00,553.50
18/04/2015,06:00:00,553.50
