Date,Time,Values
07/04/2015,16:00:00,1.56
07/04/2015,17:00:00,1.65
07/04/2015,18:00:00,1.89
07/04/2015,19:00:00,2.00
07/04/2015,20:00:00,2.06
07/04/2015,21:00:00,2.28
07/04/2015,22:00:00,2.20
07/04/2015,23:00:00,2.09
08/04/2015,00:00:00,1.87
08/04/2015,01:00:00,1.77
08/04/2015,02:00:00,1.70
08/04/2015,03:00:00,1.72
08/04/2015,04:00:00,1.91
08/04/2015,05:00:00,2.03
08/04/2015,06:00:00,2.33
08/04/2015,07:00:00,2.73
08/04/2015,08:00:00,3.27
08/04/2015,09:00:00,2.66
08/04/2015,10:00:00,2.04
08/04/2015,11:00:00,1.19
08/04/2015,12:00:00,0.93
08/04/2015,13:00:00,1.10
08/04/2015,14:00:00,1.14
08/04/2015,15:00:00,1.60
08/04/2015,16:00:00,1.40
09/04/2015,12:00:00,3.10
09/04/2015,13:00:00,3.80
09/04/2015,14:00:00,2.17
09/04/2015,15:00:00,1.46
09/04/2015,16:00:00,2.34
09/04/2015,17:00:00,2.51
09/04/2015,18:00:00,2.58
09/04/2015,19:00:00,5.55
09/04/2015,20:00:00,13.92
09/04/2015,21:00:00,18.66
09/04/2015,22:00:00,11.58
09/04/2015,23:00:00,3.45
10/04/2015,00:00:00,2.37
10/04/2015,01:00:00,2.19
10/04/2015,02:00:00,2.02
10/04/2015,03:00:00,1.88
10/04/2015,04:00:00,1.74
10/04/2015,05:00:00,1.80
10/04/2015,06:00:00,2.49
10/04/2015,07:00:00,3.01
10/04/2015,08:00:00,3.71
10/04/2015,09:00:00,4.43
10/04/2015,10:00:00,2.78
10/04/2015,11:00:00,4.26
10/04/2015,12:00:00,4.86
10/04/2015,13:00:00,3.27
10/04/2015,14:00:00,2.07
10/04/2015,15:00:00,2.50
10/04/2015,16:00:00,2.74
10/04/2015,17:00:00,2.09
10/04/2015,18:00:00,1.93
10/04/2015,19:00:00,3.01
10/04/2015,20:00:00,10.51
10/04/2015,21:00:00,15.36
10/04/2015,22:00:00,19.40
10/04/2015,23:00:00,9.50
11/04/2015,00:00:00,4.10
11/04/2015,01:00:00,3.33
11/04/2015,02:00:00,3.18
11/04/2015,03:00:00,2.95
11/04/2015,04:00:00,2.42
11/04/2015,05:00:00,2.59
11/04/2015,06:00:00,4.78
11/04/2015,07:00:00,6.91
11/04/2015,08:00:00,3.93
11/04/2015,09:00:00,2.65
11/04/2015,10:00:00,2.23
11/04/2015,11:00:00,1.55
11/04/2015,12:00:00,3.01
11/04/2015,13:00:00,1.89
11/04/2015,14:00:00,0.90
11/04/2015,15:00:00,2.10
11/04/2015,16:00:00,1.61
11/04/2015,17:00:00,1.46
11/04/2015,18:00:00,2.05
11/04/2015,19:00:00,10.98
11/04/2015,20:00:00,6.77
11/04/2015,21:00:00,4.78
11/04/2015,22:00:00,5.33
11/04/2015,23:00:00,1.00
12/04/2015,00:00:00,3.32
12/04/2015,01:00:00,4.19
12/04/2015,02:00:00,1.86
12/04/2015,03:00:00,1.45
12/04/2015,04:00:00,0.72
12/04/2015,05:00:00,0.58
12/04/2015,06:00:00,0.71
12/04/2015,07:00:00,0.76
12/04/2015,08:00:00,1.01
12/04/2015,09:00:00,1.24
12/04/2015,10:00:00,1.63
12/04/2015,11:00:00,1.76
12/04/2015,12:00:00,2.33
