Date,Time,Values
19/04/2011,13:00:00,1.42
19/04/2011,14:00:00,1.38
24/04/2011,14:00:00,1.10
24/04/2011,15:00:00,1.26
24/04/2011,16:00:00,1.53
24/04/2011,17:00:00,1.68
24/04/2011,18:00:00,2.28
24/04/2011,19:00:00,3.08
24/04/2011,20:00:00,3.52
24/04/2011,21:00:00,6.52
24/04/2011,22:00:00,8.23
24/04/2011,23:00:00,9.92
25/04/2011,00:00:00,6.72
25/04/2011,01:00:00,4.30
25/04/2011,02:00:00,3.60
25/04/2011,03:00:00,4.38
25/04/2011,04:00:00,4.52
25/04/2011,05:00:00,3.48
25/04/2011,06:00:00,3.08
25/04/2011,07:00:00,3.08
25/04/2011,08:00:00,3.68
25/04/2011,09:00:00,3.07
25/04/2011,10:00:00,1.45
25/04/2011,11:00:00,0.70
25/04/2011,12:00:00,1.57
25/04/2011,13:00:00,1.40
25/04/2011,14:00:00,1.42
25/04/2011,15:00:00,1.30
25/04/2011,16:00:00,1.68
25/04/2011,17:00:00,1.78
25/04/2011,18:00:00,2.70
25/04/2011,19:00:00,4.18
25/04/2011,20:00:00,5.78
25/04/2011,21:00:00,4.93
25/04/2011,22:00:00,3.12
25/04/2011,23:00:00,3.76
26/04/2011,00:00:00,2.52
26/04/2011,01:00:00,2.85
26/04/2011,02:00:00,2.98
26/04/2011,03:00:00,2.78
26/04/2011,04:00:00,2.15
26/04/2011,05:00:00,1.30
26/04/2011,06:00:00,1.32
26/04/2011,07:00:00,1.60
26/04/2011,08:00:00,1.85
26/04/2011,09:00:00,1.67
26/04/2011,10:00:00,1.70
26/04/2011,11:00:00,1.58
26/04/2011,12:00:00,1.80
26/04/2011,13:00:00,1.70
26/04/2011,14:00:00,1.55
26/04/2011,15:00:00,1.48
26/04/2011,16:00:00,1.85
26/04/2011,17:00:00,2.08
26/04/2011,18:00:00,2.42
26/04/2011,19:00:00,2.46
26/04/2011,20:00:00,1.92
26/04/2011,21:00:00,1.72
26/04/2011,22:00:00,1.57
26/04/2011,23:00:00,1.50
27/04/2011,00:00:00,1.65
27/04/2011,01:00:00,1.63
27/04/2011,02:00:00,1.68
27/04/2011,03:00:00,1.66
27/04/2011,04:00:00,1.60
27/04/2011,05:00:00,1.63
28/04/2011,16:00:00,3.18
28/04/2011,17:00:00,1.84
28/04/2011,18:00:00,3.30
28/04/2011,19:00:00,5.98
28/04/2011,20:00:00,8.60
28/04/2011,21:00:00,7.88
28/04/2011,22:00:00,8.12
28/04/2011,23:00:00,8.00
29/04/2011,00:00:00,6.08
29/04/2011,01:00:00,6.13
29/04/2011,02:00:00,4.78
29/04/2011,03:00:00,2.52
29/04/2011,04:00:00,2.45
29/04/2011,05:00:00,1.55
29/04/2011,06:00:00,1.07
29/04/2011,07:00:00,1.50
29/04/2011,08:00:00,2.50
29/04/2011,09:00:00,1.90
29/04/2011,10:00:00,1.18
29/04/2011,11:00:00,1.16
29/04/2011,12:00:00,1.40
29/04/2011,13:00:00,1.55
29/04/2011,14:00:00,1.62
29/04/2011,15:00:00,1.54
29/04/2011,16:00:00,1.47
29/04/2011,17:00:00,1.62
29/04/2011,18:00:00,2.55
29/04/2011,19:00:00,3.16
29/04/2011,20:00:00,2.38
29/04/2011,21:00:00,1.97
29/04/2011,22:00:00,2.00
29/04/2011,23:00:00,1.96
30/04/2011,00:00:00,2.17
30/04/2011,01:00:00,2.43
30/04/2011,02:00:00,2.55
30/04/2011,03:00:00,2.48
30/04/2011,04:00:00,2.73
30/04/2011,05:00:00,1.62
30/04/2011,06:00:00,1.48
30/04/2011,07:00:00,1.86
30/04/2011,08:00:00,1.83
30/04/2011,09:00:00,1.42
30/04/2011,10:00:00,1.22
30/04/2011,11:00:00,1.28
30/04/2011,12:00:00,1.45
30/04/2011,13:00:00,1.50
30/04/2011,21:00:00,3.28
30/04/2011,22:00:00,3.85
30/04/2011,23:00:00,3.56
