Date,Time,Values
19/04/2011,13:00:00,3.52
19/04/2011,14:00:00,3.15
24/04/2011,14:00:00,2.00
24/04/2011,15:00:00,2.45
24/04/2011,16:00:00,2.48
24/04/2011,17:00:00,2.20
24/04/2011,18:00:00,3.17
24/04/2011,19:00:00,7.27
24/04/2011,20:00:00,17.10
24/04/2011,21:00:00,84.60
24/04/2011,22:00:00,153.70
24/04/2011,23:00:00,269.93
25/04/2011,00:00:00,302.40
25/04/2011,01:00:00,190.10
25/04/2011,02:00:00,162.92
25/04/2011,03:00:00,229.07
25/04/2011,04:00:00,157.75
25/04/2011,05:00:00,141.83
25/04/2011,06:00:00,83.43
25/04/2011,07:00:00,33.85
25/04/2011,08:00:00,6.22
25/04/2011,09:00:00,3.37
25/04/2011,10:00:00,2.55
25/04/2011,11:00:00,2.75
25/04/2011,12:00:00,3.33
25/04/2011,13:00:00,1.85
25/04/2011,14:00:00,2.85
25/04/2011,15:00:00,2.17
25/04/2011,16:00:00,2.03
25/04/2011,17:00:00,2.72
25/04/2011,18:00:00,3.55
25/04/2011,19:00:00,16.70
25/04/2011,20:00:00,66.33
25/04/2011,21:00:00,29.00
25/04/2011,22:00:00,13.92
25/04/2011,23:00:00,36.25
26/04/2011,00:00:00,10.38
26/04/2011,01:00:00,44.22
26/04/2011,02:00:00,44.38
26/04/2011,03:00:00,54.07
26/04/2011,04:00:00,17.43
26/04/2011,05:00:00,2.87
26/04/2011,06:00:00,5.93
26/04/2011,07:00:00,13.38
26/04/2011,08:00:00,8.63
26/04/2011,09:00:00,5.75
26/04/2011,10:00:00,5.73
26/04/2011,11:00:00,5.27
26/04/2011,12:00:00,4.90
26/04/2011,13:00:00,4.97
26/04/2011,14:00:00,4.70
26/04/2011,15:00:00,4.72
26/04/2011,16:00:00,5.55
26/04/2011,17:00:00,5.38
26/04/2011,18:00:00,16.22
26/04/2011,19:00:00,13.55
26/04/2011,20:00:00,9.98
26/04/2011,21:00:00,5.02
26/04/2011,22:00:00,4.12
26/04/2011,23:00:00,3.05
27/04/2011,00:00:00,2.30
27/04/2011,01:00:00,1.65
27/04/2011,02:00:00,2.68
27/04/2011,03:00:00,1.85
27/04/2011,04:00:00,2.15
27/04/2011,05:00:00,2.35
28/04/2011,16:00:00,0.64
28/04/2011,17:00:00,2.02
28/04/2011,18:00:00,3.18
28/04/2011,19:00:00,46.93
28/04/2011,20:00:00,132.62
28/04/2011,21:00:00,118.58
28/04/2011,22:00:00,131.10
28/04/2011,23:00:00,161.60
29/04/2011,00:00:00,177.75
29/04/2011,01:00:00,193.12
29/04/2011,02:00:00,186.68
29/04/2011,03:00:00,91.02
29/04/2011,04:00:00,38.78
29/04/2011,05:00:00,7.80
29/04/2011,06:00:00,9.17
29/04/2011,07:00:00,7.98
29/04/2011,08:00:00,6.35
29/04/2011,09:00:00,4.07
29/04/2011,10:00:00,4.32
29/04/2011,11:00:00,5.18
29/04/2011,12:00:00,3.87
29/04/2011,13:00:00,4.47
29/04/2011,14:00:00,5.22
29/04/2011,15:00:00,3.52
29/04/2011,16:00:00,3.23
29/04/2011,17:00:00,4.15
29/04/2011,18:00:00,11.87
29/04/2011,19:00:00,19.77
29/04/2011,20:00:00,17.50
29/04/2011,21:00:00,14.50
29/04/2011,22:00:00,15.87
29/04/2011,23:00:00,9.77
30/04/2011,00:00:00,7.62
30/04/2011,01:00:00,3.18
30/04/2011,02:00:00,3.73
30/04/2011,03:00:00,9.97
30/04/2011,04:00:00,4.77
30/04/2011,05:00:00,3.10
30/04/2011,06:00:00,4.92
30/04/2011,07:00:00,8.83
30/04/2011,08:00:00,6.33
30/04/2011,09:00:00,3.45
30/04/2011,10:00:00,3.07
30/04/2011,11:00:00,3.42
30/04/2011,12:00:00,4.20
30/04/2011,13:00:00,4.70
30/04/2011,21:00:00,47.00
30/04/2011,22:00:00,56.98
30/04/2011,23:00:00,52.98
01/05/2011,00:00:00,36.78
01/05/2011,01:00:00,26.60
01/05/2011,02:00:00,39.55
01/05/2011,03:00:00,41.18
01/05/2011,04:00:00,11.37
01/05/2011,05:00:00,3.40
01/05/2011,06:00:00,6.50
01/05/2011,07:00:00,5.72
01/05/2011,08:00:00,3.68
01/05/2011,09:00:00,2.67
01/05/2011,10:00:00,2.52
01/05/2011,11:00:00,2.58
01/05/2011,12:00:00,2.98
01/05/2011,13:00:00,3.03
01/05/2011,14:00:00,2.70
01/05/2011,15:00:00,2.75
01/05/2011,16:00:00,3.22
01/05/2011,17:00:00,2.83
01/05/2011,18:00:00,2.98
01/05/2011,19:00:00,2.52
01/05/2011,20:00:00,6.60
01/05/2011,21:00:00,12.03
01/05/2011,22:00:00,6.93
01/05/2011,23:00:00,4.13
02/05/2011,00:00:00,3.02
02/05/2011,01:00:00,2.98
02/05/2011,02:00:00,6.17
02/05/2011,03:00:00,24.77
02/05/2011,04:00:00,8.12
02/05/2011,05:00:00,3.47
02/05/2011,06:00:00,2.62
02/05/2011,07:00:00,5.72
02/05/2011,08:00:00,4.55
02/05/2011,09:00:00,2.53
02/05/2011,10:00:00,3.30
02/05/2011,11:00:00,3.08
02/05/2011,12:00:00,3.83
02/05/2011,13:00:00,3.48
02/05/2011,14:00:00,5.30
02/05/2011,15:00:00,3.08
02/05/2011,16:00:00,3.57
02/05/2011,17:00:00,2.93
02/05/2011,18:00:00,8.40
02/05/2011,19:00:00,14.93
02/05/2011,20:00:00,15.95
02/05/2011,21:00:00,17.20
02/05/2011,22:00:00,46.85
02/05/2011,23:00:00,18.10
03/05/2011,00:00:00,7.23
03/05/2011,01:00:00,12.97
03/05/2011,02:00:00,11.53
03/05/2011,03:00:00,22.82
03/05/2011,04:00:00,20.17
03/05/2011,05:00:00,47.63
03/05/2011,06:00:00,67.53
03/05/2011,07:00:00,49.35
03/05/2011,08:00:00,8.42
03/05/2011,09:00:00,3.38
03/05/2011,10:00:00,3.72
03/05/2011,11:00:00,3.23
03/05/2011,12:00:00,3.15
03/05/2011,13:00:00,3.37
03/05/2011,14:00:00,4.47
03/05/2011,15:00:00,2.85
03/05/2011,16:00:00,2.68
03/05/2011,17:00:00,3.25
03/05/2011,18:00:00,2.74
03/05/2011,19:00:00,2.78
03/05/2011,20:00:00,1.85
03/05/2011,21:00:00,1.72
03/05/2011,22:00:00,1.37
03/05/2011,23:00:00,1.90
04/05/2011,00:00:00,1.52
04/05/2011,01:00:00,1.95
04/05/2011,02:00:00,1.30
04/05/2011,03:00:00,1.38
04/05/2011,04:00:00,1.47
04/05/2011,05:00:00,1.62
04/05/2011,06:00:00,10.58
04/05/2011,07:00:00,20.77
04/05/2011,08:00:00,12.22
04/05/2011,09:00:00,4.50
04/05/2011,10:00:00,4.37
04/05/2011,11:00:00,3.12
04/05/2011,12:00:00,4.65
04/05/2011,13:00:00,2.62
04/05/2011,14:00:00,2.50
04/05/2011,15:00:00,2.43
04/05/2011,16:00:00,2.45
04/05/2011,17:00:00,2.05
04/05/2011,18:00:00,1.77
04/05/2011,19:00:00,2.42
04/05/2011,20:00:00,2.90
04/05/2011,21:00:00,11.42
04/05/2011,22:00:00,16.60
04/05/2011,23:00:00,16.62
05/05/2011,00:00:00,1.92
05/05/2011,01:00:00,3.30
05/05/2011,02:00:00,3.32
05/05/2011,03:00:00,2.13
05/05/2011,04:00:00,1.62
05/05/2011,05:00:00,2.70
05/05/2011,06:00:00,10.48
05/05/2011,07:00:00,11.77
05/05/2011,08:00:00,4.62
05/05/2011,09:00:00,4.92
05/05/2011,10:00:00,11.95
05/05/2011,11:00:00,11.18
05/05/2011,12:00:00,7.87
05/05/2011,13:00:00,5.68
05/05/2011,14:00:00,5.17
05/05/2011,15:00:00,3.48
05/05/2011,16:00:00,4.42
