Date,Time,Values
19/04/2011,13:00:00,16.32
19/04/2011,14:00:00,16.85
24/04/2011,14:00:00,15.10
24/04/2011,15:00:00,13.98
24/04/2011,16:00:00,24.12
24/04/2011,17:00:00,36.15
24/04/2011,18:00:00,61.57
24/04/2011,19:00:00,85.43
24/04/2011,20:00:00,89.85
24/04/2011,21:00:00,97.53
24/04/2011,22:00:00,94.47
24/04/2011,23:00:00,89.93
25/04/2011,00:00:00,91.20
25/04/2011,01:00:00,89.83
25/04/2011,02:00:00,81.23
25/04/2011,03:00:00,79.67
25/04/2011,04:00:00,64.43
25/04/2011,05:00:00,60.10
25/04/2011,06:00:00,61.82
25/04/2011,07:00:00,90.35
25/04/2011,08:00:00,95.42
25/04/2011,09:00:00,77.75
25/04/2011,10:00:00,48.73
25/04/2011,11:00:00,34.48
25/04/2011,12:00:00,25.38
25/04/2011,13:00:00,20.78
25/04/2011,14:00:00,26.60
25/04/2011,15:00:00,27.27
25/04/2011,16:00:00,30.55
25/04/2011,17:00:00,41.60
25/04/2011,18:00:00,75.32
25/04/2011,19:00:00,106.45
25/04/2011,20:00:00,112.63
25/04/2011,21:00:00,107.17
25/04/2011,22:00:00,85.90
25/04/2011,23:00:00,92.38
26/04/2011,00:00:00,86.58
26/04/2011,01:00:00,75.33
26/04/2011,02:00:00,71.43
26/04/2011,03:00:00,71.40
26/04/2011,04:00:00,65.30
26/04/2011,05:00:00,32.37
26/04/2011,06:00:00,33.55
26/04/2011,07:00:00,40.18
26/04/2011,08:00:00,34.37
26/04/2011,09:00:00,30.10
26/04/2011,10:00:00,29.73
26/04/2011,11:00:00,29.52
26/04/2011,12:00:00,30.57
26/04/2011,13:00:00,31.77
26/04/2011,14:00:00,30.42
26/04/2011,15:00:00,32.62
26/04/2011,16:00:00,44.72
26/04/2011,17:00:00,55.65
26/04/2011,18:00:00,69.55
26/04/2011,19:00:00,73.78
26/04/2011,20:00:00,63.72
26/04/2011,21:00:00,48.57
26/04/2011,22:00:00,45.02
26/04/2011,23:00:00,35.43
27/04/2011,00:00:00,25.67
27/04/2011,01:00:00,32.22
27/04/2011,02:00:00,40.25
27/04/2011,03:00:00,30.32
27/04/2011,04:00:00,29.50
27/04/2011,05:00:00,31.13
