Date,Time,Values
19/04/2011,13:00:00,20.72
19/04/2011,14:00:00,20.63
24/04/2011,14:00:00,17.40
24/04/2011,15:00:00,16.93
24/04/2011,16:00:00,26.58
24/04/2011,17:00:00,37.75
24/04/2011,18:00:00,63.37
24/04/2011,19:00:00,92.18
24/04/2011,20:00:00,110.78
24/04/2011,21:00:00,216.82
24/04/2011,22:00:00,315.03
24/04/2011,23:00:00,480.65
25/04/2011,00:00:00,529.38
25/04/2011,01:00:00,363.75
25/04/2011,02:00:00,315.83
25/04/2011,03:00:00,411.10
25/04/2011,04:00:00,292.17
25/04/2011,05:00:00,264.78
25/04/2011,06:00:00,181.02
25/04/2011,07:00:00,135.72
25/04/2011,08:00:00,100.20
25/04/2011,09:00:00,79.12
25/04/2011,10:00:00,50.27
25/04/2011,11:00:00,36.92
25/04/2011,12:00:00,29.03
25/04/2011,13:00:00,22.57
25/04/2011,14:00:00,29.55
25/04/2011,15:00:00,29.20
25/04/2011,16:00:00,32.12
25/04/2011,17:00:00,43.68
25/04/2011,18:00:00,77.07
25/04/2011,19:00:00,125.98
25/04/2011,20:00:00,204.53
25/04/2011,21:00:00,144.63
25/04/2011,22:00:00,102.27
25/04/2011,23:00:00,141.18
26/04/2011,00:00:00,97.82
26/04/2011,01:00:00,136.62
26/04/2011,02:00:00,133.03
26/04/2011,03:00:00,147.22
26/04/2011,04:00:00,87.80
26/04/2011,05:00:00,35.03
26/04/2011,06:00:00,40.72
26/04/2011,07:00:00,57.88
26/04/2011,08:00:00,45.37
26/04/2011,09:00:00,37.08
26/04/2011,10:00:00,36.75
26/04/2011,11:00:00,35.90
26/04/2011,12:00:00,36.35
26/04/2011,13:00:00,37.58
26/04/2011,14:00:00,35.92
26/04/2011,15:00:00,38.05
26/04/2011,16:00:00,50.85
26/04/2011,17:00:00,61.00
26/04/2011,18:00:00,90.08
26/04/2011,19:00:00,90.22
26/04/2011,20:00:00,75.40
26/04/2011,21:00:00,53.67
26/04/2011,22:00:00,48.98
26/04/2011,23:00:00,38.28
27/04/2011,00:00:00,27.85
27/04/2011,01:00:00,33.17
27/04/2011,02:00:00,42.30
27/04/2011,03:00:00,31.62
27/04/2011,04:00:00,31.27
27/04/2011,05:00:00,33.15
28/04/2011,16:00:00,26.76
28/04/2011,17:00:00,34.63
28/04/2011,18:00:00,93.00
28/04/2011,19:00:00,221.67
28/04/2011,20:00:00,351.78
28/04/2011,21:00:00,314.27
28/04/2011,22:00:00,318.82
28/04/2011,23:00:00,351.70
29/04/2011,00:00:00,388.15
29/04/2011,01:00:00,379.17
29/04/2011,02:00:00,374.48
29/04/2011,03:00:00,222.52
29/04/2011,04:00:00,108.78
29/04/2011,05:00:00,53.35
29/04/2011,06:00:00,61.32
29/04/2011,07:00:00,65.12
29/04/2011,08:00:00,59.98
29/04/2011,09:00:00,41.70
29/04/2011,10:00:00,31.62
29/04/2011,11:00:00,32.98
29/04/2011,12:00:00,27.53
29/04/2011,13:00:00,30.33
29/04/2011,14:00:00,32.65
29/04/2011,15:00:00,25.90
29/04/2011,16:00:00,23.37
29/04/2011,17:00:00,34.95
29/04/2011,18:00:00,80.93
29/04/2011,19:00:00,97.30
29/04/2011,20:00:00,82.63
29/04/2011,21:00:00,75.62
29/04/2011,22:00:00,80.58
29/04/2011,23:00:00,67.52
30/04/2011,00:00:00,62.23
30/04/2011,01:00:00,48.15
30/04/2011,02:00:00,45.12
30/04/2011,03:00:00,52.75
30/04/2011,04:00:00,38.37
30/04/2011,05:00:00,34.47
30/04/2011,06:00:00,39.65
30/04/2011,07:00:00,56.38
30/04/2011,08:00:00,44.48
30/04/2011,09:00:00,23.53
30/04/2011,10:00:00,17.32
30/04/2011,11:00:00,20.85
30/04/2011,12:00:00,26.33
30/04/2011,13:00:00,22.90
30/04/2011,21:00:00,133.84
30/04/2011,22:00:00,142.60
30/04/2011,23:00:00,133.17
01/05/2011,00:00:00,102.63
01/05/2011,01:00:00,84.88
01/05/2011,02:00:00,101.13
01/05/2011,03:00:00,101.12
01/05/2011,04:00:00,52.68
01/05/2011,05:00:00,34.80
01/05/2011,06:00:00,42.87
01/05/2011,07:00:00,42.03
01/05/2011,08:00:00,36.83
01/05/2011,09:00:00,39.07
01/05/2011,10:00:00,35.45
01/05/2011,11:00:00,24.65
01/05/2011,12:00:00,20.55
01/05/2011,13:00:00,21.58
01/05/2011,14:00:00,17.90
01/05/2011,15:00:00,19.30
01/05/2011,16:00:00,22.75
01/05/2011,17:00:00,23.50
01/05/2011,18:00:00,32.87
01/05/2011,19:00:00,34.47
01/05/2011,20:00:00,53.67
01/05/2011,21:00:00,67.57
01/05/2011,22:00:00,58.25
01/05/2011,23:00:00,39.90
02/05/2011,00:00:00,53.27
02/05/2011,01:00:00,48.45
02/05/2011,02:00:00,63.33
02/05/2011,03:00:00,98.75
02/05/2011,04:00:00,62.20
02/05/2011,05:00:00,34.33
02/05/2011,06:00:00,25.63
02/05/2011,07:00:00,38.95
02/05/2011,08:00:00,29.33
02/05/2011,09:00:00,24.52
02/05/2011,10:00:00,22.17
02/05/2011,11:00:00,21.73
02/05/2011,12:00:00,27.12
02/05/2011,13:00:00,29.47
02/05/2011,14:00:00,32.37
02/05/2011,15:00:00,25.15
02/05/2011,16:00:00,30.03
02/05/2011,17:00:00,31.02
02/05/2011,18:00:00,72.90
02/05/2011,19:00:00,107.00
02/05/2011,20:00:00,105.20
02/05/2011,21:00:00,111.65
02/05/2011,22:00:00,156.40
02/05/2011,23:00:00,101.58
03/05/2011,00:00:00,73.68
03/05/2011,01:00:00,85.60
03/05/2011,02:00:00,75.55
03/05/2011,03:00:00,92.17
03/05/2011,04:00:00,95.55
03/05/2011,05:00:00,138.67
03/05/2011,06:00:00,169.93
03/05/2011,07:00:00,159.12
03/05/2011,08:00:00,63.52
03/05/2011,09:00:00,28.43
03/05/2011,10:00:00,26.00
03/05/2011,11:00:00,23.85
03/05/2011,12:00:00,25.42
03/05/2011,13:00:00,27.63
03/05/2011,14:00:00,33.87
03/05/2011,15:00:00,27.03
03/05/2011,16:00:00,26.55
03/05/2011,17:00:00,32.57
03/05/2011,18:00:00,19.03
03/05/2011,19:00:00,22.57
03/05/2011,20:00:00,26.62
03/05/2011,21:00:00,26.25
03/05/2011,22:00:00,16.90
03/05/2011,23:00:00,14.98
04/05/2011,00:00:00,13.60
04/05/2011,01:00:00,14.58
04/05/2011,02:00:00,13.22
04/05/2011,03:00:00,11.45
04/05/2011,04:00:00,12.17
04/05/2011,05:00:00,24.35
04/05/2011,06:00:00,53.27
04/05/2011,07:00:00,74.57
04/05/2011,08:00:00,50.70
04/05/2011,09:00:00,49.32
04/05/2011,10:00:00,45.73
04/05/2011,11:00:00,42.32
04/05/2011,12:00:00,59.10
04/05/2011,13:00:00,27.45
04/05/2011,14:00:00,28.17
04/05/2011,15:00:00,24.63
04/05/2011,16:00:00,29.30
04/05/2011,17:00:00,21.67
04/05/2011,18:00:00,29.72
04/05/2011,19:00:00,50.92
04/05/2011,20:00:00,56.15
04/05/2011,21:00:00,80.48
04/05/2011,22:00:00,85.53
04/05/2011,23:00:00,80.42
05/05/2011,00:00:00,23.58
05/05/2011,01:00:00,37.22
05/05/2011,02:00:00,36.95
05/05/2011,03:00:00,21.42
05/05/2011,04:00:00,20.47
05/05/2011,05:00:00,37.18
05/05/2011,06:00:00,47.95
05/05/2011,07:00:00,52.48
05/05/2011,08:00:00,35.23
05/05/2011,09:00:00,41.55
05/05/2011,10:00:00,63.03
05/05/2011,11:00:00,57.83
05/05/2011,12:00:00,69.03
05/05/2011,13:00:00,60.35
05/05/2011,14:00:00,58.52
05/05/2011,15:00:00,52.48
05/05/2011,16:00:00,54.85
05/05/2011,17:00:00,76.10
05/05/2011,18:00:00,90.88
05/05/2011,19:00:00,124.08
05/05/2011,20:00:00,106.10
05/05/2011,21:00:00,101.83
05/05/2011,22:00:00,86.62
05/05/2011,23:00:00,50.83
06/05/2011,00:00:00,51.87
06/05/2011,01:00:00,39.75
06/05/2011,02:00:00,32.88
06/05/2011,03:00:00,34.10
06/05/2011,04:00:00,24.42
06/05/2011,05:00:00,23.15
06/05/2011,06:00:00,32.55
06/05/2011,07:00:00,49.82
06/05/2011,08:00:00,39.43
06/05/2011,09:00:00,39.98
06/05/2011,10:00:00,40.73
06/05/2011,11:00:00,46.62
06/05/2011,12:00:00,39.60
06/05/2011,13:00:00,35.77
06/05/2011,14:00:00,33.33
06/05/2011,15:00:00,45.60
06/05/2011,16:00:00,68.98
06/05/2011,17:00:00,46.78
06/05/2011,18:00:00,43.02
06/05/2011,19:00:00,40.42
06/05/2011,20:00:00,43.25
06/05/2011,21:00:00,70.55
06/05/2011,22:00:00,44.03
06/05/2011,23:00:00,24.22
07/05/2011,00:00:00,24.63
07/05/2011,01:00:00,23.77
07/05/2011,02:00:00,31.70
07/05/2011,03:00:00,39.10
07/05/2011,04:00:00,64.90
07/05/2011,05:00:00,53.95
07/05/2011,06:00:00,49.90
07/05/2011,07:00:00,50.30
07/05/2011,08:00:00,24.42
07/05/2011,09:00:00,30.07
07/05/2011,10:00:00,28.30
07/05/2011,11:00:00,27.10
07/05/2011,12:00:00,27.48
07/05/2011,13:00:00,26.63
07/05/2011,14:00:00,23.50
07/05/2011,15:00:00,20.28
07/05/2011,16:00:00,22.52
07/05/2011,17:00:00,27.33
07/05/2011,18:00:00,40.10
07/05/2011,19:00:00,52.62
07/05/2011,20:00:00,76.35
07/05/2011,21:00:00,81.90
08/05/2011,12:00:00,21.40
08/05/2011,13:00:00,24.50
08/05/2011,14:00:00,21.43
08/05/2011,15:00:00,20.62
08/05/2011,16:00:00,24.95
08/05/2011,17:00:00,35.93
08/05/2011,18:00:00,63.07
08/05/2011,19:00:00,107.52
08/05/2011,20:00:00,126.55
08/05/2011,21:00:00,126.47
08/05/2011,22:00:00,191.98
08/05/2011,23:00:00,208.17
09/05/2011,00:00:00,180.40
09/05/2011,01:00:00,129.55
09/05/2011,02:00:00,94.72
09/05/2011,03:00:00,54.47
09/05/2011,04:00:00,37.60
09/05/2011,05:00:00,53.85
09/05/2011,06:00:00,84.90
09/05/2011,07:00:00,103.70
09/05/2011,08:00:00,53.15
09/05/2011,09:00:00,26.12
09/05/2011,10:00:00,34.35
09/05/2011,11:00:00,26.00
09/05/2011,12:00:00,29.53
09/05/2011,13:00:00,28.52
09/05/2011,14:00:00,28.15
09/05/2011,15:00:00,29.08
09/05/2011,16:00:00,30.62
09/05/2011,17:00:00,34.93
09/05/2011,18:00:00,58.67
09/05/2011,19:00:00,75.93
09/05/2011,20:00:00,86.77
09/05/2011,21:00:00,110.68
09/05/2011,22:00:00,133.87
09/05/2011,23:00:00,124.50
10/05/2011,00:00:00,117.85
10/05/2011,01:00:00,103.98
10/05/2011,02:00:00,74.78
10/05/2011,03:00:00,32.05
10/05/2011,04:00:00,26.97
10/05/2011,05:00:00,20.02
10/05/2011,06:00:00,24.08
10/05/2011,07:00:00,24.92
10/05/2011,08:00:00,21.02
10/05/2011,09:00:00,24.48
10/05/2011,10:00:00,29.37
10/05/2011,11:00:00,31.58
10/05/2011,12:00:00,28.12
10/05/2011,13:00:00,29.00
10/05/2011,14:00:00,29.03
10/05/2011,15:00:00,27.07
10/05/2011,16:00:00,21.23
10/05/2011,17:00:00,38.13
10/05/2011,18:00:00,67.10
10/05/2011,19:00:00,132.40
10/05/2011,20:00:00,147.70
10/05/2011,21:00:00,148.28
10/05/2011,22:00:00,219.10
10/05/2011,23:00:00,236.23
11/05/2011,00:00:00,138.15
11/05/2011,01:00:00,178.50
11/05/2011,02:00:00,150.05
11/05/2011,03:00:00,143.67
11/05/2011,04:00:00,85.45
11/05/2011,05:00:00,73.40
11/05/2011,06:00:00,56.33
11/05/2011,07:00:00,38.32
11/05/2011,08:00:00,22.42
11/05/2011,09:00:00,22.37
11/05/2011,10:00:00,24.45
11/05/2011,11:00:00,22.45
11/05/2011,12:00:00,27.58
11/05/2011,13:00:00,28.63
11/05/2011,14:00:00,25.50
11/05/2011,15:00:00,21.83
11/05/2011,16:00:00,31.82
11/05/2011,17:00:00,30.92
11/05/2011,18:00:00,45.08
11/05/2011,19:00:00,90.58
11/05/2011,20:00:00,136.95
11/05/2011,21:00:00,156.23
11/05/2011,22:00:00,167.65
11/05/2011,23:00:00,141.50
12/05/2011,00:00:00,108.42
12/05/2011,01:00:00,88.33
12/05/2011,02:00:00,24.20
12/05/2011,03:00:00,18.02
12/05/2011,04:00:00,15.63
12/05/2011,05:00:00,24.58
12/05/2011,06:00:00,42.20
12/05/2011,07:00:00,51.53
12/05/2011,08:00:00,45.55
12/05/2011,09:00:00,22.13
12/05/2011,10:00:00,17.48
12/05/2011,11:00:00,25.52
12/05/2011,12:00:00,26.05
12/05/2011,13:00:00,28.15
12/05/2011,14:00:00,24.18
12/05/2011,15:00:00,27.85
12/05/2011,16:00:00,18.62
12/05/2011,17:00:00,20.02
12/05/2011,18:00:00,35.85
12/05/2011,19:00:00,100.03
12/05/2011,20:00:00,100.87
12/05/2011,21:00:00,78.80
12/05/2011,22:00:00,87.58
12/05/2011,23:00:00,65.48
13/05/2011,00:00:00,78.53
13/05/2011,01:00:00,89.83
13/05/2011,02:00:00,112.98
13/05/2011,03:00:00,49.80
13/05/2011,04:00:00,21.88
13/05/2011,05:00:00,17.73
13/05/2011,06:00:00,30.93
13/05/2011,07:00:00,50.37
