Date,Time,Values
07/04/2015,16:00:00,109.92
07/04/2015,17:00:00,71.03
07/04/2015,18:00:00,20.69
07/04/2015,19:00:00,6.98
07/04/2015,20:00:00,14.35
07/04/2015,21:00:00,12.28
07/04/2015,22:00:00,14.57
07/04/2015,23:00:00,13.29
08/04/2015,00:00:00,4.94
08/04/2015,02:00:00,0.30
08/04/2015,04:00:00,9.01
08/04/2015,05:00:00,15.33
08/04/2015,06:00:00,14.40
08/04/2015,07:00:00,23.82
08/04/2015,08:00:00,14.16
08/04/2015,09:00:00,36.57
08/04/2015,10:00:00,70.12
08/04/2015,11:00:00,109.11
08/04/2015,12:00:00,135.22
08/04/2015,13:00:00,153.86
08/04/2015,14:00:00,135.56
08/04/2015,15:00:00,123.77
08/04/2015,16:00:00,114.53
09/04/2015,12:00:00,117.40
09/04/2015,13:00:00,114.45
09/04/2015,14:00:00,126.00
09/04/2015,15:00:00,119.92
09/04/2015,16:00:00,105.25
09/04/2015,17:00:00,110.02
09/04/2015,18:00:00,76.78
09/04/2015,19:00:00,17.93
09/04/2015,20:00:00,13.07
09/04/2015,21:00:00,10.60
09/04/2015,22:00:00,31.07
09/04/2015,23:00:00,56.45
10/04/2015,00:00:00,68.57
10/04/2015,01:00:00,57.02
10/04/2015,02:00:00,50.48
10/04/2015,03:00:00,63.27
10/04/2015,04:00:00,55.87
10/04/2015,05:00:00,40.72
10/04/2015,06:00:00,25.41
10/04/2015,07:00:00,29.62
10/04/2015,08:00:00,69.08
10/04/2015,09:00:00,104.80
10/04/2015,10:00:00,112.81
10/04/2015,11:00:00,114.33
10/04/2015,12:00:00,115.01
10/04/2015,13:00:00,115.15
10/04/2015,14:00:00,128.88
10/04/2015,15:00:00,137.25
10/04/2015,16:00:00,127.89
10/04/2015,17:00:00,113.35
10/04/2015,18:00:00,69.04
10/04/2015,19:00:00,11.09
10/04/2015,20:00:00,11.24
10/04/2015,21:00:00,15.22
10/04/2015,22:00:00,15.87
10/04/2015,23:00:00,12.43
11/04/2015,00:00:00,9.40
11/04/2015,01:00:00,10.90
11/04/2015,02:00:00,14.27
11/04/2015,03:00:00,13.33
11/04/2015,04:00:00,12.97
11/04/2015,05:00:00,13.33
11/04/2015,06:00:00,22.82
11/04/2015,07:00:00,27.30
11/04/2015,08:00:00,39.48
11/04/2015,09:00:00,98.25
11/04/2015,10:00:00,147.33
11/04/2015,11:00:00,192.93
11/04/2015,12:00:00,235.17
11/04/2015,13:00:00,215.53
11/04/2015,14:00:00,219.60
11/04/2015,15:00:00,182.51
11/04/2015,16:00:00,170.47
11/04/2015,17:00:00,118.63
11/04/2015,18:00:00,62.66
11/04/2015,19:00:00,11.95
11/04/2015,20:00:00,11.65
11/04/2015,21:00:00,11.13
11/04/2015,22:00:00,84.67
11/04/2015,23:00:00,69.06
12/04/2015,00:00:00,60.21
12/04/2015,01:00:00,32.72
12/04/2015,02:00:00,71.52
12/04/2015,03:00:00,63.28
12/04/2015,04:00:00,74.34
12/04/2015,05:00:00,76.10
12/04/2015,06:00:00,81.10
12/04/2015,07:00:00,36.37
12/04/2015,08:00:00,26.16
12/04/2015,09:00:00,28.51
12/04/2015,10:00:00,57.60
12/04/2015,11:00:00,43.84
12/04/2015,12:00:00,57.54
12/04/2015,13:00:00,74.40
12/04/2015,20:00:00,11.15
12/04/2015,21:00:00,12.22
12/04/2015,22:00:00,14.48
12/04/2015,23:00:00,12.05
13/04/2015,00:00:00,6.10
13/04/2015,02:00:00,1.00
13/04/2015,04:00:00,9.57
13/04/2015,05:00:00,8.72
13/04/2015,06:00:00,9.18
13/04/2015,07:00:00,9.60
13/04/2015,08:00:00,5.13
13/04/2015,09:00:00,8.23
13/04/2015,10:00:00,35.75
13/04/2015,11:00:00,54.27
13/04/2015,12:00:00,69.16
13/04/2015,13:00:00,105.77
13/04/2015,14:00:00,123.68
13/04/2015,15:00:00,124.56
13/04/2015,16:00:00,74.47
13/04/2015,17:00:00,79.17
13/04/2015,18:00:00,64.17
13/04/2015,19:00:00,31.42
13/04/2015,20:00:00,23.50
13/04/2015,21:00:00,16.75
13/04/2015,22:00:00,19.18
13/04/2015,23:00:00,10.72
14/04/2015,00:00:00,1.18
14/04/2015,01:00:00,40.15
14/04/2015,02:00:00,29.10
14/04/2015,03:00:00,20.75
14/04/2015,04:00:00,19.04
14/04/2015,05:00:00,18.67
14/04/2015,06:00:00,10.27
14/04/2015,07:00:00,24.23
14/04/2015,08:00:00,33.76
14/04/2015,09:00:00,42.60
14/04/2015,10:00:00,63.39
14/04/2015,11:00:00,87.50
15/04/2015,18:00:00,75.18
