Date,Time,Values
07/04/2015,16:00:00,2.72
07/04/2015,17:00:00,3.55
07/04/2015,18:00:00,3.96
07/04/2015,19:00:00,5.30
07/04/2015,20:00:00,5.27
07/04/2015,21:00:00,6.32
07/04/2015,22:00:00,4.28
07/04/2015,23:00:00,2.58
08/04/2015,00:00:00,1.28
08/04/2015,01:00:00,0.79
08/04/2015,02:00:00,0.79
08/04/2015,03:00:00,0.94
08/04/2015,04:00:00,1.70
08/04/2015,05:00:00,2.16
08/04/2015,06:00:00,1.73
08/04/2015,07:00:00,5.39
08/04/2015,08:00:00,6.87
08/04/2015,09:00:00,5.41
08/04/2015,10:00:00,3.38
08/04/2015,11:00:00,1.74
08/04/2015,12:00:00,1.30
08/04/2015,13:00:00,1.53
08/04/2015,14:00:00,1.54
08/04/2015,15:00:00,1.59
08/04/2015,16:00:00,2.10
09/04/2015,12:00:00,1.00
09/04/2015,13:00:00,1.34
09/04/2015,14:00:00,1.18
09/04/2015,15:00:00,1.05
09/04/2015,16:00:00,1.28
09/04/2015,17:00:00,1.40
09/04/2015,18:00:00,2.38
09/04/2015,19:00:00,6.04
09/04/2015,20:00:00,9.90
09/04/2015,21:00:00,11.78
09/04/2015,22:00:00,8.68
09/04/2015,23:00:00,3.49
10/04/2015,00:00:00,1.31
10/04/2015,01:00:00,0.83
10/04/2015,02:00:00,0.93
10/04/2015,03:00:00,0.64
10/04/2015,04:00:00,0.86
10/04/2015,05:00:00,0.68
10/04/2015,06:00:00,0.93
10/04/2015,07:00:00,3.01
10/04/2015,08:00:00,3.66
10/04/2015,09:00:00,2.85
10/04/2015,10:00:00,1.67
10/04/2015,11:00:00,1.46
10/04/2015,12:00:00,1.69
10/04/2015,13:00:00,2.75
10/04/2015,14:00:00,1.58
10/04/2015,15:00:00,1.57
10/04/2015,16:00:00,2.14
10/04/2015,17:00:00,2.52
10/04/2015,18:00:00,2.43
10/04/2015,19:00:00,8.21
10/04/2015,20:00:00,14.08
10/04/2015,21:00:00,15.01
10/04/2015,22:00:00,17.57
10/04/2015,23:00:00,15.72
11/04/2015,00:00:00,8.91
11/04/2015,01:00:00,8.64
11/04/2015,02:00:00,6.11
11/04/2015,03:00:00,5.98
11/04/2015,04:00:00,5.28
11/04/2015,05:00:00,7.06
11/04/2015,06:00:00,7.57
11/04/2015,07:00:00,8.75
11/04/2015,08:00:00,7.77
11/04/2015,09:00:00,5.46
11/04/2015,10:00:00,6.21
11/04/2015,11:00:00,2.43
11/04/2015,12:00:00,2.45
11/04/2015,13:00:00,1.45
11/04/2015,14:00:00,0.69
11/04/2015,15:00:00,1.18
11/04/2015,16:00:00,0.93
11/04/2015,17:00:00,1.86
11/04/2015,18:00:00,7.23
11/04/2015,19:00:00,8.02
11/04/2015,20:00:00,12.09
11/04/2015,21:00:00,18.60
11/04/2015,22:00:00,13.71
11/04/2015,23:00:00,2.71
12/04/2015,00:00:00,1.58
12/04/2015,01:00:00,0.73
12/04/2015,02:00:00,0.70
12/04/2015,03:00:00,0.35
12/04/2015,04:00:00,0.32
12/04/2015,05:00:00,0.35
12/04/2015,06:00:00,0.30
12/04/2015,07:00:00,0.46
12/04/2015,08:00:00,1.08
12/04/2015,09:00:00,1.99
12/04/2015,10:00:00,3.44
12/04/2015,11:00:00,3.89
12/04/2015,12:00:00,4.28
12/04/2015,13:00:00,6.50
12/04/2015,20:00:00,8.80
12/04/2015,21:00:00,8.11
12/04/2015,22:00:00,7.15
12/04/2015,23:00:00,6.05
13/04/2015,00:00:00,9.11
13/04/2015,01:00:00,7.55
13/04/2015,02:00:00,5.36
13/04/2015,03:00:00,5.17
13/04/2015,04:00:00,4.42
13/04/2015,05:00:00,3.93
13/04/2015,06:00:00,4.48
13/04/2015,07:00:00,4.98
13/04/2015,08:00:00,5.83
13/04/2015,09:00:00,5.82
13/04/2015,10:00:00,4.67
13/04/2015,11:00:00,3.37
13/04/2015,12:00:00,2.40
13/04/2015,13:00:00,2.52
13/04/2015,14:00:00,2.03
13/04/2015,15:00:00,1.34
13/04/2015,16:00:00,2.40
13/04/2015,17:00:00,3.09
13/04/2015,18:00:00,2.77
13/04/2015,19:00:00,2.52
13/04/2015,20:00:00,4.31
13/04/2015,21:00:00,5.37
13/04/2015,22:00:00,5.00
13/04/2015,23:00:00,3.60
14/04/2015,00:00:00,3.32
14/04/2015,01:00:00,2.07
14/04/2015,02:00:00,1.00
14/04/2015,03:00:00,2.00
14/04/2015,04:00:00,1.79
14/04/2015,05:00:00,2.36
14/04/2015,06:00:00,2.15
14/04/2015,07:00:00,1.57
14/04/2015,08:00:00,0.77
14/04/2015,09:00:00,0.68
14/04/2015,10:00:00,1.21
14/04/2015,11:00:00,1.80
15/04/2015,18:00:00,2.74
15/04/2015,19:00:00,4.27
15/04/2015,20:00:00,5.83
15/04/2015,21:00:00,10.86
15/04/2015,22:00:00,7.83
15/04/2015,23:00:00,7.48
16/04/2015,00:00:00,4.45
16/04/2015,01:00:00,6.45
16/04/2015,02:00:00,5.88
16/04/2015,03:00:00,5.51
16/04/2015,04:00:00,2.88
16/04/2015,05:00:00,1.92
16/04/2015,06:00:00,2.69
16/04/2015,07:00:00,4.52
16/04/2015,08:00:00,3.93
16/04/2015,09:00:00,1.88
16/04/2015,10:00:00,3.42
16/04/2015,11:00:00,2.84
16/04/2015,12:00:00,3.93
16/04/2015,13:00:00,2.87
16/04/2015,14:00:00,1.97
16/04/2015,15:00:00,2.48
16/04/2015,16:00:00,4.60
16/04/2015,17:00:00,3.55
16/04/2015,18:00:00,3.62
16/04/2015,19:00:00,3.62
16/04/2015,20:00:00,6.12
16/04/2015,21:00:00,6.79
16/04/2015,22:00:00,3.61
16/04/2015,23:00:00,2.57
17/04/2015,00:00:00,1.61
17/04/2015,01:00:00,0.90
17/04/2015,02:00:00,0.75
17/04/2015,03:00:00,0.85
17/04/2015,04:00:00,0.70
17/04/2015,05:00:00,0.88
17/04/2015,06:00:00,0.98
17/04/2015,07:00:00,2.08
17/04/2015,08:00:00,2.57
17/04/2015,09:00:00,2.27
17/04/2015,10:00:00,2.58
17/04/2015,11:00:00,1.64
17/04/2015,12:00:00,1.44
17/04/2015,13:00:00,1.65
17/04/2015,14:00:00,1.72
17/04/2015,15:00:00,1.07
17/04/2015,16:00:00,1.01
17/04/2015,17:00:00,0.96
17/04/2015,18:00:00,1.94
17/04/2015,19:00:00,4.37
17/04/2015,20:00:00,6.90
17/04/2015,21:00:00,7.53
17/04/2015,22:00:00,6.83
17/04/2015,23:00:00,6.12
18/04/2015,00:00:00,3.27
18/04/2015,01:00:00,2.16
18/04/2015,02:00:00,2.35
18/04/2015,03:00:00,1.12
18/04/2015,04:00:00,0.98
18/04/2015,05:00:00,1.07
18/04/2015,06:00:00,1.02
18/04/2015,07:00:00,1.32
18/04/2015,08:00:00,1.79
18/04/2015,09:00:00,1.63
18/04/2015,10:00:00,1.07
18/04/2015,11:00:00,1.69
18/04/2015,12:00:00,1.12
18/04/2015,13:00:00,1.00
18/04/2015,14:00:00,0.77
18/04/2015,15:00:00,0.73
18/04/2015,16:00:00,0.88
18/04/2015,17:00:00,1.71
18/04/2015,18:00:00,3.17
18/04/2015,19:00:00,6.73
18/04/2015,20:00:00,13.68
18/04/2015,21:00:00,9.86
18/04/2015,22:00:00,14.80
18/04/2015,23:00:00,6.89
19/04/2015,00:00:00,4.18
19/04/2015,01:00:00,4.98
19/04/2015,02:00:00,4.64
19/04/2015,03:00:00,5.06
19/04/2015,04:00:00,4.73
19/04/2015,05:00:00,5.19
19/04/2015,06:00:00,5.13
19/04/2015,07:00:00,5.91
19/04/2015,08:00:00,6.04
19/04/2015,09:00:00,3.52
19/04/2015,10:00:00,2.62
19/04/2015,11:00:00,1.51
19/04/2015,12:00:00,0.62
19/04/2015,13:00:00,0.50
19/04/2015,14:00:00,0.38
19/04/2015,15:00:00,0.28
19/04/2015,16:00:00,0.39
19/04/2015,17:00:00,1.02
19/04/2015,18:00:00,4.16
19/04/2015,19:00:00,14.99
19/04/2015,20:00:00,23.57
