Date,Time,Values
07/04/2015,16:00:00,151.67
07/04/2015,17:00:00,144.33
07/04/2015,18:00:00,170.83
07/04/2015,19:00:00,204.33
07/04/2015,20:00:00,249.67
07/04/2015,21:00:00,255.33
07/04/2015,22:00:00,314.33
07/04/2015,23:00:00,300.83
08/04/2015,00:00:00,297.33
08/04/2015,01:00:00,272.83
08/04/2015,02:00:00,220.50
08/04/2015,03:00:00,228.33
08/04/2015,04:00:00,179.67
08/04/2015,05:00:00,177.00
08/04/2015,06:00:00,184.33
08/04/2015,07:00:00,256.33
08/04/2015,08:00:00,312.17
08/04/2015,09:00:00,332.50
08/04/2015,10:00:00,307.27
08/04/2015,11:00:00,192.83
08/04/2015,12:00:00,129.83
08/04/2015,13:00:00,119.00
08/04/2015,14:00:00,117.50
08/04/2015,15:00:00,106.67
08/04/2015,16:00:00,90.00
09/04/2015,12:00:00,128.00
09/04/2015,13:00:00,105.67
09/04/2015,14:00:00,107.83
09/04/2015,15:00:00,79.17
09/04/2015,16:00:00,90.91
09/04/2015,17:00:00,93.50
09/04/2015,18:00:00,89.50
09/04/2015,19:00:00,117.17
09/04/2015,20:00:00,181.80
09/04/2015,21:00:00,244.83
09/04/2015,22:00:00,281.00
09/04/2015,23:00:00,256.00
10/04/2015,00:00:00,202.33
10/04/2015,01:00:00,186.55
10/04/2015,02:00:00,192.00
10/04/2015,03:00:00,162.73
10/04/2015,04:00:00,165.33
10/04/2015,05:00:00,166.17
10/04/2015,06:00:00,189.36
10/04/2015,07:00:00,236.83
10/04/2015,08:00:00,353.83
10/04/2015,09:00:00,333.33
10/04/2015,10:00:00,260.17
10/04/2015,11:00:00,137.17
10/04/2015,12:00:00,143.67
10/04/2015,13:00:00,145.67
10/04/2015,14:00:00,130.17
10/04/2015,15:00:00,90.33
10/04/2015,16:00:00,109.33
10/04/2015,17:00:00,95.00
10/04/2015,18:00:00,94.33
10/04/2015,19:00:00,132.17
10/04/2015,20:00:00,222.33
10/04/2015,21:00:00,284.83
10/04/2015,22:00:00,374.50
10/04/2015,23:00:00,417.67
11/04/2015,00:00:00,359.83
11/04/2015,01:00:00,307.00
11/04/2015,02:00:00,331.67
11/04/2015,03:00:00,382.83
11/04/2015,04:00:00,406.00
11/04/2015,05:00:00,422.50
11/04/2015,06:00:00,281.17
11/04/2015,07:00:00,296.33
11/04/2015,08:00:00,349.00
11/04/2015,09:00:00,361.83
11/04/2015,10:00:00,263.67
11/04/2015,11:00:00,192.67
11/04/2015,12:00:00,148.17
11/04/2015,13:00:00,152.50
11/04/2015,14:00:00,122.00
11/04/2015,15:00:00,127.27
11/04/2015,16:00:00,108.33
11/04/2015,17:00:00,122.27
11/04/2015,18:00:00,161.00
11/04/2015,19:00:00,242.17
11/04/2015,20:00:00,279.83
11/04/2015,21:00:00,444.50
11/04/2015,22:00:00,445.83
11/04/2015,23:00:00,285.83
12/04/2015,00:00:00,128.00
12/04/2015,01:00:00,86.67
12/04/2015,02:00:00,163.83
12/04/2015,03:00:00,79.17
12/04/2015,04:00:00,65.00
12/04/2015,05:00:00,87.83
12/04/2015,06:00:00,73.33
12/04/2015,07:00:00,64.33
12/04/2015,08:00:00,110.67
12/04/2015,09:00:00,107.00
12/04/2015,10:00:00,102.83
12/04/2015,11:00:00,142.18
12/04/2015,12:00:00,182.00
12/04/2015,13:00:00,152.00
12/04/2015,20:00:00,199.91
12/04/2015,21:00:00,208.33
12/04/2015,22:00:00,219.00
12/04/2015,23:00:00,170.00
13/04/2015,00:00:00,214.83
13/04/2015,01:00:00,319.33
13/04/2015,02:00:00,374.45
13/04/2015,03:00:00,170.83
13/04/2015,04:00:00,254.33
13/04/2015,05:00:00,355.83
13/04/2015,06:00:00,248.83
13/04/2015,07:00:00,223.17
13/04/2015,08:00:00,256.67
13/04/2015,09:00:00,291.67
13/04/2015,10:00:00,263.36
13/04/2015,11:00:00,205.67
13/04/2015,12:00:00,172.00
13/04/2015,13:00:00,132.83
13/04/2015,14:00:00,110.73
13/04/2015,15:00:00,99.27
13/04/2015,16:00:00,111.00
13/04/2015,17:00:00,134.33
