Date,Time,Values
07/04/2015,16:00:00,55.00
07/04/2015,17:00:00,50.83
07/04/2015,18:00:00,66.17
07/04/2015,19:00:00,73.83
07/04/2015,20:00:00,83.33
07/04/2015,21:00:00,88.00
07/04/2015,22:00:00,106.67
07/04/2015,23:00:00,114.83
08/04/2015,00:00:00,113.00
08/04/2015,01:00:00,105.00
08/04/2015,02:00:00,91.67
08/04/2015,03:00:00,100.50
08/04/2015,04:00:00,105.17
08/04/2015,05:00:00,113.50
08/04/2015,06:00:00,106.00
08/04/2015,07:00:00,133.33
08/04/2015,08:00:00,144.33
08/04/2015,09:00:00,136.00
08/04/2015,10:00:00,108.67
08/04/2015,11:00:00,88.67
08/04/2015,12:00:00,51.67
08/04/2015,13:00:00,71.83
08/04/2015,14:00:00,62.25
08/04/2015,15:00:00,48.50
08/04/2015,16:00:00,31.00
09/04/2015,12:00:00,45.40
09/04/2015,13:00:00,51.00
09/04/2015,14:00:00,28.83
09/04/2015,15:00:00,21.00
09/04/2015,16:00:00,34.67
09/04/2015,17:00:00,27.17
09/04/2015,18:00:00,24.67
09/04/2015,19:00:00,36.83
09/04/2015,20:00:00,64.33
09/04/2015,21:00:00,107.00
09/04/2015,22:00:00,113.50
09/04/2015,23:00:00,119.83
10/04/2015,00:00:00,111.67
10/04/2015,01:00:00,104.50
10/04/2015,02:00:00,122.50
10/04/2015,03:00:00,102.00
10/04/2015,04:00:00,111.83
10/04/2015,05:00:00,112.17
10/04/2015,06:00:00,120.33
10/04/2015,07:00:00,137.00
10/04/2015,08:00:00,164.50
10/04/2015,09:00:00,169.50
10/04/2015,10:00:00,118.50
10/04/2015,11:00:00,49.83
10/04/2015,12:00:00,47.83
10/04/2015,13:00:00,63.83
10/04/2015,14:00:00,52.08
10/04/2015,15:00:00,29.83
10/04/2015,16:00:00,32.33
10/04/2015,17:00:00,24.00
10/04/2015,18:00:00,26.00
10/04/2015,19:00:00,41.00
10/04/2015,20:00:00,72.17
10/04/2015,21:00:00,115.17
10/04/2015,22:00:00,164.83
10/04/2015,23:00:00,188.33
11/04/2015,00:00:00,180.67
11/04/2015,01:00:00,159.00
11/04/2015,02:00:00,164.33
11/04/2015,03:00:00,191.17
11/04/2015,04:00:00,191.17
11/04/2015,05:00:00,179.83
11/04/2015,06:00:00,144.75
11/04/2015,07:00:00,156.50
11/04/2015,08:00:00,177.67
11/04/2015,09:00:00,187.33
11/04/2015,10:00:00,134.00
11/04/2015,11:00:00,81.83
11/04/2015,12:00:00,69.67
11/04/2015,13:00:00,60.50
11/04/2015,14:00:00,48.83
11/04/2015,15:00:00,51.00
11/04/2015,16:00:00,42.00
11/04/2015,17:00:00,47.33
11/04/2015,18:00:00,52.17
11/04/2015,19:00:00,69.33
11/04/2015,20:00:00,86.67
11/04/2015,21:00:00,142.17
11/04/2015,22:00:00,139.67
11/04/2015,23:00:00,75.83
12/04/2015,00:00:00,40.33
12/04/2015,01:00:00,23.50
12/04/2015,02:00:00,51.00
12/04/2015,03:00:00,26.67
12/04/2015,04:00:00,32.67
12/04/2015,05:00:00,51.58
12/04/2015,06:00:00,34.33
12/04/2015,07:00:00,35.17
12/04/2015,08:00:00,51.67
12/04/2015,09:00:00,31.33
12/04/2015,10:00:00,42.00
12/04/2015,11:00:00,63.50
12/04/2015,12:00:00,73.17
12/04/2015,13:00:00,84.00
12/04/2015,20:00:00,65.36
12/04/2015,21:00:00,106.17
12/04/2015,22:00:00,114.00
12/04/2015,23:00:00,74.17
13/04/2015,00:00:00,82.83
13/04/2015,01:00:00,133.83
13/04/2015,02:00:00,175.33
13/04/2015,03:00:00,94.17
13/04/2015,04:00:00,151.17
13/04/2015,05:00:00,227.83
13/04/2015,06:00:00,138.00
13/04/2015,07:00:00,112.83
13/04/2015,08:00:00,110.00
13/04/2015,09:00:00,99.67
13/04/2015,10:00:00,98.00
13/04/2015,11:00:00,92.67
13/04/2015,12:00:00,66.83
13/04/2015,13:00:00,65.83
13/04/2015,14:00:00,40.00
13/04/2015,15:00:00,41.33
13/04/2015,16:00:00,48.17
13/04/2015,17:00:00,49.17
13/04/2015,18:00:00,44.67
13/04/2015,19:00:00,23.50
13/04/2015,20:00:00,57.17
13/04/2015,21:00:00,48.67
13/04/2015,22:00:00,68.42
13/04/2015,23:00:00,65.83
14/04/2015,00:00:00,71.33
14/04/2015,01:00:00,52.67
14/04/2015,02:00:00,53.50
14/04/2015,03:00:00,66.83
14/04/2015,04:00:00,84.83
14/04/2015,05:00:00,162.75
14/04/2015,06:00:00,202.33
14/04/2015,07:00:00,124.33
14/04/2015,08:00:00,66.17
14/04/2015,09:00:00,17.50
14/04/2015,10:00:00,21.67
14/04/2015,11:00:00,126.25
14/04/2015,12:00:00,135.00
14/04/2015,13:00:00,135.00
14/04/2015,14:00:00,135.00
14/04/2015,15:00:00,135.00
14/04/2015,16:00:00,135.00
14/04/2015,17:00:00,135.00
14/04/2015,18:00:00,135.00
14/04/2015,19:00:00,135.00
14/04/2015,20:00:00,135.00
14/04/2015,21:00:00,135.00
14/04/2015,22:00:00,135.00
14/04/2015,23:00:00,135.00
15/04/2015,00:00:00,135.00
15/04/2015,01:00:00,135.00
15/04/2015,02:00:00,135.00
15/04/2015,18:00:00,45.00
15/04/2015,19:00:00,33.17
15/04/2015,20:00:00,37.42
15/04/2015,21:00:00,64.50
15/04/2015,22:00:00,71.25
15/04/2015,23:00:00,86.75
16/04/2015,00:00:00,106.73
16/04/2015,01:00:00,104.00
16/04/2015,02:00:00,72.00
16/04/2015,03:00:00,78.33
16/04/2015,04:00:00,173.17
16/04/2015,05:00:00,237.55
16/04/2015,06:00:00,238.83
16/04/2015,07:00:00,263.00
16/04/2015,08:00:00,177.17
16/04/2015,09:00:00,108.17
16/04/2015,10:00:00,40.64
16/04/2015,11:00:00,97.00
16/04/2015,12:00:00,50.17
16/04/2015,13:00:00,62.60
16/04/2015,14:00:00,30.00
16/04/2015,15:00:00,23.00
16/04/2015,16:00:00,35.00
16/04/2015,17:00:00,16.83
16/04/2015,18:00:00,2.73
16/04/2015,19:00:00,21.50
16/04/2015,20:00:00,35.00
16/04/2015,21:00:00,61.00
16/04/2015,22:00:00,56.83
16/04/2015,23:00:00,60.00
17/04/2015,00:00:00,57.00
17/04/2015,01:00:00,68.83
17/04/2015,02:00:00,76.33
17/04/2015,03:00:00,66.83
17/04/2015,04:00:00,63.50
17/04/2015,05:00:00,73.67
17/04/2015,06:00:00,66.33
17/04/2015,07:00:00,86.50
