Date,Time,Values
19/04/2011,13:00:00,36.40
19/04/2011,14:00:00,33.25
24/04/2011,14:00:00,21.00
24/04/2011,15:00:00,21.00
24/04/2011,16:00:00,22.67
24/04/2011,17:00:00,25.50
24/04/2011,18:00:00,32.67
24/04/2011,19:00:00,38.33
24/04/2011,20:00:00,45.83
24/04/2011,21:00:00,58.00
24/04/2011,22:00:00,67.17
24/04/2011,23:00:00,73.67
25/04/2011,00:00:00,79.17
25/04/2011,01:00:00,75.17
25/04/2011,02:00:00,84.83
25/04/2011,03:00:00,92.17
25/04/2011,04:00:00,93.00
25/04/2011,05:00:00,91.67
25/04/2011,06:00:00,90.33
25/04/2011,07:00:00,80.17
25/04/2011,08:00:00,61.83
25/04/2011,09:00:00,47.17
25/04/2011,10:00:00,35.67
25/04/2011,11:00:00,26.17
25/04/2011,12:00:00,21.50
25/04/2011,13:00:00,21.83
25/04/2011,14:00:00,20.17
25/04/2011,15:00:00,18.33
25/04/2011,16:00:00,23.00
25/04/2011,17:00:00,25.83
25/04/2011,18:00:00,33.50
25/04/2011,19:00:00,48.17
25/04/2011,20:00:00,57.17
25/04/2011,21:00:00,56.17
25/04/2011,22:00:00,56.83
25/04/2011,23:00:00,61.33
26/04/2011,00:00:00,58.83
26/04/2011,01:00:00,67.50
26/04/2011,02:00:00,67.67
26/04/2011,03:00:00,67.33
26/04/2011,04:00:00,74.00
26/04/2011,05:00:00,91.17
26/04/2011,07:00:00,99.00
26/04/2011,08:00:00,88.00
26/04/2011,09:00:00,71.17
26/04/2011,10:00:00,65.33
26/04/2011,11:00:00,59.83
26/04/2011,12:00:00,52.00
26/04/2011,13:00:00,49.50
26/04/2011,14:00:00,46.83
26/04/2011,15:00:00,46.67
26/04/2011,16:00:00,50.67
26/04/2011,17:00:00,55.00
26/04/2011,18:00:00,63.00
26/04/2011,19:00:00,75.67
26/04/2011,20:00:00,77.17
26/04/2011,21:00:00,79.83
26/04/2011,22:00:00,83.17
26/04/2011,23:00:00,89.50
27/04/2011,00:00:00,97.00
27/04/2011,01:00:00,100.00
28/04/2011,14:00:00,36.50
28/04/2011,15:00:00,35.50
28/04/2011,16:00:00,37.33
28/04/2011,17:00:00,41.83
28/04/2011,18:00:00,49.83
28/04/2011,19:00:00,61.67
28/04/2011,20:00:00,68.33
28/04/2011,21:00:00,71.83
28/04/2011,22:00:00,80.83
28/04/2011,23:00:00,87.00
29/04/2011,00:00:00,87.50
29/04/2011,01:00:00,95.33
29/04/2011,02:00:00,92.00
29/04/2011,03:00:00,89.17
29/04/2011,04:00:00,86.17
29/04/2011,05:00:00,76.00
29/04/2011,06:00:00,66.50
29/04/2011,07:00:00,64.67
29/04/2011,08:00:00,56.50
29/04/2011,09:00:00,46.17
29/04/2011,10:00:00,30.83
29/04/2011,11:00:00,26.50
29/04/2011,12:00:00,22.67
29/04/2011,13:00:00,20.50
29/04/2011,14:00:00,21.00
29/04/2011,15:00:00,21.83
29/04/2011,16:00:00,23.17
29/04/2011,17:00:00,26.00
29/04/2011,18:00:00,32.67
29/04/2011,19:00:00,33.83
29/04/2011,20:00:00,33.00
29/04/2011,21:00:00,32.67
29/04/2011,22:00:00,37.33
29/04/2011,23:00:00,38.67
30/04/2011,00:00:00,42.67
30/04/2011,01:00:00,47.83
30/04/2011,02:00:00,50.83
30/04/2011,03:00:00,55.17
30/04/2011,04:00:00,55.67
30/04/2011,05:00:00,53.50
30/04/2011,06:00:00,54.00
30/04/2011,07:00:00,52.67
30/04/2011,08:00:00,49.17
30/04/2011,09:00:00,44.50
30/04/2011,10:00:00,35.83
30/04/2011,11:00:00,31.00
30/04/2011,12:00:00,30.33
30/04/2011,13:00:00,30.00
30/04/2011,21:00:00,44.50
30/04/2011,22:00:00,50.00
30/04/2011,23:00:00,52.33
01/05/2011,00:00:00,53.33
01/05/2011,01:00:00,56.33
01/05/2011,02:00:00,63.83
01/05/2011,03:00:00,68.00
01/05/2011,04:00:00,64.50
01/05/2011,05:00:00,64.17
01/05/2011,06:00:00,66.00
01/05/2011,07:00:00,62.83
01/05/2011,08:00:00,57.33
01/05/2011,09:00:00,50.33
01/05/2011,10:00:00,39.33
01/05/2011,11:00:00,27.00
01/05/2011,12:00:00,20.67
01/05/2011,13:00:00,20.33
01/05/2011,14:00:00,20.00
01/05/2011,15:00:00,18.33
01/05/2011,16:00:00,17.17
01/05/2011,17:00:00,19.00
01/05/2011,18:00:00,21.67
01/05/2011,19:00:00,27.17
01/05/2011,20:00:00,30.50
01/05/2011,21:00:00,32.83
01/05/2011,22:00:00,44.67
01/05/2011,23:00:00,61.83
02/05/2011,00:00:00,61.33
02/05/2011,01:00:00,61.17
02/05/2011,02:00:00,64.00
02/05/2011,03:00:00,67.17
02/05/2011,04:00:00,62.67
02/05/2011,05:00:00,52.67
02/05/2011,06:00:00,50.50
02/05/2011,07:00:00,51.17
02/05/2011,08:00:00,52.00
02/05/2011,09:00:00,46.50
02/05/2011,10:00:00,38.83
02/05/2011,11:00:00,32.00
02/05/2011,12:00:00,24.17
02/05/2011,13:00:00,24.00
02/05/2011,14:00:00,24.33
02/05/2011,15:00:00,23.50
02/05/2011,16:00:00,24.00
02/05/2011,17:00:00,24.67
02/05/2011,18:00:00,34.33
02/05/2011,19:00:00,46.00
02/05/2011,20:00:00,50.33
02/05/2011,21:00:00,53.17
02/05/2011,22:00:00,55.33
02/05/2011,23:00:00,59.67
03/05/2011,00:00:00,63.83
03/05/2011,01:00:00,62.67
03/05/2011,02:00:00,65.67
03/05/2011,03:00:00,71.17
03/05/2011,04:00:00,71.00
03/05/2011,05:00:00,74.17
03/05/2011,06:00:00,78.33
03/05/2011,07:00:00,68.83
03/05/2011,08:00:00,55.17
03/05/2011,09:00:00,48.17
03/05/2011,10:00:00,41.50
03/05/2011,11:00:00,35.00
03/05/2011,12:00:00,26.50
03/05/2011,13:00:00,25.33
03/05/2011,14:00:00,24.83
03/05/2011,15:00:00,23.83
03/05/2011,16:00:00,22.83
03/05/2011,17:00:00,24.00
03/05/2011,18:00:00,30.83
03/05/2011,19:00:00,34.50
03/05/2011,20:00:00,40.50
03/05/2011,21:00:00,43.33
03/05/2011,22:00:00,47.00
03/05/2011,23:00:00,50.00
04/05/2011,00:00:00,51.33
04/05/2011,01:00:00,53.00
04/05/2011,02:00:00,57.50
04/05/2011,03:00:00,62.50
04/05/2011,04:00:00,67.67
04/05/2011,05:00:00,69.00
04/05/2011,06:00:00,70.33
04/05/2011,07:00:00,67.00
04/05/2011,08:00:00,62.50
04/05/2011,09:00:00,63.50
04/05/2011,10:00:00,56.33
04/05/2011,11:00:00,55.83
04/05/2011,12:00:00,55.33
04/05/2011,13:00:00,47.50
04/05/2011,14:00:00,44.83
04/05/2011,15:00:00,42.67
04/05/2011,16:00:00,42.83
04/05/2011,17:00:00,43.17
04/05/2011,18:00:00,44.00
04/05/2011,19:00:00,47.33
04/05/2011,20:00:00,50.00
04/05/2011,21:00:00,55.50
04/05/2011,22:00:00,58.17
04/05/2011,23:00:00,57.00
05/05/2011,00:00:00,77.50
05/05/2011,01:00:00,98.83
05/05/2011,02:00:00,97.00
05/05/2011,03:00:00,97.67
05/05/2011,04:00:00,95.33
05/05/2011,05:00:00,97.00
05/05/2011,10:00:00,99.50
05/05/2011,11:00:00,87.67
05/05/2011,12:00:00,80.50
05/05/2011,13:00:00,70.67
05/05/2011,14:00:00,67.00
05/05/2011,15:00:00,61.17
05/05/2011,16:00:00,59.83
05/05/2011,17:00:00,62.50
05/05/2011,18:00:00,66.17
05/05/2011,19:00:00,69.17
05/05/2011,20:00:00,74.17
05/05/2011,21:00:00,77.33
05/05/2011,22:00:00,77.50
05/05/2011,23:00:00,90.00
06/05/2011,03:00:00,99.00
06/05/2011,08:00:00,91.80
06/05/2011,09:00:00,79.00
06/05/2011,10:00:00,76.00
06/05/2011,11:00:00,69.50
06/05/2011,12:00:00,61.50
06/05/2011,13:00:00,56.83
06/05/2011,14:00:00,49.67
06/05/2011,15:00:00,48.00
06/05/2011,16:00:00,57.33
06/05/2011,17:00:00,80.20
06/05/2011,18:00:00,94.00
06/05/2011,19:00:00,94.25
06/05/2011,21:00:00,92.00
06/05/2011,22:00:00,92.25
07/05/2011,00:00:00,95.75
07/05/2011,01:00:00,85.17
07/05/2011,02:00:00,82.50
07/05/2011,03:00:00,90.50
07/05/2011,06:00:00,99.00
07/05/2011,07:00:00,90.33
07/05/2011,08:00:00,72.83
07/05/2011,09:00:00,69.33
07/05/2011,10:00:00,67.00
07/05/2011,11:00:00,61.83
07/05/2011,12:00:00,55.00
07/05/2011,13:00:00,50.83
07/05/2011,14:00:00,52.33
07/05/2011,15:00:00,50.33
07/05/2011,16:00:00,50.83
07/05/2011,17:00:00,54.83
07/05/2011,18:00:00,57.00
07/05/2011,19:00:00,57.33
07/05/2011,20:00:00,59.00
08/05/2011,12:00:00,32.00
08/05/2011,13:00:00,32.17
08/05/2011,14:00:00,32.50
08/05/2011,15:00:00,33.33
08/05/2011,16:00:00,35.33
08/05/2011,17:00:00,38.50
08/05/2011,18:00:00,45.83
08/05/2011,19:00:00,52.17
08/05/2011,20:00:00,61.33
08/05/2011,21:00:00,68.67
08/05/2011,22:00:00,76.33
08/05/2011,23:00:00,78.50
09/05/2011,00:00:00,79.50
09/05/2011,01:00:00,76.50
09/05/2011,02:00:00,74.50
09/05/2011,03:00:00,71.33
09/05/2011,04:00:00,72.33
09/05/2011,05:00:00,75.67
09/05/2011,06:00:00,80.67
09/05/2011,07:00:00,72.83
09/05/2011,08:00:00,50.33
09/05/2011,09:00:00,41.33
09/05/2011,10:00:00,33.50
09/05/2011,11:00:00,27.83
09/05/2011,12:00:00,26.33
09/05/2011,13:00:00,25.83
