Date,Time,Values
07/04/2015,16:00:00,94.00
07/04/2015,17:00:00,56.50
07/04/2015,18:00:00,21.33
07/04/2015,19:00:00,15.67
07/04/2015,20:00:00,15.92
07/04/2015,21:00:00,15.75
07/04/2015,22:00:00,15.75
07/04/2015,23:00:00,15.92
08/04/2015,00:00:00,16.00
08/04/2015,01:00:00,15.83
08/04/2015,02:00:00,15.92
08/04/2015,03:00:00,16.00
08/04/2015,04:00:00,15.83
08/04/2015,05:00:00,16.00
08/04/2015,06:00:00,32.00
08/04/2015,07:00:00,93.00
08/04/2015,08:00:00,257.75
08/04/2015,09:00:00,366.00
08/04/2015,10:00:00,395.42
08/04/2015,11:00:00,410.33
08/04/2015,12:00:00,367.58
08/04/2015,13:00:00,247.75
08/04/2015,14:00:00,245.58
08/04/2015,15:00:00,149.33
08/04/2015,16:00:00,90.33
09/04/2015,12:00:00,245.20
09/04/2015,13:00:00,218.92
09/04/2015,14:00:00,233.67
09/04/2015,15:00:00,145.25
09/04/2015,16:00:00,58.08
09/04/2015,17:00:00,40.33
09/04/2015,18:00:00,21.33
09/04/2015,19:00:00,15.92
09/04/2015,20:00:00,15.83
09/04/2015,21:00:00,15.25
09/04/2015,22:00:00,15.67
09/04/2015,23:00:00,16.00
10/04/2015,00:00:00,15.92
10/04/2015,01:00:00,15.92
10/04/2015,02:00:00,15.83
10/04/2015,03:00:00,15.83
10/04/2015,04:00:00,15.75
10/04/2015,05:00:00,16.33
10/04/2015,06:00:00,39.42
10/04/2015,07:00:00,84.08
10/04/2015,08:00:00,283.50
10/04/2015,09:00:00,378.17
10/04/2015,10:00:00,408.00
10/04/2015,11:00:00,414.33
10/04/2015,12:00:00,330.75
10/04/2015,13:00:00,205.25
10/04/2015,14:00:00,238.33
10/04/2015,15:00:00,163.92
10/04/2015,16:00:00,65.42
10/04/2015,17:00:00,44.42
10/04/2015,18:00:00,21.42
10/04/2015,19:00:00,15.92
10/04/2015,20:00:00,16.08
10/04/2015,21:00:00,15.92
10/04/2015,22:00:00,15.50
10/04/2015,23:00:00,15.92
11/04/2015,00:00:00,15.83
11/04/2015,01:00:00,15.92
11/04/2015,02:00:00,15.92
11/04/2015,03:00:00,15.50
11/04/2015,04:00:00,16.00
11/04/2015,05:00:00,16.25
11/04/2015,06:00:00,37.42
11/04/2015,07:00:00,77.50
11/04/2015,08:00:00,266.50
11/04/2015,09:00:00,365.33
11/04/2015,10:00:00,372.67
11/04/2015,11:00:00,397.33
11/04/2015,12:00:00,342.00
11/04/2015,13:00:00,234.92
11/04/2015,14:00:00,258.58
11/04/2015,15:00:00,175.08
11/04/2015,16:00:00,66.67
11/04/2015,17:00:00,49.75
11/04/2015,18:00:00,22.25
11/04/2015,19:00:00,15.83
11/04/2015,20:00:00,15.75
11/04/2015,21:00:00,15.75
11/04/2015,22:00:00,15.67
11/04/2015,23:00:00,16.00
12/04/2015,00:00:00,15.75
12/04/2015,01:00:00,16.00
12/04/2015,02:00:00,15.83
12/04/2015,03:00:00,15.75
12/04/2015,04:00:00,15.75
12/04/2015,05:00:00,15.83
12/04/2015,06:00:00,26.58
12/04/2015,07:00:00,54.33
12/04/2015,08:00:00,73.25
12/04/2015,09:00:00,94.67
12/04/2015,10:00:00,161.00
12/04/2015,11:00:00,137.25
12/04/2015,12:00:00,149.33
12/04/2015,13:00:00,161.00
12/04/2015,20:00:00,15.73
12/04/2015,21:00:00,15.92
12/04/2015,22:00:00,16.00
12/04/2015,23:00:00,15.67
13/04/2015,00:00:00,15.83
13/04/2015,01:00:00,15.92
13/04/2015,02:00:00,15.92
13/04/2015,03:00:00,15.75
13/04/2015,04:00:00,15.92
13/04/2015,05:00:00,16.25
13/04/2015,06:00:00,31.75
13/04/2015,07:00:00,65.92
13/04/2015,08:00:00,167.00
13/04/2015,09:00:00,308.17
13/04/2015,10:00:00,397.75
13/04/2015,11:00:00,400.00
13/04/2015,12:00:00,348.75
13/04/2015,13:00:00,254.08
13/04/2015,14:00:00,222.83
13/04/2015,15:00:00,169.17
13/04/2015,16:00:00,122.08
13/04/2015,17:00:00,67.00
13/04/2015,18:00:00,46.33
13/04/2015,19:00:00,15.75
13/04/2015,20:00:00,15.92
13/04/2015,21:00:00,15.75
13/04/2015,22:00:00,15.67
13/04/2015,23:00:00,15.75
14/04/2015,00:00:00,15.83
14/04/2015,01:00:00,15.92
14/04/2015,02:00:00,15.92
14/04/2015,03:00:00,15.92
14/04/2015,04:00:00,15.83
14/04/2015,05:00:00,16.17
14/04/2015,06:00:00,40.17
14/04/2015,07:00:00,81.58
14/04/2015,08:00:00,281.00
14/04/2015,09:00:00,380.92
14/04/2015,10:00:00,404.75
14/04/2015,11:00:00,408.00
15/04/2015,18:00:00,16.60
15/04/2015,19:00:00,15.92
15/04/2015,20:00:00,16.00
15/04/2015,21:00:00,15.83
15/04/2015,22:00:00,15.92
15/04/2015,23:00:00,15.92
16/04/2015,00:00:00,15.83
16/04/2015,01:00:00,15.75
16/04/2015,02:00:00,15.75
16/04/2015,03:00:00,15.92
16/04/2015,04:00:00,15.75
16/04/2015,05:00:00,16.75
16/04/2015,06:00:00,42.58
16/04/2015,07:00:00,84.75
16/04/2015,08:00:00,236.25
16/04/2015,09:00:00,240.58
16/04/2015,10:00:00,260.58
16/04/2015,11:00:00,308.25
16/04/2015,12:00:00,168.25
16/04/2015,13:00:00,209.25
16/04/2015,14:00:00,190.92
16/04/2015,15:00:00,142.83
16/04/2015,16:00:00,98.83
16/04/2015,17:00:00,53.67
16/04/2015,18:00:00,26.50
16/04/2015,19:00:00,16.00
16/04/2015,20:00:00,15.75
16/04/2015,21:00:00,15.92
16/04/2015,22:00:00,15.92
16/04/2015,23:00:00,15.75
17/04/2015,00:00:00,15.83
17/04/2015,01:00:00,15.75
17/04/2015,02:00:00,15.92
17/04/2015,03:00:00,15.92
17/04/2015,04:00:00,15.83
17/04/2015,05:00:00,16.75
17/04/2015,06:00:00,44.08
17/04/2015,07:00:00,95.92
17/04/2015,08:00:00,224.75
17/04/2015,09:00:00,370.75
17/04/2015,10:00:00,396.75
17/04/2015,11:00:00,407.00
17/04/2015,12:00:00,341.00
17/04/2015,13:00:00,199.17
17/04/2015,14:00:00,174.83
17/04/2015,15:00:00,179.00
17/04/2015,16:00:00,92.42
17/04/2015,17:00:00,57.83
17/04/2015,18:00:00,24.17
17/04/2015,19:00:00,15.83
17/04/2015,20:00:00,15.92
17/04/2015,21:00:00,15.75
17/04/2015,22:00:00,15.75
17/04/2015,23:00:00,15.92
18/04/2015,00:00:00,15.92
18/04/2015,01:00:00,15.42
18/04/2015,02:00:00,15.92
18/04/2015,03:00:00,15.75
18/04/2015,04:00:00,16.00
18/04/2015,05:00:00,16.92
18/04/2015,06:00:00,45.42
18/04/2015,07:00:00,99.92
18/04/2015,08:00:00,221.58
18/04/2015,09:00:00,364.08
18/04/2015,10:00:00,389.08
18/04/2015,11:00:00,395.67
18/04/2015,12:00:00,339.58
18/04/2015,13:00:00,209.75
18/04/2015,14:00:00,173.33
18/04/2015,15:00:00,177.58
18/04/2015,16:00:00,90.50
18/04/2015,17:00:00,54.83
18/04/2015,18:00:00,24.33
18/04/2015,19:00:00,15.83
18/04/2015,20:00:00,15.92
18/04/2015,21:00:00,15.83
18/04/2015,22:00:00,15.92
18/04/2015,23:00:00,16.00
19/04/2015,00:00:00,16.00
19/04/2015,01:00:00,15.83
19/04/2015,02:00:00,15.92
19/04/2015,03:00:00,15.92
19/04/2015,04:00:00,15.83
19/04/2015,05:00:00,16.92
19/04/2015,06:00:00,42.92
19/04/2015,07:00:00,89.75
19/04/2015,08:00:00,220.00
19/04/2015,09:00:00,357.33
19/04/2015,10:00:00,379.50
19/04/2015,11:00:00,390.92
19/04/2015,12:00:00,330.42
19/04/2015,13:00:00,192.83
19/04/2015,14:00:00,165.50
19/04/2015,15:00:00,179.33
19/04/2015,16:00:00,91.00
19/04/2015,17:00:00,54.75
19/04/2015,18:00:00,23.58
