Date,Time,Values
24/04/2011,14:00:00,17.90
24/04/2011,15:00:00,18.43
24/04/2011,16:00:00,23.57
24/04/2011,17:00:00,24.78
24/04/2011,18:00:00,27.85
24/04/2011,19:00:00,33.17
24/04/2011,20:00:00,36.02
24/04/2011,21:00:00,32.32
24/04/2011,22:00:00,31.38
24/04/2011,23:00:00,34.65
25/04/2011,00:00:00,40.45
25/04/2011,01:00:00,42.88
25/04/2011,02:00:00,55.40
25/04/2011,03:00:00,45.50
25/04/2011,04:00:00,48.85
25/04/2011,05:00:00,39.63
25/04/2011,06:00:00,44.50
25/04/2011,07:00:00,44.95
25/04/2011,08:00:00,73.70
25/04/2011,09:00:00,81.08
25/04/2011,10:00:00,66.05
25/04/2011,11:00:00,45.83
25/04/2011,12:00:00,25.75
25/04/2011,13:00:00,28.33
25/04/2011,14:00:00,30.68
25/04/2011,15:00:00,26.05
25/04/2011,16:00:00,31.52
25/04/2011,17:00:00,23.10
25/04/2011,18:00:00,23.83
25/04/2011,19:00:00,27.67
25/04/2011,20:00:00,39.15
25/04/2011,21:00:00,38.85
25/04/2011,22:00:00,36.87
25/04/2011,23:00:00,34.02
26/04/2011,00:00:00,81.70
26/04/2011,01:00:00,78.13
26/04/2011,02:00:00,95.43
26/04/2011,03:00:00,109.90
26/04/2011,04:00:00,80.18
26/04/2011,05:00:00,43.92
26/04/2011,06:00:00,33.47
26/04/2011,07:00:00,29.58
26/04/2011,08:00:00,35.08
26/04/2011,09:00:00,28.15
26/04/2011,10:00:00,23.13
26/04/2011,11:00:00,21.77
26/04/2011,12:00:00,21.70
26/04/2011,13:00:00,21.35
26/04/2011,14:00:00,30.75
26/04/2011,15:00:00,28.75
26/04/2011,16:00:00,22.72
26/04/2011,17:00:00,26.50
26/04/2011,18:00:00,37.85
26/04/2011,19:00:00,63.92
26/04/2011,20:00:00,63.42
26/04/2011,21:00:00,30.35
26/04/2011,22:00:00,22.90
26/04/2011,23:00:00,21.63
27/04/2011,00:00:00,19.08
27/04/2011,01:00:00,34.30
27/04/2011,02:00:00,78.00
27/04/2011,03:00:00,55.17
27/04/2011,04:00:00,28.83
27/04/2011,05:00:00,22.50
28/04/2011,14:00:00,18.70
28/04/2011,16:00:00,16.02
28/04/2011,17:00:00,9.82
28/04/2011,18:00:00,12.40
28/04/2011,19:00:00,7.50
28/04/2011,20:00:00,16.30
28/04/2011,21:00:00,16.80
28/04/2011,22:00:00,18.62
28/04/2011,23:00:00,21.18
29/04/2011,00:00:00,12.12
29/04/2011,01:00:00,10.88
29/04/2011,02:00:00,10.33
29/04/2011,03:00:00,6.50
29/04/2011,04:00:00,8.03
29/04/2011,05:00:00,58.97
29/04/2011,06:00:00,102.50
29/04/2011,07:00:00,86.68
29/04/2011,08:00:00,71.38
29/04/2011,09:00:00,61.28
29/04/2011,10:00:00,41.52
29/04/2011,11:00:00,25.27
29/04/2011,12:00:00,24.05
29/04/2011,13:00:00,20.77
29/04/2011,14:00:00,18.45
29/04/2011,15:00:00,19.52
29/04/2011,16:00:00,13.68
29/04/2011,17:00:00,14.62
29/04/2011,18:00:00,15.72
29/04/2011,19:00:00,23.68
29/04/2011,20:00:00,46.95
29/04/2011,21:00:00,41.53
29/04/2011,22:00:00,36.85
29/04/2011,23:00:00,66.08
30/04/2011,00:00:00,74.43
30/04/2011,01:00:00,63.97
30/04/2011,02:00:00,77.12
30/04/2011,03:00:00,55.65
30/04/2011,04:00:00,71.45
30/04/2011,05:00:00,46.80
30/04/2011,06:00:00,25.82
30/04/2011,07:00:00,28.75
30/04/2011,08:00:00,30.45
30/04/2011,09:00:00,28.75
30/04/2011,10:00:00,27.67
30/04/2011,11:00:00,17.18
30/04/2011,12:00:00,18.83
30/04/2011,13:00:00,14.00
30/04/2011,21:00:00,40.12
30/04/2011,22:00:00,77.30
30/04/2011,23:00:00,74.92
01/05/2011,00:00:00,132.88
01/05/2011,01:00:00,111.85
01/05/2011,02:00:00,76.33
01/05/2011,03:00:00,55.60
01/05/2011,04:00:00,50.38
01/05/2011,05:00:00,71.33
01/05/2011,06:00:00,47.53
01/05/2011,07:00:00,41.02
01/05/2011,08:00:00,95.73
01/05/2011,09:00:00,93.83
01/05/2011,10:00:00,98.88
01/05/2011,11:00:00,64.03
01/05/2011,12:00:00,20.87
01/05/2011,13:00:00,15.88
01/05/2011,14:00:00,16.00
01/05/2011,15:00:00,14.28
01/05/2011,16:00:00,9.27
01/05/2011,17:00:00,13.63
01/05/2011,18:00:00,13.25
01/05/2011,19:00:00,17.67
01/05/2011,20:00:00,27.05
01/05/2011,21:00:00,22.27
01/05/2011,22:00:00,31.60
01/05/2011,23:00:00,43.80
02/05/2011,00:00:00,44.43
02/05/2011,01:00:00,37.75
02/05/2011,02:00:00,36.28
02/05/2011,03:00:00,38.03
02/05/2011,04:00:00,57.23
02/05/2011,05:00:00,49.62
02/05/2011,06:00:00,33.32
02/05/2011,07:00:00,26.75
02/05/2011,08:00:00,21.13
02/05/2011,09:00:00,26.90
02/05/2011,10:00:00,29.80
