Date,Time,Values
07/04/2015,16:00:00,26.29
07/04/2015,17:00:00,24.99
07/04/2015,18:00:00,23.20
07/04/2015,19:00:00,21.72
07/04/2015,20:00:00,20.89
07/04/2015,21:00:00,20.55
07/04/2015,22:00:00,19.86
07/04/2015,23:00:00,19.27
08/04/2015,00:00:00,19.00
08/04/2015,01:00:00,18.63
08/04/2015,02:00:00,18.57
08/04/2015,03:00:00,18.18
08/04/2015,04:00:00,17.71
08/04/2015,05:00:00,16.96
08/04/2015,06:00:00,17.13
08/04/2015,07:00:00,18.60
08/04/2015,08:00:00,22.08
08/04/2015,09:00:00,24.63
08/04/2015,10:00:00,26.71
08/04/2015,11:00:00,28.77
08/04/2015,12:00:00,29.66
08/04/2015,13:00:00,29.54
08/04/2015,14:00:00,29.91
08/04/2015,15:00:00,29.54
08/04/2015,16:00:00,29.40
09/04/2015,12:00:00,29.46
09/04/2015,13:00:00,29.60
09/04/2015,14:00:00,29.81
09/04/2015,15:00:00,29.97
09/04/2015,16:00:00,29.93
09/04/2015,17:00:00,29.15
09/04/2015,18:00:00,27.73
09/04/2015,19:00:00,26.38
09/04/2015,20:00:00,25.14
09/04/2015,21:00:00,24.17
09/04/2015,22:00:00,24.00
09/04/2015,23:00:00,23.22
10/04/2015,00:00:00,22.24
10/04/2015,01:00:00,21.39
10/04/2015,02:00:00,20.58
10/04/2015,03:00:00,19.75
10/04/2015,04:00:00,19.09
10/04/2015,05:00:00,18.82
10/04/2015,06:00:00,19.29
10/04/2015,07:00:00,21.28
10/04/2015,08:00:00,24.19
10/04/2015,09:00:00,26.31
10/04/2015,10:00:00,28.97
10/04/2015,11:00:00,31.19
10/04/2015,12:00:00,31.90
10/04/2015,13:00:00,32.08
10/04/2015,14:00:00,32.33
10/04/2015,15:00:00,32.37
10/04/2015,16:00:00,32.13
10/04/2015,17:00:00,31.32
10/04/2015,18:00:00,29.57
10/04/2015,19:00:00,27.58
10/04/2015,20:00:00,26.28
10/04/2015,21:00:00,25.46
10/04/2015,22:00:00,24.57
10/04/2015,23:00:00,24.17
11/04/2015,00:00:00,23.03
11/04/2015,01:00:00,22.61
11/04/2015,02:00:00,21.85
11/04/2015,03:00:00,21.48
11/04/2015,04:00:00,20.98
11/04/2015,05:00:00,20.49
11/04/2015,06:00:00,20.80
11/04/2015,07:00:00,23.13
11/04/2015,08:00:00,26.27
11/04/2015,09:00:00,29.28
11/04/2015,10:00:00,32.55
11/04/2015,11:00:00,34.18
11/04/2015,12:00:00,34.82
11/04/2015,13:00:00,33.35
11/04/2015,14:00:00,34.38
11/04/2015,15:00:00,34.12
11/04/2015,16:00:00,32.73
11/04/2015,17:00:00,31.26
11/04/2015,18:00:00,29.52
11/04/2015,19:00:00,27.60
11/04/2015,20:00:00,26.64
11/04/2015,21:00:00,26.23
11/04/2015,22:00:00,25.61
11/04/2015,23:00:00,23.40
12/04/2015,00:00:00,20.64
12/04/2015,01:00:00,20.56
12/04/2015,02:00:00,20.35
12/04/2015,03:00:00,19.65
12/04/2015,04:00:00,19.73
12/04/2015,05:00:00,18.92
12/04/2015,06:00:00,19.42
12/04/2015,07:00:00,19.83
12/04/2015,08:00:00,20.72
