Date,Time,Values
07/04/2015,16:00:00,8.18
07/04/2015,17:00:00,8.87
07/04/2015,18:00:00,10.12
07/04/2015,19:00:00,11.27
07/04/2015,20:00:00,10.84
07/04/2015,21:00:00,14.34
07/04/2015,22:00:00,9.78
07/04/2015,23:00:00,9.92
08/04/2015,00:00:00,9.3
08/04/2015,01:00:00,10.83
08/04/2015,02:00:00,10.03
08/04/2015,03:00:00,4.77
08/04/2015,04:00:00,4.51
08/04/2015,05:00:00,5.03
08/04/2015,06:00:00,5.95
08/04/2015,07:00:00,8.8
08/04/2015,08:00:00,11.64
08/04/2015,09:00:00,8.47
08/04/2015,10:00:00,6.95
08/04/2015,11:00:00,4.7
08/04/2015,12:00:00,5.38
08/04/2015,13:00:00,5.36
08/04/2015,14:00:00,4.27
08/04/2015,15:00:00,5.26
08/04/2015,16:00:00,4.6
09/04/2015,12:00:00,5.9
09/04/2015,13:00:00,6.78
09/04/2015,14:00:00,4.45
09/04/2015,15:00:00,4.33
09/04/2015,16:00:00,5.01
09/04/2015,17:00:00,6.01
09/04/2015,18:00:00,8.0
09/04/2015,19:00:00,24.39
09/04/2015,20:00:00,61.37
09/04/2015,21:00:00,74.17
09/04/2015,22:00:00,45.97
09/04/2015,23:00:00,10.46
10/04/2015,00:00:00,4.97
10/04/2015,01:00:00,4.13
10/04/2015,02:00:00,4.12
10/04/2015,03:00:00,4.15
10/04/2015,04:00:00,3.91
10/04/2015,05:00:00,3.42
10/04/2015,06:00:00,5.02
10/04/2015,07:00:00,7.27
10/04/2015,08:00:00,8.48
10/04/2015,09:00:00,8.73
10/04/2015,10:00:00,6.21
10/04/2015,11:00:00,8.41
10/04/2015,12:00:00,8.52
10/04/2015,13:00:00,7.08
10/04/2015,14:00:00,4.49
10/04/2015,15:00:00,5.33
10/04/2015,16:00:00,5.67
10/04/2015,17:00:00,6.52
10/04/2015,18:00:00,8.67
10/04/2015,19:00:00,22.27
10/04/2015,20:00:00,55.16
10/04/2015,21:00:00,77.15
10/04/2015,22:00:00,89.98
10/04/2015,23:00:00,44.15
11/04/2015,00:00:00,19.42
11/04/2015,01:00:00,17.3
11/04/2015,02:00:00,15.04
11/04/2015,03:00:00,18.33
11/04/2015,04:00:00,21.84
11/04/2015,05:00:00,18.03
11/04/2015,06:00:00,17.61
11/04/2015,07:00:00,21.51
11/04/2015,08:00:00,16.68
11/04/2015,09:00:00,10.38
11/04/2015,10:00:00,10.25
11/04/2015,11:00:00,6.67
11/04/2015,12:00:00,8.31
11/04/2015,13:00:00,6.13
11/04/2015,14:00:00,4.21
11/04/2015,15:00:00,5.28
11/04/2015,16:00:00,6.12
11/04/2015,17:00:00,6.04
11/04/2015,18:00:00,12.21
11/04/2015,19:00:00,39.28
11/04/2015,20:00:00,44.97
11/04/2015,21:00:00,42.6
11/04/2015,22:00:00,27.22
11/04/2015,23:00:00,5.15
12/04/2015,00:00:00,6.26
12/04/2015,01:00:00,8.12
12/04/2015,02:00:00,4.49
12/04/2015,03:00:00,3.74
12/04/2015,04:00:00,3.15
12/04/2015,05:00:00,3.4
12/04/2015,06:00:00,2.78
12/04/2015,07:00:00,3.32
12/04/2015,08:00:00,5.68
12/04/2015,09:00:00,4.85
12/04/2015,10:00:00,6.05
12/04/2015,11:00:00,7.91
12/04/2015,12:00:00,9.28
12/04/2015,13:00:00,15.3
12/04/2015,20:00:00,12.38
12/04/2015,21:00:00,10.58
12/04/2015,22:00:00,11.91
12/04/2015,23:00:00,8.71
13/04/2015,00:00:00,11.98
13/04/2015,01:00:00,11.39
13/04/2015,02:00:00,9.32
13/04/2015,03:00:00,9.68
13/04/2015,04:00:00,8.98
13/04/2015,05:00:00,8.42
13/04/2015,06:00:00,9.06
13/04/2015,07:00:00,9.47
13/04/2015,08:00:00,12.86
13/04/2015,09:00:00,10.56
13/04/2015,10:00:00,10.17
13/04/2015,11:00:00,6.96
13/04/2015,12:00:00,5.35
13/04/2015,13:00:00,4.85
