Date,Time,Values
07/04/2015,16:00:00,-0.10
07/04/2015,17:00:00,-0.10
07/04/2015,18:00:00,-0.11
07/04/2015,19:00:00,-0.11
07/04/2015,20:00:00,-0.10
07/04/2015,21:00:00,-0.10
07/04/2015,22:00:00,-0.10
07/04/2015,23:00:00,-0.10
08/04/2015,00:00:00,NA
08/04/2015,01:00:00,-0.10
08/04/2015,04:00:00,0.12
08/04/2015,05:00:00,-0.10
08/04/2015,06:00:00,0.10
08/04/2015,07:00:00,0.13
08/04/2015,08:00:00,0.03
08/04/2015,09:00:00,0.11
08/04/2015,10:00:00,0.23
08/04/2015,11:00:00,0.16
08/04/2015,12:00:00,0.16
08/04/2015,13:00:00,0.15
08/04/2015,14:00:00,0.05
08/04/2015,15:00:00,0.06
08/04/2015,16:00:00,0.15
09/04/2015,12:00:00,0.08
09/04/2015,13:00:00,-0.06
09/04/2015,14:00:00,0.15
09/04/2015,15:00:00,0.01
09/04/2015,16:00:00,0.02
09/04/2015,17:00:00,-0.08
09/04/2015,18:00:00,-0.05
09/04/2015,19:00:00,-0.10
09/04/2015,20:00:00,-0.10
10/04/2015,00:00:00,0.03
10/04/2015,01:00:00,0.20
10/04/2015,06:00:00,-0.10
10/04/2015,07:00:00,-0.10
10/04/2015,08:00:00,-0.10
10/04/2015,09:00:00,-0.05
10/04/2015,10:00:00,-0.06
10/04/2015,11:00:00,-0.10
10/04/2015,12:00:00,-0.09
10/04/2015,13:00:00,0.16
10/04/2015,14:00:00,-0.01
10/04/2015,15:00:00,0.08
10/04/2015,16:00:00,0.12
10/04/2015,17:00:00,0.04
10/04/2015,18:00:00,-0.10
10/04/2015,19:00:00,-0.10
10/04/2015,21:00:00,-0.10
10/04/2015,22:00:00,0.40
10/04/2015,23:00:00,0.38
11/04/2015,00:00:00,0.29
11/04/2015,01:00:00,0.30
11/04/2015,02:00:00,0.28
11/04/2015,03:00:00,0.28
11/04/2015,07:00:00,-0.10
11/04/2015,08:00:00,-0.10
11/04/2015,09:00:00,0.10
11/04/2015,10:00:00,-0.09
11/04/2015,11:00:00,-0.07
11/04/2015,12:00:00,-0.10
11/04/2015,13:00:00,-0.05
11/04/2015,14:00:00,-0.05
11/04/2015,15:00:00,-0.08
11/04/2015,16:00:00,0.10
11/04/2015,18:00:00,-0.06
11/04/2015,19:00:00,-0.10
11/04/2015,21:00:00,-0.03
11/04/2015,22:00:00,0.58
11/04/2015,23:00:00,0.35
12/04/2015,00:00:00,0.70
12/04/2015,01:00:00,0.95
12/04/2015,02:00:00,0.90
12/04/2015,03:00:00,0.71
12/04/2015,04:00:00,0.71
12/04/2015,05:00:00,0.54
12/04/2015,06:00:00,0.69
12/04/2015,07:00:00,0.71
12/04/2015,08:00:00,0.71
12/04/2015,09:00:00,0.76
12/04/2015,10:00:00,0.75
12/04/2015,11:00:00,0.79
12/04/2015,12:00:00,0.88
12/04/2015,13:00:00,0.82
12/04/2015,20:00:00,0.69
12/04/2015,21:00:00,0.70
12/04/2015,22:00:00,0.43
12/04/2015,23:00:00,0.18
13/04/2015,00:00:00,0.20
13/04/2015,01:00:00,0.20
13/04/2015,02:00:00,0.20
13/04/2015,03:00:00,0.20
13/04/2015,04:00:00,0.20
13/04/2015,05:00:00,0.20
13/04/2015,06:00:00,0.21
13/04/2015,07:00:00,0.19
13/04/2015,08:00:00,0.22
13/04/2015,09:00:00,0.18
13/04/2015,10:00:00,0.21
13/04/2015,11:00:00,0.14
13/04/2015,12:00:00,-0.17
13/04/2015,13:00:00,-0.06
13/04/2015,14:00:00,-0.03
13/04/2015,15:00:00,-0.07
13/04/2015,16:00:00,-0.18
13/04/2015,17:00:00,-0.03
13/04/2015,18:00:00,NA
13/04/2015,19:00:00,0.06
13/04/2015,21:00:00,0.10
13/04/2015,22:00:00,0.14
13/04/2015,23:00:00,0.10
14/04/2015,03:00:00,-0.10
14/04/2015,04:00:00,0.10
14/04/2015,06:00:00,0.10
14/04/2015,07:00:00,-0.10
14/04/2015,08:00:00,-0.08
14/04/2015,09:00:00,-0.06
14/04/2015,10:00:00,-0.13
14/04/2015,11:00:00,-0.10
15/04/2015,18:00:00,NA
15/04/2015,19:00:00,0.07
15/04/2015,20:00:00,0.10
15/04/2015,23:00:00,0.10
16/04/2015,00:00:00,NA
16/04/2015,01:00:00,-0.10
16/04/2015,02:00:00,-0.10
16/04/2015,03:00:00,0.03
16/04/2015,07:00:00,-0.10
16/04/2015,08:00:00,-0.06
16/04/2015,09:00:00,0.22
16/04/2015,10:00:00,0.30
16/04/2015,11:00:00,-0.02
16/04/2015,12:00:00,0.26
16/04/2015,13:00:00,0.47
16/04/2015,14:00:00,0.12
16/04/2015,15:00:00,0.07
16/04/2015,16:00:00,0.43
16/04/2015,17:00:00,0.44
16/04/2015,18:00:00,0.33
16/04/2015,19:00:00,NA
16/04/2015,20:00:00,0.11
16/04/2015,21:00:00,0.20
16/04/2015,22:00:00,0.23
16/04/2015,23:00:00,0.12
17/04/2015,00:00:00,0.12
17/04/2015,01:00:00,0.10
17/04/2015,02:00:00,0.11
17/04/2015,03:00:00,0.12
17/04/2015,04:00:00,0.10
17/04/2015,05:00:00,0.10
17/04/2015,06:00:00,0.10
17/04/2015,07:00:00,0.10
17/04/2015,08:00:00,-0.08
17/04/2015,09:00:00,-0.11
17/04/2015,10:00:00,NA
