Date,Time,Values
19/04/2011,13:00:00,263.2
19/04/2011,14:00:00,271.75
24/04/2011,14:00:00,178.0
24/04/2011,15:00:00,227.33
24/04/2011,16:00:00,285.17
24/04/2011,17:00:00,293.17
24/04/2011,18:00:00,297.33
24/04/2011,19:00:00,297.67
24/04/2011,20:00:00,264.67
24/04/2011,21:00:00,232.5
24/04/2011,22:00:00,229.17
24/04/2011,23:00:00,180.0
25/04/2011,00:00:00,191.33
25/04/2011,01:00:00,195.33
25/04/2011,02:00:00,225.0
25/04/2011,03:00:00,240.33
25/04/2011,04:00:00,231.83
25/04/2011,05:00:00,230.83
25/04/2011,06:00:00,230.83
25/04/2011,07:00:00,220.0
25/04/2011,08:00:00,246.17
25/04/2011,09:00:00,268.0
25/04/2011,10:00:00,255.5
25/04/2011,11:00:00,210.5
25/04/2011,12:00:00,217.67
25/04/2011,13:00:00,224.83
25/04/2011,14:00:00,269.67
25/04/2011,15:00:00,271.33
25/04/2011,16:00:00,287.33
25/04/2011,17:00:00,296.5
25/04/2011,18:00:00,270.83
25/04/2011,19:00:00,231.83
25/04/2011,20:00:00,235.33
25/04/2011,21:00:00,242.5
25/04/2011,22:00:00,212.5
25/04/2011,23:00:00,210.67
26/04/2011,00:00:00,244.67
26/04/2011,01:00:00,186.17
26/04/2011,02:00:00,230.67
26/04/2011,03:00:00,161.67
26/04/2011,04:00:00,127.0
26/04/2011,05:00:00,141.33
26/04/2011,06:00:00,140.0
26/04/2011,07:00:00,137.83
26/04/2011,08:00:00,140.83
26/04/2011,09:00:00,138.83
26/04/2011,10:00:00,142.5
26/04/2011,11:00:00,148.17
26/04/2011,12:00:00,148.67
26/04/2011,13:00:00,138.17
26/04/2011,14:00:00,146.83
26/04/2011,15:00:00,147.5
26/04/2011,16:00:00,130.67
26/04/2011,17:00:00,128.0
26/04/2011,18:00:00,121.83
26/04/2011,19:00:00,112.17
26/04/2011,20:00:00,130.17
26/04/2011,21:00:00,135.33
26/04/2011,22:00:00,133.5
26/04/2011,23:00:00,155.17
27/04/2011,00:00:00,155.17
27/04/2011,01:00:00,140.67
27/04/2011,02:00:00,154.5
27/04/2011,03:00:00,154.5
27/04/2011,04:00:00,167.0
27/04/2011,05:00:00,158.0
28/04/2011,14:00:00,113.0
28/04/2011,15:00:00,243.5
28/04/2011,16:00:00,190.83
28/04/2011,17:00:00,219.5
28/04/2011,18:00:00,181.83
28/04/2011,19:00:00,207.67
28/04/2011,20:00:00,155.5
28/04/2011,21:00:00,167.33
28/04/2011,22:00:00,213.0
28/04/2011,23:00:00,212.5
29/04/2011,00:00:00,175.17
29/04/2011,01:00:00,191.67
29/04/2011,02:00:00,212.33
29/04/2011,03:00:00,234.83
29/04/2011,04:00:00,242.83
29/04/2011,05:00:00,273.17
29/04/2011,06:00:00,272.83
29/04/2011,07:00:00,261.17
29/04/2011,08:00:00,267.5
29/04/2011,09:00:00,267.33
29/04/2011,10:00:00,296.0
29/04/2011,11:00:00,285.5
29/04/2011,12:00:00,288.33
29/04/2011,13:00:00,294.83
29/04/2011,14:00:00,289.5
29/04/2011,15:00:00,283.67
29/04/2011,16:00:00,292.0
29/04/2011,17:00:00,295.5
29/04/2011,18:00:00,243.17
29/04/2011,19:00:00,279.33
29/04/2011,20:00:00,290.5
29/04/2011,21:00:00,282.33
29/04/2011,22:00:00,256.83
29/04/2011,23:00:00,276.83
30/04/2011,00:00:00,238.0
30/04/2011,01:00:00,227.5
30/04/2011,02:00:00,213.5
30/04/2011,03:00:00,238.33
30/04/2011,04:00:00,247.17
30/04/2011,05:00:00,238.17
30/04/2011,06:00:00,233.33
30/04/2011,07:00:00,251.33
30/04/2011,08:00:00,257.0
30/04/2011,09:00:00,271.83
30/04/2011,10:00:00,245.0
30/04/2011,11:00:00,248.0
30/04/2011,12:00:00,265.5
30/04/2011,13:00:00,224.0
30/04/2011,21:00:00,283.5
30/04/2011,22:00:00,260.83
30/04/2011,23:00:00,265.33
01/05/2011,00:00:00,279.17
01/05/2011,01:00:00,219.83
01/05/2011,02:00:00,229.83
01/05/2011,03:00:00,244.33
01/05/2011,04:00:00,235.67
01/05/2011,05:00:00,251.67
01/05/2011,06:00:00,234.0
01/05/2011,07:00:00,275.5
01/05/2011,08:00:00,259.0
01/05/2011,09:00:00,247.33
01/05/2011,10:00:00,253.0
01/05/2011,11:00:00,270.67
01/05/2011,12:00:00,280.5
01/05/2011,13:00:00,273.67
01/05/2011,14:00:00,276.5
01/05/2011,15:00:00,279.33
01/05/2011,16:00:00,289.83
01/05/2011,17:00:00,283.33
01/05/2011,18:00:00,274.0
01/05/2011,19:00:00,271.83
01/05/2011,20:00:00,285.83
01/05/2011,21:00:00,292.83
01/05/2011,22:00:00,180.17
01/05/2011,23:00:00,85.17
02/05/2011,00:00:00,173.33
02/05/2011,01:00:00,137.0
02/05/2011,02:00:00,188.17
02/05/2011,03:00:00,223.83
02/05/2011,04:00:00,239.67
02/05/2011,05:00:00,245.33
02/05/2011,06:00:00,261.5
02/05/2011,07:00:00,256.5
02/05/2011,08:00:00,269.0
02/05/2011,09:00:00,265.17
02/05/2011,10:00:00,262.5
02/05/2011,11:00:00,247.5
02/05/2011,12:00:00,262.0
02/05/2011,13:00:00,270.0
02/05/2011,14:00:00,291.67
02/05/2011,15:00:00,278.0
02/05/2011,16:00:00,285.67
02/05/2011,17:00:00,295.67
02/05/2011,18:00:00,144.83
02/05/2011,19:00:00,88.17
02/05/2011,20:00:00,81.33
02/05/2011,21:00:00,154.67
02/05/2011,22:00:00,112.67
02/05/2011,23:00:00,102.17
03/05/2011,00:00:00,147.17
03/05/2011,01:00:00,92.33
03/05/2011,02:00:00,105.33
03/05/2011,03:00:00,185.17
03/05/2011,04:00:00,183.17
03/05/2011,05:00:00,198.0
03/05/2011,06:00:00,215.67
03/05/2011,07:00:00,197.67
03/05/2011,08:00:00,244.67
03/05/2011,09:00:00,269.33
03/05/2011,10:00:00,268.33
03/05/2011,11:00:00,266.33
03/05/2011,12:00:00,272.67
03/05/2011,13:00:00,278.67
03/05/2011,14:00:00,285.17
03/05/2011,15:00:00,245.0
03/05/2011,16:00:00,276.5
03/05/2011,17:00:00,285.33
03/05/2011,18:00:00,272.5
03/05/2011,19:00:00,259.33
03/05/2011,20:00:00,253.33
03/05/2011,21:00:00,257.17
03/05/2011,22:00:00,262.83
03/05/2011,23:00:00,265.17
04/05/2011,00:00:00,264.17
04/05/2011,01:00:00,250.67
04/05/2011,02:00:00,265.0
04/05/2011,03:00:00,267.0
04/05/2011,04:00:00,278.33
04/05/2011,05:00:00,289.17
04/05/2011,06:00:00,268.67
04/05/2011,07:00:00,74.17
04/05/2011,08:00:00,156.67
04/05/2011,09:00:00,178.0
04/05/2011,10:00:00,163.0
04/05/2011,11:00:00,226.17
04/05/2011,12:00:00,236.83
04/05/2011,13:00:00,255.83
04/05/2011,14:00:00,220.5
04/05/2011,15:00:00,180.83
04/05/2011,16:00:00,169.5
04/05/2011,17:00:00,252.17
04/05/2011,18:00:00,252.83
04/05/2011,19:00:00,249.0
04/05/2011,20:00:00,231.5
04/05/2011,21:00:00,229.83
04/05/2011,22:00:00,230.17
04/05/2011,23:00:00,251.5
05/05/2011,00:00:00,169.83
05/05/2011,01:00:00,131.5
05/05/2011,02:00:00,138.0
05/05/2011,03:00:00,129.17
05/05/2011,04:00:00,144.17
05/05/2011,05:00:00,115.0
05/05/2011,06:00:00,95.67
05/05/2011,07:00:00,155.5
05/05/2011,08:00:00,171.83
05/05/2011,09:00:00,182.17
05/05/2011,10:00:00,128.5
05/05/2011,11:00:00,122.5
05/05/2011,12:00:00,122.67
05/05/2011,13:00:00,121.0
05/05/2011,14:00:00,134.67
05/05/2011,15:00:00,133.67
05/05/2011,16:00:00,96.0
05/05/2011,17:00:00,135.33
05/05/2011,18:00:00,143.17
05/05/2011,19:00:00,147.17
05/05/2011,20:00:00,139.33
05/05/2011,21:00:00,135.17
05/05/2011,22:00:00,160.5
05/05/2011,23:00:00,151.33
06/05/2011,00:00:00,79.83
06/05/2011,01:00:00,92.83
06/05/2011,02:00:00,106.33
06/05/2011,03:00:00,126.67
06/05/2011,04:00:00,91.17
06/05/2011,05:00:00,91.0
06/05/2011,06:00:00,103.0
06/05/2011,07:00:00,100.83
06/05/2011,08:00:00,104.67
06/05/2011,09:00:00,121.0
06/05/2011,10:00:00,134.17
06/05/2011,11:00:00,154.33
06/05/2011,12:00:00,179.0
06/05/2011,13:00:00,173.67
