Date,Time,Values
19/04/2011,13:00:00,19.17
19/04/2011,14:00:00,11.58
19/04/2011,15:00:00,11.87
19/04/2011,16:00:00,13.68
19/04/2011,17:00:00,15.33
19/04/2011,18:00:00,11.90
19/04/2011,19:00:00,9.20
19/04/2011,20:00:00,20.17
19/04/2011,21:00:00,17.93
19/04/2011,22:00:00,25.38
19/04/2011,23:00:00,23.82
20/04/2011,00:00:00,29.84
20/04/2011,01:00:00,4.77
20/04/2011,02:00:00,4.68
20/04/2011,03:00:00,2.43
20/04/2011,04:00:00,2.18
20/04/2011,05:00:00,7.02
20/04/2011,06:00:00,0.37
20/04/2011,07:00:00,26.57
20/04/2011,08:00:00,38.47
20/04/2011,09:00:00,30.28
20/04/2011,10:00:00,19.15
20/04/2011,11:00:00,13.34
20/04/2011,12:00:00,5.60
20/04/2011,13:00:00,13.80
24/04/2011,14:00:00,21.40
24/04/2011,15:00:00,30.10
24/04/2011,16:00:00,19.32
24/04/2011,17:00:00,13.43
24/04/2011,18:00:00,24.83
24/04/2011,19:00:00,47.85
24/04/2011,20:00:00,77.48
24/04/2011,21:00:00,90.30
24/04/2011,22:00:00,89.38
24/04/2011,23:00:00,87.02
25/04/2011,00:00:00,57.07
25/04/2011,01:00:00,58.40
25/04/2011,02:00:00,58.40
25/04/2011,03:00:00,57.53
25/04/2011,04:00:00,74.17
25/04/2011,05:00:00,88.35
25/04/2011,06:00:00,86.37
25/04/2011,07:00:00,94.15
25/04/2011,08:00:00,49.55
25/04/2011,09:00:00,29.57
25/04/2011,10:00:00,21.63
25/04/2011,11:00:00,18.98
25/04/2011,12:00:00,26.72
25/04/2011,13:00:00,39.58
25/04/2011,14:00:00,48.08
25/04/2011,16:00:00,3.50
26/04/2011,10:00:00,1.44
26/04/2011,11:00:00,2.46
26/04/2011,12:00:00,4.50
26/04/2011,13:00:00,5.97
26/04/2011,14:00:00,6.23
26/04/2011,15:00:00,6.45
26/04/2011,16:00:00,5.08
26/04/2011,17:00:00,3.20
27/04/2011,09:00:00,0.50
27/04/2011,10:00:00,2.15
27/04/2011,11:00:00,4.60
27/04/2011,12:00:00,3.33
27/04/2011,13:00:00,2.85
27/04/2011,14:00:00,3.08
27/04/2011,15:00:00,6.68
27/04/2011,16:00:00,5.10
27/04/2011,17:00:00,3.18
28/04/2011,08:00:00,1.80
28/04/2011,09:00:00,0.45
28/04/2011,10:00:00,1.28
28/04/2011,11:00:00,3.07
28/04/2011,12:00:00,3.93
28/04/2011,13:00:00,3.22
28/04/2011,14:00:00,3.27
28/04/2011,15:00:00,6.22
28/04/2011,16:00:00,4.12
28/04/2011,17:00:00,1.70
29/04/2011,10:00:00,1.67
29/04/2011,11:00:00,2.25
29/04/2011,12:00:00,0.62
30/04/2011,10:00:00,1.60
30/04/2011,11:00:00,3.05
30/04/2011,12:00:00,100.22
30/04/2011,13:00:00,67.10
02/05/2011,11:00:00,2.05
02/05/2011,12:00:00,1.60
02/05/2011,13:00:00,1.38
02/05/2011,14:00:00,0.65
02/05/2011,15:00:00,0.10
02/05/2011,16:00:00,0.54
02/05/2011,17:00:00,0.20
02/05/2011,22:00:00,0.50
02/05/2011,23:00:00,0.20
03/05/2011,01:00:00,0.20
03/05/2011,09:00:00,0.85
03/05/2011,10:00:00,2.27
03/05/2011,11:00:00,4.42
03/05/2011,12:00:00,5.63
03/05/2011,13:00:00,6.82
03/05/2011,14:00:00,4.40
03/05/2011,16:00:00,0.35
03/05/2011,17:00:00,0.25
03/05/2011,18:00:00,0.20
03/05/2011,19:00:00,0.68
03/05/2011,22:00:00,0.25
04/05/2011,00:00:00,0.85
04/05/2011,01:00:00,0.20
04/05/2011,03:00:00,0.56
04/05/2011,11:00:00,41.45
04/05/2011,12:00:00,68.68
04/05/2011,13:00:00,34.62
04/05/2011,14:00:00,28.90
04/05/2011,15:00:00,26.52
04/05/2011,16:00:00,22.20
04/05/2011,17:00:00,20.38
04/05/2011,18:00:00,19.35
04/05/2011,19:00:00,17.02
04/05/2011,20:00:00,43.38
04/05/2011,21:00:00,43.67
04/05/2011,22:00:00,46.83
04/05/2011,23:00:00,46.40
05/05/2011,00:00:00,14.55
05/05/2011,01:00:00,17.47
05/05/2011,02:00:00,13.32
05/05/2011,03:00:00,9.82
05/05/2011,04:00:00,58.12
05/05/2011,05:00:00,55.98
05/05/2011,06:00:00,50.68
05/05/2011,07:00:00,48.40
05/05/2011,08:00:00,22.18
05/05/2011,09:00:00,15.40
05/05/2011,10:00:00,10.72
05/05/2011,11:00:00,10.35
05/05/2011,12:00:00,105.85
05/05/2011,13:00:00,92.75
05/05/2011,14:00:00,73.30
05/05/2011,16:00:00,0.93
06/05/2011,11:00:00,3.48
06/05/2011,12:00:00,4.63
06/05/2011,13:00:00,6.43
06/05/2011,14:00:00,7.17
06/05/2011,17:00:00,0.30
06/05/2011,18:00:00,0.60
06/05/2011,19:00:00,3.95
06/05/2011,20:00:00,4.67
06/05/2011,22:00:00,4.05
06/05/2011,23:00:00,2.55
07/05/2011,00:00:00,1.07
07/05/2011,01:00:00,0.70
07/05/2011,02:00:00,2.75
07/05/2011,03:00:00,1.50
07/05/2011,09:00:00,1.85
07/05/2011,10:00:00,6.20
07/05/2011,11:00:00,108.63
07/05/2011,12:00:00,46.25
07/05/2011,13:00:00,50.90
07/05/2011,14:00:00,50.93
07/05/2011,15:00:00,23.37
07/05/2011,16:00:00,20.00
07/05/2011,17:00:00,22.03
07/05/2011,18:00:00,16.07
07/05/2011,19:00:00,14.07
07/05/2011,20:00:00,20.93
07/05/2011,21:00:00,22.87
08/05/2011,12:00:00,35.70
08/05/2011,13:00:00,30.92
08/05/2011,14:00:00,20.75
08/05/2011,15:00:00,20.87
08/05/2011,16:00:00,17.33
08/05/2011,17:00:00,14.60
08/05/2011,18:00:00,14.80
08/05/2011,19:00:00,15.90
08/05/2011,20:00:00,35.77
08/05/2011,21:00:00,30.58
08/05/2011,22:00:00,30.73
08/05/2011,23:00:00,28.65
09/05/2011,00:00:00,19.35
09/05/2011,01:00:00,10.38
09/05/2011,02:00:00,8.07
09/05/2011,03:00:00,7.93
09/05/2011,04:00:00,9.08
09/05/2011,05:00:00,66.08
09/05/2011,06:00:00,54.38
09/05/2011,07:00:00,45.77
09/05/2011,08:00:00,23.15
09/05/2011,09:00:00,26.33
09/05/2011,10:00:00,25.77
09/05/2011,11:00:00,27.43
09/05/2011,12:00:00,37.05
09/05/2011,13:00:00,31.92
09/05/2011,14:00:00,35.67
09/05/2011,15:00:00,40.53
09/05/2011,16:00:00,20.30
09/05/2011,17:00:00,14.27
09/05/2011,18:00:00,12.75
09/05/2011,19:00:00,17.15
09/05/2011,20:00:00,38.15
09/05/2011,21:00:00,51.40
09/05/2011,22:00:00,59.77
09/05/2011,23:00:00,68.15
10/05/2011,00:00:00,34.88
10/05/2011,01:00:00,25.68
10/05/2011,02:00:00,27.72
10/05/2011,03:00:00,25.33
