Date,Time,Values
19/04/2013,21:00:00,737.20
19/04/2013,22:00:00,737.17
19/04/2013,23:00:00,739.92
20/04/2013,00:00:00,744.17
20/04/2013,01:00:00,746.42
20/04/2013,02:00:00,747.67
20/04/2013,03:00:00,748.50
20/04/2013,04:00:00,744.75
20/04/2013,05:00:00,742.67
20/04/2013,06:00:00,743.00
20/04/2013,07:00:00,741.83
20/04/2013,08:00:00,743.25
20/04/2013,09:00:00,741.33
20/04/2013,10:00:00,739.08
20/04/2013,11:00:00,736.33
20/04/2013,12:00:00,738.00
20/04/2013,13:00:00,737.00
20/04/2013,14:00:00,736.25
20/04/2013,15:00:00,735.25
20/04/2013,16:00:00,738.42
20/04/2013,17:00:00,741.83
20/04/2013,18:00:00,745.92
20/04/2013,19:00:00,747.50
20/04/2013,20:00:00,743.42
20/04/2013,21:00:00,738.43
04/04/2015,10:00:00,736.00
04/04/2015,11:00:00,735.42
04/04/2015,12:00:00,733.42
04/04/2015,13:00:00,731.50
04/04/2015,14:00:00,730.42
04/04/2015,15:00:00,729.17
04/04/2015,16:00:00,732.42
04/04/2015,17:00:00,732.75
04/04/2015,18:00:00,731.00
04/04/2015,19:00:00,732.33
04/04/2015,20:00:00,732.00
04/04/2015,21:00:00,732.00
04/04/2015,22:00:00,732.00
04/04/2015,23:00:00,732.00
05/04/2015,00:00:00,734.42
05/04/2015,01:00:00,736.00
05/04/2015,02:00:00,736.00
05/04/2015,03:00:00,736.08
05/04/2015,04:00:00,735.08
05/04/2015,05:00:00,733.42
05/04/2015,06:00:00,732.17
05/04/2015,07:00:00,732.00
05/04/2015,08:00:00,732.92
05/04/2015,09:00:00,733.00
05/04/2015,10:00:00,731.67
09/04/2015,12:00:00,730.20
09/04/2015,13:00:00,731.00
09/04/2015,14:00:00,731.08
09/04/2015,15:00:00,731.00
09/04/2015,16:00:00,727.58
09/04/2015,17:00:00,725.00
09/04/2015,18:00:00,724.25
09/04/2015,19:00:00,725.00
09/04/2015,20:00:00,729.67
09/04/2015,21:00:00,727.75
09/04/2015,22:00:00,727.25
09/04/2015,23:00:00,728.42
10/04/2015,00:00:00,732.50
10/04/2015,01:00:00,735.08
10/04/2015,02:00:00,735.92
10/04/2015,03:00:00,736.00
10/04/2015,04:00:00,734.33
10/04/2015,05:00:00,733.08
10/04/2015,06:00:00,733.00
10/04/2015,07:00:00,731.83
10/04/2015,08:00:00,731.83
10/04/2015,09:00:00,728.75
10/04/2015,10:00:00,726.92
10/04/2015,11:00:00,726.83
10/04/2015,12:00:00,730.00
10/04/2015,13:00:00,731.50
10/04/2015,14:00:00,732.00
10/04/2015,15:00:00,732.00
10/04/2015,16:00:00,729.33
10/04/2015,17:00:00,727.00
10/04/2015,18:00:00,726.25
10/04/2015,19:00:00,725.17
10/04/2015,20:00:00,728.58
10/04/2015,21:00:00,728.00
10/04/2015,22:00:00,727.33
10/04/2015,23:00:00,728.00
11/04/2015,00:00:00,731.83
11/04/2015,01:00:00,735.17
11/04/2015,02:00:00,735.92
11/04/2015,03:00:00,736.00
11/04/2015,04:00:00,734.08
11/04/2015,05:00:00,733.00
11/04/2015,06:00:00,733.00
11/04/2015,07:00:00,732.25
11/04/2015,08:00:00,730.08
11/04/2015,09:00:00,727.33
11/04/2015,10:00:00,728.00
11/04/2015,11:00:00,728.00
11/04/2015,12:00:00,730.92
11/04/2015,13:00:00,731.92
11/04/2015,14:00:00,732.00
11/04/2015,15:00:00,732.00
11/04/2015,16:00:00,729.75
11/04/2015,17:00:00,728.00
11/04/2015,18:00:00,727.25
11/04/2015,19:00:00,725.50
11/04/2015,20:00:00,728.83
11/04/2015,21:00:00,728.67
11/04/2015,22:00:00,727.50
11/04/2015,23:00:00,727.83
12/04/2015,00:00:00,732.08
12/04/2015,01:00:00,734.83
12/04/2015,02:00:00,735.50
12/04/2015,03:00:00,736.00
12/04/2015,04:00:00,733.83
12/04/2015,05:00:00,732.00
12/04/2015,06:00:00,731.58
12/04/2015,07:00:00,730.83
12/04/2015,08:00:00,733.33
12/04/2015,09:00:00,735.00
12/04/2015,10:00:00,731.58
