Date,Time,Values
19/04/2013,21:00:00,14.98
19/04/2013,22:00:00,14.78
19/04/2013,23:00:00,17.08
20/04/2013,00:00:00,17.68
20/04/2013,01:00:00,18.19
20/04/2013,02:00:00,19.93
20/04/2013,03:00:00,21.16
20/04/2013,04:00:00,20.65
20/04/2013,05:00:00,18.51
20/04/2013,06:00:00,17.97
20/04/2013,07:00:00,18.01
20/04/2013,08:00:00,12.61
20/04/2013,09:00:00,11.25
20/04/2013,10:00:00,8.50
20/04/2013,11:00:00,5.81
20/04/2013,12:00:00,3.68
20/04/2013,13:00:00,2.81
20/04/2013,14:00:00,1.95
20/04/2013,15:00:00,1.60
20/04/2013,16:00:00,1.64
20/04/2013,17:00:00,3.01
20/04/2013,18:00:00,6.28
20/04/2013,19:00:00,13.85
20/04/2013,20:00:00,18.05
20/04/2013,21:00:00,14.11
04/04/2015,10:00:00,1.63
04/04/2015,11:00:00,1.88
04/04/2015,12:00:00,1.36
04/04/2015,13:00:00,0.98
04/04/2015,14:00:00,1.30
04/04/2015,15:00:00,1.98
04/04/2015,16:00:00,1.71
04/04/2015,17:00:00,2.43
04/04/2015,18:00:00,2.67
04/04/2015,19:00:00,4.10
04/04/2015,20:00:00,3.79
04/04/2015,21:00:00,4.23
04/04/2015,22:00:00,4.31
04/04/2015,23:00:00,2.81
05/04/2015,00:00:00,2.03
05/04/2015,01:00:00,2.41
05/04/2015,02:00:00,2.90
05/04/2015,03:00:00,3.42
05/04/2015,04:00:00,3.53
05/04/2015,05:00:00,3.15
05/04/2015,06:00:00,3.08
05/04/2015,07:00:00,4.30
05/04/2015,08:00:00,4.07
05/04/2015,09:00:00,2.96
05/04/2015,10:00:00,3.20
09/04/2015,12:00:00,0.80
09/04/2015,13:00:00,0.78
09/04/2015,14:00:00,0.70
09/04/2015,15:00:00,0.68
09/04/2015,16:00:00,0.80
09/04/2015,17:00:00,1.02
09/04/2015,18:00:00,1.44
09/04/2015,19:00:00,2.63
09/04/2015,20:00:00,4.49
09/04/2015,21:00:00,4.68
09/04/2015,22:00:00,4.28
09/04/2015,23:00:00,4.34
10/04/2015,00:00:00,4.11
10/04/2015,01:00:00,5.38
10/04/2015,02:00:00,5.79
10/04/2015,03:00:00,5.52
10/04/2015,04:00:00,4.57
10/04/2015,05:00:00,3.95
10/04/2015,06:00:00,4.28
10/04/2015,07:00:00,4.06
10/04/2015,08:00:00,4.35
10/04/2015,09:00:00,4.17
10/04/2015,10:00:00,2.20
10/04/2015,11:00:00,1.43
10/04/2015,12:00:00,1.02
10/04/2015,13:00:00,0.76
10/04/2015,14:00:00,0.68
10/04/2015,15:00:00,0.81
10/04/2015,16:00:00,0.81
10/04/2015,17:00:00,0.82
10/04/2015,18:00:00,1.55
10/04/2015,19:00:00,3.89
10/04/2015,20:00:00,6.58
10/04/2015,21:00:00,8.57
10/04/2015,22:00:00,9.82
10/04/2015,23:00:00,8.93
11/04/2015,00:00:00,8.34
11/04/2015,01:00:00,12.07
11/04/2015,02:00:00,13.33
11/04/2015,03:00:00,12.42
11/04/2015,04:00:00,10.76
11/04/2015,05:00:00,8.00
11/04/2015,06:00:00,7.85
11/04/2015,07:00:00,8.63
11/04/2015,08:00:00,6.45
11/04/2015,09:00:00,3.02
11/04/2015,10:00:00,1.62
11/04/2015,11:00:00,1.13
11/04/2015,12:00:00,1.16
11/04/2015,13:00:00,0.76
11/04/2015,14:00:00,0.95
11/04/2015,15:00:00,1.38
11/04/2015,16:00:00,1.23
11/04/2015,17:00:00,2.08
11/04/2015,18:00:00,4.05
11/04/2015,19:00:00,2.93
11/04/2015,20:00:00,4.60
11/04/2015,21:00:00,6.92
11/04/2015,22:00:00,4.02
11/04/2015,23:00:00,0.86
12/04/2015,00:00:00,0.83
12/04/2015,01:00:00,1.31
12/04/2015,02:00:00,2.02
12/04/2015,03:00:00,1.52
12/04/2015,04:00:00,2.08
12/04/2015,05:00:00,0.93
12/04/2015,06:00:00,1.57
12/04/2015,07:00:00,1.58
12/04/2015,08:00:00,2.13
12/04/2015,09:00:00,2.43
12/04/2015,10:00:00,2.27
12/04/2015,11:00:00,2.26
12/04/2015,12:00:00,2.72
12/04/2015,13:00:00,2.76
12/04/2015,20:00:00,5.58
12/04/2015,21:00:00,2.52
12/04/2015,22:00:00,1.83
12/04/2015,23:00:00,2.51
13/04/2015,00:00:00,4.01
13/04/2015,01:00:00,4.33
13/04/2015,02:00:00,3.06
13/04/2015,03:00:00,2.74
13/04/2015,04:00:00,2.58
13/04/2015,05:00:00,2.12
13/04/2015,06:00:00,3.10
13/04/2015,07:00:00,3.34
13/04/2015,08:00:00,2.68
13/04/2015,09:00:00,2.40
13/04/2015,10:00:00,1.49
13/04/2015,11:00:00,1.35
13/04/2015,12:00:00,0.92
13/04/2015,13:00:00,0.93
13/04/2015,14:00:00,0.86
13/04/2015,15:00:00,0.76
13/04/2015,16:00:00,0.92
13/04/2015,17:00:00,1.03
13/04/2015,18:00:00,1.39
13/04/2015,19:00:00,2.77
13/04/2015,20:00:00,3.23
13/04/2015,21:00:00,3.50
13/04/2015,22:00:00,2.71
13/04/2015,23:00:00,2.82
14/04/2015,00:00:00,3.16
14/04/2015,01:00:00,3.14
14/04/2015,02:00:00,3.58
14/04/2015,03:00:00,3.93
14/04/2015,04:00:00,3.02
14/04/2015,05:00:00,2.07
14/04/2015,06:00:00,1.63
14/04/2015,07:00:00,1.99
