Date,Time,Values
19/04/2011,13:00:00,5.08
19/04/2011,14:00:00,4.35
19/04/2011,15:00:00,6.07
19/04/2011,16:00:00,4.93
19/04/2011,17:00:00,6.02
19/04/2011,18:00:00,6.3
19/04/2011,19:00:00,5.6
19/04/2011,20:00:00,136.93
19/04/2011,21:00:00,72.92
19/04/2011,22:00:00,70.25
19/04/2011,23:00:00,36.75
20/04/2011,00:00:00,11.85
20/04/2011,01:00:00,1.83
20/04/2011,02:00:00,2.98
20/04/2011,03:00:00,3.0
20/04/2011,04:00:00,3.22
20/04/2011,05:00:00,9.63
20/04/2011,06:00:00,2.02
20/04/2011,07:00:00,17.95
20/04/2011,08:00:00,10.87
20/04/2011,09:00:00,5.05
20/04/2011,10:00:00,2.98
20/04/2011,11:00:00,3.4
20/04/2011,12:00:00,5.72
20/04/2011,13:00:00,1.75
24/04/2011,14:00:00,2.6
24/04/2011,15:00:00,2.63
24/04/2011,16:00:00,1.8
24/04/2011,17:00:00,1.37
24/04/2011,18:00:00,9.88
24/04/2011,19:00:00,86.78
24/04/2011,20:00:00,157.62
24/04/2011,21:00:00,234.65
24/04/2011,22:00:00,364.27
24/04/2011,23:00:00,343.38
25/04/2011,00:00:00,282.25
25/04/2011,01:00:00,203.38
25/04/2011,02:00:00,231.23
25/04/2011,03:00:00,189.6
25/04/2011,04:00:00,167.77
25/04/2011,05:00:00,130.82
25/04/2011,06:00:00,143.82
25/04/2011,07:00:00,154.93
25/04/2011,08:00:00,76.18
25/04/2011,09:00:00,9.6
25/04/2011,10:00:00,2.98
25/04/2011,11:00:00,2.15
25/04/2011,12:00:00,3.8
25/04/2011,13:00:00,3.73
25/04/2011,14:00:00,3.03
25/04/2011,16:00:00,1.13
25/04/2011,17:00:00,1.32
25/04/2011,18:00:00,7.67
25/04/2011,19:00:00,99.93
25/04/2011,20:00:00,191.97
25/04/2011,21:00:00,247.0
25/04/2011,22:00:00,186.15
25/04/2011,23:00:00,118.55
26/04/2011,00:00:00,131.53
26/04/2011,01:00:00,180.92
26/04/2011,02:00:00,175.57
26/04/2011,03:00:00,186.35
26/04/2011,04:00:00,18.25
26/04/2011,05:00:00,2.87
26/04/2011,06:00:00,3.02
26/04/2011,07:00:00,11.02
26/04/2011,08:00:00,8.13
26/04/2011,09:00:00,5.18
26/04/2011,10:00:00,4.83
26/04/2011,11:00:00,3.42
26/04/2011,12:00:00,3.72
26/04/2011,13:00:00,3.65
26/04/2011,14:00:00,2.83
26/04/2011,15:00:00,2.78
26/04/2011,16:00:00,2.17
26/04/2011,17:00:00,3.03
26/04/2011,18:00:00,3.63
26/04/2011,19:00:00,3.72
26/04/2011,20:00:00,2.55
26/04/2011,21:00:00,2.6
26/04/2011,22:00:00,2.65
26/04/2011,23:00:00,1.87
27/04/2011,00:00:00,1.9
27/04/2011,01:00:00,2.22
27/04/2011,02:00:00,2.15
27/04/2011,03:00:00,1.97
27/04/2011,04:00:00,1.57
27/04/2011,05:00:00,1.57
27/04/2011,06:00:00,4.38
27/04/2011,07:00:00,8.92
27/04/2011,08:00:00,5.97
27/04/2011,09:00:00,3.7
27/04/2011,10:00:00,2.38
27/04/2011,11:00:00,2.37
27/04/2011,12:00:00,2.48
27/04/2011,13:00:00,2.95
27/04/2011,14:00:00,2.73
27/04/2011,15:00:00,2.35
27/04/2011,16:00:00,1.95
27/04/2011,17:00:00,1.83
27/04/2011,18:00:00,3.57
27/04/2011,19:00:00,42.08
27/04/2011,20:00:00,109.57
27/04/2011,21:00:00,111.9
27/04/2011,22:00:00,17.12
27/04/2011,23:00:00,3.07
28/04/2011,00:00:00,3.57
28/04/2011,01:00:00,2.78
28/04/2011,02:00:00,20.25
28/04/2011,03:00:00,15.35
28/04/2011,04:00:00,12.73
28/04/2011,05:00:00,4.1
28/04/2011,06:00:00,5.33
28/04/2011,07:00:00,8.53
28/04/2011,08:00:00,5.88
28/04/2011,09:00:00,2.48
28/04/2011,10:00:00,1.87
28/04/2011,11:00:00,2.2
28/04/2011,12:00:00,2.6
28/04/2011,13:00:00,2.83
28/04/2011,14:00:00,2.15
28/04/2011,15:00:00,2.7
28/04/2011,16:00:00,1.87
28/04/2011,17:00:00,2.07
28/04/2011,18:00:00,4.55
28/04/2011,19:00:00,106.8
28/04/2011,20:00:00,199.95
28/04/2011,21:00:00,287.08
28/04/2011,22:00:00,343.0
28/04/2011,23:00:00,311.88
29/04/2011,00:00:00,287.63
29/04/2011,01:00:00,290.5
29/04/2011,02:00:00,182.52
29/04/2011,03:00:00,69.52
29/04/2011,04:00:00,60.88
29/04/2011,05:00:00,6.48
29/04/2011,06:00:00,30.98
29/04/2011,07:00:00,31.45
29/04/2011,08:00:00,10.07
29/04/2011,09:00:00,4.22
29/04/2011,10:00:00,2.63
29/04/2011,11:00:00,12.95
29/04/2011,12:00:00,3.42
29/04/2011,13:00:00,4.83
29/04/2011,14:00:00,4.5
29/04/2011,16:00:00,1.93
29/04/2011,17:00:00,2.33
29/04/2011,18:00:00,11.32
29/04/2011,19:00:00,71.35
29/04/2011,20:00:00,103.22
29/04/2011,21:00:00,20.22
29/04/2011,22:00:00,28.95
29/04/2011,23:00:00,45.48
30/04/2011,00:00:00,77.23
30/04/2011,01:00:00,116.38
30/04/2011,02:00:00,140.75
30/04/2011,03:00:00,126.72
30/04/2011,04:00:00,35.27
30/04/2011,05:00:00,34.67
30/04/2011,06:00:00,47.55
30/04/2011,07:00:00,86.08
30/04/2011,08:00:00,28.62
30/04/2011,09:00:00,4.42
30/04/2011,10:00:00,2.85
30/04/2011,11:00:00,2.75
30/04/2011,12:00:00,6.45
30/04/2011,13:00:00,2.7
02/05/2011,08:00:00,7.8
02/05/2011,09:00:00,5.12
02/05/2011,10:00:00,3.08
02/05/2011,11:00:00,3.52
02/05/2011,12:00:00,3.05
02/05/2011,13:00:00,3.22
02/05/2011,14:00:00,3.15
02/05/2011,15:00:00,3.3
02/05/2011,16:00:00,2.85
02/05/2011,17:00:00,3.73
02/05/2011,18:00:00,9.77
02/05/2011,19:00:00,35.5
02/05/2011,20:00:00,61.52
02/05/2011,21:00:00,109.87
02/05/2011,22:00:00,48.87
02/05/2011,23:00:00,11.75
03/05/2011,00:00:00,4.83
03/05/2011,01:00:00,95.18
03/05/2011,02:00:00,181.35
03/05/2011,03:00:00,228.25
03/05/2011,04:00:00,173.93
03/05/2011,05:00:00,95.58
03/05/2011,06:00:00,77.35
03/05/2011,07:00:00,42.43
03/05/2011,08:00:00,5.9
03/05/2011,09:00:00,4.5
03/05/2011,10:00:00,3.48
03/05/2011,11:00:00,2.85
03/05/2011,12:00:00,3.37
03/05/2011,13:00:00,3.4
03/05/2011,14:00:00,3.5
03/05/2011,17:00:00,2.98
03/05/2011,18:00:00,1.65
03/05/2011,19:00:00,1.53
03/05/2011,20:00:00,3.07
03/05/2011,21:00:00,2.68
03/05/2011,22:00:00,3.27
04/05/2011,00:00:00,1.83
04/05/2011,01:00:00,1.53
04/05/2011,02:00:00,1.88
04/05/2011,03:00:00,2.37
04/05/2011,04:00:00,2.7
04/05/2011,05:00:00,2.48
04/05/2011,06:00:00,24.32
04/05/2011,07:00:00,35.8
04/05/2011,08:00:00,17.43
04/05/2011,09:00:00,27.22
04/05/2011,10:00:00,28.45
04/05/2011,11:00:00,7.2
04/05/2011,12:00:00,5.13
04/05/2011,13:00:00,2.4
04/05/2011,14:00:00,2.18
04/05/2011,15:00:00,2.18
04/05/2011,16:00:00,1.93
04/05/2011,17:00:00,2.42
04/05/2011,18:00:00,2.03
