Date,Time,Values
19/04/2011,13:00:00,16.10
19/04/2011,14:00:00,17.17
19/04/2011,15:00:00,16.52
19/04/2011,16:00:00,19.00
19/04/2011,17:00:00,19.85
19/04/2011,18:00:00,23.62
19/04/2011,19:00:00,40.00
19/04/2011,20:00:00,102.87
19/04/2011,21:00:00,101.27
19/04/2011,22:00:00,95.35
19/04/2011,23:00:00,85.32
20/04/2011,00:00:00,62.50
20/04/2011,01:00:00,13.25
20/04/2011,02:00:00,4.33
20/04/2011,03:00:00,0.35
20/04/2011,04:00:00,3.07
20/04/2011,05:00:00,20.66
20/04/2011,07:00:00,56.60
20/04/2011,08:00:00,48.73
20/04/2011,09:00:00,35.82
20/04/2011,10:00:00,16.08
20/04/2011,11:00:00,9.32
20/04/2011,12:00:00,13.20
20/04/2011,13:00:00,11.90
24/04/2011,14:00:00,19.20
24/04/2011,15:00:00,17.98
24/04/2011,16:00:00,18.45
24/04/2011,17:00:00,30.10
24/04/2011,18:00:00,90.33
24/04/2011,19:00:00,124.55
24/04/2011,20:00:00,110.55
24/04/2011,21:00:00,104.90
24/04/2011,22:00:00,104.65
24/04/2011,23:00:00,97.18
25/04/2011,00:00:00,86.15
25/04/2011,01:00:00,76.35
25/04/2011,02:00:00,88.23
25/04/2011,03:00:00,80.48
25/04/2011,04:00:00,76.00
25/04/2011,05:00:00,72.00
25/04/2011,06:00:00,76.23
25/04/2011,07:00:00,130.45
25/04/2011,08:00:00,170.93
25/04/2011,09:00:00,83.95
25/04/2011,10:00:00,48.20
25/04/2011,11:00:00,27.13
25/04/2011,12:00:00,23.77
25/04/2011,13:00:00,27.25
25/04/2011,14:00:00,34.25
25/04/2011,16:00:00,31.62
25/04/2011,17:00:00,40.28
25/04/2011,18:00:00,99.22
25/04/2011,19:00:00,131.10
25/04/2011,20:00:00,117.73
25/04/2011,21:00:00,118.87
25/04/2011,22:00:00,119.15
25/04/2011,23:00:00,112.48
26/04/2011,00:00:00,97.87
26/04/2011,01:00:00,79.13
26/04/2011,02:00:00,73.87
26/04/2011,03:00:00,83.85
26/04/2011,04:00:00,64.75
26/04/2011,05:00:00,30.42
26/04/2011,06:00:00,28.92
26/04/2011,07:00:00,49.73
26/04/2011,08:00:00,44.12
26/04/2011,09:00:00,29.22
26/04/2011,10:00:00,21.32
26/04/2011,11:00:00,18.67
26/04/2011,12:00:00,17.02
26/04/2011,13:00:00,17.12
26/04/2011,14:00:00,19.15
26/04/2011,15:00:00,16.28
26/04/2011,16:00:00,20.03
26/04/2011,17:00:00,39.60
26/04/2011,18:00:00,47.33
26/04/2011,19:00:00,39.90
26/04/2011,20:00:00,38.93
26/04/2011,21:00:00,40.98
26/04/2011,22:00:00,39.77
26/04/2011,23:00:00,20.57
27/04/2011,00:00:00,21.23
27/04/2011,01:00:00,26.57
27/04/2011,02:00:00,24.90
27/04/2011,03:00:00,25.00
27/04/2011,04:00:00,23.35
27/04/2011,05:00:00,25.32
27/04/2011,06:00:00,36.80
27/04/2011,07:00:00,52.55
27/04/2011,08:00:00,37.33
27/04/2011,09:00:00,23.68
27/04/2011,10:00:00,12.85
27/04/2011,11:00:00,12.47
27/04/2011,12:00:00,22.58
27/04/2011,13:00:00,27.42
27/04/2011,14:00:00,28.20
27/04/2011,15:00:00,16.13
27/04/2011,16:00:00,20.48
27/04/2011,17:00:00,26.17
27/04/2011,18:00:00,93.13
27/04/2011,19:00:00,127.12
27/04/2011,20:00:00,124.57
27/04/2011,21:00:00,121.23
27/04/2011,22:00:00,98.68
27/04/2011,23:00:00,75.03
28/04/2011,00:00:00,62.72
28/04/2011,01:00:00,64.72
28/04/2011,02:00:00,63.67
28/04/2011,03:00:00,67.02
28/04/2011,04:00:00,64.98
28/04/2011,05:00:00,52.50
28/04/2011,06:00:00,55.15
28/04/2011,07:00:00,55.23
28/04/2011,08:00:00,35.28
28/04/2011,09:00:00,16.28
28/04/2011,10:00:00,15.03
28/04/2011,11:00:00,14.67
28/04/2011,12:00:00,17.65
28/04/2011,13:00:00,21.32
28/04/2011,14:00:00,28.75
28/04/2011,15:00:00,26.68
28/04/2011,16:00:00,33.82
28/04/2011,17:00:00,87.25
28/04/2011,18:00:00,116.23
28/04/2011,19:00:00,160.05
28/04/2011,20:00:00,161.32
28/04/2011,21:00:00,164.87
28/04/2011,22:00:00,163.72
28/04/2011,23:00:00,150.18
29/04/2011,00:00:00,128.50
29/04/2011,01:00:00,125.35
29/04/2011,02:00:00,100.92
29/04/2011,03:00:00,78.08
29/04/2011,04:00:00,67.12
29/04/2011,05:00:00,52.45
29/04/2011,06:00:00,67.40
29/04/2011,07:00:00,78.32
29/04/2011,08:00:00,74.23
29/04/2011,09:00:00,38.67
29/04/2011,10:00:00,24.63
29/04/2011,11:00:00,40.93
29/04/2011,12:00:00,20.58
29/04/2011,13:00:00,33.98
29/04/2011,14:00:00,34.80
29/04/2011,16:00:00,21.34
29/04/2011,17:00:00,28.90
29/04/2011,18:00:00,84.42
29/04/2011,19:00:00,95.62
29/04/2011,20:00:00,93.53
29/04/2011,21:00:00,83.10
29/04/2011,22:00:00,76.28
29/04/2011,23:00:00,76.63
30/04/2011,00:00:00,64.87
30/04/2011,01:00:00,55.30
30/04/2011,02:00:00,52.53
30/04/2011,03:00:00,51.87
30/04/2011,04:00:00,49.25
30/04/2011,05:00:00,50.87
30/04/2011,06:00:00,58.05
30/04/2011,07:00:00,76.83
30/04/2011,08:00:00,67.90
30/04/2011,09:00:00,27.25
30/04/2011,10:00:00,16.20
30/04/2011,11:00:00,10.77
30/04/2011,12:00:00,8.78
30/04/2011,13:00:00,8.30
02/05/2011,08:00:00,61.75
02/05/2011,09:00:00,31.87
02/05/2011,10:00:00,27.07
02/05/2011,11:00:00,26.28
02/05/2011,12:00:00,22.80
02/05/2011,13:00:00,26.20
02/05/2011,14:00:00,25.10
02/05/2011,15:00:00,19.07
02/05/2011,17:00:00,44.40
02/05/2011,18:00:00,94.07
02/05/2011,19:00:00,147.52
02/05/2011,20:00:00,150.23
02/05/2011,21:00:00,131.98
02/05/2011,22:00:00,79.73
02/05/2011,23:00:00,13.00
03/05/2011,00:00:00,11.05
03/05/2011,01:00:00,80.03
03/05/2011,02:00:00,82.12
03/05/2011,03:00:00,65.32
03/05/2011,04:00:00,93.02
03/05/2011,05:00:00,83.48
03/05/2011,06:00:00,87.17
03/05/2011,07:00:00,102.03
03/05/2011,08:00:00,51.00
03/05/2011,09:00:00,33.05
03/05/2011,10:00:00,22.68
03/05/2011,11:00:00,19.07
03/05/2011,12:00:00,22.28
03/05/2011,13:00:00,23.35
03/05/2011,14:00:00,22.50
03/05/2011,16:00:00,1.20
03/05/2011,18:00:00,27.20
03/05/2011,19:00:00,26.20
03/05/2011,20:00:00,49.08
03/05/2011,21:00:00,41.97
03/05/2011,22:00:00,24.00
04/05/2011,00:00:00,2.23
04/05/2011,01:00:00,38.92
04/05/2011,02:00:00,36.18
04/05/2011,03:00:00,23.07
