Date,Time,Values
19/04/2011,13:00:00,22.77
19/04/2011,14:00:00,22.73
19/04/2011,15:00:00,24.63
19/04/2011,16:00:00,25.33
19/04/2011,17:00:00,27.77
19/04/2011,18:00:00,31.77
19/04/2011,19:00:00,46.40
19/04/2011,20:00:00,298.43
19/04/2011,21:00:00,203.27
19/04/2011,22:00:00,193.73
19/04/2011,23:00:00,135.15
20/04/2011,00:00:00,79.98
20/04/2011,01:00:00,7.36
20/04/2011,02:00:00,8.48
20/04/2011,03:00:00,4.18
20/04/2011,04:00:00,7.65
20/04/2011,05:00:00,30.27
20/04/2011,06:00:00,NA
20/04/2011,07:00:00,80.76
20/04/2011,08:00:00,62.38
20/04/2011,09:00:00,41.57
20/04/2011,10:00:00,19.72
20/04/2011,11:00:00,12.22
20/04/2011,12:00:00,15.05
20/04/2011,13:00:00,13.90
24/04/2011,14:00:00,22.10
24/04/2011,15:00:00,21.03
24/04/2011,16:00:00,20.25
24/04/2011,17:00:00,30.70
24/04/2011,18:00:00,100.63
24/04/2011,19:00:00,245.77
24/04/2011,20:00:00,336.02
24/04/2011,21:00:00,443.33
24/04/2011,22:00:00,632.70
24/04/2011,23:00:00,595.00
25/04/2011,00:00:00,495.03
25/04/2011,01:00:00,370.33
25/04/2011,02:00:00,422.42
25/04/2011,03:00:00,354.15
25/04/2011,04:00:00,317.92
25/04/2011,05:00:00,260.02
25/04/2011,06:00:00,283.12
25/04/2011,07:00:00,351.12
25/04/2011,08:00:00,274.57
25/04/2011,09:00:00,94.12
25/04/2011,10:00:00,50.35
25/04/2011,11:00:00,29.08
25/04/2011,12:00:00,28.28
25/04/2011,13:00:00,31.45
25/04/2011,14:00:00,37.15
25/04/2011,16:00:00,29.86
25/04/2011,17:00:00,40.35
25/04/2011,18:00:00,105.87
25/04/2011,19:00:00,271.28
25/04/2011,20:00:00,393.13
25/04/2011,21:00:00,474.73
25/04/2011,22:00:00,385.95
25/04/2011,23:00:00,280.72
26/04/2011,00:00:00,285.75
26/04/2011,01:00:00,340.15
26/04/2011,02:00:00,327.30
26/04/2011,03:00:00,352.58
26/04/2011,04:00:00,88.50
26/04/2011,05:00:00,33.22
26/04/2011,06:00:00,32.02
26/04/2011,07:00:00,63.55
26/04/2011,08:00:00,53.98
26/04/2011,09:00:00,35.48
26/04/2011,10:00:00,27.40
26/04/2011,11:00:00,22.83
26/04/2011,12:00:00,21.68
26/04/2011,13:00:00,21.68
26/04/2011,14:00:00,22.40
26/04/2011,15:00:00,19.60
26/04/2011,16:00:00,22.27
26/04/2011,17:00:00,42.25
26/04/2011,18:00:00,50.48
26/04/2011,19:00:00,43.50
26/04/2011,20:00:00,40.85
26/04/2011,21:00:00,42.92
26/04/2011,22:00:00,41.80
26/04/2011,23:00:00,22.38
27/04/2011,00:00:00,23.03
27/04/2011,01:00:00,28.60
27/04/2011,02:00:00,26.90
27/04/2011,03:00:00,26.75
27/04/2011,04:00:00,24.60
27/04/2011,05:00:00,26.48
27/04/2011,06:00:00,41.52
27/04/2011,07:00:00,63.13
27/04/2011,08:00:00,44.38
27/04/2011,09:00:00,28.03
27/04/2011,10:00:00,15.78
27/04/2011,11:00:00,15.33
27/04/2011,12:00:00,25.13
27/04/2011,13:00:00,30.52
27/04/2011,14:00:00,30.90
27/04/2011,15:00:00,18.85
27/04/2011,16:00:00,22.38
27/04/2011,17:00:00,27.65
27/04/2011,18:00:00,94.10
27/04/2011,19:00:00,182.90
27/04/2011,20:00:00,279.12
27/04/2011,21:00:00,279.37
27/04/2011,22:00:00,119.17
27/04/2011,23:00:00,76.03
28/04/2011,00:00:00,65.07
28/04/2011,01:00:00,65.87
28/04/2011,02:00:00,90.40
28/04/2011,03:00:00,86.40
28/04/2011,04:00:00,80.63
28/04/2011,05:00:00,56.12
28/04/2011,06:00:00,60.47
28/04/2011,07:00:00,65.15
28/04/2011,08:00:00,42.28
28/04/2011,09:00:00,19.20
28/04/2011,10:00:00,17.12
28/04/2011,11:00:00,17.23
28/04/2011,12:00:00,20.65
28/04/2011,13:00:00,24.45
28/04/2011,14:00:00,30.58
28/04/2011,15:00:00,29.40
28/04/2011,16:00:00,34.97
28/04/2011,17:00:00,86.27
28/04/2011,18:00:00,117.57
28/04/2011,19:00:00,308.98
28/04/2011,20:00:00,446.43
28/04/2011,21:00:00,577.23
28/04/2011,22:00:00,657.92
28/04/2011,23:00:00,599.53
29/04/2011,00:00:00,543.32
29/04/2011,01:00:00,544.50
29/04/2011,02:00:00,363.30
29/04/2011,03:00:00,176.22
29/04/2011,04:00:00,153.08
29/04/2011,05:00:00,59.53
29/04/2011,06:00:00,109.67
29/04/2011,07:00:00,120.75
29/04/2011,08:00:00,85.58
29/04/2011,09:00:00,43.08
29/04/2011,10:00:00,27.35
29/04/2011,11:00:00,58.03
29/04/2011,12:00:00,24.62
29/04/2011,13:00:00,39.48
29/04/2011,14:00:00,39.78
29/04/2011,16:00:00,21.06
29/04/2011,17:00:00,31.02
29/04/2011,18:00:00,97.13
29/04/2011,19:00:00,195.60
29/04/2011,20:00:00,240.20
29/04/2011,21:00:00,108.85
29/04/2011,22:00:00,115.12
29/04/2011,23:00:00,139.60
30/04/2011,00:00:00,174.87
30/04/2011,01:00:00,223.00
30/04/2011,02:00:00,256.02
30/04/2011,03:00:00,234.87
30/04/2011,04:00:00,98.58
30/04/2011,05:00:00,99.27
30/04/2011,06:00:00,124.92
30/04/2011,07:00:00,199.22
30/04/2011,08:00:00,106.63
30/04/2011,09:00:00,32.45
30/04/2011,10:00:00,19.63
30/04/2011,11:00:00,14.32
30/04/2011,12:00:00,12.03
30/04/2011,13:00:00,11.80
02/05/2011,08:00:00,53.20
02/05/2011,09:00:00,37.88
02/05/2011,10:00:00,30.35
02/05/2011,11:00:00,30.20
02/05/2011,12:00:00,26.23
02/05/2011,13:00:00,29.70
02/05/2011,14:00:00,28.57
02/05/2011,15:00:00,23.03
02/05/2011,17:00:00,25.70
02/05/2011,18:00:00,104.03
02/05/2011,19:00:00,192.70
02/05/2011,20:00:00,233.32
02/05/2011,21:00:00,286.65
02/05/2011,22:00:00,163.35
02/05/2011,23:00:00,24.92
03/05/2011,00:00:00,16.48
03/05/2011,01:00:00,227.18
03/05/2011,02:00:00,343.65
03/05/2011,03:00:00,396.22
03/05/2011,04:00:00,343.15
03/05/2011,05:00:00,219.50
03/05/2011,06:00:00,196.28
03/05/2011,07:00:00,159.43
03/05/2011,08:00:00,57.30
03/05/2011,09:00:00,38.12
03/05/2011,10:00:00,26.73
03/05/2011,11:00:00,22.37
03/05/2011,12:00:00,26.23
03/05/2011,13:00:00,27.25
03/05/2011,14:00:00,26.60
03/05/2011,16:00:00,NA
03/05/2011,18:00:00,27.78
03/05/2011,19:00:00,27.27
03/05/2011,20:00:00,51.28
03/05/2011,21:00:00,43.98
03/05/2011,22:00:00,22.58
04/05/2011,00:00:00,NA
04/05/2011,01:00:00,39.34
04/05/2011,02:00:00,37.27
04/05/2011,03:00:00,25.47
04/05/2011,04:00:00,31.28
04/05/2011,05:00:00,37.30
04/05/2011,06:00:00,91.22
04/05/2011,07:00:00,119.50
