Date,Time,Values
19/04/2013,22:00:00,1.22
19/04/2013,23:00:00,1.59
20/04/2013,00:00:00,6.03
20/04/2013,01:00:00,1.77
20/04/2013,02:00:00,1.20
20/04/2013,03:00:00,1.04
20/04/2013,06:00:00,NA
20/04/2013,07:00:00,12.89
20/04/2013,08:00:00,9.43
20/04/2013,09:00:00,47.93
20/04/2013,10:00:00,131.73
20/04/2013,11:00:00,173.72
20/04/2013,12:00:00,164.32
20/04/2013,13:00:00,126.42
20/04/2013,14:00:00,149.47
20/04/2013,15:00:00,151.25
20/04/2013,16:00:00,129.23
20/04/2013,17:00:00,96.27
20/04/2013,18:00:00,26.35
20/04/2013,19:00:00,NA
20/04/2013,20:00:00,7.03
20/04/2013,21:00:00,4.80
04/04/2015,10:00:00,37.23
04/04/2015,11:00:00,53.48
04/04/2015,12:00:00,96.23
04/04/2015,13:00:00,60.48
04/04/2015,14:00:00,75.14
04/04/2015,15:00:00,69.67
04/04/2015,16:00:00,97.00
04/04/2015,17:00:00,28.10
04/04/2015,18:00:00,28.18
04/04/2015,19:00:00,2.86
04/04/2015,20:00:00,20.57
04/04/2015,21:00:00,81.14
04/04/2015,22:00:00,11.55
04/04/2015,23:00:00,9.29
05/04/2015,00:00:00,5.06
05/04/2015,01:00:00,5.88
05/04/2015,02:00:00,7.44
05/04/2015,03:00:00,17.37
05/04/2015,04:00:00,21.26
05/04/2015,05:00:00,15.28
05/04/2015,06:00:00,20.81
05/04/2015,07:00:00,10.82
05/04/2015,08:00:00,12.22
05/04/2015,09:00:00,63.10
05/04/2015,10:00:00,68.00
09/04/2015,12:00:00,154.50
09/04/2015,13:00:00,155.60
09/04/2015,14:00:00,155.88
09/04/2015,15:00:00,155.74
09/04/2015,16:00:00,144.89
09/04/2015,17:00:00,124.58
09/04/2015,18:00:00,68.73
09/04/2015,19:00:00,9.22
09/04/2015,20:00:00,8.44
09/04/2015,21:00:00,7.36
09/04/2015,23:00:00,7.99
10/04/2015,00:00:00,5.29
10/04/2015,01:00:00,6.17
10/04/2015,02:00:00,11.10
