Date,Time,Values
19/04/2013,21:00:00,19.7
19/04/2013,22:00:00,28.88
19/04/2013,23:00:00,37.16
20/04/2013,00:00:00,38.46
20/04/2013,01:00:00,38.55
20/04/2013,02:00:00,38.12
20/04/2013,03:00:00,38.25
20/04/2013,04:00:00,33.15
20/04/2013,05:00:00,26.98
20/04/2013,06:00:00,24.93
20/04/2013,07:00:00,23.69
20/04/2013,08:00:00,15.9
20/04/2013,09:00:00,11.98
20/04/2013,10:00:00,6.38
20/04/2013,11:00:00,3.23
20/04/2013,12:00:00,1.42
20/04/2013,13:00:00,0.98
20/04/2013,14:00:00,0.76
20/04/2013,15:00:00,0.74
20/04/2013,16:00:00,0.79
20/04/2013,17:00:00,3.1
20/04/2013,18:00:00,8.43
20/04/2013,19:00:00,21.66
20/04/2013,20:00:00,26.58
20/04/2013,21:00:00,22.47
04/04/2015,10:00:00,2.36
04/04/2015,11:00:00,1.73
04/04/2015,12:00:00,1.32
04/04/2015,13:00:00,0.62
04/04/2015,14:00:00,0.73
04/04/2015,15:00:00,0.85
04/04/2015,16:00:00,0.99
04/04/2015,17:00:00,1.76
04/04/2015,18:00:00,2.1
04/04/2015,19:00:00,4.8
04/04/2015,20:00:00,6.7
04/04/2015,21:00:00,7.55
04/04/2015,22:00:00,6.99
04/04/2015,23:00:00,3.32
05/04/2015,00:00:00,2.24
05/04/2015,01:00:00,2.63
05/04/2015,02:00:00,2.75
05/04/2015,03:00:00,3.65
05/04/2015,04:00:00,3.6
05/04/2015,05:00:00,3.68
05/04/2015,06:00:00,2.84
05/04/2015,07:00:00,2.45
05/04/2015,08:00:00,1.98
05/04/2015,09:00:00,1.31
05/04/2015,10:00:00,1.07
09/04/2015,12:00:00,0.5
09/04/2015,13:00:00,0.45
09/04/2015,14:00:00,0.35
09/04/2015,15:00:00,0.45
09/04/2015,16:00:00,0.6
09/04/2015,17:00:00,0.82
09/04/2015,18:00:00,1.52
09/04/2015,19:00:00,3.67
