Date,Time,Values
19/04/2013,21:00:00,631.40
19/04/2013,22:00:00,695.00
19/04/2013,23:00:00,621.83
20/04/2013,00:00:00,546.33
20/04/2013,01:00:00,478.00
20/04/2013,02:00:00,371.33
20/04/2013,03:00:00,337.50
20/04/2013,04:00:00,329.50
20/04/2013,05:00:00,306.83
20/04/2013,06:00:00,360.83
20/04/2013,07:00:00,543.17
20/04/2013,08:00:00,686.50
20/04/2013,09:00:00,569.00
20/04/2013,10:00:00,516.50
20/04/2013,11:00:00,375.00
20/04/2013,12:00:00,347.00
20/04/2013,13:00:00,303.33
20/04/2013,14:00:00,247.83
20/04/2013,15:00:00,161.67
20/04/2013,16:00:00,171.00
20/04/2013,17:00:00,230.33
20/04/2013,18:00:00,271.00
20/04/2013,19:00:00,388.83
20/04/2013,20:00:00,485.55
20/04/2013,21:00:00,407.00
04/04/2015,10:00:00,39.22
04/04/2015,11:00:00,43.27
04/04/2015,12:00:00,58.00
04/04/2015,13:00:00,48.00
04/04/2015,14:00:00,50.33
04/04/2015,15:00:00,62.33
04/04/2015,16:00:00,66.17
04/04/2015,17:00:00,68.33
04/04/2015,18:00:00,31.00
04/04/2015,19:00:00,72.00
04/04/2015,20:00:00,128.83
04/04/2015,21:00:00,147.67
04/04/2015,22:00:00,182.83
04/04/2015,23:00:00,114.50
05/04/2015,00:00:00,108.00
05/04/2015,01:00:00,130.00
05/04/2015,02:00:00,91.50
05/04/2015,03:00:00,96.83
05/04/2015,04:00:00,78.50
05/04/2015,05:00:00,49.33
05/04/2015,06:00:00,101.33
05/04/2015,07:00:00,160.83
05/04/2015,08:00:00,188.17
05/04/2015,09:00:00,128.17
05/04/2015,10:00:00,124.00
09/04/2015,12:00:00,189.00
09/04/2015,13:00:00,177.50
09/04/2015,14:00:00,153.50
09/04/2015,15:00:00,176.83
09/04/2015,16:00:00,193.83
09/04/2015,17:00:00,125.17
09/04/2015,18:00:00,85.67
09/04/2015,19:00:00,101.27
09/04/2015,20:00:00,176.00
09/04/2015,21:00:00,176.83
09/04/2015,22:00:00,255.00
09/04/2015,23:00:00,250.17
10/04/2015,00:00:00,249.17
10/04/2015,01:00:00,233.33
10/04/2015,02:00:00,196.67
10/04/2015,03:00:00,177.82
10/04/2015,04:00:00,142.00
10/04/2015,05:00:00,86.67
10/04/2015,06:00:00,169.83
10/04/2015,07:00:00,234.33
10/04/2015,08:00:00,317.17
10/04/2015,09:00:00,334.33
10/04/2015,10:00:00,270.17
10/04/2015,11:00:00,287.17
10/04/2015,12:00:00,251.00
10/04/2015,13:00:00,179.17
10/04/2015,14:00:00,223.67
10/04/2015,15:00:00,111.67
10/04/2015,16:00:00,89.83
10/04/2015,17:00:00,111.50
10/04/2015,18:00:00,113.36
10/04/2015,19:00:00,195.00
10/04/2015,20:00:00,280.67
10/04/2015,21:00:00,328.00
10/04/2015,22:00:00,534.83
10/04/2015,23:00:00,460.55
11/04/2015,00:00:00,382.00
11/04/2015,01:00:00,399.50
11/04/2015,02:00:00,329.33
11/04/2015,03:00:00,280.82
