Date,Time,Values
19/04/2013,21:00:00,127.4
19/04/2013,22:00:00,260.83
19/04/2013,23:00:00,265.0
20/04/2013,00:00:00,266.0
20/04/2013,01:00:00,257.17
20/04/2013,02:00:00,186.33
20/04/2013,03:00:00,176.83
20/04/2013,04:00:00,169.36
20/04/2013,05:00:00,157.5
20/04/2013,06:00:00,148.17
20/04/2013,07:00:00,219.5
20/04/2013,08:00:00,243.0
20/04/2013,09:00:00,229.83
20/04/2013,10:00:00,246.83
20/04/2013,11:00:00,157.5
20/04/2013,12:00:00,131.17
20/04/2013,13:00:00,87.0
20/04/2013,14:00:00,84.33
20/04/2013,15:00:00,71.0
20/04/2013,16:00:00,74.0
20/04/2013,17:00:00,89.0
20/04/2013,18:00:00,89.0
20/04/2013,19:00:00,89.0
20/04/2013,20:00:00,110.83
20/04/2013,21:00:00,220.0
04/04/2015,10:00:00,58.22
04/04/2015,11:00:00,37.67
04/04/2015,12:00:00,36.0
04/04/2015,14:00:00,32.0
04/04/2015,15:00:00,32.17
04/04/2015,16:00:00,35.33
04/04/2015,17:00:00,54.83
04/04/2015,18:00:00,79.17
04/04/2015,19:00:00,11.83
04/04/2015,20:00:00,46.83
04/04/2015,21:00:00,59.73
04/04/2015,22:00:00,90.5
04/04/2015,23:00:00,49.5
05/04/2015,00:00:00,60.83
05/04/2015,01:00:00,79.82
05/04/2015,02:00:00,74.5
05/04/2015,03:00:00,51.09
05/04/2015,04:00:00,41.83
05/04/2015,05:00:00,18.17
05/04/2015,06:00:00,29.36
05/04/2015,07:00:00,45.0
05/04/2015,08:00:00,101.83
05/04/2015,09:00:00,88.17
05/04/2015,10:00:00,99.0
09/04/2015,12:00:00,27.0
09/04/2015,13:00:00,26.0
09/04/2015,14:00:00,25.0
09/04/2015,15:00:00,20.5
09/04/2015,16:00:00,27.0
09/04/2015,17:00:00,39.67
09/04/2015,18:00:00,50.33
09/04/2015,19:00:00,38.83
09/04/2015,20:00:00,46.67
09/04/2015,21:00:00,46.67
09/04/2015,22:00:00,81.83
09/04/2015,23:00:00,96.83
10/04/2015,00:00:00,126.17
10/04/2015,01:00:00,137.17
10/04/2015,02:00:00,179.83
10/04/2015,03:00:00,133.17
10/04/2015,04:00:00,100.0
10/04/2015,05:00:00,80.5
10/04/2015,06:00:00,90.5
10/04/2015,07:00:00,138.0
10/04/2015,08:00:00,186.5
10/04/2015,09:00:00,174.5
10/04/2015,10:00:00,138.17
10/04/2015,11:00:00,65.83
10/04/2015,12:00:00,50.0
10/04/2015,13:00:00,56.0
10/04/2015,14:00:00,52.5
10/04/2015,15:00:00,34.27
10/04/2015,16:00:00,29.0
10/04/2015,17:00:00,43.0
10/04/2015,18:00:00,61.67
10/04/2015,19:00:00,67.5
10/04/2015,20:00:00,85.33
10/04/2015,21:00:00,133.33
10/04/2015,22:00:00,242.17
10/04/2015,23:00:00,246.45
11/04/2015,00:00:00,184.0
11/04/2015,01:00:00,206.67
11/04/2015,02:00:00,233.67
11/04/2015,03:00:00,170.83
11/04/2015,04:00:00,132.67
11/04/2015,05:00:00,97.83
11/04/2015,06:00:00,112.5
11/04/2015,07:00:00,148.33
11/04/2015,08:00:00,186.0
11/04/2015,09:00:00,153.17
11/04/2015,10:00:00,81.0
11/04/2015,11:00:00,40.5
11/04/2015,12:00:00,34.5
11/04/2015,13:00:00,17.5
11/04/2015,14:00:00,33.0
11/04/2015,15:00:00,94.91
11/04/2015,16:00:00,77.5
11/04/2015,17:00:00,65.5
11/04/2015,18:00:00,87.0
11/04/2015,19:00:00,60.5
11/04/2015,20:00:00,62.17
11/04/2015,21:00:00,73.33
11/04/2015,22:00:00,129.09
11/04/2015,23:00:00,34.5
12/04/2015,00:00:00,33.67
12/04/2015,01:00:00,52.17
12/04/2015,02:00:00,98.0
12/04/2015,03:00:00,64.64
12/04/2015,04:00:00,24.5
12/04/2015,05:00:00,12.0
12/04/2015,06:00:00,14.5
12/04/2015,07:00:00,29.67
12/04/2015,08:00:00,47.17
12/04/2015,09:00:00,73.5
12/04/2015,10:00:00,92.17
12/04/2015,11:00:00,46.83
12/04/2015,12:00:00,37.67
12/04/2015,13:00:00,21.0
12/04/2015,20:00:00,84.82
12/04/2015,21:00:00,44.33
12/04/2015,22:00:00,30.67
12/04/2015,23:00:00,58.17
13/04/2015,00:00:00,82.67
13/04/2015,01:00:00,102.33
13/04/2015,02:00:00,104.33
13/04/2015,03:00:00,78.33
13/04/2015,04:00:00,60.67
13/04/2015,05:00:00,37.83
13/04/2015,06:00:00,42.83
13/04/2015,07:00:00,95.67
13/04/2015,08:00:00,88.67
13/04/2015,09:00:00,87.0
13/04/2015,10:00:00,81.0
13/04/2015,11:00:00,49.5
13/04/2015,12:00:00,36.0
13/04/2015,13:00:00,11.27
13/04/2015,14:00:00,35.33
13/04/2015,15:00:00,37.67
13/04/2015,16:00:00,43.67
13/04/2015,17:00:00,60.82
13/04/2015,18:00:00,77.5
13/04/2015,19:00:00,69.67
13/04/2015,20:00:00,40.17
13/04/2015,21:00:00,31.17
13/04/2015,22:00:00,61.83
13/04/2015,23:00:00,84.5
14/04/2015,00:00:00,79.17
14/04/2015,01:00:00,93.27
14/04/2015,02:00:00,102.0
14/04/2015,03:00:00,73.09
14/04/2015,04:00:00,73.27
14/04/2015,05:00:00,51.33
14/04/2015,06:00:00,55.82
14/04/2015,07:00:00,87.0
14/04/2015,08:00:00,67.91
14/04/2015,09:00:00,67.55
14/04/2015,10:00:00,78.0
14/04/2015,11:00:00,39.0
14/04/2015,12:00:00,39.5
14/04/2015,13:00:00,17.0
14/04/2015,14:00:00,20.0
14/04/2015,15:00:00,22.18
14/04/2015,16:00:00,35.5
14/04/2015,17:00:00,46.0
14/04/2015,18:00:00,17.5
14/04/2015,19:00:00,56.33
14/04/2015,20:00:00,104.5
14/04/2015,21:00:00,166.33
14/04/2015,22:00:00,67.17
14/04/2015,23:00:00,94.33
15/04/2015,00:00:00,122.67
15/04/2015,01:00:00,106.0
15/04/2015,18:00:00,52.6
15/04/2015,19:00:00,40.33
15/04/2015,20:00:00,40.0
15/04/2015,21:00:00,34.0
