Date,Time,Values
19/04/2011,13:00:00,33.25
19/04/2011,14:00:00,32.50
19/04/2011,15:00:00,31.17
19/04/2011,16:00:00,31.50
19/04/2011,17:00:00,33.00
19/04/2011,18:00:00,36.50
19/04/2011,19:00:00,44.50
19/04/2011,20:00:00,50.17
19/04/2011,21:00:00,49.00
19/04/2011,22:00:00,49.67
19/04/2011,23:00:00,50.33
20/04/2011,00:00:00,52.33
20/04/2011,01:00:00,57.50
20/04/2011,02:00:00,70.83
20/04/2011,03:00:00,78.83
20/04/2011,04:00:00,82.33
20/04/2011,05:00:00,77.67
20/04/2011,06:00:00,70.67
20/04/2011,07:00:00,59.00
20/04/2011,08:00:00,52.33
20/04/2011,09:00:00,46.67
20/04/2011,10:00:00,40.67
20/04/2011,11:00:00,38.17
20/04/2011,12:00:00,35.50
20/04/2011,13:00:00,32.00
24/04/2011,14:00:00,27.00
24/04/2011,15:00:00,26.83
24/04/2011,16:00:00,27.83
24/04/2011,17:00:00,30.67
24/04/2011,18:00:00,42.33
24/04/2011,19:00:00,49.50
24/04/2011,20:00:00,56.33
24/04/2011,21:00:00,62.50
24/04/2011,22:00:00,65.83
24/04/2011,23:00:00,68.83
25/04/2011,00:00:00,68.83
25/04/2011,01:00:00,66.50
25/04/2011,02:00:00,65.00
25/04/2011,03:00:00,67.17
25/04/2011,04:00:00,70.33
25/04/2011,05:00:00,72.33
25/04/2011,06:00:00,72.83
25/04/2011,07:00:00,57.67
25/04/2011,08:00:00,45.17
25/04/2011,09:00:00,35.33
25/04/2011,10:00:00,31.50
25/04/2011,11:00:00,27.83
25/04/2011,12:00:00,24.17
25/04/2011,13:00:00,25.67
25/04/2011,14:00:00,26.50
25/04/2011,15:00:00,25.17
25/04/2011,16:00:00,26.17
25/04/2011,17:00:00,28.00
25/04/2011,18:00:00,36.50
25/04/2011,19:00:00,46.17
25/04/2011,20:00:00,54.33
25/04/2011,21:00:00,56.83
25/04/2011,22:00:00,54.67
25/04/2011,23:00:00,50.67
26/04/2011,00:00:00,56.33
26/04/2011,01:00:00,66.00
26/04/2011,02:00:00,67.50
26/04/2011,03:00:00,61.33
26/04/2011,04:00:00,55.50
26/04/2011,05:00:00,64.00
26/04/2011,06:00:00,70.67
26/04/2011,07:00:00,65.50
26/04/2011,08:00:00,55.50
26/04/2011,09:00:00,49.83
26/04/2011,10:00:00,46.83
26/04/2011,11:00:00,44.50
26/04/2011,12:00:00,41.00
26/04/2011,13:00:00,38.83
26/04/2011,14:00:00,38.00
26/04/2011,15:00:00,37.67
26/04/2011,16:00:00,38.50
26/04/2011,17:00:00,42.67
26/04/2011,18:00:00,47.00
26/04/2011,19:00:00,52.67
26/04/2011,20:00:00,53.17
26/04/2011,21:00:00,56.83
26/04/2011,22:00:00,59.83
26/04/2011,23:00:00,62.33
27/04/2011,00:00:00,66.17
27/04/2011,01:00:00,68.00
27/04/2011,02:00:00,70.67
27/04/2011,03:00:00,73.00
27/04/2011,04:00:00,73.33
27/04/2011,05:00:00,76.33
27/04/2011,06:00:00,74.67
27/04/2011,07:00:00,67.67
27/04/2011,08:00:00,62.17
27/04/2011,09:00:00,54.83
27/04/2011,10:00:00,49.67
27/04/2011,11:00:00,44.83
27/04/2011,12:00:00,41.17
27/04/2011,13:00:00,39.83
27/04/2011,14:00:00,38.67
27/04/2011,15:00:00,38.83
27/04/2011,16:00:00,39.17
27/04/2011,17:00:00,41.50
27/04/2011,18:00:00,49.17
27/04/2011,19:00:00,57.67
27/04/2011,20:00:00,63.33
27/04/2011,21:00:00,62.50
27/04/2011,22:00:00,57.17
27/04/2011,23:00:00,59.83
28/04/2011,00:00:00,63.50
