Date,Time,Values
19/04/2013,21:00:00,96.00
19/04/2013,22:00:00,90.50
19/04/2013,23:00:00,98.75
20/04/2013,00:00:00,117.75
20/04/2013,01:00:00,129.67
20/04/2013,02:00:00,138.33
20/04/2013,03:00:00,144.58
20/04/2013,04:00:00,122.75
20/04/2013,05:00:00,209.58
20/04/2013,06:00:00,301.25
20/04/2013,07:00:00,309.50
20/04/2013,08:00:00,311.67
20/04/2013,09:00:00,314.42
20/04/2013,10:00:00,316.00
20/04/2013,11:00:00,314.83
20/04/2013,12:00:00,314.83
20/04/2013,13:00:00,313.67
20/04/2013,14:00:00,311.92
20/04/2013,15:00:00,305.92
20/04/2013,16:00:00,303.83
20/04/2013,17:00:00,295.92
20/04/2013,18:00:00,277.08
20/04/2013,19:00:00,163.50
20/04/2013,20:00:00,132.75
20/04/2013,21:00:00,106.71
04/04/2015,10:00:00,332.44
04/04/2015,11:00:00,333.83
04/04/2015,12:00:00,311.33
04/04/2015,13:00:00,336.00
04/04/2015,14:00:00,374.25
04/04/2015,15:00:00,316.75
04/04/2015,16:00:00,210.75
04/04/2015,17:00:00,61.92
04/04/2015,18:00:00,14.00
04/04/2015,19:00:00,4.25
04/04/2015,20:00:00,4.33
04/04/2015,21:00:00,4.50
04/04/2015,22:00:00,4.33
04/04/2015,23:00:00,4.33
05/04/2015,00:00:00,4.50
05/04/2015,01:00:00,4.50
05/04/2015,02:00:00,4.67
05/04/2015,03:00:00,4.33
05/04/2015,04:00:00,4.25
05/04/2015,05:00:00,4.58
05/04/2015,06:00:00,25.92
05/04/2015,07:00:00,161.83
05/04/2015,08:00:00,324.42
05/04/2015,09:00:00,378.67
05/04/2015,10:00:00,403.33
09/04/2015,12:00:00,420.40
09/04/2015,13:00:00,416.00
09/04/2015,14:00:00,403.83
09/04/2015,15:00:00,380.33
09/04/2015,16:00:00,217.50
09/04/2015,17:00:00,49.00
09/04/2015,18:00:00,14.08
09/04/2015,19:00:00,4.25
09/04/2015,20:00:00,4.42
09/04/2015,21:00:00,4.42
09/04/2015,22:00:00,4.25
09/04/2015,23:00:00,4.33
10/04/2015,00:00:00,4.50
10/04/2015,01:00:00,4.67
10/04/2015,02:00:00,4.58
10/04/2015,03:00:00,4.75
10/04/2015,04:00:00,4.83
10/04/2015,05:00:00,5.33
10/04/2015,06:00:00,32.75
10/04/2015,07:00:00,162.75
10/04/2015,08:00:00,312.17
10/04/2015,09:00:00,377.17
10/04/2015,10:00:00,392.17
10/04/2015,11:00:00,385.92
10/04/2015,12:00:00,411.00
10/04/2015,13:00:00,408.42
10/04/2015,14:00:00,395.92
10/04/2015,15:00:00,372.33
10/04/2015,16:00:00,228.00
10/04/2015,17:00:00,58.08
10/04/2015,18:00:00,14.83
10/04/2015,19:00:00,4.25
10/04/2015,20:00:00,4.25
10/04/2015,21:00:00,4.25
10/04/2015,22:00:00,4.42
10/04/2015,23:00:00,4.42
11/04/2015,00:00:00,4.25
11/04/2015,01:00:00,4.58
11/04/2015,02:00:00,4.58
11/04/2015,03:00:00,4.83
11/04/2015,04:00:00,4.67
11/04/2015,05:00:00,4.92
11/04/2015,06:00:00,29.33
11/04/2015,07:00:00,150.75
11/04/2015,08:00:00,308.17
11/04/2015,09:00:00,367.67
11/04/2015,10:00:00,378.92
11/04/2015,11:00:00,372.17
11/04/2015,12:00:00,386.08
11/04/2015,13:00:00,377.25
11/04/2015,14:00:00,370.75
11/04/2015,15:00:00,321.50
11/04/2015,16:00:00,110.42
11/04/2015,17:00:00,53.42
11/04/2015,18:00:00,13.00
11/04/2015,19:00:00,4.00
11/04/2015,20:00:00,4.25
11/04/2015,21:00:00,4.25
11/04/2015,22:00:00,4.17
11/04/2015,23:00:00,4.25
12/04/2015,00:00:00,4.33
12/04/2015,01:00:00,4.17
12/04/2015,02:00:00,4.50
12/04/2015,03:00:00,4.75
12/04/2015,04:00:00,4.33
12/04/2015,05:00:00,4.08
12/04/2015,06:00:00,15.83
12/04/2015,07:00:00,54.67
12/04/2015,08:00:00,121.33
12/04/2015,09:00:00,159.92
12/04/2015,10:00:00,252.58
12/04/2015,11:00:00,140.92
12/04/2015,12:00:00,200.67
12/04/2015,13:00:00,91.60
12/04/2015,20:00:00,4.64
12/04/2015,21:00:00,4.58
12/04/2015,22:00:00,4.67
12/04/2015,23:00:00,4.67
13/04/2015,00:00:00,4.67
13/04/2015,01:00:00,4.42
13/04/2015,02:00:00,4.58
13/04/2015,03:00:00,4.67
13/04/2015,04:00:00,4.75
13/04/2015,05:00:00,5.08
13/04/2015,06:00:00,24.67
13/04/2015,07:00:00,146.83
13/04/2015,08:00:00,224.00
13/04/2015,09:00:00,362.08
13/04/2015,10:00:00,369.42
13/04/2015,11:00:00,386.58
13/04/2015,12:00:00,385.58
13/04/2015,13:00:00,348.92
13/04/2015,14:00:00,380.58
13/04/2015,15:00:00,251.00
13/04/2015,16:00:00,137.75
13/04/2015,17:00:00,104.92
13/04/2015,18:00:00,21.75
13/04/2015,19:00:00,4.67
13/04/2015,20:00:00,4.83
13/04/2015,21:00:00,4.50
13/04/2015,22:00:00,4.67
13/04/2015,23:00:00,4.33
14/04/2015,00:00:00,4.67
14/04/2015,01:00:00,4.83
14/04/2015,02:00:00,4.58
14/04/2015,03:00:00,4.75
14/04/2015,04:00:00,5.00
14/04/2015,05:00:00,5.00
14/04/2015,06:00:00,35.17
14/04/2015,07:00:00,158.33
14/04/2015,08:00:00,300.25
14/04/2015,09:00:00,377.92
14/04/2015,10:00:00,400.08
14/04/2015,11:00:00,374.92
14/04/2015,12:00:00,401.58
14/04/2015,13:00:00,402.92
14/04/2015,14:00:00,344.92
14/04/2015,15:00:00,362.08
14/04/2015,16:00:00,187.50
14/04/2015,17:00:00,59.00
14/04/2015,18:00:00,17.25
14/04/2015,19:00:00,4.33
14/04/2015,20:00:00,4.50
14/04/2015,21:00:00,4.33
14/04/2015,22:00:00,4.58
14/04/2015,23:00:00,4.50
15/04/2015,00:00:00,4.75
15/04/2015,01:00:00,4.33
15/04/2015,18:00:00,6.00
15/04/2015,19:00:00,4.33
15/04/2015,20:00:00,4.50
15/04/2015,21:00:00,4.33
15/04/2015,22:00:00,4.17
15/04/2015,23:00:00,4.08
16/04/2015,00:00:00,3.92
16/04/2015,01:00:00,4.00
16/04/2015,02:00:00,4.25
16/04/2015,03:00:00,4.33
16/04/2015,04:00:00,4.08
16/04/2015,05:00:00,4.92
16/04/2015,06:00:00,46.00
16/04/2015,07:00:00,155.00
16/04/2015,08:00:00,298.17
16/04/2015,09:00:00,349.55
16/04/2015,10:00:00,261.25
16/04/2015,11:00:00,353.42
16/04/2015,12:00:00,238.50
16/04/2015,13:00:00,329.08
16/04/2015,14:00:00,269.67
16/04/2015,15:00:00,196.58
16/04/2015,16:00:00,114.08
16/04/2015,17:00:00,76.33
16/04/2015,18:00:00,23.25
16/04/2015,19:00:00,4.00
16/04/2015,20:00:00,4.00
16/04/2015,21:00:00,3.92
16/04/2015,22:00:00,3.92
16/04/2015,23:00:00,4.08
17/04/2015,00:00:00,4.17
17/04/2015,01:00:00,3.92
17/04/2015,02:00:00,4.00
17/04/2015,03:00:00,3.92
17/04/2015,04:00:00,4.00
17/04/2015,05:00:00,5.00
17/04/2015,06:00:00,46.42
17/04/2015,07:00:00,158.58
17/04/2015,08:00:00,295.08
17/04/2015,09:00:00,369.42
17/04/2015,10:00:00,392.25
17/04/2015,11:00:00,385.08
17/04/2015,12:00:00,402.83
17/04/2015,13:00:00,398.50
17/04/2015,14:00:00,383.33
17/04/2015,15:00:00,350.58
17/04/2015,16:00:00,217.33
17/04/2015,17:00:00,79.75
17/04/2015,18:00:00,17.75
17/04/2015,19:00:00,3.67
17/04/2015,20:00:00,4.00
17/04/2015,21:00:00,3.92
17/04/2015,22:00:00,3.58
17/04/2015,23:00:00,3.92
18/04/2015,00:00:00,3.92
18/04/2015,01:00:00,3.92
18/04/2015,02:00:00,3.83
18/04/2015,03:00:00,4.08
18/04/2015,04:00:00,4.00
18/04/2015,05:00:00,5.17
18/04/2015,06:00:00,46.67
18/04/2015,07:00:00,160.83
18/04/2015,08:00:00,288.75
18/04/2015,09:00:00,360.83
18/04/2015,10:00:00,384.00
18/04/2015,11:00:00,379.17
18/04/2015,12:00:00,394.08
18/04/2015,13:00:00,386.17
18/04/2015,14:00:00,372.42
18/04/2015,15:00:00,341.50
18/04/2015,16:00:00,212.67
18/04/2015,17:00:00,77.33
18/04/2015,18:00:00,17.42
18/04/2015,19:00:00,3.83
18/04/2015,20:00:00,3.42
18/04/2015,21:00:00,3.25
18/04/2015,22:00:00,3.25
18/04/2015,23:00:00,3.50
19/04/2015,00:00:00,3.25
19/04/2015,01:00:00,3.08
19/04/2015,02:00:00,3.50
19/04/2015,03:00:00,3.58
19/04/2015,04:00:00,3.50
19/04/2015,05:00:00,4.75
19/04/2015,06:00:00,46.67
19/04/2015,07:00:00,163.92
19/04/2015,08:00:00,297.33
