Date,Time,Values
19/04/2011,13:00:00,12.00
19/04/2011,14:00:00,34.75
19/04/2011,15:00:00,8.25
19/04/2011,16:00:00,7.22
19/04/2011,17:00:00,5.87
19/04/2011,18:00:00,2.85
19/04/2011,19:00:00,6.22
19/04/2011,20:00:00,11.00
19/04/2011,21:00:00,9.27
19/04/2011,22:00:00,16.55
19/04/2011,23:00:00,16.25
20/04/2011,00:00:00,31.80
20/04/2011,01:00:00,42.67
20/04/2011,02:00:00,24.72
20/04/2011,03:00:00,17.40
20/04/2011,04:00:00,13.20
20/04/2011,05:00:00,7.58
20/04/2011,06:00:00,5.15
20/04/2011,07:00:00,9.30
20/04/2011,08:00:00,48.43
20/04/2011,09:00:00,37.62
20/04/2011,10:00:00,24.20
20/04/2011,11:00:00,13.18
20/04/2011,12:00:00,11.65
20/04/2011,13:00:00,12.70
24/04/2011,14:00:00,17.00
24/04/2011,15:00:00,17.03
24/04/2011,16:00:00,14.82
24/04/2011,17:00:00,12.67
24/04/2011,18:00:00,20.17
24/04/2011,19:00:00,28.95
24/04/2011,20:00:00,26.12
24/04/2011,21:00:00,23.78
24/04/2011,22:00:00,24.00
24/04/2011,23:00:00,23.32
25/04/2011,00:00:00,12.63
25/04/2011,01:00:00,8.12
25/04/2011,02:00:00,9.53
25/04/2011,03:00:00,7.87
25/04/2011,04:00:00,10.72
25/04/2011,05:00:00,24.18
25/04/2011,06:00:00,27.20
25/04/2011,07:00:00,43.28
25/04/2011,08:00:00,59.33
25/04/2011,09:00:00,38.57
25/04/2011,10:00:00,25.48
25/04/2011,11:00:00,18.65
25/04/2011,12:00:00,13.40
25/04/2011,13:00:00,15.17
25/04/2011,14:00:00,47.02
25/04/2011,15:00:00,19.85
25/04/2011,16:00:00,20.62
25/04/2011,17:00:00,18.55
25/04/2011,18:00:00,15.18
25/04/2011,19:00:00,17.73
25/04/2011,20:00:00,20.70
25/04/2011,21:00:00,25.83
25/04/2011,22:00:00,35.55
25/04/2011,23:00:00,53.15
26/04/2011,00:00:00,35.68
26/04/2011,01:00:00,17.03
26/04/2011,02:00:00,12.98
26/04/2011,03:00:00,19.38
26/04/2011,04:00:00,22.30
26/04/2011,05:00:00,16.98
26/04/2011,06:00:00,15.95
26/04/2011,07:00:00,75.08
26/04/2011,08:00:00,103.08
26/04/2011,09:00:00,56.78
26/04/2011,10:00:00,23.97
26/04/2011,11:00:00,15.42
26/04/2011,12:00:00,13.93
26/04/2011,13:00:00,16.97
26/04/2011,14:00:00,38.33
26/04/2011,15:00:00,9.63
26/04/2011,16:00:00,11.82
26/04/2011,17:00:00,21.17
26/04/2011,18:00:00,13.83
26/04/2011,19:00:00,10.93
26/04/2011,20:00:00,6.63
26/04/2011,21:00:00,5.70
26/04/2011,22:00:00,20.05
26/04/2011,23:00:00,19.50
27/04/2011,00:00:00,26.65
27/04/2011,01:00:00,41.23
27/04/2011,02:00:00,35.13
27/04/2011,03:00:00,35.83
27/04/2011,04:00:00,18.32
27/04/2011,05:00:00,9.88
27/04/2011,06:00:00,6.72
27/04/2011,07:00:00,10.43
27/04/2011,08:00:00,28.48
27/04/2011,09:00:00,30.23
27/04/2011,10:00:00,26.12
27/04/2011,11:00:00,19.60
27/04/2011,12:00:00,13.58
27/04/2011,13:00:00,19.43
27/04/2011,14:00:00,54.27
27/04/2011,15:00:00,25.45
27/04/2011,16:00:00,28.72
27/04/2011,17:00:00,19.58
27/04/2011,18:00:00,26.63
27/04/2011,19:00:00,33.32
27/04/2011,20:00:00,17.58
27/04/2011,21:00:00,9.88
27/04/2011,22:00:00,6.33
27/04/2011,23:00:00,8.57
28/04/2011,00:00:00,39.87
28/04/2011,01:00:00,40.25
28/04/2011,02:00:00,31.62
28/04/2011,03:00:00,36.22
28/04/2011,04:00:00,22.87
28/04/2011,05:00:00,8.33
28/04/2011,06:00:00,6.32
28/04/2011,07:00:00,4.75
28/04/2011,08:00:00,19.90
28/04/2011,09:00:00,31.47
28/04/2011,10:00:00,24.35
28/04/2011,11:00:00,16.38
28/04/2011,12:00:00,16.02
28/04/2011,13:00:00,17.20
28/04/2011,14:00:00,49.43
28/04/2011,15:00:00,20.43
28/04/2011,16:00:00,19.65
28/04/2011,17:00:00,17.48
28/04/2011,18:00:00,12.33
28/04/2011,19:00:00,15.63
28/04/2011,20:00:00,30.47
28/04/2011,21:00:00,29.92
28/04/2011,22:00:00,25.53
28/04/2011,23:00:00,22.13
29/04/2011,00:00:00,10.52
29/04/2011,01:00:00,6.35
29/04/2011,02:00:00,8.13
29/04/2011,03:00:00,29.48
29/04/2011,04:00:00,51.62
29/04/2011,05:00:00,69.47
29/04/2011,06:00:00,73.07
29/04/2011,07:00:00,81.58
29/04/2011,08:00:00,64.90
29/04/2011,09:00:00,34.40
29/04/2011,10:00:00,15.80
29/04/2011,11:00:00,11.15
29/04/2011,12:00:00,6.47
29/04/2011,13:00:00,8.90
29/04/2011,14:00:00,35.87
29/04/2011,15:00:00,8.10
29/04/2011,16:00:00,6.82
29/04/2011,17:00:00,3.92
29/04/2011,18:00:00,8.85
29/04/2011,19:00:00,12.18
29/04/2011,20:00:00,23.83
29/04/2011,21:00:00,28.02
29/04/2011,22:00:00,25.03
29/04/2011,23:00:00,28.02
30/04/2011,00:00:00,20.33
30/04/2011,01:00:00,16.15
30/04/2011,02:00:00,18.53
30/04/2011,03:00:00,22.53
30/04/2011,04:00:00,34.28
30/04/2011,05:00:00,35.23
30/04/2011,06:00:00,26.15
30/04/2011,07:00:00,66.07
30/04/2011,08:00:00,31.23
30/04/2011,09:00:00,4.67
30/04/2011,10:00:00,0.60
30/04/2011,12:00:00,5.68
30/04/2011,13:00:00,8.40
02/05/2011,08:00:00,9.86
02/05/2011,09:00:00,7.93
02/05/2011,10:00:00,8.62
02/05/2011,11:00:00,10.52
02/05/2011,12:00:00,17.13
02/05/2011,13:00:00,18.50
02/05/2011,14:00:00,46.78
02/05/2011,15:00:00,17.48
02/05/2011,16:00:00,16.33
02/05/2011,17:00:00,13.42
02/05/2011,18:00:00,10.83
02/05/2011,19:00:00,20.88
02/05/2011,20:00:00,29.98
02/05/2011,21:00:00,31.15
02/05/2011,22:00:00,36.65
02/05/2011,23:00:00,39.43
03/05/2011,00:00:00,24.93
03/05/2011,01:00:00,9.68
03/05/2011,02:00:00,4.37
03/05/2011,03:00:00,2.68
03/05/2011,04:00:00,6.43
03/05/2011,05:00:00,33.45
03/05/2011,06:00:00,48.33
03/05/2011,07:00:00,48.52
03/05/2011,08:00:00,39.35
03/05/2011,09:00:00,12.93
03/05/2011,10:00:00,9.00
03/05/2011,11:00:00,8.98
03/05/2011,12:00:00,19.37
03/05/2011,13:00:00,18.97
03/05/2011,14:00:00,44.67
03/05/2011,15:00:00,19.15
03/05/2011,16:00:00,13.88
03/05/2011,17:00:00,12.28
03/05/2011,18:00:00,8.85
03/05/2011,19:00:00,7.13
03/05/2011,20:00:00,13.23
03/05/2011,21:00:00,12.10
03/05/2011,22:00:00,12.05
03/05/2011,23:00:00,13.70
04/05/2011,00:00:00,8.43
04/05/2011,01:00:00,5.82
04/05/2011,02:00:00,6.60
04/05/2011,03:00:00,7.70
04/05/2011,04:00:00,12.82
04/05/2011,05:00:00,22.27
04/05/2011,06:00:00,19.60
04/05/2011,07:00:00,20.58
04/05/2011,08:00:00,22.47
04/05/2011,09:00:00,13.07
04/05/2011,10:00:00,7.40
04/05/2011,11:00:00,12.87
04/05/2011,12:00:00,49.82
04/05/2011,13:00:00,30.87
04/05/2011,14:00:00,50.42
04/05/2011,15:00:00,22.07
04/05/2011,16:00:00,20.25
04/05/2011,17:00:00,17.62
04/05/2011,18:00:00,13.72
04/05/2011,19:00:00,11.55
04/05/2011,20:00:00,26.80
04/05/2011,21:00:00,45.22
04/05/2011,22:00:00,23.52
04/05/2011,23:00:00,24.43
05/05/2011,00:00:00,33.05
05/05/2011,01:00:00,31.60
05/05/2011,02:00:00,7.45
05/05/2011,03:00:00,5.38
05/05/2011,04:00:00,18.55
05/05/2011,05:00:00,24.27
05/05/2011,06:00:00,24.97
05/05/2011,07:00:00,27.95
05/05/2011,08:00:00,44.20
05/05/2011,09:00:00,16.83
05/05/2011,10:00:00,6.53
05/05/2011,11:00:00,5.25
05/05/2011,12:00:00,36.43
05/05/2011,13:00:00,63.80
05/05/2011,14:00:00,92.13
05/05/2011,15:00:00,61.05
05/05/2011,16:00:00,51.82
05/05/2011,17:00:00,53.03
05/05/2011,18:00:00,26.97
05/05/2011,19:00:00,15.72
05/05/2011,20:00:00,26.87
05/05/2011,21:00:00,42.58
05/05/2011,22:00:00,37.53
05/05/2011,23:00:00,24.17
06/05/2011,00:00:00,14.35
06/05/2011,01:00:00,5.25
06/05/2011,02:00:00,0.84
06/05/2011,04:00:00,12.08
06/05/2011,05:00:00,34.53
06/05/2011,06:00:00,35.18
06/05/2011,07:00:00,34.82
06/05/2011,08:00:00,30.03
06/05/2011,09:00:00,20.02
06/05/2011,10:00:00,9.27
06/05/2011,11:00:00,7.88
06/05/2011,12:00:00,37.20
06/05/2011,13:00:00,32.10
06/05/2011,14:00:00,47.58
06/05/2011,15:00:00,19.14
06/05/2011,16:00:00,23.17
06/05/2011,17:00:00,22.30
