Date,Time,Values
19/04/2013,21:00:00,25.30
19/04/2013,22:00:00,24.44
19/04/2013,23:00:00,23.26
20/04/2013,00:00:00,22.29
20/04/2013,01:00:00,22.66
20/04/2013,02:00:00,21.83
20/04/2013,03:00:00,21.15
20/04/2013,04:00:00,20.95
20/04/2013,05:00:00,20.26
20/04/2013,06:00:00,20.82
20/04/2013,07:00:00,26.26
20/04/2013,08:00:00,30.49
20/04/2013,09:00:00,32.94
20/04/2013,10:00:00,35.10
20/04/2013,11:00:00,37.67
20/04/2013,12:00:00,38.86
20/04/2013,13:00:00,38.48
20/04/2013,14:00:00,38.28
20/04/2013,15:00:00,36.99
20/04/2013,16:00:00,36.32
20/04/2013,17:00:00,34.18
20/04/2013,18:00:00,30.59
20/04/2013,19:00:00,28.18
20/04/2013,20:00:00,27.67
20/04/2013,21:00:00,28.71
04/04/2015,10:00:00,17.57
04/04/2015,11:00:00,20.02
04/04/2015,12:00:00,20.99
04/04/2015,13:00:00,22.14
04/04/2015,14:00:00,23.53
04/04/2015,15:00:00,22.97
04/04/2015,16:00:00,22.97
04/04/2015,17:00:00,22.04
04/04/2015,18:00:00,20.14
04/04/2015,19:00:00,19.08
04/04/2015,20:00:00,18.39
04/04/2015,21:00:00,17.94
04/04/2015,22:00:00,17.83
04/04/2015,23:00:00,17.02
05/04/2015,00:00:00,16.08
05/04/2015,01:00:00,15.42
05/04/2015,02:00:00,14.86
05/04/2015,03:00:00,14.45
05/04/2015,04:00:00,14.23
05/04/2015,05:00:00,14.05
05/04/2015,06:00:00,14.68
05/04/2015,07:00:00,17.95
05/04/2015,08:00:00,21.78
05/04/2015,09:00:00,23.85
05/04/2015,10:00:00,24.87
09/04/2015,12:00:00,30.08
09/04/2015,13:00:00,30.62
09/04/2015,14:00:00,30.82
09/04/2015,15:00:00,30.74
09/04/2015,16:00:00,30.23
09/04/2015,17:00:00,29.17
09/04/2015,18:00:00,27.12
09/04/2015,19:00:00,24.79
09/04/2015,20:00:00,23.10
09/04/2015,21:00:00,22.14
09/04/2015,22:00:00,21.43
09/04/2015,23:00:00,20.83
10/04/2015,00:00:00,20.45
10/04/2015,01:00:00,19.76
10/04/2015,02:00:00,18.37
10/04/2015,03:00:00,17.72
10/04/2015,04:00:00,17.48
10/04/2015,05:00:00,16.84
10/04/2015,06:00:00,17.80
10/04/2015,07:00:00,21.25
10/04/2015,08:00:00,24.76
10/04/2015,09:00:00,27.29
10/04/2015,10:00:00,29.35
10/04/2015,11:00:00,31.42
10/04/2015,12:00:00,32.50
10/04/2015,13:00:00,33.09
10/04/2015,14:00:00,33.25
10/04/2015,15:00:00,33.20
10/04/2015,16:00:00,32.62
10/04/2015,17:00:00,31.29
10/04/2015,18:00:00,28.53
10/04/2015,19:00:00,25.87
10/04/2015,20:00:00,24.34
10/04/2015,21:00:00,23.16
10/04/2015,22:00:00,22.19
10/04/2015,23:00:00,22.45
11/04/2015,00:00:00,20.81
11/04/2015,01:00:00,20.13
11/04/2015,02:00:00,19.63
11/04/2015,03:00:00,18.59
11/04/2015,04:00:00,18.21
11/04/2015,05:00:00,17.78
11/04/2015,06:00:00,18.17
11/04/2015,07:00:00,22.42
11/04/2015,08:00:00,27.66
11/04/2015,09:00:00,31.86
11/04/2015,10:00:00,33.90
11/04/2015,11:00:00,34.27
11/04/2015,12:00:00,35.23
11/04/2015,13:00:00,34.48
11/04/2015,14:00:00,35.39
11/04/2015,15:00:00,34.60
11/04/2015,16:00:00,32.33
11/04/2015,17:00:00,29.94
11/04/2015,18:00:00,28.11
11/04/2015,19:00:00,26.27
11/04/2015,20:00:00,25.03
11/04/2015,21:00:00,24.37
11/04/2015,22:00:00,25.10
11/04/2015,23:00:00,22.19
12/04/2015,00:00:00,22.46
12/04/2015,01:00:00,18.93
12/04/2015,02:00:00,18.85
12/04/2015,03:00:00,19.28
12/04/2015,04:00:00,19.33
12/04/2015,05:00:00,18.48
12/04/2015,06:00:00,19.38
12/04/2015,07:00:00,20.13
12/04/2015,08:00:00,21.45
12/04/2015,09:00:00,21.93
12/04/2015,10:00:00,24.04
12/04/2015,11:00:00,24.38
12/04/2015,12:00:00,23.97
12/04/2015,13:00:00,22.84
12/04/2015,20:00:00,21.63
12/04/2015,21:00:00,19.64
12/04/2015,22:00:00,18.84
12/04/2015,23:00:00,18.72
13/04/2015,00:00:00,18.17
13/04/2015,01:00:00,17.90
13/04/2015,02:00:00,17.60
13/04/2015,03:00:00,17.16
13/04/2015,04:00:00,16.86
13/04/2015,05:00:00,16.58
13/04/2015,06:00:00,17.04
13/04/2015,07:00:00,20.17
13/04/2015,08:00:00,22.52
13/04/2015,09:00:00,25.12
13/04/2015,10:00:00,26.52
13/04/2015,11:00:00,27.99
13/04/2015,12:00:00,28.94
13/04/2015,13:00:00,29.04
13/04/2015,14:00:00,29.47
13/04/2015,15:00:00,29.03
13/04/2015,16:00:00,27.33
13/04/2015,17:00:00,24.65
13/04/2015,18:00:00,19.50
13/04/2015,19:00:00,18.38
13/04/2015,20:00:00,18.98
13/04/2015,21:00:00,19.67
13/04/2015,22:00:00,19.62
13/04/2015,23:00:00,19.22
14/04/2015,00:00:00,18.44
14/04/2015,01:00:00,19.27
14/04/2015,02:00:00,18.70
14/04/2015,03:00:00,18.93
14/04/2015,04:00:00,19.28
14/04/2015,05:00:00,18.42
14/04/2015,06:00:00,18.60
14/04/2015,07:00:00,21.57
