Date,Time,Values
19/04/2013,21:00:00,53.62
19/04/2013,22:00:00,54.12
19/04/2013,23:00:00,73.10
20/04/2013,00:00:00,73.13
20/04/2013,01:00:00,66.88
20/04/2013,02:00:00,66.92
20/04/2013,03:00:00,68.10
20/04/2013,04:00:00,61.58
20/04/2013,05:00:00,54.07
20/04/2013,06:00:00,49.24
20/04/2013,07:00:00,45.64
20/04/2013,08:00:00,32.92
20/04/2013,09:00:00,29.22
20/04/2013,10:00:00,19.14
20/04/2013,11:00:00,12.24
20/04/2013,12:00:00,7.53
20/04/2013,13:00:00,5.96
20/04/2013,14:00:00,NA
20/04/2013,15:00:00,NA
20/04/2013,16:00:00,5.47
20/04/2013,17:00:00,12.72
20/04/2013,18:00:00,22.54
20/04/2013,19:00:00,37.49
20/04/2013,20:00:00,45.86
20/04/2013,21:00:00,41.89
04/04/2015,10:00:00,7.12
04/04/2015,11:00:00,6.91
04/04/2015,12:00:00,6.26
04/04/2015,13:00:00,NA
04/04/2015,14:00:00,NA
04/04/2015,15:00:00,7.22
04/04/2015,16:00:00,8.11
04/04/2015,17:00:00,10.88
04/04/2015,18:00:00,10.67
04/04/2015,19:00:00,13.74
04/04/2015,20:00:00,14.02
04/04/2015,21:00:00,15.48
04/04/2015,22:00:00,15.76
04/04/2015,23:00:00,9.21
05/04/2015,00:00:00,6.76
05/04/2015,01:00:00,9.70
05/04/2015,02:00:00,11.85
05/04/2015,03:00:00,13.73
05/04/2015,04:00:00,14.66
05/04/2015,05:00:00,13.39
05/04/2015,06:00:00,13.77
05/04/2015,07:00:00,12.84
05/04/2015,08:00:00,9.27
05/04/2015,09:00:00,6.14
05/04/2015,10:00:00,6.60
09/04/2015,12:00:00,NA
09/04/2015,13:00:00,NA
09/04/2015,14:00:00,NA
09/04/2015,15:00:00,NA
09/04/2015,16:00:00,NA
09/04/2015,17:00:00,NA
09/04/2015,18:00:00,6.19
09/04/2015,19:00:00,10.08
09/04/2015,20:00:00,17.68
09/04/2015,21:00:00,16.70
09/04/2015,22:00:00,14.60
09/04/2015,23:00:00,13.83
10/04/2015,00:00:00,14.32
10/04/2015,01:00:00,13.92
10/04/2015,02:00:00,14.36
10/04/2015,03:00:00,14.25
10/04/2015,04:00:00,10.29
10/04/2015,05:00:00,8.11
