Date,Time,Values
19/04/2011,13:00:00,171.75
19/04/2011,14:00:00,152.50
19/04/2011,15:00:00,129.00
19/04/2011,16:00:00,180.83
19/04/2011,17:00:00,214.50
19/04/2011,18:00:00,240.00
19/04/2011,19:00:00,215.33
19/04/2011,20:00:00,214.33
19/04/2011,21:00:00,103.83
19/04/2011,22:00:00,103.17
19/04/2011,23:00:00,124.17
20/04/2011,00:00:00,106.17
20/04/2011,01:00:00,197.50
20/04/2011,02:00:00,261.67
20/04/2011,03:00:00,264.17
20/04/2011,04:00:00,258.33
20/04/2011,05:00:00,230.33
20/04/2011,06:00:00,251.83
20/04/2011,07:00:00,231.17
20/04/2011,08:00:00,261.17
20/04/2011,09:00:00,240.33
20/04/2011,10:00:00,236.33
20/04/2011,11:00:00,202.00
20/04/2011,12:00:00,210.00
20/04/2011,13:00:00,206.00
24/04/2011,14:00:00,215.00
24/04/2011,15:00:00,178.50
24/04/2011,16:00:00,153.83
24/04/2011,17:00:00,148.33
24/04/2011,18:00:00,264.50
24/04/2011,19:00:00,256.33
24/04/2011,20:00:00,259.00
24/04/2011,21:00:00,256.17
24/04/2011,22:00:00,258.33
24/04/2011,23:00:00,252.50
25/04/2011,00:00:00,239.17
25/04/2011,01:00:00,244.83
25/04/2011,02:00:00,203.83
25/04/2011,03:00:00,263.50
25/04/2011,04:00:00,229.50
25/04/2011,05:00:00,260.67
25/04/2011,06:00:00,229.67
25/04/2011,07:00:00,188.17
25/04/2011,08:00:00,266.67
25/04/2011,09:00:00,242.83
25/04/2011,10:00:00,187.83
25/04/2011,11:00:00,199.83
25/04/2011,12:00:00,160.83
25/04/2011,13:00:00,195.67
25/04/2011,14:00:00,144.67
25/04/2011,15:00:00,185.17
25/04/2011,16:00:00,164.33
25/04/2011,17:00:00,194.17
25/04/2011,18:00:00,242.67
25/04/2011,19:00:00,256.00
25/04/2011,20:00:00,259.33
25/04/2011,21:00:00,260.17
25/04/2011,22:00:00,257.00
25/04/2011,23:00:00,201.17
26/04/2011,00:00:00,254.67
26/04/2011,01:00:00,252.00
26/04/2011,02:00:00,254.50
26/04/2011,03:00:00,192.83
26/04/2011,04:00:00,138.50
26/04/2011,05:00:00,181.17
26/04/2011,06:00:00,201.17
26/04/2011,07:00:00,146.50
26/04/2011,08:00:00,134.33
26/04/2011,09:00:00,159.00
26/04/2011,10:00:00,169.67
26/04/2011,11:00:00,177.33
26/04/2011,12:00:00,176.17
26/04/2011,13:00:00,193.17
26/04/2011,14:00:00,212.50
26/04/2011,15:00:00,213.83
26/04/2011,16:00:00,205.00
26/04/2011,17:00:00,130.33
26/04/2011,18:00:00,132.50
26/04/2011,19:00:00,122.67
26/04/2011,20:00:00,127.67
26/04/2011,21:00:00,179.17
26/04/2011,22:00:00,197.83
26/04/2011,23:00:00,175.33
27/04/2011,00:00:00,159.83
27/04/2011,01:00:00,182.33
27/04/2011,02:00:00,242.17
27/04/2011,03:00:00,254.83
27/04/2011,04:00:00,260.33
27/04/2011,05:00:00,254.17
27/04/2011,06:00:00,215.67
27/04/2011,07:00:00,194.00
27/04/2011,08:00:00,233.50
27/04/2011,09:00:00,249.67
27/04/2011,10:00:00,254.17
27/04/2011,11:00:00,226.17
27/04/2011,12:00:00,177.33
27/04/2011,13:00:00,194.50
27/04/2011,14:00:00,178.67
27/04/2011,15:00:00,168.67
27/04/2011,16:00:00,191.50
27/04/2011,17:00:00,257.50
27/04/2011,18:00:00,225.00
27/04/2011,19:00:00,251.33
27/04/2011,20:00:00,264.67
27/04/2011,21:00:00,265.33
27/04/2011,22:00:00,176.83
27/04/2011,23:00:00,247.83
28/04/2011,00:00:00,249.67
28/04/2011,01:00:00,261.83
28/04/2011,02:00:00,250.50
28/04/2011,03:00:00,260.17
28/04/2011,04:00:00,235.67
28/04/2011,05:00:00,253.00
28/04/2011,06:00:00,214.50
28/04/2011,07:00:00,251.50
28/04/2011,08:00:00,251.00
28/04/2011,09:00:00,260.00
28/04/2011,10:00:00,260.33
28/04/2011,11:00:00,202.50
28/04/2011,12:00:00,171.83
28/04/2011,13:00:00,152.50
28/04/2011,14:00:00,177.67
28/04/2011,15:00:00,159.50
28/04/2011,16:00:00,114.50
28/04/2011,17:00:00,105.33
28/04/2011,18:00:00,236.83
28/04/2011,19:00:00,254.00
28/04/2011,20:00:00,258.83
28/04/2011,21:00:00,230.17
28/04/2011,22:00:00,263.50
28/04/2011,23:00:00,244.83
29/04/2011,00:00:00,215.67
29/04/2011,01:00:00,254.67
29/04/2011,02:00:00,252.67
29/04/2011,03:00:00,252.00
29/04/2011,04:00:00,260.67
29/04/2011,05:00:00,265.17
29/04/2011,06:00:00,264.00
29/04/2011,07:00:00,261.67
29/04/2011,08:00:00,243.50
29/04/2011,09:00:00,229.67
29/04/2011,10:00:00,178.17
29/04/2011,11:00:00,173.50
29/04/2011,12:00:00,177.00
29/04/2011,13:00:00,172.50
29/04/2011,14:00:00,170.33
29/04/2011,15:00:00,221.67
29/04/2011,16:00:00,172.17
29/04/2011,17:00:00,139.50
29/04/2011,18:00:00,111.83
29/04/2011,19:00:00,260.00
29/04/2011,20:00:00,175.33
29/04/2011,21:00:00,156.17
29/04/2011,22:00:00,199.83
29/04/2011,23:00:00,230.00
30/04/2011,00:00:00,242.50
30/04/2011,01:00:00,246.50
30/04/2011,02:00:00,257.67
30/04/2011,03:00:00,242.50
30/04/2011,04:00:00,265.83
30/04/2011,05:00:00,251.83
30/04/2011,06:00:00,211.83
30/04/2011,07:00:00,268.83
30/04/2011,08:00:00,259.17
30/04/2011,09:00:00,239.50
30/04/2011,10:00:00,237.00
30/04/2011,11:00:00,227.00
30/04/2011,12:00:00,259.17
30/04/2011,13:00:00,254.00
02/05/2011,07:00:00,264.00
02/05/2011,08:00:00,271.83
02/05/2011,09:00:00,268.00
02/05/2011,10:00:00,253.33
02/05/2011,11:00:00,204.00
02/05/2011,12:00:00,179.33
02/05/2011,13:00:00,160.83
02/05/2011,14:00:00,190.33
02/05/2011,15:00:00,174.50
02/05/2011,16:00:00,169.83
02/05/2011,17:00:00,150.83
02/05/2011,18:00:00,138.33
02/05/2011,19:00:00,104.83
02/05/2011,20:00:00,225.50
02/05/2011,21:00:00,257.67
02/05/2011,22:00:00,221.83
02/05/2011,23:00:00,185.17
03/05/2011,00:00:00,221.67
03/05/2011,01:00:00,255.67
03/05/2011,02:00:00,235.83
03/05/2011,03:00:00,248.17
03/05/2011,04:00:00,208.83
03/05/2011,05:00:00,232.00
03/05/2011,06:00:00,252.83
03/05/2011,07:00:00,248.33
03/05/2011,08:00:00,265.50
03/05/2011,09:00:00,264.50
03/05/2011,10:00:00,239.67
03/05/2011,11:00:00,228.83
03/05/2011,12:00:00,204.33
03/05/2011,13:00:00,171.00
03/05/2011,14:00:00,152.17
03/05/2011,15:00:00,155.33
