Date,Time,Values
10/10/2016,12:00:00,754.28
10/10/2016,13:00:00,753.90
10/10/2016,14:00:00,753.43
10/10/2016,15:00:00,753.10
10/10/2016,16:00:00,753.17
12/10/2016,09:00:00,755.25
12/10/2016,10:00:00,755.19
13/10/2016,12:00:00,755.77
13/10/2016,13:00:00,755.10
13/10/2016,14:00:00,754.80
14/10/2016,08:00:00,757.24
14/10/2016,09:00:00,757.30
14/10/2016,10:00:00,757.29
14/10/2016,11:00:00,756.75
14/10/2016,12:00:00,755.96
14/10/2016,13:00:00,755.46
14/10/2016,14:00:00,755.04
14/10/2016,15:00:00,754.88
14/10/2016,16:00:00,754.99
14/10/2016,17:00:00,755.44
14/10/2016,18:00:00,755.81
14/10/2016,19:00:00,756.43
14/10/2016,20:00:00,756.90
14/10/2016,21:00:00,757.09
14/10/2016,22:00:00,757.13
14/10/2016,23:00:00,757.16
15/10/2016,00:00:00,757.01
15/10/2016,01:00:00,756.81
15/10/2016,02:00:00,756.64
15/10/2016,03:00:00,756.60
15/10/2016,04:00:00,756.60
15/10/2016,05:00:00,756.81
15/10/2016,06:00:00,757.20
15/10/2016,07:00:00,757.61
15/10/2016,08:00:00,757.88
15/10/2016,09:00:00,758.16
15/10/2016,10:00:00,758.14
15/10/2016,11:00:00,757.75
15/10/2016,12:00:00,757.20
15/10/2016,13:00:00,756.65
15/10/2016,14:00:00,756.19
15/10/2016,15:00:00,755.95
15/10/2016,16:00:00,756.09
15/10/2016,17:00:00,756.42
15/10/2016,18:00:00,756.71
15/10/2016,19:00:00,757.16
15/10/2016,20:00:00,757.57
15/10/2016,21:00:00,757.67
15/10/2016,22:00:00,757.70
15/10/2016,23:00:00,757.69
16/10/2016,00:00:00,757.52
16/10/2016,01:00:00,757.29
16/10/2016,02:00:00,757.16
16/10/2016,03:00:00,757.20
16/10/2016,04:00:00,757.33
16/10/2016,05:00:00,757.65
16/10/2016,06:00:00,758.08
16/10/2016,07:00:00,758.48
16/10/2016,08:00:00,758.74
16/10/2016,09:00:00,759.02
16/10/2016,10:00:00,759.06
16/10/2016,11:00:00,758.64
16/10/2016,12:00:00,758.10
16/10/2016,13:00:00,757.48
16/10/2016,14:00:00,756.96
16/10/2016,15:00:00,756.71
16/10/2016,16:00:00,756.71
16/10/2016,17:00:00,757.07
16/10/2016,18:00:00,757.39
16/10/2016,19:00:00,757.80
16/10/2016,20:00:00,758.01
16/10/2016,21:00:00,757.88
16/10/2016,22:00:00,757.80
16/10/2016,23:00:00,757.82
17/10/2016,00:00:00,757.69
17/10/2016,01:00:00,757.39
17/10/2016,02:00:00,757.20
17/10/2016,03:00:00,757.11
17/10/2016,04:00:00,757.13
17/10/2016,05:00:00,757.29
17/10/2016,06:00:00,757.63
17/10/2016,07:00:00,757.91
17/10/2016,08:00:00,758.08
17/10/2016,09:00:00,758.38
17/10/2016,10:00:00,758.27
17/10/2016,11:00:00,757.84
17/10/2016,12:00:00,757.16
17/10/2016,13:00:00,756.62
17/10/2016,14:00:00,756.23
17/10/2016,15:00:00,755.98
17/10/2016,16:00:00,756.06
17/10/2016,17:00:00,756.19
