Date,Time,Values
02/01/2011,01:00:00,3.0
02/01/2011,05:00:00,2.77
02/01/2011,06:00:00,2.64
02/01/2011,09:00:00,3.4
02/01/2011,10:00:00,2.56
03/01/2011,03:00:00,5.97
04/01/2011,04:00:00,1.74
04/01/2011,05:00:00,24.98
04/01/2011,07:00:00,16.2
04/01/2011,18:00:00,5.61
05/01/2011,00:00:00,0.3
05/01/2011,01:00:00,3.3
05/01/2011,02:00:00,2.52
05/01/2011,04:00:00,2.18
05/01/2011,05:00:00,3.26
05/01/2011,06:00:00,3.5
05/01/2011,09:00:00,4.54
07/01/2011,00:00:00,8.47
07/01/2011,01:00:00,9.56
07/01/2011,02:00:00,9.71
07/01/2011,08:00:00,3.58
07/01/2011,09:00:00,16.45
07/01/2011,13:00:00,20.11
07/01/2011,14:00:00,30.44
07/01/2011,15:00:00,33.77
08/01/2011,07:00:00,6.91
08/01/2011,22:00:00,1.77
08/01/2011,23:00:00,2.27
11/01/2011,19:00:00,0.98
11/01/2011,20:00:00,0.88
11/01/2011,21:00:00,1.56
11/01/2011,22:00:00,1.99
11/01/2011,23:00:00,1.4
12/01/2011,00:00:00,1.84
12/01/2011,02:00:00,0.46
12/01/2011,03:00:00,1.94
12/01/2011,04:00:00,1.25
12/01/2011,05:00:00,0.94
12/01/2011,06:00:00,0.95
12/01/2011,07:00:00,47.88
12/01/2011,08:00:00,34.18
12/01/2011,19:00:00,1.9
12/01/2011,20:00:00,4.03
12/01/2011,21:00:00,2.39
12/01/2011,22:00:00,4.4
12/01/2011,23:00:00,84.71
13/01/2011,00:00:00,5.72
13/01/2011,01:00:00,2.31
13/01/2011,02:00:00,3.28
13/01/2011,03:00:00,3.45
13/01/2011,04:00:00,3.96
13/01/2011,05:00:00,3.16
13/01/2011,06:00:00,22.31
13/01/2011,07:00:00,40.03
13/01/2011,08:00:00,18.89
14/01/2011,07:00:00,14.18
15/01/2011,12:00:00,6.81
15/01/2011,13:00:00,5.94
15/01/2011,14:00:00,5.54
15/01/2011,15:00:00,5.82
15/01/2011,16:00:00,4.3
15/01/2011,17:00:00,4.75
15/01/2011,18:00:00,15.91
15/01/2011,19:00:00,17.47
15/01/2011,20:00:00,27.69
15/01/2011,21:00:00,12.2
15/01/2011,22:00:00,10.89
15/01/2011,23:00:00,13.57
16/01/2011,11:00:00,7.89
16/01/2011,12:00:00,6.7
16/01/2011,13:00:00,3.54
16/01/2011,14:00:00,3.3
16/01/2011,15:00:00,2.95
16/01/2011,16:00:00,3.5
16/01/2011,17:00:00,4.29
16/01/2011,18:00:00,5.95
16/01/2011,19:00:00,10.26
16/01/2011,20:00:00,10.38
16/01/2011,21:00:00,8.28
16/01/2011,22:00:00,8.56
16/01/2011,23:00:00,7.9
17/01/2011,00:00:00,6.41
17/01/2011,01:00:00,6.17
17/01/2011,02:00:00,6.43
17/01/2011,03:00:00,5.39
17/01/2011,04:00:00,5.59
17/01/2011,05:00:00,5.67
17/01/2011,06:00:00,5.13
17/01/2011,07:00:00,7.38
17/01/2011,08:00:00,9.53
17/01/2011,09:00:00,6.1
17/01/2011,10:00:00,10.02
17/01/2011,11:00:00,8.24
17/01/2011,12:00:00,7.69
17/01/2011,13:00:00,4.46
17/01/2011,14:00:00,3.51
17/01/2011,15:00:00,3.67
17/01/2011,16:00:00,2.96
17/01/2011,17:00:00,2.38
17/01/2011,18:00:00,16.29
17/01/2011,19:00:00,35.34
17/01/2011,20:00:00,37.93
17/01/2011,21:00:00,2.37
17/01/2011,22:00:00,2.42
17/01/2011,23:00:00,23.84
18/01/2011,00:00:00,12.31
18/01/2011,01:00:00,14.75
18/01/2011,02:00:00,15.13
18/01/2011,03:00:00,14.46
18/01/2011,04:00:00,19.28
18/01/2011,05:00:00,20.38
18/01/2011,06:00:00,22.29
18/01/2011,07:00:00,29.01
18/01/2011,08:00:00,24.53
18/01/2011,19:00:00,8.3
18/01/2011,20:00:00,16.55
18/01/2011,21:00:00,17.38
18/01/2011,23:00:00,4.73
19/01/2011,00:00:00,9.89
19/01/2011,01:00:00,8.0
19/01/2011,02:00:00,5.31
19/01/2011,03:00:00,11.54
19/01/2011,04:00:00,9.63
19/01/2011,05:00:00,9.26
19/01/2011,06:00:00,13.1
19/01/2011,07:00:00,14.68
19/01/2011,08:00:00,15.24
19/01/2011,09:00:00,12.56
19/01/2011,10:00:00,5.15
19/01/2011,11:00:00,12.34
19/01/2011,12:00:00,11.44
19/01/2011,13:00:00,7.26
19/01/2011,14:00:00,3.68
19/01/2011,15:00:00,4.31
19/01/2011,16:00:00,6.99
19/01/2011,17:00:00,9.54
19/01/2011,18:00:00,7.24
19/01/2011,19:00:00,18.67
19/01/2011,20:00:00,23.02
19/01/2011,21:00:00,30.73
19/01/2011,22:00:00,25.33
19/01/2011,23:00:00,24.73
20/01/2011,00:00:00,15.12
20/01/2011,01:00:00,14.31
20/01/2011,02:00:00,14.64
20/01/2011,03:00:00,19.25
20/01/2011,04:00:00,16.16
20/01/2011,05:00:00,14.38
20/01/2011,06:00:00,16.98
20/01/2011,07:00:00,17.04
20/01/2011,08:00:00,14.55
20/01/2011,09:00:00,16.05
20/01/2011,10:00:00,15.21
20/01/2011,11:00:00,17.71
20/01/2011,12:00:00,15.64
20/01/2011,13:00:00,12.73
20/01/2011,14:00:00,6.54
20/01/2011,15:00:00,4.51
20/01/2011,16:00:00,5.63
20/01/2011,17:00:00,6.49
20/01/2011,18:00:00,10.54
20/01/2011,19:00:00,33.91
20/01/2011,20:00:00,133.24
20/01/2011,21:00:00,4.3
20/01/2011,22:00:00,24.05
20/01/2011,23:00:00,118.31
21/01/2011,00:00:00,92.11
21/01/2011,01:00:00,61.06
21/01/2011,02:00:00,13.89
21/01/2011,03:00:00,67.41
21/01/2011,04:00:00,50.3
21/01/2011,05:00:00,42.54
21/01/2011,06:00:00,44.91
21/01/2011,07:00:00,64.7
21/01/2011,08:00:00,58.06
21/01/2011,12:00:00,7.31
21/01/2011,15:00:00,7.88
21/01/2011,16:00:00,9.42
21/01/2011,22:00:00,1.22
21/01/2011,23:00:00,1.82
22/01/2011,03:00:00,1.51
24/01/2011,12:00:00,1.22
24/01/2011,13:00:00,5.31
24/01/2011,15:00:00,0.69
24/01/2011,16:00:00,3.12
24/01/2011,17:00:00,4.13
25/01/2011,15:00:00,2.14
25/01/2011,16:00:00,5.54
25/01/2011,17:00:00,5.59
25/01/2011,20:00:00,1.34
25/01/2011,21:00:00,1.64
25/01/2011,22:00:00,2.69
25/01/2011,23:00:00,2.55
26/01/2011,03:00:00,5.16
26/01/2011,05:00:00,4.09
26/01/2011,08:00:00,5.48
26/01/2011,09:00:00,6.69
26/01/2011,11:00:00,2.55
26/01/2011,12:00:00,5.26
26/01/2011,13:00:00,2.06
28/01/2011,16:00:00,1.43
28/01/2011,17:00:00,4.3
28/01/2011,20:00:00,1.55
28/01/2011,21:00:00,3.07
28/01/2011,22:00:00,1.27
29/01/2011,00:00:00,0.67
29/01/2011,01:00:00,1.79
29/01/2011,05:00:00,0.53
29/01/2011,06:00:00,1.07
29/01/2011,22:00:00,1.5
29/01/2011,23:00:00,0.98
30/01/2011,00:00:00,2.42
30/01/2011,01:00:00,1.86
30/01/2011,02:00:00,1.9
31/01/2011,11:00:00,9.66
31/01/2011,12:00:00,13.86
31/01/2011,13:00:00,9.58
31/01/2011,14:00:00,3.33
31/01/2011,15:00:00,2.75
31/01/2011,16:00:00,4.43
31/01/2011,17:00:00,4.72
31/01/2011,18:00:00,11.02
31/01/2011,19:00:00,31.93
31/01/2011,20:00:00,50.58
31/01/2011,21:00:00,5.35
31/01/2011,22:00:00,11.0
01/02/2011,02:00:00,6.13
01/02/2011,10:00:00,10.53
01/02/2011,11:00:00,12.29
01/02/2011,12:00:00,11.13
01/02/2011,13:00:00,8.12
01/02/2011,14:00:00,6.23
01/02/2011,15:00:00,6.2
01/02/2011,16:00:00,8.53
01/02/2011,17:00:00,12.63
01/02/2011,18:00:00,27.83
01/02/2011,19:00:00,33.4
01/02/2011,20:00:00,27.22
01/02/2011,21:00:00,27.26
01/02/2011,22:00:00,53.95
01/02/2011,23:00:00,18.71
02/02/2011,00:00:00,27.82
02/02/2011,01:00:00,19.57
02/02/2011,02:00:00,16.83
02/02/2011,03:00:00,8.83
02/02/2011,04:00:00,8.09
02/02/2011,05:00:00,9.2
02/02/2011,06:00:00,11.13
02/02/2011,07:00:00,16.97
02/02/2011,08:00:00,10.43
02/02/2011,09:00:00,13.5
02/02/2011,10:00:00,14.65
02/02/2011,11:00:00,18.18
02/02/2011,12:00:00,10.95
02/02/2011,13:00:00,9.88
02/02/2011,14:00:00,8.13
02/02/2011,15:00:00,7.89
02/02/2011,16:00:00,7.22
02/02/2011,17:00:00,8.71
02/02/2011,18:00:00,17.26
02/02/2011,19:00:00,33.66
02/02/2011,20:00:00,53.0
02/02/2011,21:00:00,50.72
03/02/2011,20:00:00,2.54
03/02/2011,21:00:00,3.07
03/02/2011,22:00:00,3.01
03/02/2011,23:00:00,4.68
04/02/2011,00:00:00,94.05
04/02/2011,01:00:00,14.37
04/02/2011,02:00:00,28.62
04/02/2011,03:00:00,1.38
04/02/2011,04:00:00,59.58
04/02/2011,05:00:00,63.01
04/02/2011,06:00:00,49.26
04/02/2011,07:00:00,47.34
04/02/2011,08:00:00,56.85
04/02/2011,09:00:00,39.38
04/02/2011,10:00:00,25.39
04/02/2011,11:00:00,30.91
04/02/2011,12:00:00,29.43
04/02/2011,13:00:00,14.44
04/02/2011,14:00:00,6.4
