Date,Time,Values
01/01/2011,00:00:00,0.99
01/01/2011,01:00:00,0.56
01/01/2011,02:00:00,0.54
01/01/2011,03:00:00,0.98
01/01/2011,04:00:00,0.63
01/01/2011,05:00:00,0.06
01/01/2011,06:00:00,0.62
01/01/2011,07:00:00,1.01
01/01/2011,08:00:00,0.70
01/01/2011,09:00:00,0.16
01/01/2011,10:00:00,0.75
01/01/2011,11:00:00,1.15
01/01/2011,12:00:00,0.58
01/01/2011,13:00:00,0.23
01/01/2011,14:00:00,0.51
01/01/2011,15:00:00,0.62
01/01/2011,16:00:00,0.81
01/01/2011,17:00:00,0.65
01/01/2011,18:00:00,0.73
01/01/2011,19:00:00,1.06
01/01/2011,20:00:00,0.34
01/01/2011,21:00:00,0.14
01/01/2011,22:00:00,0.51
01/01/2011,23:00:00,0.73
02/01/2011,00:00:00,0.78
02/01/2011,01:00:00,0.26
02/01/2011,02:00:00,0.55
02/01/2011,03:00:00,0.80
02/01/2011,04:00:00,0.80
02/01/2011,05:00:00,0.38
02/01/2011,06:00:00,0.56
02/01/2011,07:00:00,0.86
02/01/2011,08:00:00,0.83
02/01/2011,09:00:00,0.60
02/01/2011,10:00:00,0.45
02/01/2011,11:00:00,0.79
02/01/2011,12:00:00,0.57
02/01/2011,13:00:00,0.26
02/01/2011,14:00:00,0.38
02/01/2011,15:00:00,0.66
02/01/2011,16:00:00,0.77
02/01/2011,17:00:00,0.45
02/01/2011,18:00:00,0.51
02/01/2011,19:00:00,0.83
02/01/2011,20:00:00,0.61
02/01/2011,21:00:00,0.15
02/01/2011,22:00:00,0.52
02/01/2011,23:00:00,0.90
03/01/2011,00:00:00,0.78
03/01/2011,01:00:00,0.34
03/01/2011,02:00:00,0.62
03/01/2011,03:00:00,0.80
03/01/2011,04:00:00,0.94
03/01/2011,05:00:00,0.45
03/01/2011,06:00:00,0.69
03/01/2011,07:00:00,1.03
03/01/2011,08:00:00,0.73
03/01/2011,09:00:00,0.47
03/01/2011,10:00:00,0.86
03/01/2011,11:00:00,1.06
03/01/2011,12:00:00,0.78
03/01/2011,13:00:00,0.52
03/01/2011,14:00:00,0.48
03/01/2011,15:00:00,0.59
03/01/2011,16:00:00,0.88
03/01/2011,17:00:00,0.73
03/01/2011,18:00:00,0.97
03/01/2011,19:00:00,1.41
03/01/2011,20:00:00,1.61
03/01/2011,21:00:00,1.63
03/01/2011,22:00:00,0.35
03/01/2011,23:00:00,0.28
04/01/2011,00:00:00,0.71
04/01/2011,01:00:00,0.56
04/01/2011,02:00:00,0.64
04/01/2011,03:00:00,0.54
04/01/2011,04:00:00,0.99
04/01/2011,05:00:00,0.85
04/01/2011,06:00:00,1.12
04/01/2011,07:00:00,0.83
04/01/2011,08:00:00,0.77
04/01/2011,09:00:00,0.59
04/01/2011,10:00:00,0.36
04/01/2011,11:00:00,0.47
04/01/2011,12:00:00,0.70
04/01/2011,13:00:00,0.53
04/01/2011,14:00:00,0.80
04/01/2011,15:00:00,0.89
04/01/2011,16:00:00,0.82
04/01/2011,17:00:00,0.65
04/01/2011,18:00:00,0.68
04/01/2011,19:00:00,0.76
04/01/2011,20:00:00,0.85
04/01/2011,21:00:00,0.43
04/01/2011,22:00:00,0.53
04/01/2011,23:00:00,0.58
05/01/2011,00:00:00,0.77
05/01/2011,01:00:00,0.68
05/01/2011,02:00:00,0.60
05/01/2011,03:00:00,0.72
05/01/2011,04:00:00,0.81
05/01/2011,05:00:00,0.58
05/01/2011,06:00:00,0.54
05/01/2011,07:00:00,0.66
05/01/2011,08:00:00,0.97
05/01/2011,09:00:00,0.88
05/01/2011,10:00:00,0.69
05/01/2011,11:00:00,0.93
05/01/2011,12:00:00,0.97
05/01/2011,13:00:00,0.68
05/01/2011,14:00:00,0.61
05/01/2011,15:00:00,0.78
05/01/2011,16:00:00,0.85
05/01/2011,17:00:00,0.80
05/01/2011,18:00:00,0.80
05/01/2011,19:00:00,1.03
05/01/2011,20:00:00,1.13
05/01/2011,21:00:00,0.55
05/01/2011,22:00:00,0.76
05/01/2011,23:00:00,0.75
06/01/2011,00:00:00,0.60
06/01/2011,01:00:00,0.13
06/01/2011,02:00:00,0.54
06/01/2011,03:00:00,0.54
06/01/2011,04:00:00,1.03
06/01/2011,05:00:00,1.03
06/01/2011,06:00:00,0.54
06/01/2011,07:00:00,0.83
06/01/2011,08:00:00,1.12
06/01/2011,09:00:00,1.12
06/01/2011,10:00:00,0.70
06/01/2011,11:00:00,0.64
06/01/2011,12:00:00,1.05
06/01/2011,13:00:00,1.06
06/01/2011,14:00:00,0.48
06/01/2011,15:00:00,0.57
06/01/2011,16:00:00,0.84
06/01/2011,17:00:00,0.76
06/01/2011,18:00:00,0.58
06/01/2011,19:00:00,0.81
06/01/2011,20:00:00,1.25
06/01/2011,21:00:00,1.06
06/01/2011,22:00:00,0.52
06/01/2011,23:00:00,0.32
07/01/2011,00:00:00,0.99
07/01/2011,01:00:00,0.90
07/01/2011,02:00:00,0.52
07/01/2011,03:00:00,0.46
07/01/2011,04:00:00,0.93
07/01/2011,05:00:00,0.74
07/01/2011,06:00:00,0.44
07/01/2011,07:00:00,0.39
07/01/2011,08:00:00,1.20
07/01/2011,09:00:00,1.20
07/01/2011,10:00:00,0.67
07/01/2011,11:00:00,0.63
07/01/2011,12:00:00,1.14
07/01/2011,13:00:00,0.97
07/01/2011,14:00:00,0.59
07/01/2011,15:00:00,0.53
07/01/2011,16:00:00,1.01
07/01/2011,17:00:00,0.90
