Date,Time,Values
10/10/2016,14:00:00,0.06
12/10/2016,10:00:00,8.02
13/10/2016,11:00:00,2.51
13/10/2016,12:00:00,2.03
13/10/2016,13:00:00,1.65
13/10/2016,14:00:00,1.29
14/10/2016,08:00:00,1.88
14/10/2016,09:00:00,2.04
14/10/2016,10:00:00,1.84
14/10/2016,11:00:00,1.91
14/10/2016,12:00:00,1.40
14/10/2016,13:00:00,1.62
14/10/2016,14:00:00,1.46
14/10/2016,15:00:00,2.94
14/10/2016,16:00:00,3.69
14/10/2016,17:00:00,4.48
14/10/2016,18:00:00,5.99
14/10/2016,19:00:00,10.42
14/10/2016,20:00:00,12.12
14/10/2016,21:00:00,10.71
14/10/2016,22:00:00,5.58
14/10/2016,23:00:00,3.10
15/10/2016,00:00:00,4.57
15/10/2016,01:00:00,4.23
15/10/2016,02:00:00,3.76
15/10/2016,03:00:00,3.12
15/10/2016,04:00:00,2.96
15/10/2016,05:00:00,3.43
15/10/2016,06:00:00,5.31
15/10/2016,07:00:00,6.00
15/10/2016,08:00:00,4.77
15/10/2016,09:00:00,2.50
15/10/2016,10:00:00,2.26
15/10/2016,11:00:00,2.78
15/10/2016,12:00:00,2.78
15/10/2016,13:00:00,2.23
15/10/2016,14:00:00,1.18
15/10/2016,15:00:00,1.59
15/10/2016,16:00:00,2.26
15/10/2016,17:00:00,5.33
15/10/2016,18:00:00,9.44
15/10/2016,19:00:00,19.05
15/10/2016,20:00:00,18.05
15/10/2016,21:00:00,12.29
15/10/2016,22:00:00,5.83
15/10/2016,23:00:00,5.16
16/10/2016,00:00:00,4.65
16/10/2016,01:00:00,2.69
16/10/2016,02:00:00,3.82
16/10/2016,03:00:00,4.66
16/10/2016,04:00:00,2.38
16/10/2016,05:00:00,4.12
16/10/2016,06:00:00,5.76
16/10/2016,07:00:00,1.67
16/10/2016,08:00:00,1.60
16/10/2016,09:00:00,1.22
16/10/2016,10:00:00,2.10
16/10/2016,11:00:00,2.15
16/10/2016,12:00:00,1.50
16/10/2016,13:00:00,1.27
16/10/2016,14:00:00,0.86
16/10/2016,15:00:00,0.90
16/10/2016,16:00:00,2.86
16/10/2016,17:00:00,4.09
16/10/2016,18:00:00,7.18
16/10/2016,19:00:00,15.18
16/10/2016,20:00:00,10.65
16/10/2016,21:00:00,13.94
16/10/2016,22:00:00,12.91
16/10/2016,23:00:00,9.75
17/10/2016,00:00:00,7.81
17/10/2016,01:00:00,8.49
17/10/2016,02:00:00,10.16
17/10/2016,03:00:00,12.33
17/10/2016,04:00:00,14.17
17/10/2016,05:00:00,10.58
17/10/2016,06:00:00,6.37
17/10/2016,07:00:00,6.82
17/10/2016,08:00:00,3.72
17/10/2016,09:00:00,3.12
17/10/2016,10:00:00,2.12
17/10/2016,11:00:00,2.54
17/10/2016,12:00:00,2.10
17/10/2016,13:00:00,1.54
17/10/2016,14:00:00,1.59
17/10/2016,15:00:00,2.29
17/10/2016,16:00:00,2.06
17/10/2016,17:00:00,2.65
17/10/2016,18:00:00,5.52
17/10/2016,19:00:00,7.20
17/10/2016,20:00:00,10.48
17/10/2016,21:00:00,11.54
17/10/2016,22:00:00,9.84
17/10/2016,23:00:00,6.89
18/10/2016,00:00:00,4.28
18/10/2016,01:00:00,2.61
18/10/2016,02:00:00,4.49
18/10/2016,03:00:00,17.29
18/10/2016,04:00:00,14.34
18/10/2016,05:00:00,6.70
18/10/2016,06:00:00,4.29
18/10/2016,07:00:00,4.34
18/10/2016,08:00:00,5.03
18/10/2016,09:00:00,2.62
18/10/2016,10:00:00,1.42
18/10/2016,11:00:00,2.24
18/10/2016,12:00:00,1.94
18/10/2016,13:00:00,1.87
18/10/2016,14:00:00,1.00
18/10/2016,15:00:00,1.46
18/10/2016,16:00:00,1.75
18/10/2016,17:00:00,2.65
18/10/2016,18:00:00,4.60
18/10/2016,19:00:00,6.33
18/10/2016,20:00:00,11.44
18/10/2016,21:00:00,13.45
18/10/2016,22:00:00,9.59
18/10/2016,23:00:00,5.29
19/10/2016,00:00:00,3.69
19/10/2016,01:00:00,4.91
19/10/2016,02:00:00,13.34
19/10/2016,03:00:00,18.44
19/10/2016,04:00:00,14.17
19/10/2016,05:00:00,8.51
19/10/2016,06:00:00,5.09
19/10/2016,07:00:00,4.64
19/10/2016,08:00:00,5.71
19/10/2016,09:00:00,4.95
19/10/2016,10:00:00,2.75
19/10/2016,11:00:00,2.59
19/10/2016,12:00:00,2.38
19/10/2016,13:00:00,2.08
19/10/2016,14:00:00,1.58
19/10/2016,15:00:00,3.21
19/10/2016,16:00:00,3.94
19/10/2016,17:00:00,5.22
19/10/2016,18:00:00,8.42
19/10/2016,19:00:00,11.93
19/10/2016,20:00:00,13.83
19/10/2016,21:00:00,25.92
19/10/2016,22:00:00,33.17
19/10/2016,23:00:00,29.71
20/10/2016,00:00:00,29.74
20/10/2016,01:00:00,23.82
20/10/2016,02:00:00,28.05
20/10/2016,03:00:00,16.58
20/10/2016,04:00:00,7.56
20/10/2016,05:00:00,6.29
20/10/2016,06:00:00,5.64
20/10/2016,07:00:00,6.47
