Date,Time,Values
03/01/2011,03:00:00,0.28
03/01/2011,21:00:00,5.81
03/01/2011,22:00:00,5.44
04/01/2011,06:00:00,1.78
04/01/2011,07:00:00,2.84
05/01/2011,04:00:00,0.15
07/01/2011,13:00:00,2.61
07/01/2011,14:00:00,3.50
07/01/2011,15:00:00,5.33
07/01/2011,18:00:00,6.40
07/01/2011,19:00:00,5.84
07/01/2011,22:00:00,2.25
08/01/2011,18:00:00,3.41
08/01/2011,19:00:00,5.83
08/01/2011,20:00:00,4.43
08/01/2011,21:00:00,3.99
08/01/2011,22:00:00,16.91
08/01/2011,23:00:00,12.68
09/01/2011,00:00:00,3.16
11/01/2011,23:00:00,9.56
12/01/2011,00:00:00,10.35
12/01/2011,02:00:00,7.64
12/01/2011,03:00:00,13.26
12/01/2011,04:00:00,13.80
12/01/2011,05:00:00,12.08
12/01/2011,06:00:00,11.19
12/01/2011,07:00:00,2.07
12/01/2011,08:00:00,7.22
12/01/2011,09:00:00,8.56
12/01/2011,18:00:00,6.40
12/01/2011,19:00:00,15.68
12/01/2011,20:00:00,19.57
12/01/2011,23:00:00,92.19
13/01/2011,00:00:00,20.31
13/01/2011,01:00:00,0.18
13/01/2011,02:00:00,19.49
13/01/2011,03:00:00,22.63
13/01/2011,04:00:00,17.35
13/01/2011,05:00:00,13.88
13/01/2011,06:00:00,16.22
13/01/2011,07:00:00,5.19
13/01/2011,08:00:00,12.25
13/01/2011,09:00:00,12.68
13/01/2011,11:00:00,3.31
13/01/2011,12:00:00,5.19
14/01/2011,23:00:00,1.57
15/01/2011,07:00:00,1.27
15/01/2011,08:00:00,2.24
15/01/2011,13:00:00,0.19
15/01/2011,18:00:00,0.98
15/01/2011,19:00:00,0.84
15/01/2011,20:00:00,1.57
15/01/2011,21:00:00,0.60
15/01/2011,23:00:00,1.10
16/01/2011,12:00:00,0.43
16/01/2011,13:00:00,0.21
16/01/2011,14:00:00,0.18
16/01/2011,15:00:00,0.11
16/01/2011,16:00:00,0.29
16/01/2011,18:00:00,0.37
16/01/2011,19:00:00,0.36
16/01/2011,20:00:00,0.52
16/01/2011,21:00:00,0.52
16/01/2011,22:00:00,0.48
17/01/2011,00:00:00,0.46
17/01/2011,01:00:00,0.21
17/01/2011,02:00:00,0.22
17/01/2011,03:00:00,0.18
17/01/2011,06:00:00,0.17
17/01/2011,07:00:00,0.53
17/01/2011,12:00:00,0.36
17/01/2011,15:00:00,0.39
17/01/2011,18:00:00,0.89
17/01/2011,19:00:00,1.71
17/01/2011,22:00:00,15.43
17/01/2011,23:00:00,14.21
18/01/2011,00:00:00,8.23
18/01/2011,01:00:00,4.78
18/01/2011,02:00:00,1.18
18/01/2011,03:00:00,1.84
18/01/2011,04:00:00,1.23
18/01/2011,05:00:00,1.29
18/01/2011,06:00:00,1.46
18/01/2011,07:00:00,2.13
18/01/2011,08:00:00,2.96
18/01/2011,09:00:00,6.20
18/01/2011,10:00:00,2.78
18/01/2011,11:00:00,3.39
18/01/2011,16:00:00,1.49
18/01/2011,17:00:00,2.42
18/01/2011,18:00:00,4.40
18/01/2011,19:00:00,5.78
18/01/2011,20:00:00,0.89
18/01/2011,21:00:00,3.86
18/01/2011,22:00:00,3.23
19/01/2011,03:00:00,0.80
19/01/2011,06:00:00,0.82
19/01/2011,07:00:00,1.00
19/01/2011,08:00:00,0.52
19/01/2011,11:00:00,0.63
19/01/2011,15:00:00,0.21
19/01/2011,19:00:00,1.50
19/01/2011,21:00:00,1.69
19/01/2011,22:00:00,2.25
19/01/2011,23:00:00,1.12
20/01/2011,00:00:00,1.55
20/01/2011,01:00:00,0.94
20/01/2011,02:00:00,1.91
20/01/2011,03:00:00,1.34
20/01/2011,04:00:00,0.93
20/01/2011,06:00:00,0.95
20/01/2011,07:00:00,0.82
