Date,Time,Values
01/01/2011,00:00:00,26.42
01/01/2011,01:00:00,30.00
01/01/2011,02:00:00,22.82
01/01/2011,03:00:00,18.02
01/01/2011,04:00:00,19.30
01/01/2011,05:00:00,19.25
01/01/2011,06:00:00,17.68
01/01/2011,07:00:00,17.82
01/01/2011,08:00:00,19.25
01/01/2011,09:00:00,30.93
01/01/2011,10:00:00,41.62
01/01/2011,11:00:00,24.66
01/01/2011,12:00:00,21.67
01/01/2011,13:00:00,16.03
01/01/2011,14:00:00,19.59
01/01/2011,15:00:00,20.50
01/01/2011,16:00:00,19.96
01/01/2011,17:00:00,25.77
01/01/2011,18:00:00,26.84
01/01/2011,19:00:00,25.85
01/01/2011,20:00:00,24.33
01/01/2011,21:00:00,23.16
01/01/2011,22:00:00,18.82
01/01/2011,23:00:00,17.29
02/01/2011,00:00:00,14.22
02/01/2011,01:00:00,9.67
02/01/2011,02:00:00,18.46
02/01/2011,03:00:00,11.93
02/01/2011,04:00:00,12.94
02/01/2011,05:00:00,12.98
02/01/2011,06:00:00,14.07
02/01/2011,07:00:00,14.44
02/01/2011,08:00:00,16.25
02/01/2011,09:00:00,18.68
02/01/2011,10:00:00,27.89
02/01/2011,11:00:00,21.39
02/01/2011,12:00:00,21.25
02/01/2011,13:00:00,16.32
02/01/2011,14:00:00,20.15
02/01/2011,15:00:00,18.94
02/01/2011,16:00:00,18.05
02/01/2011,17:00:00,19.25
02/01/2011,18:00:00,20.07
02/01/2011,19:00:00,19.38
02/01/2011,20:00:00,20.37
02/01/2011,21:00:00,20.64
02/01/2011,22:00:00,30.89
02/01/2011,23:00:00,26.18
03/01/2011,00:00:00,22.59
03/01/2011,01:00:00,17.59
03/01/2011,02:00:00,22.87
03/01/2011,03:00:00,22.99
03/01/2011,04:00:00,30.38
03/01/2011,05:00:00,21.10
03/01/2011,06:00:00,30.87
03/01/2011,07:00:00,34.85
03/01/2011,08:00:00,41.44
03/01/2011,09:00:00,40.82
03/01/2011,10:00:00,38.20
03/01/2011,11:00:00,43.88
03/01/2011,12:00:00,36.84
03/01/2011,13:00:00,32.10
03/01/2011,14:00:00,33.24
03/01/2011,15:00:00,37.07
03/01/2011,16:00:00,35.39
03/01/2011,17:00:00,68.97
03/01/2011,18:00:00,73.00
03/01/2011,19:00:00,57.62
03/01/2011,20:00:00,98.32
03/01/2011,21:00:00,122.75
03/01/2011,22:00:00,84.90
03/01/2011,23:00:00,82.95
04/01/2011,00:00:00,57.82
04/01/2011,01:00:00,85.03
04/01/2011,02:00:00,80.21
04/01/2011,03:00:00,68.15
04/01/2011,04:00:00,73.20
04/01/2011,05:00:00,90.55
04/01/2011,06:00:00,153.36
04/01/2011,07:00:00,69.89
04/01/2011,08:00:00,47.77
04/01/2011,09:00:00,44.83
04/01/2011,10:00:00,25.02
04/01/2011,11:00:00,55.75
04/01/2011,12:00:00,34.23
04/01/2011,13:00:00,26.71
04/01/2011,14:00:00,28.68
04/01/2011,15:00:00,32.08
04/01/2011,16:00:00,24.92
04/01/2011,17:00:00,27.77
04/01/2011,18:00:00,26.15
04/01/2011,19:00:00,25.38
04/01/2011,20:00:00,24.34
04/01/2011,21:00:00,28.14
04/01/2011,22:00:00,19.21
04/01/2011,23:00:00,20.75
05/01/2011,00:00:00,15.03
05/01/2011,01:00:00,13.99
05/01/2011,02:00:00,18.55
05/01/2011,03:00:00,11.53
05/01/2011,04:00:00,13.90
05/01/2011,05:00:00,10.73
05/01/2011,06:00:00,12.97
05/01/2011,07:00:00,21.98
05/01/2011,08:00:00,15.95
05/01/2011,09:00:00,20.42
05/01/2011,10:00:00,23.88
05/01/2011,11:00:00,33.26
05/01/2011,12:00:00,30.91
05/01/2011,13:00:00,29.57
05/01/2011,14:00:00,21.44
05/01/2011,15:00:00,22.99
05/01/2011,16:00:00,23.49
05/01/2011,17:00:00,33.84
05/01/2011,18:00:00,38.52
05/01/2011,19:00:00,47.61
05/01/2011,20:00:00,39.26
05/01/2011,21:00:00,39.12
05/01/2011,22:00:00,43.13
05/01/2011,23:00:00,44.33
06/01/2011,00:00:00,25.26
06/01/2011,01:00:00,19.63
06/01/2011,02:00:00,15.05
06/01/2011,03:00:00,14.61
06/01/2011,04:00:00,18.86
06/01/2011,05:00:00,15.95
06/01/2011,06:00:00,13.35
06/01/2011,07:00:00,18.64
06/01/2011,08:00:00,22.70
06/01/2011,09:00:00,24.11
06/01/2011,10:00:00,26.55
06/01/2011,11:00:00,26.26
06/01/2011,12:00:00,36.45
06/01/2011,13:00:00,31.53
06/01/2011,14:00:00,32.16
06/01/2011,15:00:00,42.43
06/01/2011,16:00:00,40.16
06/01/2011,17:00:00,48.65
06/01/2011,18:00:00,36.98
06/01/2011,19:00:00,49.06
06/01/2011,20:00:00,60.10
06/01/2011,21:00:00,60.54
06/01/2011,22:00:00,49.92
06/01/2011,23:00:00,33.16
07/01/2011,00:00:00,23.88
07/01/2011,01:00:00,20.63
07/01/2011,02:00:00,21.78
07/01/2011,03:00:00,18.63
07/01/2011,04:00:00,24.46
07/01/2011,05:00:00,23.82
07/01/2011,06:00:00,18.34
07/01/2011,07:00:00,24.10
07/01/2011,08:00:00,53.00
07/01/2011,09:00:00,54.03
07/01/2011,10:00:00,68.20
07/01/2011,11:00:00,54.70
07/01/2011,12:00:00,65.59
07/01/2011,13:00:00,83.63
07/01/2011,14:00:00,79.78
07/01/2011,15:00:00,95.18
07/01/2011,16:00:00,119.72
07/01/2011,17:00:00,141.71
07/01/2011,18:00:00,139.16
07/01/2011,19:00:00,111.08
07/01/2011,20:00:00,106.78
07/01/2011,21:00:00,127.18
07/01/2011,22:00:00,111.82
07/01/2011,23:00:00,64.81
08/01/2011,00:00:00,80.94
08/01/2011,01:00:00,92.87
08/01/2011,02:00:00,68.94
08/01/2011,03:00:00,71.96
08/01/2011,04:00:00,91.47
08/01/2011,05:00:00,74.60
08/01/2011,06:00:00,52.52
08/01/2011,07:00:00,46.76
08/01/2011,08:00:00,48.84
08/01/2011,09:00:00,74.06
08/01/2011,10:00:00,104.18
08/01/2011,11:00:00,112.58
08/01/2011,12:00:00,91.09
08/01/2011,13:00:00,87.36
08/01/2011,14:00:00,81.16
08/01/2011,15:00:00,106.97
08/01/2011,16:00:00,116.98
08/01/2011,17:00:00,126.67
08/01/2011,18:00:00,148.40
08/01/2011,19:00:00,155.77
08/01/2011,20:00:00,188.84
08/01/2011,21:00:00,253.78
08/01/2011,22:00:00,326.58
08/01/2011,23:00:00,115.55
09/01/2011,00:00:00,48.80
09/01/2011,01:00:00,36.86
09/01/2011,02:00:00,37.99
09/01/2011,03:00:00,41.88
09/01/2011,04:00:00,37.54
09/01/2011,05:00:00,35.18
09/01/2011,06:00:00,30.38
09/01/2011,07:00:00,30.00
09/01/2011,08:00:00,32.47
09/01/2011,09:00:00,39.74
09/01/2011,10:00:00,39.64
09/01/2011,11:00:00,39.08
09/01/2011,12:00:00,36.31
09/01/2011,13:00:00,30.63
09/01/2011,14:00:00,32.47
09/01/2011,15:00:00,33.99
09/01/2011,16:00:00,28.30
09/01/2011,17:00:00,28.60
09/01/2011,18:00:00,27.92
09/01/2011,19:00:00,33.94
09/01/2011,20:00:00,29.69
