Date,Time,Values
01/01/2011,00:00:00,12.31
01/01/2011,01:00:00,16.96
01/01/2011,02:00:00,9.05
01/01/2011,03:00:00,4.97
01/01/2011,04:00:00,7.37
01/01/2011,05:00:00,8.52
01/01/2011,06:00:00,8.50
01/01/2011,07:00:00,7.94
01/01/2011,08:00:00,8.11
01/01/2011,09:00:00,12.94
01/01/2011,10:00:00,14.91
01/01/2011,11:00:00,7.50
01/01/2011,12:00:00,6.54
01/01/2011,13:00:00,4.27
01/01/2011,14:00:00,6.20
01/01/2011,15:00:00,5.62
01/01/2011,16:00:00,4.65
01/01/2011,17:00:00,7.36
01/01/2011,18:00:00,8.26
01/01/2011,19:00:00,10.13
01/01/2011,20:00:00,8.80
01/01/2011,21:00:00,9.37
01/01/2011,22:00:00,5.59
01/01/2011,23:00:00,4.79
02/01/2011,00:00:00,3.27
02/01/2011,01:00:00,2.05
02/01/2011,02:00:00,8.99
02/01/2011,03:00:00,3.18
02/01/2011,04:00:00,3.99
02/01/2011,05:00:00,4.00
02/01/2011,06:00:00,4.04
02/01/2011,07:00:00,3.15
02/01/2011,08:00:00,4.14
02/01/2011,09:00:00,5.21
02/01/2011,10:00:00,10.61
02/01/2011,11:00:00,6.21
02/01/2011,12:00:00,7.92
02/01/2011,13:00:00,4.45
02/01/2011,14:00:00,6.08
02/01/2011,15:00:00,5.17
02/01/2011,16:00:00,3.99
02/01/2011,17:00:00,5.15
02/01/2011,18:00:00,4.92
02/01/2011,19:00:00,3.94
02/01/2011,20:00:00,4.42
02/01/2011,21:00:00,5.49
02/01/2011,22:00:00,11.73
02/01/2011,23:00:00,8.69
03/01/2011,00:00:00,6.01
03/01/2011,01:00:00,3.33
03/01/2011,02:00:00,7.31
03/01/2011,03:00:00,5.97
03/01/2011,04:00:00,9.81
03/01/2011,05:00:00,4.52
03/01/2011,06:00:00,8.42
03/01/2011,07:00:00,13.17
03/01/2011,08:00:00,20.84
03/01/2011,09:00:00,14.87
03/01/2011,10:00:00,10.36
03/01/2011,11:00:00,10.37
03/01/2011,12:00:00,5.98
03/01/2011,13:00:00,4.35
03/01/2011,14:00:00,5.40
03/01/2011,15:00:00,5.63
03/01/2011,16:00:00,4.17
03/01/2011,17:00:00,15.73
03/01/2011,18:00:00,13.70
03/01/2011,19:00:00,11.05
03/01/2011,20:00:00,45.70
03/01/2011,21:00:00,71.67
03/01/2011,22:00:00,40.94
03/01/2011,23:00:00,47.64
04/01/2011,00:00:00,28.51
04/01/2011,01:00:00,66.13
04/01/2011,02:00:00,65.28
04/01/2011,03:00:00,56.28
04/01/2011,04:00:00,65.87
04/01/2011,05:00:00,86.88
04/01/2011,06:00:00,157.76
04/01/2011,07:00:00,62.02
04/01/2011,08:00:00,36.73
04/01/2011,09:00:00,25.75
04/01/2011,10:00:00,8.71
04/01/2011,11:00:00,18.15
04/01/2011,12:00:00,9.84
04/01/2011,13:00:00,7.69
04/01/2011,14:00:00,8.42
04/01/2011,15:00:00,11.04
04/01/2011,16:00:00,6.38
04/01/2011,17:00:00,7.54
04/01/2011,18:00:00,6.58
04/01/2011,19:00:00,6.85
04/01/2011,20:00:00,7.72
04/01/2011,21:00:00,11.90
04/01/2011,22:00:00,4.62
04/01/2011,23:00:00,6.67
05/01/2011,00:00:00,3.03
05/01/2011,01:00:00,3.00
05/01/2011,02:00:00,7.51
05/01/2011,03:00:00,2.17
05/01/2011,04:00:00,4.19
05/01/2011,05:00:00,2.05
05/01/2011,06:00:00,3.77
05/01/2011,07:00:00,9.09
05/01/2011,08:00:00,3.87
05/01/2011,09:00:00,7.22
05/01/2011,10:00:00,6.73
05/01/2011,11:00:00,14.36
05/01/2011,12:00:00,14.45
05/01/2011,13:00:00,12.44
05/01/2011,14:00:00,6.36
05/01/2011,15:00:00,6.58
05/01/2011,16:00:00,5.83
05/01/2011,17:00:00,10.85
05/01/2011,18:00:00,17.17
05/01/2011,19:00:00,30.74
05/01/2011,20:00:00,14.12
05/01/2011,21:00:00,16.56
05/01/2011,22:00:00,23.09
05/01/2011,23:00:00,28.12
06/01/2011,00:00:00,10.03
06/01/2011,01:00:00,5.05
06/01/2011,02:00:00,2.82
06/01/2011,03:00:00,2.48
06/01/2011,04:00:00,8.06
06/01/2011,05:00:00,4.92
06/01/2011,06:00:00,3.91
06/01/2011,07:00:00,6.54
06/01/2011,08:00:00,9.38
06/01/2011,09:00:00,8.48
06/01/2011,10:00:00,9.98
06/01/2011,11:00:00,10.41
06/01/2011,12:00:00,13.62
06/01/2011,13:00:00,9.07
06/01/2011,14:00:00,8.25
06/01/2011,15:00:00,9.77
06/01/2011,16:00:00,7.91
06/01/2011,17:00:00,16.10
06/01/2011,18:00:00,12.01
06/01/2011,19:00:00,30.25
06/01/2011,20:00:00,43.14
06/01/2011,21:00:00,45.54
06/01/2011,22:00:00,37.73
06/01/2011,23:00:00,19.52
07/01/2011,00:00:00,8.60
07/01/2011,01:00:00,6.95
07/01/2011,02:00:00,8.62
07/01/2011,03:00:00,5.77
07/01/2011,04:00:00,10.71
07/01/2011,05:00:00,10.79
07/01/2011,06:00:00,4.60
07/01/2011,07:00:00,10.11
07/01/2011,08:00:00,40.70
07/01/2011,09:00:00,31.67
07/01/2011,10:00:00,29.85
07/01/2011,11:00:00,17.46
07/01/2011,12:00:00,9.70
07/01/2011,13:00:00,8.00
07/01/2011,14:00:00,5.50
07/01/2011,15:00:00,7.92
07/01/2011,16:00:00,18.80
07/01/2011,17:00:00,58.73
07/01/2011,18:00:00,70.61
07/01/2011,19:00:00,47.17
07/01/2011,20:00:00,57.42
07/01/2011,21:00:00,85.44
07/01/2011,22:00:00,72.93
07/01/2011,23:00:00,25.18
08/01/2011,00:00:00,49.11
08/01/2011,01:00:00,64.29
08/01/2011,02:00:00,46.15
08/01/2011,03:00:00,49.11
08/01/2011,04:00:00,69.50
08/01/2011,05:00:00,51.13
08/01/2011,06:00:00,29.82
08/01/2011,07:00:00,24.16
08/01/2011,08:00:00,23.72
08/01/2011,09:00:00,42.72
08/01/2011,10:00:00,52.21
08/01/2011,11:00:00,62.16
08/01/2011,12:00:00,40.17
08/01/2011,13:00:00,29.11
08/01/2011,14:00:00,19.15
08/01/2011,15:00:00,33.70
08/01/2011,16:00:00,39.15
08/01/2011,17:00:00,53.61
08/01/2011,18:00:00,83.81
08/01/2011,19:00:00,96.50
08/01/2011,20:00:00,137.52
08/01/2011,21:00:00,218.46
08/01/2011,22:00:00,305.30
08/01/2011,23:00:00,84.80
09/01/2011,00:00:00,19.30
09/01/2011,01:00:00,12.81
09/01/2011,02:00:00,11.02
09/01/2011,03:00:00,8.21
09/01/2011,04:00:00,4.30
09/01/2011,05:00:00,5.78
09/01/2011,06:00:00,4.47
09/01/2011,07:00:00,4.76
09/01/2011,08:00:00,5.69
09/01/2011,09:00:00,9.58
09/01/2011,10:00:00,9.35
09/01/2011,11:00:00,9.70
09/01/2011,12:00:00,9.46
09/01/2011,13:00:00,5.57
09/01/2011,14:00:00,6.85
09/01/2011,15:00:00,8.03
09/01/2011,16:00:00,4.40
09/01/2011,17:00:00,3.90
09/01/2011,18:00:00,4.26
09/01/2011,19:00:00,6.36
09/01/2011,20:00:00,5.96
09/01/2011,21:00:00,15.32
09/01/2011,22:00:00,12.64
09/01/2011,23:00:00,4.84
10/01/2011,00:00:00,1.68
10/01/2011,01:00:00,3.46
10/01/2011,02:00:00,1.62
10/01/2011,03:00:00,1.02
10/01/2011,04:00:00,4.74
10/01/2011,05:00:00,5.28
10/01/2011,06:00:00,3.20
10/01/2011,07:00:00,3.26
10/01/2011,08:00:00,8.31
10/01/2011,09:00:00,10.48
10/01/2011,10:00:00,21.58
10/01/2011,11:00:00,11.54
10/01/2011,12:00:00,10.45
10/01/2011,13:00:00,8.67
10/01/2011,14:00:00,4.46
10/01/2011,15:00:00,2.90
10/01/2011,16:00:00,2.99
10/01/2011,17:00:00,2.42
10/01/2011,18:00:00,7.21
10/01/2011,19:00:00,8.93
10/01/2011,20:00:00,15.46
10/01/2011,21:00:00,28.63
10/01/2011,22:00:00,14.20
10/01/2011,23:00:00,5.64
11/01/2011,00:00:00,13.74
11/01/2011,01:00:00,3.26
11/01/2011,02:00:00,1.51
11/01/2011,03:00:00,2.29
11/01/2011,04:00:00,3.13
11/01/2011,05:00:00,6.82
11/01/2011,06:00:00,6.02
11/01/2011,07:00:00,9.03
11/01/2011,08:00:00,14.77
11/01/2011,09:00:00,14.78
11/01/2011,10:00:00,13.29
11/01/2011,11:00:00,5.91
11/01/2011,12:00:00,3.84
11/01/2011,13:00:00,2.35
11/01/2011,14:00:00,1.99
11/01/2011,15:00:00,2.84
11/01/2011,16:00:00,2.13
11/01/2011,17:00:00,2.61
11/01/2011,18:00:00,61.08
11/01/2011,19:00:00,137.57
11/01/2011,20:00:00,181.82
11/01/2011,21:00:00,217.60
11/01/2011,22:00:00,270.24
11/01/2011,23:00:00,253.50
12/01/2011,00:00:00,194.74
12/01/2011,01:00:00,216.52
12/01/2011,02:00:00,254.28
12/01/2011,03:00:00,285.01
12/01/2011,04:00:00,302.58
12/01/2011,05:00:00,290.71
12/01/2011,06:00:00,315.80
12/01/2011,07:00:00,332.96
12/01/2011,08:00:00,241.81
12/01/2011,09:00:00,128.41
12/01/2011,10:00:00,30.38
12/01/2011,11:00:00,6.90
12/01/2011,12:00:00,3.61
12/01/2011,13:00:00,2.08
12/01/2011,14:00:00,3.25
12/01/2011,15:00:00,3.42
12/01/2011,16:00:00,2.19
12/01/2011,17:00:00,6.71
12/01/2011,18:00:00,61.18
12/01/2011,19:00:00,229.54
12/01/2011,20:00:00,276.00
12/01/2011,21:00:00,320.37
12/01/2011,22:00:00,457.91
12/01/2011,23:00:00,443.29
13/01/2011,00:00:00,458.67
13/01/2011,01:00:00,466.29
13/01/2011,02:00:00,354.12
13/01/2011,03:00:00,418.13
13/01/2011,04:00:00,434.24
13/01/2011,05:00:00,369.35
13/01/2011,06:00:00,403.93
13/01/2011,07:00:00,430.42
13/01/2011,08:00:00,279.58
13/01/2011,09:00:00,140.80
13/01/2011,10:00:00,64.82
13/01/2011,11:00:00,24.80
13/01/2011,12:00:00,10.92
13/01/2011,13:00:00,6.30
13/01/2011,14:00:00,2.98
13/01/2011,15:00:00,2.04
13/01/2011,16:00:00,2.50
13/01/2011,17:00:00,3.41
13/01/2011,18:00:00,15.81
13/01/2011,19:00:00,54.83
13/01/2011,20:00:00,59.73
13/01/2011,21:00:00,110.84
13/01/2011,22:00:00,133.56
13/01/2011,23:00:00,123.48
14/01/2011,00:00:00,67.55
14/01/2011,01:00:00,48.31
14/01/2011,02:00:00,43.89
14/01/2011,03:00:00,12.79
14/01/2011,04:00:00,38.30
14/01/2011,05:00:00,8.02
14/01/2011,06:00:00,7.00
14/01/2011,07:00:00,17.61
14/01/2011,08:00:00,27.50
14/01/2011,09:00:00,21.80
14/01/2011,10:00:00,11.84
14/01/2011,11:00:00,9.29
14/01/2011,12:00:00,7.10
14/01/2011,13:00:00,6.22
14/01/2011,14:00:00,4.86
14/01/2011,15:00:00,4.47
14/01/2011,16:00:00,4.58
14/01/2011,17:00:00,6.52
14/01/2011,18:00:00,9.20
14/01/2011,19:00:00,15.85
14/01/2011,20:00:00,29.63
14/01/2011,21:00:00,22.49
14/01/2011,22:00:00,18.20
14/01/2011,23:00:00,12.38
15/01/2011,00:00:00,8.01
15/01/2011,01:00:00,6.07
15/01/2011,02:00:00,6.84
15/01/2011,03:00:00,4.82
15/01/2011,04:00:00,10.13
15/01/2011,05:00:00,30.34
15/01/2011,06:00:00,25.30
15/01/2011,07:00:00,81.44
15/01/2011,08:00:00,29.55
15/01/2011,09:00:00,13.15
15/01/2011,10:00:00,8.02
15/01/2011,11:00:00,4.80
15/01/2011,12:00:00,3.29
15/01/2011,13:00:00,3.20
15/01/2011,14:00:00,4.01
15/01/2011,15:00:00,3.59
15/01/2011,16:00:00,4.36
15/01/2011,17:00:00,3.00
15/01/2011,18:00:00,5.77
15/01/2011,19:00:00,9.31
