Date,Time,Values
01/01/2011,00:00:00,35.33
01/01/2011,01:00:00,35.56
01/01/2011,02:00:00,32.94
01/01/2011,03:00:00,29.34
01/01/2011,04:00:00,28.30
01/01/2011,05:00:00,26.43
01/01/2011,06:00:00,23.25
01/01/2011,07:00:00,24.38
01/01/2011,08:00:00,27.05
01/01/2011,09:00:00,43.62
01/01/2011,10:00:00,62.50
01/01/2011,11:00:00,39.08
01/01/2011,12:00:00,34.42
01/01/2011,13:00:00,26.32
01/01/2011,14:00:00,30.68
01/01/2011,15:00:00,33.43
01/01/2011,16:00:00,33.81
01/01/2011,17:00:00,41.58
01/01/2011,18:00:00,42.39
01/01/2011,19:00:00,37.49
01/01/2011,20:00:00,36.40
01/01/2011,21:00:00,33.15
01/01/2011,22:00:00,30.03
01/01/2011,23:00:00,28.11
02/01/2011,00:00:00,24.17
02/01/2011,01:00:00,16.68
02/01/2011,02:00:00,24.09
02/01/2011,03:00:00,19.57
02/01/2011,04:00:00,20.43
02/01/2011,05:00:00,20.49
02/01/2011,06:00:00,22.67
02/01/2011,07:00:00,24.78
02/01/2011,08:00:00,26.99
02/01/2011,09:00:00,30.33
02/01/2011,10:00:00,40.93
02/01/2011,11:00:00,34.35
02/01/2011,12:00:00,31.46
02/01/2011,13:00:00,26.64
02/01/2011,14:00:00,32.00
02/01/2011,15:00:00,30.92
02/01/2011,16:00:00,30.90
02/01/2011,17:00:00,31.58
02/01/2011,18:00:00,33.62
02/01/2011,19:00:00,33.69
02/01/2011,20:00:00,34.98
02/01/2011,21:00:00,33.90
02/01/2011,22:00:00,45.37
02/01/2011,23:00:00,40.37
03/01/2011,00:00:00,37.13
03/01/2011,01:00:00,30.96
03/01/2011,02:00:00,35.71
03/01/2011,03:00:00,37.99
03/01/2011,04:00:00,47.28
03/01/2011,05:00:00,36.33
03/01/2011,06:00:00,50.40
03/01/2011,07:00:00,51.28
03/01/2011,08:00:00,53.06
03/01/2011,09:00:00,60.94
03/01/2011,10:00:00,62.46
03/01/2011,11:00:00,74.10
03/01/2011,12:00:00,66.37
03/01/2011,13:00:00,59.16
03/01/2011,14:00:00,59.87
03/01/2011,15:00:00,67.37
03/01/2011,16:00:00,66.16
03/01/2011,17:00:00,117.32
03/01/2011,18:00:00,128.69
03/01/2011,19:00:00,101.21
03/01/2011,20:00:00,131.63
03/01/2011,21:00:00,142.00
03/01/2011,22:00:00,111.41
03/01/2011,23:00:00,97.19
04/01/2011,00:00:00,74.92
04/01/2011,01:00:00,73.15
04/01/2011,02:00:00,64.56
04/01/2011,03:00:00,53.61
04/01/2011,04:00:00,49.28
04/01/2011,05:00:00,52.72
04/01/2011,06:00:00,73.03
04/01/2011,07:00:00,48.39
04/01/2011,08:00:00,41.75
04/01/2011,09:00:00,52.52
04/01/2011,10:00:00,37.96
04/01/2011,11:00:00,86.52
04/01/2011,12:00:00,55.12
04/01/2011,13:00:00,43.00
04/01/2011,14:00:00,45.91
04/01/2011,15:00:00,48.87
04/01/2011,16:00:00,41.34
04/01/2011,17:00:00,45.40
04/01/2011,18:00:00,43.55
04/01/2011,19:00:00,41.55
04/01/2011,20:00:00,38.09
04/01/2011,21:00:00,39.49
04/01/2011,22:00:00,32.31
04/01/2011,23:00:00,32.31
05/01/2011,00:00:00,26.17
05/01/2011,01:00:00,24.10
05/01/2011,02:00:00,26.55
05/01/2011,03:00:00,20.30
05/01/2011,04:00:00,22.08
05/01/2011,05:00:00,18.86
05/01/2011,06:00:00,20.82
05/01/2011,07:00:00,31.16
05/01/2011,08:00:00,26.78
05/01/2011,09:00:00,30.82
05/01/2011,10:00:00,38.66
05/01/2011,11:00:00,46.21
05/01/2011,12:00:00,41.24
05/01/2011,13:00:00,41.59
05/01/2011,14:00:00,34.22
05/01/2011,15:00:00,37.05
05/01/2011,16:00:00,39.23
05/01/2011,17:00:00,52.77
05/01/2011,18:00:00,52.71
05/01/2011,19:00:00,50.56
05/01/2011,20:00:00,58.86
05/01/2011,21:00:00,54.86
05/01/2011,22:00:00,53.08
05/01/2011,23:00:00,47.87
06/01/2011,00:00:00,36.44
06/01/2011,01:00:00,32.51
06/01/2011,02:00:00,26.55
06/01/2011,03:00:00,26.17
06/01/2011,04:00:00,26.34
06/01/2011,05:00:00,25.19
06/01/2011,06:00:00,21.38
06/01/2011,07:00:00,28.20
06/01/2011,08:00:00,32.20
06/01/2011,09:00:00,36.43
06/01/2011,10:00:00,39.16
06/01/2011,11:00:00,37.90
06/01/2011,12:00:00,53.91
06/01/2011,13:00:00,50.76
06/01/2011,14:00:00,53.30
06/01/2011,15:00:00,72.04
06/01/2011,16:00:00,70.22
06/01/2011,17:00:00,75.10
06/01/2011,18:00:00,57.44
06/01/2011,19:00:00,54.29
06/01/2011,20:00:00,57.20
06/01/2011,21:00:00,54.44
06/01/2011,22:00:00,44.63
06/01/2011,23:00:00,38.09
07/01/2011,00:00:00,35.81
07/01/2011,01:00:00,31.66
07/01/2011,02:00:00,31.45
07/01/2011,03:00:00,29.37
07/01/2011,04:00:00,33.76
07/01/2011,05:00:00,32.32
07/01/2011,06:00:00,30.55
07/01/2011,07:00:00,33.96
07/01/2011,08:00:00,46.40
07/01/2011,09:00:00,62.30
07/01/2011,10:00:00,94.15
07/01/2011,11:00:00,85.42
07/01/2011,12:00:00,119.61
07/01/2011,13:00:00,159.19
07/01/2011,14:00:00,155.13
07/01/2011,15:00:00,183.01
07/01/2011,16:00:00,216.66
07/01/2011,17:00:00,200.65
07/01/2011,18:00:00,177.26
07/01/2011,19:00:00,155.54
07/01/2011,20:00:00,131.05
07/01/2011,21:00:00,130.00
07/01/2011,22:00:00,117.67
07/01/2011,23:00:00,94.34
08/01/2011,00:00:00,90.79
08/01/2011,01:00:00,92.02
08/01/2011,02:00:00,70.73
08/01/2011,03:00:00,72.38
08/01/2011,04:00:00,81.19
08/01/2011,05:00:00,74.72
08/01/2011,06:00:00,62.03
08/01/2011,07:00:00,58.89
08/01/2011,08:00:00,63.83
08/01/2011,09:00:00,86.47
08/01/2011,10:00:00,133.69
08/01/2011,11:00:00,135.70
08/01/2011,12:00:00,125.28
08/01/2011,13:00:00,134.55
08/01/2011,14:00:00,137.10
08/01/2011,15:00:00,167.74
08/01/2011,16:00:00,179.92
08/01/2011,17:00:00,177.65
08/01/2011,18:00:00,176.00
08/01/2011,19:00:00,171.71
08/01/2011,20:00:00,176.73
08/01/2011,21:00:00,186.02
08/01/2011,22:00:00,202.44
08/01/2011,23:00:00,107.15
09/01/2011,00:00:00,70.51
09/01/2011,01:00:00,55.95
09/01/2011,02:00:00,61.00
09/01/2011,03:00:00,73.27
