Date,Time,Values
01/01/2011,00:00:00,190.23
01/01/2011,01:00:00,121.03
01/01/2011,02:00:00,63.78
01/01/2011,03:00:00,135.13
01/01/2011,04:00:00,150.72
01/01/2011,05:00:00,140.31
01/01/2011,06:00:00,98.17
01/01/2011,07:00:00,109.89
01/01/2011,08:00:00,160.99
01/01/2011,09:00:00,146.14
01/01/2011,10:00:00,143.47
01/01/2011,11:00:00,178.67
01/01/2011,12:00:00,144.41
01/01/2011,13:00:00,134.67
01/01/2011,14:00:00,138.73
01/01/2011,15:00:00,144.74
01/01/2011,16:00:00,125.46
01/01/2011,17:00:00,151.74
01/01/2011,18:00:00,181.83
01/01/2011,19:00:00,140.47
01/01/2011,20:00:00,94.73
01/01/2011,21:00:00,144.65
01/01/2011,22:00:00,177.88
01/01/2011,23:00:00,147.26
02/01/2011,00:00:00,65.63
02/01/2011,01:00:00,114.38
02/01/2011,02:00:00,158.52
02/01/2011,03:00:00,118.89
02/01/2011,04:00:00,41.42
02/01/2011,05:00:00,83.71
02/01/2011,06:00:00,148.65
02/01/2011,07:00:00,90.94
02/01/2011,08:00:00,46.94
02/01/2011,09:00:00,63.05
02/01/2011,10:00:00,96.83
02/01/2011,11:00:00,76.05
02/01/2011,12:00:00,84.42
02/01/2011,13:00:00,64.01
02/01/2011,14:00:00,62.46
02/01/2011,15:00:00,71.72
02/01/2011,16:00:00,108.68
02/01/2011,17:00:00,64.66
02/01/2011,18:00:00,47.38
02/01/2011,19:00:00,70.25
02/01/2011,20:00:00,124.05
02/01/2011,21:00:00,84.31
02/01/2011,22:00:00,34.77
02/01/2011,23:00:00,89.87
03/01/2011,00:00:00,138.84
03/01/2011,01:00:00,118.87
03/01/2011,02:00:00,79.97
03/01/2011,03:00:00,99.38
03/01/2011,04:00:00,131.47
03/01/2011,05:00:00,118.08
03/01/2011,06:00:00,105.09
03/01/2011,07:00:00,125.64
03/01/2011,08:00:00,152.88
03/01/2011,09:00:00,149.23
03/01/2011,10:00:00,131.99
03/01/2011,11:00:00,153.77
03/01/2011,12:00:00,125.87
03/01/2011,13:00:00,138.18
03/01/2011,14:00:00,188.78
03/01/2011,15:00:00,149.56
03/01/2011,16:00:00,110.32
03/01/2011,17:00:00,126.24
03/01/2011,18:00:00,155.92
03/01/2011,19:00:00,129.63
03/01/2011,20:00:00,75.74
03/01/2011,21:00:00,94.36
03/01/2011,22:00:00,145.82
03/01/2011,23:00:00,151.40
04/01/2011,00:00:00,76.08
04/01/2011,01:00:00,83.68
04/01/2011,02:00:00,127.80
04/01/2011,03:00:00,120.48
04/01/2011,04:00:00,74.05
04/01/2011,05:00:00,72.88
04/01/2011,06:00:00,105.16
04/01/2011,07:00:00,83.43
04/01/2011,08:00:00,60.22
04/01/2011,09:00:00,41.16
04/01/2011,10:00:00,70.00
04/01/2011,11:00:00,64.53
04/01/2011,12:00:00,52.36
04/01/2011,13:00:00,46.88
04/01/2011,14:00:00,39.92
04/01/2011,15:00:00,46.63
04/01/2011,16:00:00,64.40
04/01/2011,17:00:00,60.40
04/01/2011,18:00:00,37.40
04/01/2011,19:00:00,47.85
04/01/2011,20:00:00,63.73
04/01/2011,21:00:00,54.41
04/01/2011,22:00:00,36.22
04/01/2011,23:00:00,34.20
05/01/2011,00:00:00,61.09
05/01/2011,01:00:00,60.90
05/01/2011,02:00:00,34.54
05/01/2011,03:00:00,39.68
05/01/2011,04:00:00,77.34
05/01/2011,05:00:00,97.73
05/01/2011,06:00:00,60.95
05/01/2011,07:00:00,49.37
05/01/2011,08:00:00,102.89
05/01/2011,09:00:00,117.58
05/01/2011,10:00:00,89.20
05/01/2011,11:00:00,66.42
05/01/2011,12:00:00,118.46
05/01/2011,13:00:00,120.34
05/01/2011,14:00:00,116.30
05/01/2011,15:00:00,123.81
05/01/2011,16:00:00,116.73
05/01/2011,17:00:00,101.53
05/01/2011,18:00:00,95.45
05/01/2011,19:00:00,94.12
05/01/2011,20:00:00,98.42
05/01/2011,21:00:00,79.94
05/01/2011,22:00:00,97.67
05/01/2011,23:00:00,97.89
06/01/2011,00:00:00,113.97
06/01/2011,01:00:00,101.77
06/01/2011,02:00:00,100.75
06/01/2011,03:00:00,99.09
06/01/2011,04:00:00,74.52
06/01/2011,05:00:00,44.27
06/01/2011,06:00:00,114.76
06/01/2011,07:00:00,114.61
06/01/2011,08:00:00,68.93
06/01/2011,09:00:00,54.99
06/01/2011,10:00:00,71.22
06/01/2011,11:00:00,72.58
06/01/2011,12:00:00,72.20
06/01/2011,13:00:00,105.97
06/01/2011,14:00:00,47.55
06/01/2011,15:00:00,37.38
06/01/2011,16:00:00,38.21
06/01/2011,17:00:00,39.30
06/01/2011,18:00:00,72.83
06/01/2011,19:00:00,60.13
06/01/2011,20:00:00,47.50
06/01/2011,21:00:00,84.16
06/01/2011,22:00:00,40.68
06/01/2011,23:00:00,47.71
07/01/2011,00:00:00,83.06
07/01/2011,01:00:00,104.70
07/01/2011,02:00:00,51.48
07/01/2011,03:00:00,47.77
07/01/2011,04:00:00,97.93
07/01/2011,05:00:00,111.12
07/01/2011,06:00:00,76.06
07/01/2011,07:00:00,70.16
07/01/2011,08:00:00,108.85
07/01/2011,09:00:00,64.18
07/01/2011,10:00:00,109.98
07/01/2011,11:00:00,110.09
07/01/2011,12:00:00,66.75
07/01/2011,13:00:00,64.93
07/01/2011,14:00:00,55.81
07/01/2011,15:00:00,30.61
07/01/2011,16:00:00,13.65
07/01/2011,17:00:00,39.60
07/01/2011,18:00:00,15.89
07/01/2011,19:00:00,15.86
07/01/2011,20:00:00,10.02
07/01/2011,21:00:00,8.69
07/01/2011,22:00:00,7.50
07/01/2011,23:00:00,7.34
08/01/2011,00:00:00,6.29
08/01/2011,01:00:00,5.88
08/01/2011,02:00:00,5.01
08/01/2011,03:00:00,4.41
08/01/2011,04:00:00,3.63
08/01/2011,05:00:00,3.85
08/01/2011,06:00:00,4.11
08/01/2011,07:00:00,5.05
08/01/2011,08:00:00,18.04
08/01/2011,09:00:00,14.51
08/01/2011,10:00:00,18.13
08/01/2011,11:00:00,8.31
08/01/2011,12:00:00,11.20
08/01/2011,13:00:00,13.57
08/01/2011,14:00:00,22.44
08/01/2011,15:00:00,17.40
08/01/2011,16:00:00,9.60
08/01/2011,17:00:00,8.11
08/01/2011,18:00:00,10.05
08/01/2011,19:00:00,12.93
08/01/2011,20:00:00,10.75
08/01/2011,21:00:00,8.29
08/01/2011,22:00:00,10.34
08/01/2011,23:00:00,5.89
09/01/2011,00:00:00,2.84
09/01/2011,01:00:00,1.88
09/01/2011,02:00:00,2.21
09/01/2011,03:00:00,3.22
09/01/2011,04:00:00,4.17
09/01/2011,05:00:00,4.14
09/01/2011,06:00:00,4.85
09/01/2011,07:00:00,9.09
09/01/2011,08:00:00,13.71
09/01/2011,09:00:00,13.52
09/01/2011,10:00:00,16.76
09/01/2011,11:00:00,13.71
09/01/2011,12:00:00,9.02
09/01/2011,13:00:00,12.91
09/01/2011,14:00:00,16.62
09/01/2011,15:00:00,16.35
09/01/2011,16:00:00,15.79
09/01/2011,17:00:00,12.33
09/01/2011,18:00:00,11.40
09/01/2011,19:00:00,11.15
09/01/2011,20:00:00,9.52
09/01/2011,21:00:00,4.64
09/01/2011,22:00:00,5.37
09/01/2011,23:00:00,5.59
10/01/2011,00:00:00,7.44
10/01/2011,01:00:00,7.94
10/01/2011,02:00:00,9.27
10/01/2011,03:00:00,11.93
10/01/2011,04:00:00,11.17
10/01/2011,05:00:00,13.03
10/01/2011,06:00:00,12.54
10/01/2011,07:00:00,12.12
10/01/2011,08:00:00,20.98
10/01/2011,09:00:00,24.96
10/01/2011,10:00:00,19.97
10/01/2011,11:00:00,18.57
10/01/2011,12:00:00,26.80
10/01/2011,13:00:00,32.38
10/01/2011,14:00:00,41.57
10/01/2011,15:00:00,48.42
10/01/2011,16:00:00,43.92
10/01/2011,17:00:00,28.72
10/01/2011,18:00:00,27.73
10/01/2011,19:00:00,22.62
10/01/2011,20:00:00,5.95
10/01/2011,21:00:00,4.89
10/01/2011,22:00:00,3.62
10/01/2011,23:00:00,3.18
11/01/2011,00:00:00,2.75
11/01/2011,01:00:00,4.00
11/01/2011,02:00:00,4.74
11/01/2011,03:00:00,7.60
11/01/2011,04:00:00,8.12
11/01/2011,05:00:00,7.62
11/01/2011,06:00:00,6.25
11/01/2011,07:00:00,5.75
11/01/2011,08:00:00,7.97
11/01/2011,09:00:00,12.09
11/01/2011,10:00:00,25.46
11/01/2011,11:00:00,41.85
11/01/2011,12:00:00,45.00
11/01/2011,13:00:00,60.27
11/01/2011,14:00:00,61.34
11/01/2011,15:00:00,56.88
11/01/2011,16:00:00,47.32
11/01/2011,17:00:00,21.92
11/01/2011,18:00:00,20.11
11/01/2011,19:00:00,11.59
11/01/2011,20:00:00,11.43
11/01/2011,21:00:00,13.46
11/01/2011,22:00:00,13.36
11/01/2011,23:00:00,9.55
12/01/2011,00:00:00,6.72
12/01/2011,01:00:00,7.06
12/01/2011,02:00:00,7.72
12/01/2011,03:00:00,8.19
12/01/2011,04:00:00,7.56
12/01/2011,05:00:00,7.21
12/01/2011,06:00:00,8.77
12/01/2011,07:00:00,9.54
12/01/2011,08:00:00,8.93
12/01/2011,09:00:00,5.92
12/01/2011,10:00:00,6.46
12/01/2011,11:00:00,15.32
12/01/2011,12:00:00,40.12
12/01/2011,13:00:00,56.02
12/01/2011,14:00:00,52.82
12/01/2011,15:00:00,56.00
12/01/2011,16:00:00,54.06
12/01/2011,17:00:00,21.33
12/01/2011,18:00:00,13.93
12/01/2011,19:00:00,18.34
12/01/2011,20:00:00,18.49
12/01/2011,21:00:00,18.79
12/01/2011,22:00:00,14.90
12/01/2011,23:00:00,16.29
13/01/2011,00:00:00,10.93
13/01/2011,01:00:00,7.89
13/01/2011,02:00:00,7.60
13/01/2011,03:00:00,9.89
13/01/2011,04:00:00,8.99
13/01/2011,05:00:00,7.38
13/01/2011,06:00:00,7.17
13/01/2011,07:00:00,8.83
13/01/2011,08:00:00,7.54
13/01/2011,09:00:00,6.49
13/01/2011,10:00:00,5.87
13/01/2011,11:00:00,7.81
13/01/2011,12:00:00,15.08
13/01/2011,13:00:00,19.89
13/01/2011,14:00:00,38.94
13/01/2011,15:00:00,49.59
13/01/2011,16:00:00,36.74
13/01/2011,17:00:00,16.91
13/01/2011,18:00:00,7.18
13/01/2011,19:00:00,6.60
13/01/2011,20:00:00,7.36
13/01/2011,21:00:00,10.68
13/01/2011,22:00:00,12.37
13/01/2011,23:00:00,10.64
14/01/2011,00:00:00,6.39
14/01/2011,01:00:00,4.74
14/01/2011,02:00:00,3.00
14/01/2011,03:00:00,2.66
14/01/2011,04:00:00,3.25
14/01/2011,05:00:00,2.33
14/01/2011,06:00:00,2.95
14/01/2011,07:00:00,4.50
14/01/2011,08:00:00,5.79
14/01/2011,09:00:00,6.21
14/01/2011,10:00:00,11.50
14/01/2011,11:00:00,19.60
14/01/2011,12:00:00,30.44
14/01/2011,13:00:00,36.65
14/01/2011,14:00:00,39.55
14/01/2011,15:00:00,38.98
14/01/2011,16:00:00,35.39
14/01/2011,17:00:00,18.16
14/01/2011,18:00:00,8.70
14/01/2011,19:00:00,6.27
14/01/2011,20:00:00,4.06
14/01/2011,21:00:00,3.90
14/01/2011,22:00:00,3.69
14/01/2011,23:00:00,3.98
15/01/2011,00:00:00,5.48
15/01/2011,01:00:00,7.29
15/01/2011,02:00:00,7.78
15/01/2011,03:00:00,14.10
15/01/2011,04:00:00,9.10
15/01/2011,05:00:00,2.96
15/01/2011,06:00:00,2.80
15/01/2011,07:00:00,4.58
15/01/2011,08:00:00,6.08
15/01/2011,09:00:00,11.32
15/01/2011,10:00:00,24.03
15/01/2011,11:00:00,38.24
15/01/2011,12:00:00,46.26
15/01/2011,13:00:00,53.52
15/01/2011,14:00:00,50.58
15/01/2011,15:00:00,54.70
15/01/2011,16:00:00,49.43
15/01/2011,17:00:00,36.56
15/01/2011,18:00:00,22.88
15/01/2011,19:00:00,9.82
15/01/2011,20:00:00,4.40
15/01/2011,21:00:00,4.50
15/01/2011,22:00:00,12.94
15/01/2011,23:00:00,8.52
16/01/2011,00:00:00,5.69
16/01/2011,01:00:00,8.13
16/01/2011,02:00:00,5.65
16/01/2011,03:00:00,6.70
16/01/2011,04:00:00,4.88
16/01/2011,05:00:00,5.42
16/01/2011,06:00:00,7.87
16/01/2011,07:00:00,10.56
16/01/2011,08:00:00,10.65
16/01/2011,09:00:00,15.43
16/01/2011,10:00:00,23.10
16/01/2011,11:00:00,31.39
16/01/2011,12:00:00,47.59
16/01/2011,13:00:00,57.04
16/01/2011,14:00:00,61.03
16/01/2011,15:00:00,60.95
16/01/2011,16:00:00,57.71
16/01/2011,17:00:00,46.45
16/01/2011,18:00:00,28.92
16/01/2011,19:00:00,21.00
16/01/2011,20:00:00,14.93
16/01/2011,21:00:00,9.27
16/01/2011,22:00:00,8.14
16/01/2011,23:00:00,9.78
17/01/2011,00:00:00,15.58
17/01/2011,01:00:00,23.33
17/01/2011,02:00:00,24.01
17/01/2011,03:00:00,22.03
17/01/2011,04:00:00,23.17
17/01/2011,05:00:00,22.20
17/01/2011,06:00:00,14.46
17/01/2011,07:00:00,6.59
17/01/2011,08:00:00,14.54
17/01/2011,09:00:00,26.68
17/01/2011,10:00:00,37.91
17/01/2011,11:00:00,46.28
17/01/2011,12:00:00,54.11
17/01/2011,13:00:00,64.47
17/01/2011,14:00:00,70.07
17/01/2011,15:00:00,68.10
17/01/2011,16:00:00,65.48
17/01/2011,17:00:00,51.41
17/01/2011,18:00:00,16.89
17/01/2011,19:00:00,8.80
17/01/2011,20:00:00,10.96
17/01/2011,21:00:00,11.61
17/01/2011,22:00:00,8.19
17/01/2011,23:00:00,7.97
18/01/2011,00:00:00,6.99
18/01/2011,01:00:00,3.86
18/01/2011,02:00:00,2.42
18/01/2011,03:00:00,4.08
18/01/2011,04:00:00,4.13
18/01/2011,05:00:00,4.83
18/01/2011,06:00:00,5.30
18/01/2011,07:00:00,6.35
18/01/2011,08:00:00,6.54
18/01/2011,09:00:00,4.60
18/01/2011,10:00:00,3.95
18/01/2011,11:00:00,22.94
18/01/2011,12:00:00,57.02
18/01/2011,13:00:00,62.58
18/01/2011,14:00:00,66.38
18/01/2011,15:00:00,67.12
18/01/2011,16:00:00,59.87
18/01/2011,17:00:00,28.20
18/01/2011,18:00:00,6.63
18/01/2011,19:00:00,9.17
18/01/2011,20:00:00,6.42
18/01/2011,21:00:00,4.93
18/01/2011,22:00:00,3.47
18/01/2011,23:00:00,2.97
19/01/2011,00:00:00,5.47
19/01/2011,01:00:00,11.34
19/01/2011,02:00:00,10.85
19/01/2011,03:00:00,11.78
19/01/2011,04:00:00,8.90
19/01/2011,05:00:00,9.94
19/01/2011,06:00:00,8.61
19/01/2011,07:00:00,6.07
19/01/2011,08:00:00,9.52
19/01/2011,09:00:00,13.79
19/01/2011,10:00:00,27.66
19/01/2011,11:00:00,31.63
19/01/2011,12:00:00,41.45
19/01/2011,13:00:00,59.95
19/01/2011,14:00:00,58.92
19/01/2011,15:00:00,62.17
19/01/2011,16:00:00,67.75
19/01/2011,17:00:00,54.06
19/01/2011,18:00:00,13.34
19/01/2011,19:00:00,8.26
19/01/2011,20:00:00,5.42
19/01/2011,21:00:00,5.51
19/01/2011,22:00:00,4.00
19/01/2011,23:00:00,3.73
20/01/2011,00:00:00,5.61
20/01/2011,01:00:00,9.10
20/01/2011,02:00:00,13.27
20/01/2011,03:00:00,18.42
20/01/2011,04:00:00,11.15
20/01/2011,05:00:00,9.20
20/01/2011,06:00:00,7.07
20/01/2011,07:00:00,3.83
20/01/2011,08:00:00,8.00
20/01/2011,09:00:00,27.67
20/01/2011,10:00:00,45.76
20/01/2011,11:00:00,49.04
20/01/2011,12:00:00,51.41
20/01/2011,13:00:00,54.21
20/01/2011,14:00:00,64.37
20/01/2011,15:00:00,58.82
20/01/2011,16:00:00,51.91
20/01/2011,17:00:00,31.34
20/01/2011,18:00:00,7.05
20/01/2011,19:00:00,9.84
20/01/2011,20:00:00,12.67
20/01/2011,21:00:00,13.09
20/01/2011,22:00:00,12.24
20/01/2011,23:00:00,11.11
21/01/2011,00:00:00,8.47
21/01/2011,01:00:00,7.38
21/01/2011,02:00:00,8.08
21/01/2011,03:00:00,6.66
21/01/2011,04:00:00,5.32
21/01/2011,05:00:00,5.75
21/01/2011,06:00:00,6.35
21/01/2011,07:00:00,9.37
21/01/2011,08:00:00,8.66
21/01/2011,09:00:00,5.92
21/01/2011,10:00:00,3.67
21/01/2011,11:00:00,13.79
21/01/2011,12:00:00,55.97
21/01/2011,13:00:00,76.98
21/01/2011,14:00:00,69.25
21/01/2011,15:00:00,61.12
21/01/2011,16:00:00,31.13
21/01/2011,17:00:00,16.07
21/01/2011,18:00:00,7.55
21/01/2011,19:00:00,4.71
21/01/2011,20:00:00,8.40
21/01/2011,21:00:00,9.67
21/01/2011,22:00:00,9.01
21/01/2011,23:00:00,5.86
22/01/2011,00:00:00,4.92
22/01/2011,01:00:00,5.10
22/01/2011,02:00:00,7.73
22/01/2011,03:00:00,7.09
22/01/2011,04:00:00,4.28
22/01/2011,05:00:00,4.04
22/01/2011,06:00:00,5.74
22/01/2011,07:00:00,3.90
22/01/2011,08:00:00,4.17
22/01/2011,09:00:00,4.21
22/01/2011,10:00:00,6.81
22/01/2011,11:00:00,30.16
22/01/2011,12:00:00,52.65
22/01/2011,13:00:00,54.33
22/01/2011,14:00:00,62.06
22/01/2011,15:00:00,64.67
22/01/2011,16:00:00,54.50
22/01/2011,17:00:00,31.90
22/01/2011,18:00:00,20.55
22/01/2011,19:00:00,14.70
22/01/2011,20:00:00,5.48
22/01/2011,21:00:00,3.13
22/01/2011,22:00:00,3.12
22/01/2011,23:00:00,2.71
23/01/2011,00:00:00,2.33
23/01/2011,01:00:00,3.62
23/01/2011,02:00:00,4.36
23/01/2011,03:00:00,7.34
23/01/2011,04:00:00,6.68
23/01/2011,05:00:00,3.64
23/01/2011,06:00:00,3.43
23/01/2011,07:00:00,6.45
23/01/2011,08:00:00,4.53
23/01/2011,09:00:00,5.13
23/01/2011,10:00:00,16.64
23/01/2011,11:00:00,42.95
23/01/2011,12:00:00,53.38
23/01/2011,13:00:00,81.75
23/01/2011,14:00:00,96.99
23/01/2011,15:00:00,93.57
23/01/2011,16:00:00,79.34
23/01/2011,17:00:00,61.82
23/01/2011,18:00:00,14.27
23/01/2011,19:00:00,4.13
23/01/2011,20:00:00,4.22
23/01/2011,21:00:00,4.67
23/01/2011,22:00:00,4.25
23/01/2011,23:00:00,2.72
24/01/2011,00:00:00,2.53
24/01/2011,01:00:00,3.03
24/01/2011,02:00:00,3.49
24/01/2011,03:00:00,2.94
24/01/2011,04:00:00,3.78
24/01/2011,05:00:00,3.46
24/01/2011,06:00:00,4.05
24/01/2011,07:00:00,6.40
24/01/2011,08:00:00,5.14
24/01/2011,09:00:00,5.21
24/01/2011,10:00:00,10.03
24/01/2011,11:00:00,25.25
24/01/2011,12:00:00,61.19
24/01/2011,13:00:00,80.42
24/01/2011,14:00:00,71.13
24/01/2011,15:00:00,77.19
24/01/2011,16:00:00,70.56
24/01/2011,17:00:00,47.86
24/01/2011,18:00:00,7.42
24/01/2011,19:00:00,4.12
24/01/2011,20:00:00,5.55
24/01/2011,21:00:00,6.68
24/01/2011,22:00:00,4.97
24/01/2011,23:00:00,5.10
25/01/2011,00:00:00,4.81
25/01/2011,01:00:00,6.11
25/01/2011,02:00:00,5.58
25/01/2011,03:00:00,6.27
25/01/2011,04:00:00,6.07
