Date,Time,Values
23/03/2015,17:00:00,50.20
23/03/2015,18:00:00,67.81
23/03/2015,19:00:00,70.16
23/03/2015,20:00:00,80.27
23/03/2015,21:00:00,82.28
23/03/2015,22:00:00,113.87
23/03/2015,23:00:00,110.50
24/03/2015,00:00:00,102.40
24/03/2015,01:00:00,122.50
24/03/2015,02:00:00,111.03
24/03/2015,03:00:00,155.65
24/03/2015,04:00:00,173.77
24/03/2015,05:00:00,128.37
24/03/2015,06:00:00,98.52
24/03/2015,07:00:00,83.47
24/03/2015,08:00:00,60.32
24/03/2015,09:00:00,53.93
24/03/2015,10:00:00,43.55
24/03/2015,11:00:00,37.43
24/03/2015,12:00:00,41.07
24/03/2015,13:00:00,36.37
24/03/2015,14:00:00,34.97
24/03/2015,16:00:00,43.36
24/03/2015,17:00:00,55.48
24/03/2015,18:00:00,76.58
24/03/2015,19:00:00,106.95
24/03/2015,20:00:00,158.03
24/03/2015,21:00:00,190.19
24/03/2015,22:00:00,155.91
24/03/2015,23:00:00,92.56
25/03/2015,00:00:00,90.33
25/03/2015,01:00:00,68.72
25/03/2015,02:00:00,103.23
25/03/2015,03:00:00,96.61
25/03/2015,04:00:00,112.25
25/03/2015,05:00:00,150.45
25/03/2015,06:00:00,177.67
25/03/2015,07:00:00,119.94
25/03/2015,08:00:00,106.55
25/03/2015,09:00:00,75.26
25/03/2015,10:00:00,94.72
25/03/2015,11:00:00,86.59
25/03/2015,13:00:00,110.28
25/03/2015,14:00:00,53.20
25/03/2015,15:00:00,48.76
25/03/2015,16:00:00,47.32
25/03/2015,17:00:00,52.89
25/03/2015,18:00:00,61.09
25/03/2015,19:00:00,85.37
25/03/2015,20:00:00,115.19
25/03/2015,21:00:00,136.20
25/03/2015,22:00:00,131.21
25/03/2015,23:00:00,123.14
26/03/2015,00:00:00,131.49
26/03/2015,01:00:00,143.57
26/03/2015,02:00:00,126.84
26/03/2015,03:00:00,90.81
26/03/2015,04:00:00,74.75
26/03/2015,05:00:00,103.27
26/03/2015,06:00:00,166.88
26/03/2015,07:00:00,199.23
26/03/2015,08:00:00,178.50
26/03/2015,09:00:00,99.95
26/03/2015,10:00:00,58.15
26/03/2015,11:00:00,52.36
26/03/2015,12:00:00,52.73
26/03/2015,13:00:00,50.54
26/03/2015,14:00:00,48.92
26/03/2015,15:00:00,50.52
26/03/2015,16:00:00,53.07
26/03/2015,17:00:00,61.97
26/03/2015,18:00:00,76.73
26/03/2015,19:00:00,81.23
26/03/2015,20:00:00,78.40
26/03/2015,21:00:00,69.91
26/03/2015,22:00:00,52.05
26/03/2015,23:00:00,44.58
27/03/2015,00:00:00,42.39
27/03/2015,01:00:00,48.49
27/03/2015,02:00:00,66.50
27/03/2015,03:00:00,57.45
27/03/2015,04:00:00,58.86
27/03/2015,05:00:00,62.67
27/03/2015,06:00:00,60.35
27/03/2015,07:00:00,56.88
27/03/2015,08:00:00,67.45
27/03/2015,09:00:00,56.20
27/03/2015,10:00:00,53.12
28/03/2015,06:00:00,98.06
28/03/2015,07:00:00,134.59
28/03/2015,08:00:00,88.25
28/03/2015,09:00:00,60.11
28/03/2015,10:00:00,62.19
28/03/2015,11:00:00,56.50
28/03/2015,12:00:00,51.86
28/03/2015,13:00:00,46.86
28/03/2015,14:00:00,47.61
28/03/2015,15:00:00,43.59
28/03/2015,16:00:00,43.90
28/03/2015,17:00:00,53.87
28/03/2015,18:00:00,71.17
28/03/2015,19:00:00,84.35
28/03/2015,20:00:00,148.03
28/03/2015,21:00:00,272.48
28/03/2015,22:00:00,266.59
28/03/2015,23:00:00,254.95
29/03/2015,00:00:00,269.33
29/03/2015,01:00:00,195.15
29/03/2015,02:00:00,132.53
29/03/2015,03:00:00,105.59
29/03/2015,04:00:00,86.77
29/03/2015,05:00:00,75.35
29/03/2015,06:00:00,63.96
29/03/2015,07:00:00,76.39
29/03/2015,08:00:00,68.83
29/03/2015,09:00:00,51.99
29/03/2015,10:00:00,51.44
29/03/2015,11:00:00,51.41
29/03/2015,12:00:00,54.92
29/03/2015,13:00:00,51.59
