Date,Time,Values
01/01/2011,00:00:00,86.80
01/01/2011,01:00:00,86.29
01/01/2011,02:00:00,86.21
01/01/2011,03:00:00,87.84
01/01/2011,04:00:00,87.95
01/01/2011,05:00:00,88.00
01/01/2011,06:00:00,88.00
01/01/2011,07:00:00,87.95
01/01/2011,08:00:00,87.27
01/01/2011,09:00:00,80.57
01/01/2011,10:00:00,74.88
01/01/2011,11:00:00,67.53
01/01/2011,12:00:00,61.79
01/01/2011,13:00:00,59.40
01/01/2011,14:00:00,57.51
01/01/2011,15:00:00,57.23
01/01/2011,16:00:00,63.75
01/01/2011,17:00:00,72.63
01/01/2011,18:00:00,79.41
01/01/2011,19:00:00,81.17
01/01/2011,20:00:00,81.71
01/01/2011,21:00:00,81.20
01/01/2011,22:00:00,80.98
01/01/2011,23:00:00,81.49
02/01/2011,00:00:00,80.82
02/01/2011,01:00:00,81.52
02/01/2011,02:00:00,81.71
02/01/2011,03:00:00,79.72
02/01/2011,04:00:00,78.39
02/01/2011,05:00:00,77.67
02/01/2011,06:00:00,76.39
02/01/2011,07:00:00,74.99
02/01/2011,08:00:00,72.88
02/01/2011,09:00:00,71.06
02/01/2011,10:00:00,67.84
02/01/2011,11:00:00,65.16
02/01/2011,12:00:00,60.52
02/01/2011,13:00:00,59.17
02/01/2011,14:00:00,61.74
02/01/2011,15:00:00,64.22
02/01/2011,16:00:00,66.05
02/01/2011,17:00:00,66.61
02/01/2011,18:00:00,66.97
02/01/2011,19:00:00,66.14
02/01/2011,20:00:00,66.65
02/01/2011,21:00:00,64.53
02/01/2011,22:00:00,64.68
02/01/2011,23:00:00,64.94
03/01/2011,00:00:00,65.72
03/01/2011,01:00:00,66.41
03/01/2011,02:00:00,66.39
03/01/2011,03:00:00,66.27
03/01/2011,04:00:00,65.98
03/01/2011,05:00:00,66.41
03/01/2011,06:00:00,67.13
03/01/2011,07:00:00,66.99
03/01/2011,08:00:00,66.39
03/01/2011,09:00:00,63.34
03/01/2011,10:00:00,59.69
03/01/2011,11:00:00,56.24
03/01/2011,12:00:00,52.07
03/01/2011,13:00:00,47.36
03/01/2011,14:00:00,47.94
03/01/2011,15:00:00,49.23
03/01/2011,16:00:00,53.94
03/01/2011,17:00:00,59.38
03/01/2011,18:00:00,64.24
03/01/2011,19:00:00,71.98
03/01/2011,20:00:00,76.96
03/01/2011,21:00:00,78.45
03/01/2011,22:00:00,79.04
03/01/2011,23:00:00,80.52
04/01/2011,00:00:00,78.92
04/01/2011,01:00:00,82.88
04/01/2011,02:00:00,84.34
04/01/2011,03:00:00,85.94
04/01/2011,04:00:00,87.83
04/01/2011,05:00:00,87.98
04/01/2011,06:00:00,87.98
04/01/2011,07:00:00,87.96
04/01/2011,08:00:00,83.30
04/01/2011,09:00:00,75.25
04/01/2011,10:00:00,70.65
04/01/2011,11:00:00,67.06
04/01/2011,12:00:00,63.53
04/01/2011,13:00:00,62.66
04/01/2011,14:00:00,62.82
04/01/2011,15:00:00,63.40
04/01/2011,16:00:00,66.35
04/01/2011,17:00:00,69.05
