Date,Time,Values
24/05/2016,14:00:00,778.21
24/05/2016,15:00:00,555.15
24/05/2016,16:00:00,353.85
24/05/2016,17:00:00,664.45
25/05/2016,09:00:00,723.60
25/05/2016,10:00:00,869.95
25/05/2016,11:00:00,913.34
25/05/2016,12:00:00,940.25
25/05/2016,13:00:00,859.56
25/05/2016,14:00:00,724.85
25/05/2016,15:00:00,520.05
25/05/2016,16:00:00,229.53
25/05/2016,17:00:00,191.32
25/05/2016,18:00:00,100.54
25/05/2016,19:00:00,64.83
25/05/2016,20:00:00,64.32
25/05/2016,21:00:00,64.59
25/05/2016,22:00:00,64.92
25/05/2016,23:00:00,65.22
26/05/2016,00:00:00,66.82
26/05/2016,01:00:00,66.83
26/05/2016,02:00:00,66.87
26/05/2016,03:00:00,68.22
26/05/2016,04:00:00,69.69
26/05/2016,05:00:00,84.58
26/05/2016,06:00:00,199.06
26/05/2016,07:00:00,384.12
26/05/2016,08:00:00,598.43
26/05/2016,09:00:00,737.72
26/05/2016,10:00:00,907.23
26/05/2016,11:00:00,994.76
26/05/2016,12:00:00,915.47
26/05/2016,13:00:00,834.67
26/05/2016,14:00:00,695.45
26/05/2016,15:00:00,521.90
26/05/2016,16:00:00,353.91
26/05/2016,17:00:00,202.42
26/05/2016,18:00:00,95.76
26/05/2016,19:00:00,57.63
26/05/2016,20:00:00,58.16
26/05/2016,21:00:00,58.70
26/05/2016,22:00:00,58.91
26/05/2016,23:00:00,59.17
27/05/2016,00:00:00,59.34
27/05/2016,01:00:00,59.42
27/05/2016,02:00:00,59.64
27/05/2016,03:00:00,60.00
27/05/2016,04:00:00,59.63
27/05/2016,05:00:00,72.90
27/05/2016,06:00:00,153.39
27/05/2016,07:00:00,315.04
27/05/2016,08:00:00,558.23
27/05/2016,09:00:00,817.58
27/05/2016,10:00:00,970.39
27/05/2016,11:00:00,999.99
27/05/2016,12:00:00,969.80
27/05/2016,13:00:00,827.58
27/05/2016,14:00:00,584.73
27/05/2016,15:00:00,501.23
27/05/2016,16:00:00,361.22
27/05/2016,17:00:00,203.70
27/05/2016,18:00:00,94.60
27/05/2016,19:00:00,55.88
27/05/2016,20:00:00,56.02
27/05/2016,21:00:00,56.65
27/05/2016,22:00:00,56.82
27/05/2016,23:00:00,57.08
28/05/2016,00:00:00,57.32
28/05/2016,01:00:00,57.45
28/05/2016,02:00:00,57.88
28/05/2016,03:00:00,58.15
28/05/2016,04:00:00,53.42
28/05/2016,05:00:00,64.08
28/05/2016,06:00:00,154.72
28/05/2016,07:00:00,302.75
28/05/2016,08:00:00,510.20
28/05/2016,09:00:00,727.70
28/05/2016,10:00:00,898.75
28/05/2016,11:00:00,990.70
28/05/2016,12:00:00,977.08
28/05/2016,13:00:00,915.05
28/05/2016,14:00:00,734.50
28/05/2016,15:00:00,564.73
28/05/2016,16:00:00,394.32
28/05/2016,17:00:00,209.95
28/05/2016,18:00:00,90.30
28/05/2016,19:00:00,49.75
28/05/2016,20:00:00,49.68
28/05/2016,21:00:00,50.55
28/05/2016,22:00:00,55.58
28/05/2016,23:00:00,51.65
29/05/2016,00:00:00,52.00
29/05/2016,01:00:00,61.98
29/05/2016,02:00:00,57.60
29/05/2016,03:00:00,57.75
29/05/2016,04:00:00,57.90
29/05/2016,05:00:00,65.57
29/05/2016,06:00:00,137.57
29/05/2016,07:00:00,226.63
29/05/2016,08:00:00,357.23
29/05/2016,09:00:00,698.95
29/05/2016,10:00:00,911.63
29/05/2016,11:00:00,"1,002.60"
29/05/2016,12:00:00,"1,010.18"
29/05/2016,13:00:00,968.05
29/05/2016,14:00:00,842.35
29/05/2016,15:00:00,649.52
29/05/2016,16:00:00,443.45
29/05/2016,17:00:00,203.63
29/05/2016,18:00:00,61.82
29/05/2016,19:00:00,46.58
29/05/2016,20:00:00,47.77
29/05/2016,21:00:00,38.63
29/05/2016,22:00:00,35.63
29/05/2016,23:00:00,39.28
30/05/2016,00:00:00,42.70
30/05/2016,01:00:00,43.70
30/05/2016,02:00:00,46.20
30/05/2016,03:00:00,46.30
30/05/2016,04:00:00,48.50
30/05/2016,05:00:00,52.50
30/05/2016,06:00:00,82.65
30/05/2016,07:00:00,62.70
30/05/2016,08:00:00,121.70
30/05/2016,09:00:00,108.43
30/05/2016,10:00:00,643.92
30/05/2016,11:00:00,"1,250.07"
30/05/2016,12:00:00,"1,139.70"
30/05/2016,13:00:00,818.10
30/05/2016,14:00:00,507.43
30/05/2016,15:00:00,88.32
30/05/2016,16:00:00,546.68
30/05/2016,17:00:00,266.75
30/05/2016,18:00:00,100.17
30/05/2016,19:00:00,57.50
