Date,Time,Values
01/01/2011,00:00:00,9.18
01/01/2011,01:00:00,9.81
01/01/2011,02:00:00,9.79
01/01/2011,03:00:00,9.54
01/01/2011,04:00:00,9.42
01/01/2011,05:00:00,8.93
01/01/2011,06:00:00,8.52
01/01/2011,07:00:00,8.13
01/01/2011,08:00:00,8.54
01/01/2011,09:00:00,9.61
01/01/2011,10:00:00,10.65
01/01/2011,11:00:00,11.95
01/01/2011,12:00:00,13.4
01/01/2011,13:00:00,14.52
01/01/2011,14:00:00,15.09
01/01/2011,15:00:00,15.18
01/01/2011,16:00:00,13.76
01/01/2011,17:00:00,11.96
01/01/2011,18:00:00,10.64
01/01/2011,19:00:00,9.54
01/01/2011,20:00:00,8.86
01/01/2011,21:00:00,8.47
01/01/2011,22:00:00,8.46
01/01/2011,23:00:00,8.28
02/01/2011,00:00:00,7.87
02/01/2011,01:00:00,7.7
02/01/2011,02:00:00,7.98
02/01/2011,03:00:00,8.28
02/01/2011,04:00:00,8.71
02/01/2011,05:00:00,9.04
02/01/2011,06:00:00,9.15
02/01/2011,07:00:00,9.19
02/01/2011,08:00:00,9.35
02/01/2011,09:00:00,9.55
02/01/2011,10:00:00,10.4
02/01/2011,11:00:00,10.86
02/01/2011,12:00:00,11.85
02/01/2011,13:00:00,12.1
02/01/2011,14:00:00,11.78
02/01/2011,15:00:00,11.11
02/01/2011,16:00:00,10.78
02/01/2011,17:00:00,9.99
02/01/2011,18:00:00,10.03
02/01/2011,19:00:00,10.02
02/01/2011,20:00:00,9.95
02/01/2011,21:00:00,9.86
02/01/2011,22:00:00,9.72
02/01/2011,23:00:00,9.65
03/01/2011,00:00:00,9.5
03/01/2011,01:00:00,9.43
03/01/2011,02:00:00,9.21
03/01/2011,03:00:00,8.93
03/01/2011,04:00:00,8.87
03/01/2011,05:00:00,8.64
03/01/2011,06:00:00,8.4
03/01/2011,07:00:00,8.23
03/01/2011,08:00:00,8.51
03/01/2011,09:00:00,9.21
03/01/2011,10:00:00,10.1
03/01/2011,11:00:00,10.86
03/01/2011,12:00:00,12.01
03/01/2011,13:00:00,13.08
03/01/2011,14:00:00,13.23
03/01/2011,15:00:00,13.12
03/01/2011,16:00:00,12.3
03/01/2011,17:00:00,11.33
03/01/2011,18:00:00,10.39
03/01/2011,19:00:00,9.1
03/01/2011,20:00:00,8.49
03/01/2011,21:00:00,8.29
03/01/2011,22:00:00,7.97
03/01/2011,23:00:00,7.7
04/01/2011,00:00:00,7.85
04/01/2011,01:00:00,6.99
04/01/2011,02:00:00,6.6
04/01/2011,03:00:00,6.05
04/01/2011,04:00:00,5.7
04/01/2011,05:00:00,5.58
04/01/2011,06:00:00,5.35
04/01/2011,07:00:00,6.22
04/01/2011,08:00:00,6.73
04/01/2011,09:00:00,7.54
04/01/2011,10:00:00,8.07
04/01/2011,11:00:00,8.93
04/01/2011,12:00:00,9.91
04/01/2011,13:00:00,10.36
