Date,Time,Values
07/01/2011,09:00:00,8.72
07/01/2011,13:00:00,61.29
07/01/2011,14:00:00,82.19
07/01/2011,15:00:00,89.31
12/01/2011,07:00:00,87.53
12/01/2011,23:00:00,NA
13/01/2011,06:00:00,168.58
13/01/2011,07:00:00,167.38
13/01/2011,08:00:00,131.39
15/01/2011,12:00:00,18.3
15/01/2011,13:00:00,18.8
15/01/2011,14:00:00,14.75
15/01/2011,15:00:00,11.89
15/01/2011,18:00:00,49.05
15/01/2011,19:00:00,48.52
15/01/2011,22:00:00,17.41
15/01/2011,23:00:00,20.24
16/01/2011,11:00:00,11.4
16/01/2011,12:00:00,9.72
16/01/2011,13:00:00,6.16
16/01/2011,14:00:00,5.2
16/01/2011,15:00:00,6.07
16/01/2011,16:00:00,6.29
16/01/2011,18:00:00,11.17
16/01/2011,19:00:00,16.11
16/01/2011,20:00:00,17.38
16/01/2011,21:00:00,16.39
16/01/2011,22:00:00,14.11
16/01/2011,23:00:00,12.34
17/01/2011,00:00:00,9.67
17/01/2011,01:00:00,8.0
17/01/2011,02:00:00,NA
17/01/2011,03:00:00,NA
17/01/2011,04:00:00,NA
17/01/2011,05:00:00,NA
17/01/2011,06:00:00,NA
17/01/2011,07:00:00,5.22
17/01/2011,08:00:00,5.94
17/01/2011,09:00:00,10.68
17/01/2011,11:00:00,13.34
17/01/2011,12:00:00,17.62
17/01/2011,14:00:00,6.76
17/01/2011,15:00:00,9.32
17/01/2011,16:00:00,9.47
17/01/2011,18:00:00,47.91
17/01/2011,19:00:00,116.75
17/01/2011,20:00:00,153.3
18/01/2011,01:00:00,38.49
18/01/2011,02:00:00,25.79
18/01/2011,03:00:00,27.98
18/01/2011,04:00:00,42.36
18/01/2011,05:00:00,34.3
18/01/2011,06:00:00,51.62
18/01/2011,07:00:00,68.94
18/01/2011,08:00:00,81.69
19/01/2011,03:00:00,12.49
19/01/2011,04:00:00,15.13
19/01/2011,05:00:00,7.5
19/01/2011,06:00:00,9.74
19/01/2011,07:00:00,14.0
19/01/2011,08:00:00,18.16
19/01/2011,09:00:00,21.27
19/01/2011,11:00:00,23.47
19/01/2011,12:00:00,24.23
19/01/2011,14:00:00,NA
19/01/2011,15:00:00,12.65
19/01/2011,16:00:00,23.83
19/01/2011,20:00:00,86.08
19/01/2011,21:00:00,59.71
19/01/2011,22:00:00,55.84
19/01/2011,23:00:00,55.51
20/01/2011,00:00:00,40.9
20/01/2011,01:00:00,48.03
20/01/2011,02:00:00,25.71
20/01/2011,03:00:00,23.05
20/01/2011,04:00:00,28.05
20/01/2011,05:00:00,32.6
20/01/2011,06:00:00,28.95
20/01/2011,07:00:00,23.91
20/01/2011,08:00:00,24.27
20/01/2011,09:00:00,28.44
20/01/2011,10:00:00,23.69
20/01/2011,11:00:00,49.16
20/01/2011,12:00:00,51.01
20/01/2011,13:00:00,39.14
20/01/2011,15:00:00,15.0
20/01/2011,16:00:00,29.03
20/01/2011,18:00:00,72.69
20/01/2011,19:00:00,179.16
20/01/2011,20:00:00,NA
20/01/2011,22:00:00,NA
20/01/2011,23:00:00,NA
21/01/2011,00:00:00,NA
21/01/2011,01:00:00,NA
21/01/2011,02:00:00,155.99
21/01/2011,03:00:00,NA
21/01/2011,04:00:00,164.94
21/01/2011,05:00:00,156.65
21/01/2011,06:00:00,120.0
21/01/2011,07:00:00,177.75
21/01/2011,08:00:00,125.77
21/01/2011,12:00:00,25.77
21/01/2011,15:00:00,14.82
21/01/2011,16:00:00,31.21
24/01/2011,12:00:00,5.53
24/01/2011,13:00:00,23.98
24/01/2011,15:00:00,NA
24/01/2011,16:00:00,12.82
24/01/2011,17:00:00,27.51
25/01/2011,15:00:00,12.2
25/01/2011,16:00:00,15.72
26/01/2011,03:00:00,27.56
26/01/2011,09:00:00,36.37
26/01/2011,11:00:00,5.94
26/01/2011,12:00:00,12.24
26/01/2011,13:00:00,NA
28/01/2011,17:00:00,18.97
31/01/2011,11:00:00,17.3
31/01/2011,12:00:00,35.78
31/01/2011,13:00:00,21.38
31/01/2011,14:00:00,7.41
31/01/2011,15:00:00,6.46
31/01/2011,16:00:00,19.11
31/01/2011,17:00:00,8.83
31/01/2011,18:00:00,22.7
31/01/2011,19:00:00,78.49
31/01/2011,20:00:00,118.42
31/01/2011,21:00:00,14.71
31/01/2011,22:00:00,27.3
01/02/2011,10:00:00,16.49
01/02/2011,11:00:00,28.38
01/02/2011,12:00:00,31.46
01/02/2011,13:00:00,13.45
01/02/2011,14:00:00,17.39
01/02/2011,15:00:00,18.11
01/02/2011,17:00:00,21.22
01/02/2011,18:00:00,77.25
01/02/2011,19:00:00,96.77
01/02/2011,20:00:00,76.18
01/02/2011,21:00:00,50.16
01/02/2011,22:00:00,102.31
01/02/2011,23:00:00,41.0
02/02/2011,00:00:00,21.92
02/02/2011,01:00:00,22.59
02/02/2011,02:00:00,41.25
02/02/2011,03:00:00,24.46
02/02/2011,06:00:00,8.04
02/02/2011,07:00:00,17.07
02/02/2011,09:00:00,6.96
02/02/2011,10:00:00,16.56
02/02/2011,11:00:00,29.16
02/02/2011,12:00:00,30.34
02/02/2011,13:00:00,28.36
02/02/2011,14:00:00,20.27
02/02/2011,15:00:00,23.61
02/02/2011,16:00:00,29.95
02/02/2011,17:00:00,51.95
02/02/2011,18:00:00,120.22
02/02/2011,19:00:00,87.16
02/02/2011,20:00:00,NA
04/02/2011,00:00:00,NA
04/02/2011,04:00:00,159.87
04/02/2011,05:00:00,138.38
04/02/2011,06:00:00,117.88
04/02/2011,12:00:00,53.31
04/02/2011,13:00:00,36.34
04/02/2011,14:00:00,21.83
04/02/2011,15:00:00,28.12
04/02/2011,16:00:00,45.57
04/02/2011,17:00:00,89.85
04/02/2011,18:00:00,131.94
04/02/2011,19:00:00,NA
04/02/2011,20:00:00,NA
04/02/2011,21:00:00,NA
04/02/2011,22:00:00,103.88
04/02/2011,23:00:00,NA
05/02/2011,00:00:00,NA
05/02/2011,01:00:00,NA
05/02/2011,02:00:00,190.14
05/02/2011,03:00:00,125.44
05/02/2011,04:00:00,143.39
05/02/2011,05:00:00,108.7
05/02/2011,06:00:00,72.72
05/02/2011,07:00:00,51.29
05/02/2011,08:00:00,39.3
05/02/2011,09:00:00,37.23
05/02/2011,10:00:00,32.47
05/02/2011,11:00:00,43.14
05/02/2011,12:00:00,81.7
05/02/2011,13:00:00,79.08
05/02/2011,14:00:00,32.38
05/02/2011,15:00:00,16.29
05/02/2011,16:00:00,124.1
05/02/2011,17:00:00,93.29
05/02/2011,18:00:00,127.54
05/02/2011,19:00:00,84.68
05/02/2011,20:00:00,86.48
05/02/2011,21:00:00,86.93
05/02/2011,23:00:00,29.23
06/02/2011,00:00:00,31.26
06/02/2011,01:00:00,30.96
06/02/2011,02:00:00,22.0
06/02/2011,04:00:00,13.12
06/02/2011,05:00:00,33.58
06/02/2011,06:00:00,37.04
06/02/2011,07:00:00,27.91
06/02/2011,08:00:00,19.05
06/02/2011,09:00:00,15.08
06/02/2011,10:00:00,16.12
06/02/2011,11:00:00,11.53
06/02/2011,12:00:00,12.06
06/02/2011,13:00:00,10.65
06/02/2011,14:00:00,7.71
06/02/2011,15:00:00,10.75
06/02/2011,16:00:00,9.52
06/02/2011,17:00:00,8.16
06/02/2011,18:00:00,12.47
06/02/2011,19:00:00,14.88
06/02/2011,20:00:00,18.82
06/02/2011,21:00:00,19.65
06/02/2011,22:00:00,18.11
06/02/2011,23:00:00,13.23
07/02/2011,00:00:00,8.54
07/02/2011,01:00:00,8.08
07/02/2011,02:00:00,5.39
07/02/2011,03:00:00,5.21
07/02/2011,04:00:00,NA
07/02/2011,05:00:00,NA
07/02/2011,06:00:00,6.31
07/02/2011,07:00:00,7.4
07/02/2011,08:00:00,10.49
07/02/2011,09:00:00,14.8
07/02/2011,10:00:00,16.34
07/02/2011,11:00:00,23.9
07/02/2011,12:00:00,31.98
07/02/2011,13:00:00,19.39
07/02/2011,14:00:00,16.38
07/02/2011,15:00:00,38.94
07/02/2011,16:00:00,60.53
07/02/2011,17:00:00,63.51
07/02/2011,18:00:00,129.48
07/02/2011,19:00:00,NA
07/02/2011,20:00:00,196.33
07/02/2011,21:00:00,22.41
07/02/2011,22:00:00,39.98
07/02/2011,23:00:00,43.23
08/02/2011,00:00:00,37.95
08/02/2011,01:00:00,20.35
08/02/2011,02:00:00,16.41
08/02/2011,03:00:00,24.9
08/02/2011,04:00:00,31.02
08/02/2011,06:00:00,16.88
08/02/2011,07:00:00,34.46
08/02/2011,08:00:00,25.56
08/02/2011,09:00:00,45.9
