Date,Time,Values
24/05/2016,15:00:00,1.59
24/05/2016,16:00:00,1.24
24/05/2016,17:00:00,1.37
25/05/2016,09:00:00,-0.74
25/05/2016,10:00:00,-0.51
25/05/2016,11:00:00,0.36
25/05/2016,12:00:00,1.09
25/05/2016,13:00:00,1.75
25/05/2016,14:00:00,1.66
25/05/2016,15:00:00,2.30
25/05/2016,16:00:00,1.50
25/05/2016,17:00:00,0.75
25/05/2016,18:00:00,-0.64
25/05/2016,19:00:00,-0.67
25/05/2016,20:00:00,-1.14
25/05/2016,21:00:00,-0.98
25/05/2016,22:00:00,-1.16
25/05/2016,23:00:00,-1.01
26/05/2016,00:00:00,-1.67
26/05/2016,01:00:00,-1.24
26/05/2016,02:00:00,-1.58
26/05/2016,03:00:00,-1.62
26/05/2016,04:00:00,-2.06
26/05/2016,05:00:00,-1.77
26/05/2016,06:00:00,-1.86
26/05/2016,07:00:00,-1.17
26/05/2016,08:00:00,-0.65
26/05/2016,09:00:00,-0.56
26/05/2016,10:00:00,0.01
26/05/2016,11:00:00,0.87
26/05/2016,12:00:00,0.88
26/05/2016,13:00:00,1.61
26/05/2016,14:00:00,2.52
26/05/2016,15:00:00,1.75
26/05/2016,16:00:00,2.30
26/05/2016,17:00:00,1.55
26/05/2016,18:00:00,0.50
26/05/2016,19:00:00,-0.38
26/05/2016,20:00:00,-0.55
26/05/2016,21:00:00,-0.95
26/05/2016,22:00:00,-0.72
26/05/2016,23:00:00,-1.13
27/05/2016,00:00:00,-0.99
27/05/2016,01:00:00,-1.30
27/05/2016,02:00:00,-0.94
27/05/2016,03:00:00,-1.14
27/05/2016,04:00:00,-0.26
27/05/2016,05:00:00,-0.88
27/05/2016,06:00:00,-0.53
27/05/2016,07:00:00,-0.43
27/05/2016,08:00:00,-1.24
27/05/2016,09:00:00,-1.29
27/05/2016,10:00:00,-0.26
27/05/2016,11:00:00,-0.04
27/05/2016,12:00:00,0.37
27/05/2016,13:00:00,1.65
27/05/2016,14:00:00,2.29
27/05/2016,15:00:00,2.13
27/05/2016,16:00:00,2.60
27/05/2016,17:00:00,1.91
27/05/2016,18:00:00,1.51
27/05/2016,19:00:00,0.44
27/05/2016,20:00:00,-0.01
27/05/2016,21:00:00,-0.06
27/05/2016,22:00:00,-0.17
27/05/2016,23:00:00,-0.29
28/05/2016,00:00:00,-0.28
28/05/2016,01:00:00,-0.25
28/05/2016,02:00:00,-0.79
28/05/2016,03:00:00,-0.60
28/05/2016,04:00:00,-1.10
28/05/2016,05:00:00,-0.79
28/05/2016,06:00:00,-1.10
28/05/2016,07:00:00,0.03
28/05/2016,08:00:00,0.72
28/05/2016,09:00:00,1.77
28/05/2016,10:00:00,1.59
28/05/2016,11:00:00,1.07
28/05/2016,12:00:00,1.96
28/05/2016,13:00:00,1.46
28/05/2016,14:00:00,2.05
28/05/2016,15:00:00,2.91
28/05/2016,16:00:00,3.05
28/05/2016,17:00:00,2.54
