Date,Time,Values
25/05/2016,09:00:00,186.69
25/05/2016,10:00:00,237.28
25/05/2016,11:00:00,167.33
25/05/2016,12:00:00,93.97
25/05/2016,13:00:00,106.20
25/05/2016,14:00:00,111.68
25/05/2016,15:00:00,131.85
25/05/2016,16:00:00,111.89
25/05/2016,17:00:00,102.84
25/05/2016,18:00:00,146.76
25/05/2016,19:00:00,125.79
25/05/2016,20:00:00,110.92
25/05/2016,21:00:00,115.29
25/05/2016,22:00:00,103.86
25/05/2016,23:00:00,71.10
26/05/2016,00:00:00,76.18
26/05/2016,01:00:00,98.38
26/05/2016,02:00:00,58.34
26/05/2016,03:00:00,110.36
26/05/2016,04:00:00,253.38
26/05/2016,05:00:00,50.07
26/05/2016,06:00:00,264.42
26/05/2016,07:00:00,121.19
26/05/2016,08:00:00,70.25
26/05/2016,09:00:00,261.34
26/05/2016,10:00:00,125.58
26/05/2016,11:00:00,113.08
26/05/2016,12:00:00,119.96
26/05/2016,13:00:00,117.50
26/05/2016,14:00:00,114.49
26/05/2016,15:00:00,120.43
26/05/2016,16:00:00,120.30
26/05/2016,17:00:00,129.10
26/05/2016,18:00:00,146.15
26/05/2016,19:00:00,264.45
26/05/2016,20:00:00,327.39
26/05/2016,21:00:00,101.14
26/05/2016,22:00:00,177.34
26/05/2016,23:00:00,190.67
27/05/2016,00:00:00,333.91
27/05/2016,01:00:00,192.25
27/05/2016,02:00:00,110.46
27/05/2016,03:00:00,64.51
27/05/2016,04:00:00,119.37
27/05/2016,05:00:00,139.75
27/05/2016,06:00:00,133.05
27/05/2016,07:00:00,133.97
27/05/2016,08:00:00,177.77
27/05/2016,09:00:00,207.22
27/05/2016,10:00:00,188.71
27/05/2016,11:00:00,171.45
27/05/2016,12:00:00,145.47
27/05/2016,13:00:00,134.66
27/05/2016,14:00:00,132.28
27/05/2016,15:00:00,131.79
27/05/2016,16:00:00,129.24
27/05/2016,17:00:00,128.44
27/05/2016,18:00:00,138.50
27/05/2016,19:00:00,137.30
27/05/2016,20:00:00,134.27
27/05/2016,21:00:00,147.09
27/05/2016,22:00:00,150.70
27/05/2016,23:00:00,122.34
28/05/2016,00:00:00,131.53
28/05/2016,01:00:00,118.56
28/05/2016,02:00:00,115.53
28/05/2016,03:00:00,132.96
28/05/2016,04:00:00,142.88
28/05/2016,05:00:00,137.60
28/05/2016,06:00:00,121.88
28/05/2016,07:00:00,127.13
28/05/2016,08:00:00,126.46
28/05/2016,09:00:00,127.46
28/05/2016,10:00:00,128.37
28/05/2016,11:00:00,130.41
28/05/2016,12:00:00,118.12
28/05/2016,13:00:00,130.28
28/05/2016,14:00:00,112.77
28/05/2016,15:00:00,106.04
28/05/2016,16:00:00,116.68
28/05/2016,17:00:00,123.23
28/05/2016,18:00:00,118.09
28/05/2016,19:00:00,61.50
28/05/2016,20:00:00,34.65
28/05/2016,21:00:00,189.54
28/05/2016,22:00:00,256.74
28/05/2016,23:00:00,256.33
29/05/2016,00:00:00,250.19
29/05/2016,01:00:00,235.76
29/05/2016,02:00:00,33.80
29/05/2016,03:00:00,37.91
29/05/2016,04:00:00,80.30
29/05/2016,05:00:00,65.41
29/05/2016,06:00:00,49.00
29/05/2016,07:00:00,30.33
29/05/2016,08:00:00,189.72
29/05/2016,09:00:00,180.58
29/05/2016,10:00:00,13.48
29/05/2016,11:00:00,97.07
29/05/2016,12:00:00,93.61
29/05/2016,13:00:00,8.62
29/05/2016,14:00:00,263.52
29/05/2016,15:00:00,261.05
29/05/2016,16:00:00,343.17
29/05/2016,17:00:00,255.13
29/05/2016,18:00:00,331.46
29/05/2016,19:00:00,319.71
29/05/2016,20:00:00,134.64
29/05/2016,21:00:00,94.34
29/05/2016,22:00:00,216.68
29/05/2016,23:00:00,202.14
30/05/2016,00:00:00,136.75
30/05/2016,01:00:00,109.98
30/05/2016,02:00:00,26.82
30/05/2016,03:00:00,152.31
30/05/2016,04:00:00,71.17
30/05/2016,05:00:00,64.00
30/05/2016,06:00:00,171.07
30/05/2016,07:00:00,178.08
30/05/2016,08:00:00,229.63
30/05/2016,09:00:00,194.94
30/05/2016,10:00:00,253.18
30/05/2016,11:00:00,31.97
30/05/2016,12:00:00,352.00
30/05/2016,13:00:00,229.01
30/05/2016,14:00:00,231.28
30/05/2016,15:00:00,186.52
30/05/2016,16:00:00,166.78
30/05/2016,17:00:00,60.14
30/05/2016,18:00:00,214.61
30/05/2016,19:00:00,233.88
30/05/2016,20:00:00,255.23
30/05/2016,21:00:00,230.35
30/05/2016,22:00:00,254.89
30/05/2016,23:00:00,178.56
31/05/2016,00:00:00,60.46
31/05/2016,06:00:00,182.16
31/05/2016,07:00:00,262.00
31/05/2016,08:00:00,249.38
31/05/2016,09:00:00,32.94
31/05/2016,10:00:00,75.92
31/05/2016,11:00:00,121.41
31/05/2016,12:00:00,151.34
31/05/2016,13:00:00,134.49
31/05/2016,14:00:00,165.45
31/05/2016,15:00:00,195.23
31/05/2016,16:00:00,212.33
31/05/2016,17:00:00,175.79
31/05/2016,18:00:00,118.77
31/05/2016,19:00:00,101.75
31/05/2016,20:00:00,110.87
31/05/2016,21:00:00,116.05
31/05/2016,22:00:00,124.64
31/05/2016,23:00:00,128.57
01/06/2016,00:00:00,128.33
01/06/2016,01:00:00,117.08
01/06/2016,02:00:00,186.09
01/06/2016,03:00:00,221.24
01/06/2016,04:00:00,225.28
01/06/2016,05:00:00,216.28
01/06/2016,06:00:00,97.89
01/06/2016,07:00:00,38.91
01/06/2016,08:00:00,111.94
01/06/2016,09:00:00,145.93
01/06/2016,10:00:00,122.66
01/06/2016,11:00:00,146.92
01/06/2016,12:00:00,143.42
01/06/2016,13:00:00,129.73
01/06/2016,14:00:00,127.64
01/06/2016,15:00:00,118.93
01/06/2016,16:00:00,148.03
01/06/2016,17:00:00,155.76
01/06/2016,18:00:00,159.58
01/06/2016,19:00:00,126.14
01/06/2016,20:00:00,138.34
01/06/2016,21:00:00,149.74
01/06/2016,22:00:00,103.62
01/06/2016,23:00:00,155.40
02/06/2016,00:00:00,74.39
02/06/2016,01:00:00,94.03
02/06/2016,02:00:00,90.00
02/06/2016,03:00:00,90.85
02/06/2016,04:00:00,106.14
02/06/2016,05:00:00,98.34
02/06/2016,06:00:00,134.52
02/06/2016,07:00:00,143.86
02/06/2016,08:00:00,155.25
02/06/2016,09:00:00,142.42
02/06/2016,10:00:00,143.85
02/06/2016,11:00:00,163.93
02/06/2016,12:00:00,159.96
02/06/2016,13:00:00,190.01
02/06/2016,14:00:00,178.32
02/06/2016,15:00:00,175.88
02/06/2016,16:00:00,168.88
02/06/2016,17:00:00,174.55
02/06/2016,18:00:00,169.34
02/06/2016,19:00:00,163.16
02/06/2016,20:00:00,296.84
02/06/2016,21:00:00,171.73
02/06/2016,22:00:00,182.55
02/06/2016,23:00:00,33.14
03/06/2016,00:00:00,29.39
03/06/2016,01:00:00,250.45
03/06/2016,02:00:00,216.47
03/06/2016,03:00:00,129.73
03/06/2016,04:00:00,103.28
03/06/2016,05:00:00,90.89
03/06/2016,06:00:00,324.50
03/06/2016,07:00:00,304.94
03/06/2016,08:00:00,288.75
03/06/2016,09:00:00,261.14
03/06/2016,10:00:00,150.71
03/06/2016,11:00:00,169.52
03/06/2016,12:00:00,180.28
03/06/2016,13:00:00,212.30
03/06/2016,14:00:00,205.45
03/06/2016,15:00:00,212.00
03/06/2016,16:00:00,249.97
03/06/2016,17:00:00,222.27
03/06/2016,18:00:00,188.62
03/06/2016,19:00:00,255.28
03/06/2016,20:00:00,352.26
03/06/2016,21:00:00,130.98
03/06/2016,22:00:00,86.54
03/06/2016,23:00:00,80.86
03/06/2016,00:00:00,29.39
03/06/2016,01:00:00,250.45
03/06/2016,02:00:00,216.47
03/06/2016,03:00:00,129.73
03/06/2016,04:00:00,103.28
03/06/2016,05:00:00,90.89
03/06/2016,06:00:00,324.50
03/06/2016,07:00:00,304.94
03/06/2016,08:00:00,288.75
03/06/2016,09:00:00,261.14
03/06/2016,10:00:00,150.71
03/06/2016,11:00:00,169.52
03/06/2016,12:00:00,180.28
03/06/2016,13:00:00,212.30
03/06/2016,14:00:00,205.45
03/06/2016,15:00:00,212.00
03/06/2016,16:00:00,249.97
03/06/2016,17:00:00,222.27
03/06/2016,18:00:00,188.62
03/06/2016,19:00:00,255.28
03/06/2016,20:00:00,352.26
03/06/2016,21:00:00,130.98
03/06/2016,22:00:00,86.54
03/06/2016,23:00:00,80.86
04/06/2016,00:00:00,65.97
04/06/2016,01:00:00,47.61
04/06/2016,02:00:00,53.43
04/06/2016,03:00:00,48.66
04/06/2016,04:00:00,44.70
04/06/2016,05:00:00,208.13
04/06/2016,06:00:00,319.83
04/06/2016,07:00:00,17.93
04/06/2016,08:00:00,50.27
04/06/2016,09:00:00,70.54
04/06/2016,10:00:00,100.17
04/06/2016,11:00:00,141.38
04/06/2016,12:00:00,238.60
04/06/2016,13:00:00,230.21
04/06/2016,14:00:00,247.92
04/06/2016,15:00:00,241.89
04/06/2016,16:00:00,275.50
04/06/2016,17:00:00,268.55
04/06/2016,18:00:00,280.14
04/06/2016,19:00:00,283.99
04/06/2016,20:00:00,234.51
04/06/2016,21:00:00,210.13
04/06/2016,22:00:00,349.75
04/06/2016,23:00:00,356.46
05/06/2016,00:00:00,100.43
05/06/2016,01:00:00,102.68
05/06/2016,02:00:00,329.87
05/06/2016,03:00:00,342.12
05/06/2016,04:00:00,89.77
05/06/2016,05:00:00,343.10
05/06/2016,06:00:00,345.48
05/06/2016,07:00:00,348.99
05/06/2016,08:00:00,350.98
05/06/2016,09:00:00,350.82
05/06/2016,10:00:00,246.05
05/06/2016,11:00:00,335.08
05/06/2016,12:00:00,342.39
05/06/2016,13:00:00,335.00
05/06/2016,14:00:00,230.17
05/06/2016,15:00:00,174.91
05/06/2016,16:00:00,271.82
05/06/2016,17:00:00,271.39
05/06/2016,18:00:00,284.64
05/06/2016,19:00:00,318.31
05/06/2016,20:00:00,301.65
05/06/2016,21:00:00,302.11
05/06/2016,22:00:00,252.79
05/06/2016,23:00:00,286.10
06/06/2016,00:00:00,315.08
06/06/2016,01:00:00,304.87
06/06/2016,02:00:00,336.56
06/06/2016,03:00:00,259.48
06/06/2016,04:00:00,18.62
06/06/2016,05:00:00,106.09
06/06/2016,06:00:00,14.88
06/06/2016,07:00:00,92.98
06/06/2016,08:00:00,342.69
06/06/2016,09:00:00,178.15
06/06/2016,10:00:00,154.24
06/06/2016,11:00:00,283.12
06/06/2016,12:00:00,286.24
06/06/2016,13:00:00,262.99
06/06/2016,14:00:00,294.71
06/06/2016,15:00:00,315.14
06/06/2016,16:00:00,253.81
06/06/2016,17:00:00,71.37
06/06/2016,18:00:00,197.92
06/06/2016,19:00:00,162.29
06/06/2016,20:00:00,225.45
06/06/2016,21:00:00,341.69
06/06/2016,22:00:00,286.86
06/06/2016,23:00:00,285.79
07/06/2016,00:00:00,89.64
07/06/2016,09:00:00,319.66
07/06/2016,10:00:00,298.09
07/06/2016,11:00:00,265.70
07/06/2016,12:00:00,254.34
07/06/2016,13:00:00,260.88
07/06/2016,14:00:00,266.98
07/06/2016,15:00:00,276.81
07/06/2016,16:00:00,270.35
07/06/2016,17:00:00,291.05
07/06/2016,18:00:00,278.73
07/06/2016,19:00:00,307.98
07/06/2016,20:00:00,279.01
07/06/2016,21:00:00,123.35
07/06/2016,22:00:00,272.23
07/06/2016,23:00:00,346.15
08/06/2016,00:00:00,264.14
08/06/2016,01:00:00,182.97
08/06/2016,02:00:00,322.50
08/06/2016,03:00:00,315.94
08/06/2016,04:00:00,322.98
08/06/2016,05:00:00,305.65
08/06/2016,06:00:00,263.49
08/06/2016,07:00:00,314.69
08/06/2016,08:00:00,338.78
08/06/2016,09:00:00,89.04
08/06/2016,10:00:00,173.15
08/06/2016,11:00:00,328.37
08/06/2016,12:00:00,329.75
08/06/2016,13:00:00,279.06
08/06/2016,14:00:00,276.01
08/06/2016,15:00:00,296.20
09/06/2016,09:00:00,328.65
09/06/2016,10:00:00,253.98
09/06/2016,11:00:00,236.11
09/06/2016,12:00:00,259.63
09/06/2016,13:00:00,301.58
09/06/2016,14:00:00,284.41
09/06/2016,15:00:00,289.97
09/06/2016,16:00:00,191.69
09/06/2016,17:00:00,244.58
09/06/2016,18:00:00,239.17
09/06/2016,19:00:00,186.46
09/06/2016,20:00:00,124.18
09/06/2016,21:00:00,90.15
09/06/2016,22:00:00,50.88
09/06/2016,23:00:00,167.38
10/06/2016,00:00:00,130.26
10/06/2016,01:00:00,156.51
10/06/2016,02:00:00,139.07
10/06/2016,03:00:00,150.63
10/06/2016,04:00:00,150.06
10/06/2016,05:00:00,145.01
10/06/2016,06:00:00,150.61
10/06/2016,07:00:00,144.29
10/06/2016,08:00:00,147.26
10/06/2016,09:00:00,149.90
10/06/2016,10:00:00,160.50
10/06/2016,11:00:00,290.31
10/06/2016,13:00:00,117.46
10/06/2016,14:00:00,231.01
10/06/2016,15:00:00,168.30
10/06/2016,16:00:00,45.17
10/06/2016,17:00:00,157.03
10/06/2016,18:00:00,182.93
10/06/2016,19:00:00,226.66
10/06/2016,20:00:00,269.39
10/06/2016,21:00:00,270.94
10/06/2016,22:00:00,290.33
10/06/2016,23:00:00,37.25
11/06/2016,00:00:00,50.38
11/06/2016,01:00:00,185.58
11/06/2016,02:00:00,231.91
11/06/2016,03:00:00,235.69
11/06/2016,04:00:00,233.84
11/06/2016,05:00:00,153.53
11/06/2016,06:00:00,222.23
11/06/2016,07:00:00,165.93
11/06/2016,08:00:00,246.66
11/06/2016,09:00:00,282.87
11/06/2016,10:00:00,202.50
11/06/2016,11:00:00,69.76
11/06/2016,12:00:00,324.34
11/06/2016,13:00:00,252.31
11/06/2016,16:00:00,358.18
11/06/2016,17:00:00,24.53
11/06/2016,18:00:00,256.89
11/06/2016,19:00:00,290.12
11/06/2016,20:00:00,231.34
11/06/2016,21:00:00,109.10
11/06/2016,22:00:00,312.30
11/06/2016,23:00:00,232.41
12/06/2016,00:00:00,241.78
12/06/2016,01:00:00,243.24
12/06/2016,02:00:00,227.92
12/06/2016,03:00:00,251.81
12/06/2016,04:00:00,277.40
12/06/2016,05:00:00,301.69
12/06/2016,06:00:00,300.59
12/06/2016,07:00:00,295.44
12/06/2016,08:00:00,291.92
12/06/2016,09:00:00,326.42
12/06/2016,10:00:00,181.38
12/06/2016,11:00:00,24.89
12/06/2016,12:00:00,32.71
12/06/2016,13:00:00,30.73
12/06/2016,14:00:00,211.44
12/06/2016,15:00:00,306.31
12/06/2016,16:00:00,312.60
12/06/2016,17:00:00,244.44
12/06/2016,18:00:00,323.89
12/06/2016,19:00:00,175.81
12/06/2016,20:00:00,332.80
12/06/2016,21:00:00,325.66
12/06/2016,22:00:00,246.27
12/06/2016,23:00:00,301.20
13/06/2016,00:00:00,302.36
13/06/2016,01:00:00,324.44
13/06/2016,02:00:00,318.99
13/06/2016,03:00:00,323.96
13/06/2016,04:00:00,210.58
13/06/2016,05:00:00,175.33
13/06/2016,06:00:00,170.98
13/06/2016,07:00:00,212.27
13/06/2016,08:00:00,228.38
13/06/2016,09:00:00,276.85
13/06/2016,10:00:00,290.61
13/06/2016,11:00:00,294.16
13/06/2016,12:00:00,286.43
13/06/2016,13:00:00,303.09
13/06/2016,14:00:00,298.91
13/06/2016,15:00:00,291.69
13/06/2016,16:00:00,287.25
13/06/2016,17:00:00,287.68
13/06/2016,18:00:00,291.56
13/06/2016,19:00:00,173.11
13/06/2016,20:00:00,260.86
13/06/2016,21:00:00,274.72
13/06/2016,22:00:00,206.66
13/06/2016,23:00:00,189.25
14/06/2016,00:00:00,227.81
14/06/2016,01:00:00,220.13
14/06/2016,02:00:00,260.98
14/06/2016,03:00:00,287.07
14/06/2016,04:00:00,292.63
14/06/2016,05:00:00,290.56
14/06/2016,06:00:00,290.43
14/06/2016,07:00:00,295.96
14/06/2016,08:00:00,297.00
14/06/2016,09:00:00,315.90
14/06/2016,10:00:00,167.72
14/06/2016,11:00:00,180.44
14/06/2016,12:00:00,292.64
14/06/2016,13:00:00,280.58
14/06/2016,14:00:00,289.65
14/06/2016,15:00:00,290.13
14/06/2016,16:00:00,285.67
14/06/2016,17:00:00,284.45
15/06/2016,13:00:00,65.47
15/06/2016,14:00:00,78.27
15/06/2016,15:00:00,46.72
15/06/2016,16:00:00,40.62
15/06/2016,17:00:00,113.06
15/06/2016,18:00:00,62.47
15/06/2016,19:00:00,125.90
15/06/2016,20:00:00,140.57
15/06/2016,21:00:00,158.02
15/06/2016,22:00:00,169.66
15/06/2016,23:00:00,170.07
16/06/2016,00:00:00,172.19
16/06/2016,01:00:00,184.60
16/06/2016,02:00:00,162.06
16/06/2016,03:00:00,172.74
16/06/2016,04:00:00,145.56
16/06/2016,05:00:00,147.39
16/06/2016,06:00:00,101.23
16/06/2016,07:00:00,97.96
16/06/2016,08:00:00,114.11
16/06/2016,09:00:00,84.82
16/06/2016,10:00:00,101.76
16/06/2016,12:00:00,175.68
16/06/2016,13:00:00,166.30
16/06/2016,14:00:00,170.39
16/06/2016,15:00:00,166.38
16/06/2016,16:00:00,145.95
16/06/2016,17:00:00,154.76
16/06/2016,18:00:00,145.52
16/06/2016,19:00:00,158.77
16/06/2016,20:00:00,148.36
16/06/2016,21:00:00,150.29
16/06/2016,22:00:00,145.45
16/06/2016,23:00:00,141.68
17/06/2016,00:00:00,142.90
17/06/2016,01:00:00,106.73
17/06/2016,02:00:00,87.71
17/06/2016,03:00:00,105.04
17/06/2016,04:00:00,151.81
17/06/2016,05:00:00,137.84
17/06/2016,06:00:00,150.97
17/06/2016,07:00:00,148.01
17/06/2016,08:00:00,149.20
17/06/2016,09:00:00,142.71
17/06/2016,10:00:00,146.76
17/06/2016,11:00:00,150.09
17/06/2016,12:00:00,138.91
17/06/2016,13:00:00,142.70
17/06/2016,14:00:00,140.78
17/06/2016,15:00:00,103.06
17/06/2016,16:00:00,125.75
17/06/2016,17:00:00,123.22
17/06/2016,18:00:00,233.28
