Date,Time,Values
24/05/2016,14:00:00,1.32
24/05/2016,15:00:00,1.16
24/05/2016,16:00:00,0.80
24/05/2016,17:00:00,0.76
25/05/2016,09:00:00,0.37
25/05/2016,10:00:00,0.67
25/05/2016,11:00:00,1.07
25/05/2016,12:00:00,1.45
25/05/2016,13:00:00,1.17
25/05/2016,14:00:00,1.29
25/05/2016,15:00:00,1.13
25/05/2016,16:00:00,1.91
25/05/2016,17:00:00,2.11
25/05/2016,18:00:00,0.97
25/05/2016,19:00:00,0.84
25/05/2016,20:00:00,0.90
25/05/2016,21:00:00,0.52
25/05/2016,22:00:00,1.42
25/05/2016,23:00:00,0.73
26/05/2016,00:00:00,0.94
26/05/2016,01:00:00,0.90
26/05/2016,02:00:00,0.72
26/05/2016,03:00:00,0.38
26/05/2016,04:00:00,0.47
26/05/2016,05:00:00,0.50
26/05/2016,06:00:00,0.41
26/05/2016,07:00:00,0.42
26/05/2016,08:00:00,0.66
26/05/2016,09:00:00,0.84
26/05/2016,10:00:00,0.81
26/05/2016,11:00:00,1.16
26/05/2016,12:00:00,1.16
26/05/2016,13:00:00,1.37
26/05/2016,14:00:00,1.78
26/05/2016,15:00:00,1.37
26/05/2016,16:00:00,1.70
26/05/2016,17:00:00,1.54
26/05/2016,18:00:00,0.67
26/05/2016,19:00:00,0.20
26/05/2016,20:00:00,0.39
26/05/2016,21:00:00,0.42
26/05/2016,22:00:00,0.31
26/05/2016,23:00:00,0.32
27/05/2016,00:00:00,0.35
27/05/2016,01:00:00,0.29
27/05/2016,02:00:00,0.37
27/05/2016,03:00:00,0.73
27/05/2016,04:00:00,1.45
27/05/2016,05:00:00,0.82
27/05/2016,06:00:00,1.11
27/05/2016,07:00:00,1.08
27/05/2016,08:00:00,0.72
27/05/2016,09:00:00,1.52
27/05/2016,10:00:00,0.99
27/05/2016,11:00:00,0.90
27/05/2016,12:00:00,1.09
27/05/2016,13:00:00,1.17
27/05/2016,14:00:00,1.54
27/05/2016,15:00:00,1.63
27/05/2016,16:00:00,1.94
27/05/2016,17:00:00,1.73
27/05/2016,18:00:00,1.26
27/05/2016,19:00:00,0.79
27/05/2016,20:00:00,0.67
27/05/2016,21:00:00,0.55
27/05/2016,22:00:00,0.71
27/05/2016,23:00:00,0.63
28/05/2016,00:00:00,1.04
28/05/2016,01:00:00,0.96
28/05/2016,02:00:00,0.87
28/05/2016,03:00:00,0.77
28/05/2016,04:00:00,0.48
28/05/2016,05:00:00,0.46
28/05/2016,06:00:00,0.65
28/05/2016,07:00:00,1.18
28/05/2016,08:00:00,1.98
28/05/2016,09:00:00,2.59
28/05/2016,10:00:00,2.21
28/05/2016,11:00:00,1.89
28/05/2016,12:00:00,2.07
28/05/2016,13:00:00,1.32
28/05/2016,14:00:00,1.56
28/05/2016,15:00:00,1.38
28/05/2016,16:00:00,1.73
28/05/2016,17:00:00,1.81
28/05/2016,18:00:00,1.24
28/05/2016,19:00:00,0.63
28/05/2016,20:00:00,0.55
28/05/2016,21:00:00,2.38
28/05/2016,22:00:00,3.17
28/05/2016,23:00:00,2.27
29/05/2016,00:00:00,3.52
29/05/2016,01:00:00,1.23
29/05/2016,02:00:00,1.18
29/05/2016,03:00:00,1.42
29/05/2016,04:00:00,1.50
29/05/2016,05:00:00,1.35
29/05/2016,06:00:00,1.43
29/05/2016,07:00:00,1.01
29/05/2016,08:00:00,1.26
29/05/2016,09:00:00,1.99
29/05/2016,10:00:00,1.98
29/05/2016,11:00:00,1.93
29/05/2016,12:00:00,1.99
29/05/2016,13:00:00,1.90
29/05/2016,14:00:00,1.87
29/05/2016,15:00:00,1.57
29/05/2016,16:00:00,1.65
29/05/2016,17:00:00,1.74
29/05/2016,18:00:00,1.62
29/05/2016,19:00:00,1.57
29/05/2016,20:00:00,2.33
29/05/2016,21:00:00,1.72
29/05/2016,22:00:00,6.03
29/05/2016,23:00:00,1.43
30/05/2016,00:00:00,1.47
30/05/2016,01:00:00,2.55
30/05/2016,02:00:00,2.02
30/05/2016,03:00:00,0.99
30/05/2016,04:00:00,1.07
30/05/2016,05:00:00,1.14
30/05/2016,06:00:00,2.25
30/05/2016,07:00:00,1.32
30/05/2016,08:00:00,1.04
30/05/2016,09:00:00,2.09
30/05/2016,10:00:00,1.45
30/05/2016,11:00:00,2.27
30/05/2016,12:00:00,1.22
30/05/2016,13:00:00,2.44
30/05/2016,14:00:00,2.19
30/05/2016,15:00:00,2.07
30/05/2016,16:00:00,1.71
30/05/2016,17:00:00,1.06
30/05/2016,18:00:00,1.18
30/05/2016,19:00:00,1.02
30/05/2016,20:00:00,0.78
30/05/2016,21:00:00,0.45
30/05/2016,22:00:00,0.86
30/05/2016,23:00:00,0.21
31/05/2016,00:00:00,0.37
31/05/2016,06:00:00,0.62
31/05/2016,07:00:00,0.54
31/05/2016,08:00:00,0.65
31/05/2016,09:00:00,0.57
31/05/2016,10:00:00,0.97
31/05/2016,11:00:00,1.04
31/05/2016,12:00:00,0.91
31/05/2016,13:00:00,1.25
31/05/2016,14:00:00,0.76
31/05/2016,15:00:00,0.80
31/05/2016,16:00:00,1.12
31/05/2016,17:00:00,0.37
31/05/2016,18:00:00,2.05
31/05/2016,19:00:00,1.76
31/05/2016,20:00:00,1.61
31/05/2016,21:00:00,1.90
31/05/2016,22:00:00,1.86
31/05/2016,23:00:00,1.17
01/06/2016,00:00:00,0.97
01/06/2016,01:00:00,0.90
01/06/2016,02:00:00,0.74
01/06/2016,03:00:00,0.57
01/06/2016,04:00:00,0.44
01/06/2016,05:00:00,0.47
01/06/2016,06:00:00,0.22
01/06/2016,07:00:00,0.51
01/06/2016,08:00:00,0.50
01/06/2016,09:00:00,0.46
01/06/2016,10:00:00,0.94
01/06/2016,11:00:00,0.84
01/06/2016,12:00:00,0.68
01/06/2016,13:00:00,0.95
01/06/2016,14:00:00,1.21
01/06/2016,15:00:00,1.31
01/06/2016,16:00:00,1.11
01/06/2016,17:00:00,0.71
01/06/2016,18:00:00,0.35
01/06/2016,19:00:00,0.60
01/06/2016,20:00:00,0.83
01/06/2016,21:00:00,0.53
01/06/2016,22:00:00,0.69
01/06/2016,23:00:00,0.32
02/06/2016,00:00:00,0.36
02/06/2016,01:00:00,0.48
02/06/2016,02:00:00,0.74
02/06/2016,03:00:00,0.83
02/06/2016,04:00:00,0.91
02/06/2016,05:00:00,0.62
02/06/2016,06:00:00,1.02
02/06/2016,07:00:00,0.67
02/06/2016,08:00:00,0.68
02/06/2016,09:00:00,0.75
02/06/2016,10:00:00,0.86
02/06/2016,11:00:00,0.94
02/06/2016,12:00:00,1.16
02/06/2016,13:00:00,1.32
