Date,Time,Values
03/11/2016,13:00:00,11.65
03/11/2016,14:00:00,13.05
03/11/2016,15:00:00,12.00
03/11/2016,16:00:00,13.80
03/11/2016,17:00:00,17.52
03/11/2016,18:00:00,33.90
03/11/2016,19:00:00,55.72
03/11/2016,20:00:00,88.22
03/11/2016,21:00:00,99.90
03/11/2016,22:00:00,109.70
03/11/2016,23:00:00,116.40
04/11/2016,00:00:00,114.88
04/11/2016,01:00:00,110.57
04/11/2016,02:00:00,107.67
04/11/2016,03:00:00,95.70
04/11/2016,04:00:00,80.75
04/11/2016,05:00:00,68.10
04/11/2016,06:00:00,54.20
04/11/2016,07:00:00,45.07
04/11/2016,08:00:00,39.15
04/11/2016,09:00:00,34.50
04/11/2016,10:00:00,28.30
04/11/2016,11:00:00,22.63
04/11/2016,12:00:00,18.25
04/11/2016,13:00:00,12.03
04/11/2016,14:00:00,11.50
04/11/2016,15:00:00,12.30
04/11/2016,16:00:00,15.25
04/11/2016,17:00:00,16.30
04/11/2016,18:00:00,19.63
04/11/2016,19:00:00,33.07
04/11/2016,20:00:00,60.45
04/11/2016,21:00:00,61.90
04/11/2016,22:00:00,61.75
04/11/2016,23:00:00,61.60
05/11/2016,00:00:00,61.13
05/11/2016,01:00:00,57.45
05/11/2016,02:00:00,49.95
05/11/2016,03:00:00,42.45
05/11/2016,04:00:00,36.95
05/11/2016,05:00:00,32.48
05/11/2016,06:00:00,29.00
05/11/2016,07:00:00,28.18
05/11/2016,08:00:00,27.90
05/11/2016,09:00:00,25.80
05/11/2016,10:00:00,21.10
05/11/2016,11:00:00,17.48
05/11/2016,12:00:00,13.80
05/11/2016,13:00:00,13.17
05/11/2016,14:00:00,11.48
05/11/2016,15:00:00,12.23
05/11/2016,16:00:00,14.55
05/11/2016,17:00:00,14.85
05/11/2016,18:00:00,22.98
05/11/2016,19:00:00,41.85
05/11/2016,20:00:00,60.38
05/11/2016,21:00:00,82.17
05/11/2016,22:00:00,79.73
05/11/2016,23:00:00,81.07
06/11/2016,00:00:00,78.63
06/11/2016,01:00:00,75.20
06/11/2016,02:00:00,71.22
06/11/2016,03:00:00,63.00
06/11/2016,04:00:00,54.40
06/11/2016,05:00:00,47.92
06/11/2016,06:00:00,43.83
06/11/2016,07:00:00,41.95
06/11/2016,08:00:00,44.13
06/11/2016,09:00:00,39.15
06/11/2016,10:00:00,33.00
06/11/2016,11:00:00,27.67
06/11/2016,12:00:00,23.70
06/11/2016,13:00:00,18.30
06/11/2016,14:00:00,11.93
06/11/2016,15:00:00,11.47
06/11/2016,16:00:00,13.15
06/11/2016,17:00:00,16.68
06/11/2016,18:00:00,27.10
06/11/2016,19:00:00,40.67
06/11/2016,20:00:00,55.03
06/11/2016,21:00:00,66.70
06/11/2016,22:00:00,79.17
06/11/2016,23:00:00,87.60
06/11/2016,00:00:00,78.63
06/11/2016,01:00:00,75.20
06/11/2016,02:00:00,71.22
06/11/2016,03:00:00,63.00
06/11/2016,04:00:00,54.40
06/11/2016,05:00:00,47.92
06/11/2016,06:00:00,43.83
06/11/2016,07:00:00,41.95
06/11/2016,08:00:00,44.13
06/11/2016,09:00:00,39.15
06/11/2016,10:00:00,33.00
06/11/2016,11:00:00,27.67
06/11/2016,12:00:00,23.70
06/11/2016,13:00:00,18.30
06/11/2016,14:00:00,11.93
06/11/2016,15:00:00,11.47
06/11/2016,16:00:00,13.15
06/11/2016,17:00:00,16.68
06/11/2016,18:00:00,27.10
06/11/2016,19:00:00,40.67
06/11/2016,20:00:00,55.03
06/11/2016,21:00:00,66.70
06/11/2016,22:00:00,79.17
06/11/2016,23:00:00,87.60
07/11/2016,00:00:00,90.57
07/11/2016,01:00:00,90.53
07/11/2016,02:00:00,79.50
07/11/2016,03:00:00,68.75
07/11/2016,04:00:00,58.35
07/11/2016,05:00:00,51.52
07/11/2016,06:00:00,46.47
07/11/2016,07:00:00,42.70
07/11/2016,08:00:00,37.90
07/11/2016,09:00:00,32.57
07/11/2016,10:00:00,26.30
07/11/2016,11:00:00,20.37
07/11/2016,12:00:00,12.85
07/11/2016,13:00:00,10.38
07/11/2016,14:00:00,9.13
07/11/2016,15:00:00,9.10
07/11/2016,16:00:00,13.23
07/11/2016,17:00:00,13.88
07/11/2016,18:00:00,22.17
07/11/2016,19:00:00,26.80
07/11/2016,20:00:00,30.57
07/11/2016,21:00:00,30.07
07/11/2016,22:00:00,29.45
07/11/2016,23:00:00,26.00
08/11/2016,00:00:00,22.10
08/11/2016,01:00:00,18.80
08/11/2016,02:00:00,14.93
08/11/2016,03:00:00,12.13
08/11/2016,04:00:00,9.88
08/11/2016,05:00:00,9.68
08/11/2016,06:00:00,9.38
08/11/2016,07:00:00,10.17
08/11/2016,08:00:00,9.80
08/11/2016,09:00:00,9.30
08/11/2016,10:00:00,8.47
08/11/2016,11:00:00,7.58
08/11/2016,12:00:00,6.75
08/11/2016,13:00:00,6.63
08/11/2016,14:00:00,8.28
08/11/2016,15:00:00,8.73
08/11/2016,16:00:00,11.38
08/11/2016,17:00:00,13.13
08/11/2016,18:00:00,22.03
08/11/2016,19:00:00,30.00
08/11/2016,20:00:00,33.73
08/11/2016,21:00:00,36.48
08/11/2016,22:00:00,38.20
08/11/2016,23:00:00,38.20
09/11/2016,00:00:00,36.57
09/11/2016,01:00:00,35.20
09/11/2016,02:00:00,35.27
09/11/2016,03:00:00,32.33
09/11/2016,04:00:00,26.55
09/11/2016,05:00:00,22.13
09/11/2016,06:00:00,19.50
09/11/2016,07:00:00,18.23
09/11/2016,08:00:00,17.23
09/11/2016,09:00:00,14.88
09/11/2016,10:00:00,13.38
09/11/2016,11:00:00,11.17
09/11/2016,12:00:00,10.05
09/11/2016,13:00:00,8.72
09/11/2016,14:00:00,7.97
09/11/2016,15:00:00,8.00
09/11/2016,16:00:00,10.20
09/11/2016,17:00:00,13.45
09/11/2016,18:00:00,21.02
09/11/2016,19:00:00,38.33
09/11/2016,20:00:00,47.10
09/11/2016,21:00:00,52.40
09/11/2016,22:00:00,57.33
09/11/2016,23:00:00,61.98
10/11/2016,00:00:00,62.50
10/11/2016,01:00:00,62.20
10/11/2016,02:00:00,66.28
10/11/2016,03:00:00,64.95
10/11/2016,04:00:00,52.80
10/11/2016,05:00:00,43.02
10/11/2016,06:00:00,35.67
10/11/2016,07:00:00,31.70
10/11/2016,08:00:00,30.83
10/11/2016,09:00:00,27.53
10/11/2016,10:00:00,24.40
10/11/2016,11:00:00,19.37
10/11/2016,12:00:00,15.77
10/11/2016,13:00:00,14.02
10/11/2016,14:00:00,14.67
10/11/2016,15:00:00,16.00
10/11/2016,16:00:00,17.03
10/11/2016,17:00:00,27.43
10/11/2016,18:00:00,32.23
10/11/2016,19:00:00,47.40
10/11/2016,20:00:00,82.63
10/11/2016,21:00:00,107.60
10/11/2016,22:00:00,120.97
10/11/2016,23:00:00,128.68
11/11/2016,00:00:00,124.88
11/11/2016,01:00:00,113.50
11/11/2016,02:00:00,98.13
11/11/2016,03:00:00,88.50
11/11/2016,04:00:00,79.70
11/11/2016,05:00:00,77.40
11/11/2016,06:00:00,74.05
11/11/2016,07:00:00,73.10
11/11/2016,08:00:00,72.22
11/11/2016,09:00:00,56.55
11/11/2016,10:00:00,37.27
11/11/2016,11:00:00,20.97
11/11/2016,12:00:00,15.68
11/11/2016,13:00:00,11.13
11/11/2016,14:00:00,9.53
11/11/2016,15:00:00,11.02
11/11/2016,16:00:00,13.30
11/11/2016,17:00:00,24.25
11/11/2016,18:00:00,32.55
11/11/2016,19:00:00,47.95
11/11/2016,20:00:00,63.75
11/11/2016,21:00:00,76.53
11/11/2016,22:00:00,93.13
11/11/2016,23:00:00,111.90
12/11/2016,00:00:00,116.30
12/11/2016,01:00:00,107.47
12/11/2016,02:00:00,93.45
12/11/2016,03:00:00,75.90
12/11/2016,04:00:00,76.92
12/11/2016,05:00:00,73.20
12/11/2016,06:00:00,68.08
12/11/2016,07:00:00,63.83
12/11/2016,08:00:00,56.65
12/11/2016,09:00:00,38.75
12/11/2016,10:00:00,27.25
12/11/2016,11:00:00,20.67
12/11/2016,12:00:00,12.47
12/11/2016,13:00:00,9.60
12/11/2016,14:00:00,9.33
12/11/2016,15:00:00,10.75
12/11/2016,16:00:00,15.60
12/11/2016,17:00:00,20.10
12/11/2016,18:00:00,29.93
12/11/2016,19:00:00,34.87
12/11/2016,20:00:00,40.18
12/11/2016,21:00:00,43.47
12/11/2016,22:00:00,41.65
12/11/2016,23:00:00,39.53
13/11/2016,00:00:00,36.83
13/11/2016,01:00:00,34.20
13/11/2016,02:00:00,37.00
13/11/2016,03:00:00,36.48
13/11/2016,04:00:00,31.60
13/11/2016,05:00:00,25.75
13/11/2016,06:00:00,23.68
13/11/2016,07:00:00,26.60
13/11/2016,08:00:00,29.17
13/11/2016,09:00:00,26.82
13/11/2016,10:00:00,19.45
13/11/2016,11:00:00,12.75
13/11/2016,12:00:00,9.75
13/11/2016,13:00:00,7.72
13/11/2016,14:00:00,7.45
13/11/2016,15:00:00,11.88
13/11/2016,16:00:00,13.60
13/11/2016,17:00:00,17.22
13/11/2016,18:00:00,25.60
13/11/2016,19:00:00,31.42
13/11/2016,20:00:00,43.50
13/11/2016,21:00:00,54.97
13/11/2016,22:00:00,62.18
13/11/2016,23:00:00,65.35
14/11/2016,00:00:00,59.40
14/11/2016,01:00:00,57.93
14/11/2016,02:00:00,53.83
14/11/2016,03:00:00,46.20
14/11/2016,04:00:00,41.05
14/11/2016,05:00:00,39.07
14/11/2016,06:00:00,40.13
14/11/2016,07:00:00,41.67
14/11/2016,08:00:00,44.30
14/11/2016,09:00:00,43.43
14/11/2016,10:00:00,39.25
14/11/2016,11:00:00,28.50
14/11/2016,12:00:00,22.05
14/11/2016,13:00:00,17.63
14/11/2016,14:00:00,16.00
14/11/2016,15:00:00,15.07
14/11/2016,16:00:00,17.30
14/11/2016,17:00:00,20.93
14/11/2016,18:00:00,23.10
14/11/2016,19:00:00,29.87
14/11/2016,20:00:00,45.60
14/11/2016,21:00:00,57.55
14/11/2016,22:00:00,70.75
14/11/2016,23:00:00,80.82
15/11/2016,00:00:00,82.05
15/11/2016,01:00:00,74.88
15/11/2016,02:00:00,65.75
15/11/2016,03:00:00,59.22
15/11/2016,04:00:00,51.78
15/11/2016,05:00:00,47.00
15/11/2016,06:00:00,37.80
15/11/2016,07:00:00,35.70
15/11/2016,08:00:00,40.70
15/11/2016,09:00:00,39.70
15/11/2016,10:00:00,34.90
15/11/2016,11:00:00,29.43
15/11/2016,12:00:00,24.87
15/11/2016,13:00:00,18.83
15/11/2016,14:00:00,15.75
15/11/2016,15:00:00,13.30
15/11/2016,16:00:00,14.78
15/11/2016,17:00:00,16.07
15/11/2016,18:00:00,21.52
15/11/2016,19:00:00,33.80
15/11/2016,20:00:00,45.93
15/11/2016,21:00:00,51.35
15/11/2016,22:00:00,67.50
15/11/2016,23:00:00,75.53
16/11/2016,00:00:00,82.05
16/11/2016,01:00:00,81.45
16/11/2016,02:00:00,76.25
16/11/2016,03:00:00,63.80
16/11/2016,04:00:00,54.83
16/11/2016,05:00:00,47.30
16/11/2016,06:00:00,42.80
16/11/2016,07:00:00,41.27
16/11/2016,08:00:00,39.80
16/11/2016,09:00:00,33.57
16/11/2016,10:00:00,26.50
16/11/2016,11:00:00,17.40
16/11/2016,12:00:00,12.17
16/11/2016,13:00:00,10.25
16/11/2016,14:00:00,8.90
16/11/2016,15:00:00,9.32
16/11/2016,16:00:00,11.73
16/11/2016,17:00:00,15.20
16/11/2016,18:00:00,20.38
16/11/2016,19:00:00,31.93
16/11/2016,20:00:00,37.13
16/11/2016,21:00:00,39.78
16/11/2016,22:00:00,41.50
16/11/2016,23:00:00,39.43
17/11/2016,00:00:00,33.80
17/11/2016,01:00:00,29.13
17/11/2016,02:00:00,25.88
17/11/2016,03:00:00,22.00
17/11/2016,04:00:00,18.55
17/11/2016,05:00:00,16.32
17/11/2016,06:00:00,14.15
17/11/2016,07:00:00,14.45
17/11/2016,08:00:00,16.30
17/11/2016,09:00:00,15.73
17/11/2016,10:00:00,13.77
17/11/2016,11:00:00,10.83
17/11/2016,12:00:00,8.30
17/11/2016,13:00:00,6.83
17/11/2016,14:00:00,7.37
17/11/2016,15:00:00,8.60
