Date,Time,Values
01/02/2011,13:00:00,NA
01/02/2011,14:00:00,1.65
01/02/2011,15:00:00,1.80
01/02/2011,16:00:00,1.61
01/02/2011,17:00:00,1.49
01/02/2011,18:00:00,1.57
01/02/2011,19:00:00,2.17
01/02/2011,20:00:00,2.42
01/02/2011,21:00:00,2.67
01/02/2011,22:00:00,2.75
01/02/2011,23:00:00,2.21
02/02/2011,00:00:00,2.42
02/02/2011,01:00:00,2.61
02/02/2011,02:00:00,2.48
02/02/2011,03:00:00,2.03
02/02/2011,04:00:00,1.98
02/02/2011,05:00:00,1.81
02/02/2011,06:00:00,1.69
02/02/2011,07:00:00,1.94
02/02/2011,08:00:00,1.86
02/02/2011,09:00:00,1.74
02/02/2011,10:00:00,1.79
02/02/2011,11:00:00,1.97
02/02/2011,12:00:00,1.85
02/02/2011,13:00:00,1.79
02/02/2011,14:00:00,1.86
02/02/2011,15:00:00,2.14
02/02/2011,16:00:00,1.96
02/02/2011,17:00:00,2.00
02/02/2011,18:00:00,1.96
02/02/2011,19:00:00,1.86
02/02/2011,20:00:00,2.00
02/02/2011,21:00:00,2.42
02/02/2011,22:00:00,2.46
02/02/2011,23:00:00,2.36
03/02/2011,00:00:00,2.77
03/02/2011,01:00:00,2.91
03/02/2011,02:00:00,2.83
03/02/2011,03:00:00,2.03
03/02/2011,04:00:00,1.83
03/02/2011,05:00:00,1.59
03/02/2011,06:00:00,1.60
03/02/2011,07:00:00,2.11
03/02/2011,08:00:00,2.25
03/02/2011,09:00:00,2.19
03/02/2011,10:00:00,2.12
03/02/2011,11:00:00,2.17
03/02/2011,12:00:00,2.03
03/02/2011,13:00:00,1.91
03/02/2011,14:00:00,1.74
03/02/2011,15:00:00,2.08
03/02/2011,16:00:00,2.18
03/02/2011,17:00:00,2.71
03/02/2011,18:00:00,2.46
03/02/2011,19:00:00,2.17
03/02/2011,20:00:00,2.71
03/02/2011,21:00:00,3.50
03/02/2011,22:00:00,3.91
03/02/2011,23:00:00,2.90
04/02/2011,00:00:00,3.96
04/02/2011,01:00:00,4.58
04/02/2011,02:00:00,4.10
04/02/2011,03:00:00,1.89
04/02/2011,04:00:00,1.45
04/02/2011,05:00:00,NA
04/02/2011,06:00:00,NA
04/02/2011,07:00:00,1.55
04/02/2011,08:00:00,1.18
04/02/2011,09:00:00,NA
04/02/2011,10:00:00,1.21
04/02/2011,11:00:00,2.28
04/02/2011,12:00:00,2.23
04/02/2011,13:00:00,2.08
04/02/2011,14:00:00,1.83
04/02/2011,15:00:00,1.82
04/02/2011,16:00:00,1.51
04/02/2011,17:00:00,1.18
04/02/2011,18:00:00,1.21
04/02/2011,19:00:00,2.07
04/02/2011,20:00:00,2.66
04/02/2011,21:00:00,4.06
04/02/2011,22:00:00,4.85
04/02/2011,23:00:00,3.47
05/02/2011,00:00:00,5.56
05/02/2011,01:00:00,7.11
05/02/2011,02:00:00,6.35
05/02/2011,03:00:00,1.94
05/02/2011,04:00:00,1.44
05/02/2011,05:00:00,NA
05/02/2011,06:00:00,NA
05/02/2011,07:00:00,1.28
05/02/2011,08:00:00,NA
05/02/2011,09:00:00,NA
05/02/2011,10:00:00,NA
05/02/2011,11:00:00,1.51
05/02/2011,12:00:00,NA
05/02/2011,13:00:00,NA
05/02/2011,14:00:00,NA
05/02/2011,15:00:00,1.75
05/02/2011,16:00:00,1.34
05/02/2011,17:00:00,NA
05/02/2011,18:00:00,NA
05/02/2011,19:00:00,1.88
05/02/2011,20:00:00,1.85
