Date,Time,Values
01/02/2011,13:00:00,28.25
01/02/2011,14:00:00,28.00
01/02/2011,15:00:00,27.50
01/02/2011,16:00:00,29.75
01/02/2011,17:00:00,24.00
01/02/2011,18:00:00,8.00
01/02/2011,19:00:00,4.00
01/02/2011,20:00:00,4.00
01/02/2011,21:00:00,4.00
01/02/2011,22:00:00,4.00
01/02/2011,23:00:00,4.00
02/02/2011,00:00:00,4.00
02/02/2011,01:00:00,4.00
02/02/2011,02:00:00,4.00
02/02/2011,03:00:00,4.00
02/02/2011,04:00:00,4.00
02/02/2011,05:00:00,4.00
02/02/2011,06:00:00,4.00
02/02/2011,07:00:00,4.00
02/02/2011,08:00:00,4.00
02/02/2011,09:00:00,4.75
02/02/2011,10:00:00,11.00
02/02/2011,11:00:00,16.75
02/02/2011,12:00:00,21.75
02/02/2011,13:00:00,23.00
02/02/2011,14:00:00,26.75
02/02/2011,15:00:00,25.25
02/02/2011,16:00:00,22.50
02/02/2011,17:00:00,17.25
02/02/2011,18:00:00,4.25
02/02/2011,19:00:00,4.00
02/02/2011,20:00:00,4.00
02/02/2011,21:00:00,4.00
02/02/2011,22:00:00,4.00
02/02/2011,23:00:00,4.00
03/02/2011,00:00:00,4.00
03/02/2011,01:00:00,4.00
03/02/2011,02:00:00,4.00
03/02/2011,03:00:00,4.00
03/02/2011,04:00:00,4.00
03/02/2011,05:00:00,4.00
03/02/2011,06:00:00,4.00
03/02/2011,07:00:00,4.25
03/02/2011,08:00:00,4.00
03/02/2011,09:00:00,4.00
03/02/2011,10:00:00,4.00
03/02/2011,11:00:00,5.50
03/02/2011,12:00:00,13.00
03/02/2011,13:00:00,25.75
03/02/2011,14:00:00,26.75
03/02/2011,15:00:00,20.75
03/02/2011,16:00:00,18.00
03/02/2011,17:00:00,13.75
03/02/2011,18:00:00,4.00
03/02/2011,19:00:00,4.00
03/02/2011,20:00:00,4.00
03/02/2011,21:00:00,4.00
03/02/2011,22:00:00,4.00
03/02/2011,23:00:00,4.00
04/02/2011,00:00:00,4.00
04/02/2011,01:00:00,4.00
