Date,Time,Values
03/11/2016,13:00:00,245.20
03/11/2016,14:00:00,147.65
03/11/2016,15:00:00,101.17
03/11/2016,16:00:00,103.60
03/11/2016,17:00:00,131.28
03/11/2016,18:00:00,181.32
03/11/2016,19:00:00,217.40
03/11/2016,20:00:00,191.52
03/11/2016,21:00:00,262.48
03/11/2016,22:00:00,243.43
03/11/2016,23:00:00,242.10
04/11/2016,00:00:00,317.40
04/11/2016,04:00:00,239.00
04/11/2016,05:00:00,246.17
04/11/2016,06:00:00,274.35
04/11/2016,07:00:00,309.00
04/11/2016,08:00:00,341.80
04/11/2016,09:00:00,381.50
04/11/2016,10:00:00,412.20
04/11/2016,11:00:00,306.93
04/11/2016,12:00:00,253.50
04/11/2016,13:00:00,232.93
04/11/2016,14:00:00,166.43
04/11/2016,15:00:00,219.07
04/11/2016,16:00:00,206.80
04/11/2016,17:00:00,237.88
04/11/2016,18:00:00,397.35
04/11/2016,19:00:00,395.07
04/11/2016,20:00:00,432.13
04/11/2016,21:00:00,487.70
04/11/2016,22:00:00,468.95
04/11/2016,23:00:00,527.20
05/11/2016,00:00:00,527.20
05/11/2016,15:00:00,557.70
05/11/2016,16:00:00,557.02
05/11/2016,17:00:00,557.00
06/11/2016,09:00:00,867.80
06/11/2016,10:00:00,944.60
06/11/2016,11:00:00,940.73
06/11/2016,12:00:00,997.45
06/11/2016,13:00:00,"1,000.00"
06/11/2016,14:00:00,555.60
06/11/2016,15:00:00,288.73
06/11/2016,16:00:00,335.82
06/11/2016,17:00:00,445.68
06/11/2016,18:00:00,787.02
06/11/2016,19:00:00,991.48
06/11/2016,20:00:00,"1,000.00"
06/11/2016,21:00:00,"1,000.00"
06/11/2016,22:00:00,959.45
06/11/2016,23:00:00,900.47
06/11/2016,09:00:00,867.80
06/11/2016,10:00:00,944.60
06/11/2016,11:00:00,940.73
06/11/2016,12:00:00,997.45
06/11/2016,13:00:00,"1,000.00"
06/11/2016,14:00:00,555.60
06/11/2016,15:00:00,288.73
06/11/2016,16:00:00,335.82
06/11/2016,17:00:00,445.68
06/11/2016,18:00:00,787.02
06/11/2016,19:00:00,991.48
06/11/2016,20:00:00,"1,000.00"
06/11/2016,21:00:00,"1,000.00"
06/11/2016,22:00:00,959.45
06/11/2016,23:00:00,900.47
07/11/2016,00:00:00,932.50
07/11/2016,01:00:00,906.20
07/11/2016,02:00:00,895.40
07/11/2016,03:00:00,849.50
07/11/2016,04:00:00,794.67
07/11/2016,05:00:00,759.10
07/11/2016,06:00:00,774.50
07/11/2016,07:00:00,757.18
07/11/2016,08:00:00,579.05
07/11/2016,09:00:00,505.88
07/11/2016,10:00:00,600.70
07/11/2016,11:00:00,583.77
07/11/2016,12:00:00,"1,000.00"
07/11/2016,13:00:00,333.05
07/11/2016,14:00:00,266.82
07/11/2016,15:00:00,241.75
07/11/2016,16:00:00,167.10
07/11/2016,17:00:00,179.45
07/11/2016,18:00:00,157.22
07/11/2016,19:00:00,196.33
07/11/2016,20:00:00,182.15
07/11/2016,21:00:00,230.28
07/11/2016,22:00:00,321.10
07/11/2016,23:00:00,429.60
08/11/2016,00:00:00,560.60
08/11/2016,01:00:00,546.60
08/11/2016,02:00:00,515.83
08/11/2016,03:00:00,547.13
08/11/2016,04:00:00,549.65
08/11/2016,05:00:00,560.32
08/11/2016,06:00:00,495.20
08/11/2016,07:00:00,457.55
08/11/2016,08:00:00,456.95
08/11/2016,09:00:00,448.38
08/11/2016,10:00:00,406.77
08/11/2016,11:00:00,344.75
08/11/2016,12:00:00,296.75
08/11/2016,13:00:00,239.03
08/11/2016,14:00:00,222.72
08/11/2016,15:00:00,188.32
08/11/2016,16:00:00,190.63
08/11/2016,17:00:00,208.78
08/11/2016,18:00:00,201.03
08/11/2016,19:00:00,185.33
08/11/2016,20:00:00,215.77
08/11/2016,21:00:00,217.30
08/11/2016,22:00:00,253.72
08/11/2016,23:00:00,299.23
09/11/2016,00:00:00,327.20
09/11/2016,01:00:00,387.85
09/11/2016,02:00:00,406.50
09/11/2016,03:00:00,398.70
09/11/2016,04:00:00,374.48
09/11/2016,05:00:00,326.45
09/11/2016,06:00:00,298.00
09/11/2016,07:00:00,290.73
09/11/2016,08:00:00,286.07
