Date,Time,Values
03/11/2016,13:00:00,29.30
03/11/2016,14:00:00,28.27
03/11/2016,15:00:00,30.85
03/11/2016,16:00:00,48.23
03/11/2016,17:00:00,57.10
03/11/2016,18:00:00,64.45
03/11/2016,19:00:00,70.97
03/11/2016,20:00:00,76.38
03/11/2016,21:00:00,80.73
03/11/2016,22:00:00,83.73
03/11/2016,23:00:00,84.83
04/11/2016,00:00:00,83.15
04/11/2016,01:00:00,86.73
04/11/2016,02:00:00,84.77
04/11/2016,03:00:00,82.73
04/11/2016,04:00:00,83.97
04/11/2016,05:00:00,86.67
04/11/2016,06:00:00,79.17
04/11/2016,07:00:00,74.40
04/11/2016,08:00:00,64.80
04/11/2016,09:00:00,56.33
04/11/2016,10:00:00,43.87
04/11/2016,11:00:00,36.43
04/11/2016,12:00:00,32.95
04/11/2016,13:00:00,25.35
04/11/2016,14:00:00,26.28
04/11/2016,15:00:00,29.73
04/11/2016,16:00:00,38.13
04/11/2016,17:00:00,57.00
04/11/2016,18:00:00,68.10
04/11/2016,19:00:00,74.43
04/11/2016,20:00:00,77.88
04/11/2016,21:00:00,80.85
04/11/2016,22:00:00,79.00
04/11/2016,23:00:00,81.33
05/11/2016,00:00:00,80.60
05/11/2016,01:00:00,78.90
05/11/2016,02:00:00,82.00
05/11/2016,03:00:00,83.60
05/11/2016,04:00:00,82.30
05/11/2016,05:00:00,82.10
05/11/2016,06:00:00,85.30
05/11/2016,07:00:00,84.08
05/11/2016,08:00:00,74.88
05/11/2016,09:00:00,67.80
05/11/2016,10:00:00,57.23
05/11/2016,11:00:00,52.73
05/11/2016,12:00:00,45.30
05/11/2016,13:00:00,40.43
05/11/2016,14:00:00,39.03
05/11/2016,15:00:00,39.77
05/11/2016,16:00:00,51.25
05/11/2016,17:00:00,61.40
05/11/2016,18:00:00,71.78
05/11/2016,19:00:00,77.78
05/11/2016,20:00:00,82.85
05/11/2016,21:00:00,83.25
05/11/2016,22:00:00,84.67
05/11/2016,23:00:00,86.47
06/11/2016,00:00:00,88.37
06/11/2016,01:00:00,89.97
06/11/2016,02:00:00,87.55
06/11/2016,03:00:00,90.72
06/11/2016,04:00:00,92.70
06/11/2016,05:00:00,93.75
06/11/2016,06:00:00,94.10
06/11/2016,07:00:00,92.10
06/11/2016,08:00:00,81.70
06/11/2016,09:00:00,68.65
06/11/2016,10:00:00,61.53
06/11/2016,11:00:00,52.10
06/11/2016,12:00:00,45.42
06/11/2016,13:00:00,36.55
06/11/2016,14:00:00,25.80
06/11/2016,15:00:00,28.57
06/11/2016,16:00:00,45.30
06/11/2016,17:00:00,65.20
06/11/2016,18:00:00,76.73
06/11/2016,19:00:00,81.60
06/11/2016,20:00:00,84.73
06/11/2016,21:00:00,87.60
06/11/2016,22:00:00,89.00
06/11/2016,23:00:00,85.23
06/11/2016,00:00:00,88.37
06/11/2016,01:00:00,89.97
06/11/2016,02:00:00,87.55
06/11/2016,03:00:00,90.72
06/11/2016,04:00:00,92.70
06/11/2016,05:00:00,93.75
06/11/2016,06:00:00,94.10
06/11/2016,07:00:00,92.10
06/11/2016,08:00:00,81.70
06/11/2016,09:00:00,68.65
06/11/2016,10:00:00,61.53
06/11/2016,11:00:00,52.10
06/11/2016,12:00:00,45.42
06/11/2016,13:00:00,36.55
06/11/2016,14:00:00,25.80
06/11/2016,15:00:00,28.57
06/11/2016,16:00:00,45.30
06/11/2016,17:00:00,65.20
06/11/2016,18:00:00,76.73
06/11/2016,19:00:00,81.60
06/11/2016,20:00:00,84.73
06/11/2016,21:00:00,87.60
06/11/2016,22:00:00,89.00
06/11/2016,23:00:00,85.23
07/11/2016,00:00:00,86.80
07/11/2016,01:00:00,86.77
07/11/2016,02:00:00,89.77
07/11/2016,03:00:00,90.73
07/11/2016,04:00:00,90.63
07/11/2016,05:00:00,89.05
07/11/2016,06:00:00,86.87
07/11/2016,07:00:00,72.10
