Date,Time,Values
01/02/2011,13:00:00,16.75
01/02/2011,14:00:00,16.0
01/02/2011,15:00:00,16.75
01/02/2011,16:00:00,18.75
01/02/2011,17:00:00,20.75
01/02/2011,18:00:00,21.75
01/02/2011,19:00:00,23.25
01/02/2011,20:00:00,21.5
01/02/2011,21:00:00,27.0
01/02/2011,22:00:00,27.0
01/02/2011,23:00:00,27.25
02/02/2011,00:00:00,20.0
02/02/2011,01:00:00,17.0
02/02/2011,02:00:00,14.75
02/02/2011,03:00:00,13.5
02/02/2011,04:00:00,12.75
02/02/2011,05:00:00,12.0
02/02/2011,06:00:00,13.75
02/02/2011,07:00:00,14.25
02/02/2011,08:00:00,16.75
02/02/2011,09:00:00,17.0
02/02/2011,10:00:00,16.25
02/02/2011,11:00:00,16.5
02/02/2011,12:00:00,16.5
02/02/2011,13:00:00,16.0
02/02/2011,14:00:00,16.0
02/02/2011,15:00:00,16.5
02/02/2011,16:00:00,17.0
02/02/2011,17:00:00,18.0
02/02/2011,18:00:00,19.25
02/02/2011,19:00:00,20.0
02/02/2011,20:00:00,20.5
02/02/2011,21:00:00,22.0
02/02/2011,22:00:00,22.75
02/02/2011,23:00:00,23.0
03/02/2011,00:00:00,18.75
03/02/2011,01:00:00,16.5
03/02/2011,02:00:00,16.5
03/02/2011,03:00:00,16.0
03/02/2011,04:00:00,14.5
03/02/2011,05:00:00,14.25
03/02/2011,06:00:00,13.75
03/02/2011,07:00:00,17.75
03/02/2011,08:00:00,17.0
03/02/2011,09:00:00,15.0
03/02/2011,10:00:00,14.75
03/02/2011,11:00:00,13.5
03/02/2011,12:00:00,12.75
03/02/2011,13:00:00,12.75
03/02/2011,14:00:00,12.25
03/02/2011,15:00:00,12.25
03/02/2011,16:00:00,16.25
03/02/2011,17:00:00,18.0
03/02/2011,18:00:00,18.25
03/02/2011,19:00:00,20.5
03/02/2011,20:00:00,22.75
03/02/2011,21:00:00,25.75
03/02/2011,22:00:00,27.25
