Date,Time,Values
03/11/2016,17:00:00,24.95
03/11/2016,18:00:00,23.02
03/11/2016,19:00:00,21.78
03/11/2016,20:00:00,20.82
03/11/2016,21:00:00,20.07
03/11/2016,22:00:00,19.53
03/11/2016,23:00:00,19.00
04/11/2016,00:00:00,18.70
04/11/2016,01:00:00,18.17
04/11/2016,02:00:00,18.00
04/11/2016,03:00:00,17.40
04/11/2016,04:00:00,16.80
04/11/2016,05:00:00,16.17
04/11/2016,06:00:00,16.77
04/11/2016,07:00:00,17.42
04/11/2016,08:00:00,19.72
04/11/2016,09:00:00,22.43
04/11/2016,10:00:00,25.67
04/11/2016,11:00:00,28.40
04/11/2016,12:00:00,29.60
04/11/2016,13:00:00,29.85
04/11/2016,14:00:00,29.80
04/11/2016,15:00:00,29.23
04/11/2016,16:00:00,27.65
04/11/2016,17:00:00,24.63
04/11/2016,18:00:00,22.55
04/11/2016,19:00:00,21.47
04/11/2016,20:00:00,20.82
04/11/2016,21:00:00,19.93
04/11/2016,22:00:00,19.45
04/11/2016,23:00:00,19.00
05/11/2016,00:00:00,18.93
05/11/2016,01:00:00,18.95
05/11/2016,02:00:00,18.25
05/11/2016,03:00:00,17.77
05/11/2016,04:00:00,17.70
05/11/2016,05:00:00,17.52
05/11/2016,06:00:00,17.07
05/11/2016,07:00:00,17.50
05/11/2016,08:00:00,19.28
05/11/2016,09:00:00,20.55
05/11/2016,10:00:00,22.83
05/11/2016,11:00:00,24.50
05/11/2016,12:00:00,26.60
05/11/2016,13:00:00,28.13
05/11/2016,14:00:00,28.45
05/11/2016,15:00:00,28.20
05/11/2016,16:00:00,26.63
05/11/2016,17:00:00,24.20
05/11/2016,18:00:00,21.55
05/11/2016,19:00:00,20.32
05/11/2016,20:00:00,19.45
05/11/2016,21:00:00,19.52
05/11/2016,22:00:00,18.93
05/11/2016,23:00:00,18.07
06/11/2016,00:00:00,17.37
06/11/2016,01:00:00,16.75
06/11/2016,02:00:00,17.07
06/11/2016,03:00:00,16.40
06/11/2016,04:00:00,15.95
06/11/2016,05:00:00,15.60
06/11/2016,06:00:00,15.50
06/11/2016,07:00:00,15.82
06/11/2016,08:00:00,17.75
06/11/2016,09:00:00,20.13
06/11/2016,10:00:00,22.30
06/11/2016,11:00:00,24.70
06/11/2016,12:00:00,27.15
06/11/2016,13:00:00,28.25
06/11/2016,14:00:00,29.33
06/11/2016,15:00:00,28.88
06/11/2016,16:00:00,26.35
06/11/2016,17:00:00,22.70
06/11/2016,18:00:00,20.55
06/11/2016,19:00:00,19.68
06/11/2016,20:00:00,19.07
06/11/2016,21:00:00,18.45
06/11/2016,22:00:00,18.08
06/11/2016,23:00:00,18.20
06/11/2016,00:00:00,17.37
06/11/2016,01:00:00,16.75
06/11/2016,02:00:00,17.07
06/11/2016,03:00:00,16.40
06/11/2016,04:00:00,15.95
06/11/2016,05:00:00,15.60
06/11/2016,06:00:00,15.50
06/11/2016,07:00:00,15.82
06/11/2016,08:00:00,17.75
06/11/2016,09:00:00,20.13
06/11/2016,10:00:00,22.30
06/11/2016,11:00:00,24.70
06/11/2016,12:00:00,27.15
06/11/2016,13:00:00,28.25
06/11/2016,14:00:00,29.33
06/11/2016,15:00:00,28.88
06/11/2016,16:00:00,26.35
06/11/2016,17:00:00,22.70
06/11/2016,18:00:00,20.55
06/11/2016,19:00:00,19.68
06/11/2016,20:00:00,19.07
06/11/2016,21:00:00,18.45
06/11/2016,22:00:00,18.08
06/11/2016,23:00:00,18.20
07/11/2016,00:00:00,17.70
07/11/2016,01:00:00,17.43
07/11/2016,02:00:00,16.33
07/11/2016,03:00:00,16.10
07/11/2016,04:00:00,15.85
07/11/2016,05:00:00,15.83
07/11/2016,06:00:00,15.53
07/11/2016,07:00:00,16.85
07/11/2016,08:00:00,18.75
07/11/2016,09:00:00,21.07
07/11/2016,10:00:00,23.95
07/11/2016,11:00:00,26.00
07/11/2016,12:00:00,27.25
07/11/2016,13:00:00,27.45
07/11/2016,14:00:00,27.92
07/11/2016,15:00:00,27.90
07/11/2016,16:00:00,26.57
07/11/2016,17:00:00,23.52
07/11/2016,18:00:00,21.27
07/11/2016,19:00:00,20.43
07/11/2016,20:00:00,20.23
07/11/2016,21:00:00,20.48
07/11/2016,22:00:00,19.82
07/11/2016,23:00:00,20.00
08/11/2016,00:00:00,19.60
08/11/2016,01:00:00,19.15
08/11/2016,02:00:00,18.63
08/11/2016,03:00:00,18.05
08/11/2016,04:00:00,18.02
08/11/2016,05:00:00,17.10
08/11/2016,06:00:00,16.88
08/11/2016,07:00:00,16.38
08/11/2016,08:00:00,17.35
08/11/2016,09:00:00,19.75
08/11/2016,10:00:00,22.35
08/11/2016,11:00:00,24.55
