Date,Time,Values
01/02/2011,13:00:00,320.00
01/02/2011,14:00:00,320.00
01/02/2011,15:00:00,320.00
01/02/2011,16:00:00,320.00
01/02/2011,17:00:00,320.00
01/02/2011,18:00:00,320.00
02/02/2011,10:00:00,320.00
02/02/2011,11:00:00,320.00
02/02/2011,12:00:00,320.00
02/02/2011,13:00:00,320.00
02/02/2011,14:00:00,320.00
02/02/2011,15:00:00,320.00
02/02/2011,16:00:00,320.00
02/02/2011,17:00:00,320.00
03/02/2011,09:00:00,320.00
03/02/2011,11:00:00,320.00
03/02/2011,12:00:00,320.00
03/02/2011,13:00:00,320.00
03/02/2011,14:00:00,320.00
03/02/2011,15:00:00,320.00
03/02/2011,16:00:00,320.00
03/02/2011,17:00:00,320.00
04/02/2011,11:00:00,320.00
04/02/2011,12:00:00,320.00
04/02/2011,13:00:00,320.00
04/02/2011,14:00:00,320.00
04/02/2011,15:00:00,320.00
04/02/2011,16:00:00,320.00
05/02/2011,12:00:00,320.00
06/02/2011,09:00:00,320.00
06/02/2011,11:00:00,320.00
06/02/2011,13:00:00,320.00
06/02/2011,14:00:00,320.00
06/02/2011,16:00:00,320.00
07/02/2011,11:00:00,320.00
07/02/2011,12:00:00,320.00
07/02/2011,20:00:00,320.00
07/02/2011,21:00:00,320.00
08/02/2011,02:00:00,320.00
08/02/2011,09:00:00,320.00
08/02/2011,10:00:00,320.00
08/02/2011,11:00:00,320.00
08/02/2011,12:00:00,320.00
08/02/2011,13:00:00,320.00
08/02/2011,14:00:00,320.00
08/02/2011,15:00:00,320.00
08/02/2011,16:00:00,320.00
08/02/2011,17:00:00,320.00
08/02/2011,18:00:00,320.00
08/02/2011,19:00:00,320.00
09/02/2011,01:00:00,320.00
09/02/2011,02:00:00,320.00
09/02/2011,03:00:00,320.00
09/02/2011,04:00:00,320.00
09/02/2011,05:00:00,320.00
09/02/2011,06:00:00,320.00
09/02/2011,07:00:00,320.00
09/02/2011,08:00:00,320.00
09/02/2011,09:00:00,320.00
09/02/2011,10:00:00,320.00
09/02/2011,11:00:00,320.00
09/02/2011,12:00:00,320.00
09/02/2011,13:00:00,320.00
09/02/2011,14:00:00,320.00
09/02/2011,15:00:00,320.00
09/02/2011,16:00:00,320.00
09/02/2011,17:00:00,320.00
09/02/2011,18:00:00,320.00
09/02/2011,19:00:00,320.00
09/02/2011,20:00:00,320.00
09/02/2011,21:00:00,320.00
10/02/2011,03:00:00,320.00
10/02/2011,09:00:00,320.00
10/02/2011,10:00:00,320.00
10/02/2011,11:00:00,320.00
10/02/2011,12:00:00,320.00
10/02/2011,13:00:00,320.00
10/02/2011,14:00:00,320.00
10/02/2011,15:00:00,320.00
10/02/2011,16:00:00,320.00
10/02/2011,17:00:00,320.00
10/02/2011,18:00:00,320.00
11/02/2011,09:00:00,320.00
11/02/2011,10:00:00,320.00
11/02/2011,11:00:00,320.00
11/02/2011,12:00:00,320.00
11/02/2011,13:00:00,320.00
11/02/2011,14:00:00,320.00
11/02/2011,15:00:00,320.00
11/02/2011,16:00:00,320.00
11/02/2011,17:00:00,320.00
11/02/2011,18:00:00,320.00
11/02/2011,19:00:00,320.00
11/02/2011,23:00:00,320.00
12/02/2011,00:00:00,320.00
12/02/2011,01:00:00,320.00
12/02/2011,04:00:00,320.00
12/02/2011,08:00:00,320.00
